year,rentown,sampreg,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2004,Owner,East,Yes,0.53980,630,11275,0,0.50631,0,0.57467
2004,Owner,East,No,0.46020,445,11275,0,0.43247,0,0.49181
2004,Tenant,West,Yes,0.70446,3021,11275,0,0.68363,0,0.72227
2004,Tenant,West,No,0.29554,1169,11275,0,0.28390,0,0.30827
2004,Tenant,East,Yes,0.57392,952,11275,0,0.54762,0,0.59679
2004,Tenant,East,No,0.42608,655,11275,0,0.40508,0,0.44924
2005,Owner,West,Yes,0.91268,3974,11175,0,0.89074,0,0.93856
2005,Owner,West,No,0.08732,304,11175,0,0.07936,0,0.09411
2005,Owner,East,Yes,0.58421,677,11175,0,0.54633,0,0.61934
2005,Owner,East,No,0.41579,427,11175,0,0.38695,0,0.44453
2005,Tenant,West,Yes,0.71990,3057,11175,0,0.70366,0,0.73815
2005,Tenant,West,No,0.28010,1158,11175,0,0.26994,0,0.29144
2005,Tenant,East,Yes,0.57837,938,11175,0,0.54886,0,0.60455
2005,Tenant,East,No,0.42163,640,11175,0,0.40426,0,0.44326
2006,Owner,West,Yes,0.91394,4458,12247,0,0.89276,0,0.93193
2006,Owner,West,No,0.08606,335,12247,0,0.08006,0,0.09241
2006,Owner,East,Yes,0.62231,777,12247,0,0.58531,0,0.65138
2006,Owner,East,No,0.37769,431,12247,0,0.35374,0,0.40596
2006,Tenant,West,Yes,0.71755,3304,12247,0,0.70065,0,0.73031
2006,Tenant,West,No,0.28245,1227,12247,0,0.27137,0,0.29186
2006,Tenant,East,Yes,0.58190,1018,12247,0,0.55818,0,0.60850
2006,Tenant,East,No,0.41810,697,12247,0,0.39582,0,0.43992
2007,Owner,West,Yes,0.91576,4174,11434,0,0.89231,0,0.94025
2007,Owner,West,No,0.08424,304,11434,0,0.07780,0,0.09029
2007,Owner,East,Yes,0.63134,746,11434,0,0.59267,0,0.67364
2007,Owner,East,No,0.36866,393,11434,0,0.34091,0,0.39645
2007,Tenant,West,Yes,0.74204,3138,11434,0,0.72332,0,0.75973
2007,Tenant,West,No,0.25796,1061,11434,0,0.24835,0,0.26894
2007,Tenant,East,Yes,0.58719,975,11434,0,0.55937,0,0.61844
2007,Tenant,East,No,0.41281,643,11434,0,0.38968,0,0.43336
2008,Owner,West,Yes,0.92124,3992,10810,0,0.89916,0,0.94681
2008,Owner,West,No,0.07876,282,10810,0,0.07214,0,0.08436
2008,Owner,East,Yes,0.64782,748,10810,0,0.60831,0,0.68819
2008,Owner,East,No,0.35218,355,10810,0,0.32205,0,0.38095
2008,Tenant,West,Yes,0.74199,2921,10810,0,0.72205,0,0.75836
2008,Tenant,West,No,0.25801,965,10810,0,0.24784,0,0.26801
2008,Tenant,East,Yes,0.62337,964,10810,0,0.58943,0,0.65434
2008,Tenant,East,No,0.37663,583,10810,0,0.35410,0,0.39872
2009,Owner,West,Yes,0.91997,3718,10168,0,0.89311,0,0.94635
2009,Owner,West,No,0.08003,260,10168,0,0.07400,0,0.08831
2009,Owner,East,Yes,0.64425,740,10168,0,0.59402,0,0.68442
2009,Owner,East,No,0.35575,343,10168,0,0.32176,0,0.38811
2009,Tenant,West,Yes,0.75378,2758,10168,0,0.72939,0,0.77288
2009,Tenant,West,No,0.24622,881,10168,0,0.23365,0,0.25692
2009,Tenant,East,Yes,0.62201,916,10168,0,0.58453,0,0.65440
2009,Tenant,East,No,0.37799,552,10168,0,0.35446,0,0.40773
2010,Owner,West,Yes,0.91337,4755,13788,0,0.88352,0,0.94733
2010,Owner,West,No,0.08663,334,13788,0,0.07902,0,0.09536
2010,Owner,East,Yes,0.66005,862,13788,0,0.60820,0,0.70500
2010,Owner,East,No,0.33995,378,13788,0,0.30125,0,0.37740
2010,Tenant,West,Yes,0.74703,4230,13788,0,0.71738,0,0.77691
2010,Tenant,West,No,0.25297,1311,13788,0,0.23758,0,0.26832
2010,Tenant,East,Yes,0.63602,1238,13788,0,0.59604,0,0.67526
2010,Tenant,East,No,0.36398,680,13788,0,0.33389,0,0.39552
2011,Owner,West,Yes,0.93118,5929,16599,0,0.90556,0,0.95459
2011,Owner,West,No,0.06882,379,16599,0,0.06278,0,0.07633
2011,Owner,East,Yes,0.68182,983,16599,0,0.63275,0,0.72148
2011,Owner,East,No,0.31818,430,16599,0,0.29240,0,0.34757
2011,Tenant,West,Yes,0.75050,5062,16599,0,0.72706,0,0.77541
2011,Tenant,West,No,0.24950,1486,16599,0,0.23401,0,0.26240
2011,Tenant,East,Yes,0.62764,1490,16599,0,0.59468,0,0.65801
2011,Tenant,East,No,0.37236,840,16599,0,0.34800,0,0.39383
2012,Owner,West,Yes,0.92828,5829,16302,0,0.90300,0,0.95497
2012,Owner,West,No,0.07172,388,16302,0,0.06527,0,0.07900
2012,Owner,East,Yes,0.70408,975,16302,0,0.66216,0,0.74486
2012,Owner,East,No,0.29592,404,16302,0,0.26659,0,0.32359
2012,Tenant,West,Yes,0.75614,4934,16302,0,0.73272,0,0.77852
2012,Tenant,West,No,0.24386,1439,16302,0,0.23134,0,0.25725
2012,Tenant,East,Yes,0.64682,1545,16302,0,0.61581,0,0.68118
2012,Tenant,East,No,0.35318,788,16302,0,0.32850,0,0.38182
2013,Owner,West,Yes,0.93051,5985,17870,0,0.90334,0,0.95337
2013,Owner,West,No,0.06949,386,17870,0,0.06207,0,0.07615
2013,Owner,East,Yes,0.69946,957,17870,0,0.65203,0,0.75145
2013,Owner,East,No,0.30054,380,17870,0,0.27197,0,0.33253
2013,Tenant,West,Yes,0.74771,6032,17870,0,0.72751,0,0.77190
2013,Tenant,West,No,0.25229,1810,17870,0,0.24055,0,0.26797
2013,Tenant,East,Yes,0.65201,1567,17870,0,0.61678,0,0.68900
2013,Tenant,East,No,0.34799,753,17870,0,0.31810,0,0.37370
2014,Owner,West,Yes,0.93168,5474,15824,0,0.90575,0,0.96155
2014,Owner,West,No,0.06832,345,15824,0,0.06175,0,0.07608
2014,Owner,East,Yes,0.71262,881,15824,0,0.66365,0,0.76315
2014,Owner,East,No,0.28738,352,15824,0,0.25955,0,0.31750
2014,Tenant,West,Yes,0.75026,5162,15824,0,0.72857,0,0.77303
2014,Tenant,West,No,0.24974,1464,15824,0,0.23826,0,0.26335
2014,Tenant,East,Yes,0.66001,1447,15824,0,0.62169,0,0.70213
2014,Tenant,East,No,0.33999,699,15824,0,0.31353,0,0.36560
2015,Owner,West,Yes,0.92866,5198,15758,0,0.90201,0,0.95548
2015,Owner,West,No,0.07134,346,15758,0,0.06434,0,0.07855
2015,Owner,East,Yes,0.74307,879,15758,0,0.68277,0,0.79638
2015,Owner,East,No,0.25693,314,15758,0,0.22813,0,0.28328
2015,Tenant,West,Yes,0.75333,5273,15758,0,0.73140,0,0.77995
2015,Tenant,West,No,0.24667,1661,15758,0,0.23366,0,0.26020
2015,Tenant,East,Yes,0.64209,1384,15758,0,0.60984,0,0.68344
2015,Tenant,East,No,0.35791,703,15758,0,0.33000,0,0.38903
2016,Owner,West,Yes,0.93260,4846,14294,0,0.90759,0,0.96080
2016,Owner,West,No,0.06740,299,14294,0,0.06084,0,0.07491
2016,Owner,East,Yes,0.73324,846,14294,0,0.68679,0,0.78419
2016,Owner,East,No,0.26676,310,14294,0,0.24078,0,0.29784
2016,Tenant,West,Yes,0.74933,4669,14294,0,0.72044,0,0.77599
2016,Tenant,West,No,0.25067,1409,14294,0,0.23485,0,0.26432
2016,Tenant,East,Yes,0.65335,1283,14294,0,0.61579,0,0.70024
2016,Tenant,East,No,0.34665,632,14294,0,0.31470,0,0.38001
2017,Owner,West,Yes,0.93148,5422,17476,0,0.90745,0,0.95546
2017,Owner,West,No,0.06852,328,17476,0,0.06226,0,0.07671
2017,Owner,East,Yes,0.73590,967,17476,0,0.69311,0,0.79549
2017,Owner,East,No,0.26410,345,17476,0,0.23703,0,0.29460
2017,Tenant,West,Yes,0.74631,5823,17476,0,0.71856,0,0.76990
2017,Tenant,West,No,0.25369,2185,17476,0,0.23912,0,0.26575
2017,Tenant,East,Yes,0.63802,1569,17476,0,0.59937,0,0.67920
2017,Tenant,East,No,0.36198,837,17476,0,0.33055,0,0.39528
2018,Owner,West,Yes,0.93266,5186,17697,0,0.90839,0,0.95538
2018,Owner,West,No,0.06734,315,17697,0,0.05927,0,0.07478
2018,Owner,East,Yes,0.74229,930,17697,0,0.68929,0,0.79859
2018,Owner,East,No,0.25771,324,17697,0,0.22758,0,0.29079
2018,Tenant,West,Yes,0.75568,6058,17697,0,0.73229,0,0.77945
2018,Tenant,West,No,0.24432,2388,17697,0,0.23378,0,0.25887
2018,Tenant,East,Yes,0.66288,1689,17697,0,0.62223,0,0.70133
