year,quintil_oecd_hh,regtyp,hgeqpter,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2009,5th Quintile,Urban regions,No,0.014138164716348187,139,10173,0.014101616570579343,0.014174712862117031
2009,5th Quintile,Rural regions,Yes,0.04390207260424886,558,10173,0.043838648476565927,0.04396549673193179
2009,5th Quintile,Rural regions,No,0.005427077142040486,72,10173,0.00540433338980042,0.005449820894280552
2010,1st Quintile,Urban regions,Yes,0.08782858447052067,1409,13795,0.08774112779468836,0.08791604114635297
2010,1st Quintile,Urban regions,No,0.045371227534691624,595,13795,0.04530692259730542,0.04543553247207783
2010,1st Quintile,Rural regions,Yes,0.04067636229055432,738,13795,0.040615325678227995,0.04073739890288064
2010,1st Quintile,Rural regions,No,0.02643814587205482,413,13795,0.02638857414304967,0.02648771760105997
2010,2nd Quintile,Urban regions,Yes,0.09897352912726698,1385,13795,0.09888125815469358,0.09906580009984038
2010,2nd Quintile,Urban regions,No,0.03061324483363063,366,13795,0.030560016849553607,0.030666472817707655
2010,2nd Quintile,Rural regions,Yes,0.04781081748324526,809,13795,0.04774489075834665,0.047876744208143876
2010,2nd Quintile,Rural regions,No,0.02233221103687864,325,13795,0.022286554989514786,0.022377867084242494
2010,3rd Quintile,Urban regions,Yes,0.107473392788293,1296,13795,0.10737769589026544,0.10756908968632056
2010,3rd Quintile,Urban regions,No,0.022497272095345636,265,13795,0.022451451501381416,0.022543092689309856
2010,3rd Quintile,Rural regions,Yes,0.05458570217465372,801,13795,0.054515510221255795,0.05465589412805165
2010,3rd Quintile,Rural regions,No,0.015790884253979356,219,13795,0.015752364481634574,0.01582940402632414
2010,4th Quintile,Urban regions,Yes,0.12211295841513288,1460,13795,0.122011791853268,0.12221412497699775
2010,4th Quintile,Urban regions,No,0.016308534139721477,179,13795,0.016269398385274976,0.016347669894167978
2010,4th Quintile,Rural regions,Yes,0.050607341383779286,674,13795,0.05053961365828239,0.05067506910927618
2010,4th Quintile,Rural regions,No,0.010613855303273077,130,13795,0.010582191995051489,0.010645518611494665
2010,5th Quintile,Urban regions,Yes,0.14358201157250502,1937,13795,0.14347366137627982,0.14369036176873023
2010,5th Quintile,Urban regions,No,0.01350183458538646,162,13795,0.013466174586313901,0.01353749458445902
2010,5th Quintile,Rural regions,Yes,0.039491634117851684,573,13795,0.039431455816698845,0.039551812419004524
2010,5th Quintile,Rural regions,No,0.0033904565212354394,48,13795,0.0033724956083853045,0.0034084174340855743
2011,1st Quintile,Urban regions,Yes,0.08696204782458791,1618,16600,0.08687412436298103,0.0870499712861948
2011,1st Quintile,Urban regions,No,0.042551460619754046,651,16600,0.0424884794908836,0.04261444174862449
2011,1st Quintile,Rural regions,Yes,0.041284264117275024,900,16600,0.04122218683636982,0.04134634139818023
2011,1st Quintile,Rural regions,No,0.029221192564336404,511,16600,0.02916863870726389,0.029273746421408918
2011,2nd Quintile,Urban regions,Yes,0.10473192316270281,1669,16600,0.10463637736895669,0.10482746895644894
2011,2nd Quintile,Urban regions,No,0.026362482833030183,392,16600,0.026312492355065314,0.02641247331099505
2011,2nd Quintile,Rural regions,Yes,0.04912003002445892,1018,16600,0.04905259466987309,0.049187465379044754
2011,2nd Quintile,Rural regions,No,0.019794548554325758,384,16600,0.01975108483960223,0.019838012269049285
2011,3rd Quintile,Urban regions,Yes,0.10836125565149327,1641,16600,0.10826426565039277,0.10845824565259377
