"plh0012_h","year","n","percent","lower_confidence","upper_confidence"
"Buendnis90/Gruene/Die Linke","2002","","","",""
"SPD/Die Linke","2002","","","",""
"Gruene/DVU(Rep/NPD)","2002","","","",""
"Die Linke /DVU(Rep/NPD)","2002","","","",""
"CDU/Die Linke","2002","","","",""
"CDU/DVU(Rep/NPD)","2002","","","",""
"CSU/FDP","2002","","","",""
"Gruene/FDP","2002","","","",""
"FDP/Die Linke","2002","","","",""
"FDP/NPD","2002","","","",""
"Piratenpartei","2002","","","",""
"AfD","2002","","","",""
"CDU+/oder CSU/AfD","2002","","","",""
"SPD/AfD","2002","","","",""
"SPD","2003","3914","0.38137464872471","0.372163115974351","0.390586181475069"
"CDU","2003","3764","0.346204078688515","0.337181528075151","0.35522662930188"
"CSU","2003","803","0.0731575001742579","0.0682192335782321","0.0780957667702837"
"FDP","2003","424","0.0372169569680445","0.0336271030186674","0.0408068109174216"
"Buendnis90/Gruene","2003","1001","0.0903746966569177","0.0849372272539508","0.0958121660598847"
"Die Linke","2003","386","0.0305255538556757","0.0272631171638405","0.033787990547511"
"NPD/Republikaner/Die Rechte","2003","65","0.00669845011823888","0.00515152299649397","0.00824537723998379"
"Andere","2003","91","0.00905093353154977","0.00725489980523542","0.0108469672578641"
"SPD/Buendnis90/Gruene","2003","82","0.00814972303256638","0.00644467500078182","0.00985477106435094"
"SPD/CDU","2003","","","",""
"SPD/FDP","2003","","","",""
"SPD/DVU(Rep/NPD)","2003","","","",""
"CDU/CSU","2003","89","0.0114006922205443","0.00938734863593775","0.0134140358051509"
"CDU/FDP","2003","","","",""
"CDU/Buendnis90/Gruene","2003","","","",""
"Buendnis90/Gruene/Die Linke","2003","","","",""
"SPD/Die Linke","2003","","","",""
"Gruene/DVU(Rep/NPD)","2003","","","",""
"Die Linke /DVU(Rep/NPD)","2003","","","",""
"CDU/Die Linke","2003","","","",""
"CDU/DVU(Rep/NPD)","2003","","","",""
"CSU/FDP","2003","","","",""
"Gruene/FDP","2003","","","",""
"FDP/Die Linke","2003","","","",""
"FDP/NPD","2003","","","",""
"Piratenpartei","2003","","","",""
"AfD","2003","","","",""
"CDU+/oder CSU/AfD","2003","","","",""
"SPD/AfD","2003","","","",""
"SPD","2004","3098","0.357146599260997","0.347279552335659","0.367013646186335"
"CDU","2004","3234","0.355464692660107","0.345608037733104","0.365321347587111"
"CSU","2004","747","0.0839164745997297","0.0782069609845901","0.0896259882148693"
"FDP","2004","383","0.0386675606731594","0.0346973079916694","0.0426378133546493"
"Buendnis90/Gruene","2004","878","0.089943035855097","0.0840515339692917","0.0958345377409023"
"Die Linke","2004","419","0.0397773041442452","0.0357528070553255","0.0438018012331649"
"NPD/Republikaner/Die Rechte","2004","69","0.00877761647250172","0.00685681795451211","0.0106984149904913"
"Andere","2004","92","0.0106814801647438","0.00856462204965789","0.0127983382798298"
"SPD/Buendnis90/Gruene","2004","59","0.00604353158270675","0.0044475163156947","0.00763954684971879"
"SPD/CDU","2004","","","",""
"SPD/FDP","2004","","","",""
"SPD/DVU(Rep/NPD)","2004","","","",""
"CDU/CSU","2004","50","0.00640407385912101","0.00476143902513624","0.00804670869310578"
"CDU/FDP","2004","","","",""
"CDU/Buendnis90/Gruene","2004","","","",""
"Buendnis90/Gruene/Die Linke","2004","","","",""
"SPD/Die Linke","2004","","","",""
"Gruene/DVU(Rep/NPD)","2004","","","",""
"Die Linke /DVU(Rep/NPD)","2004","","","",""
"CDU/Die Linke","2004","","","",""
"CDU/DVU(Rep/NPD)","2004","","","",""
"CSU/FDP","2004","","","",""
"Gruene/FDP","2004","","","",""
"FDP/Die Linke","2004","","","",""
"FDP/NPD","2004","","","",""
"Piratenpartei","2004","","","",""
"AfD","2004","","","",""
"CDU+/oder CSU/AfD","2004","","","",""
"SPD/AfD","2004","","","",""
"SPD","2005","3297","0.375167248159941","0.365220662497237","0.385113833822646"
"CDU","2005","3033","0.326299295578649","0.316667189778652","0.335931401378646"
"CSU","2005","673","0.0785752195923654","0.0730474183259904","0.0841030208587404"
"FDP","2005","385","0.0362724911731971","0.0324314806663289","0.0401135016800653"
"Buendnis90/Gruene","2005","902","0.0995815439859942","0.093429898530413","0.105733189441575"
"Die Linke","2005","437","0.0394377447112333","0.0354392321030387","0.0434362573194279"
"NPD/Republikaner/Die Rechte","2005","129","0.0180882196812067","0.0153503433799076","0.0208260959825058"
"Andere","2005","85","0.0111371498519244","0.00898121944499687","0.0132930802588519"
"SPD/Buendnis90/Gruene","2005","62","0.00566129901326701","0.00411993614053718","0.00720266188599684"
"SPD/CDU","2005","","","",""
"SPD/FDP","2005","","","",""
"SPD/DVU(Rep/NPD)","2005","","","",""
"CDU/CSU","2005","59","0.00564569452720615","0.00410644530541346","0.00718494374899885"
"CDU/FDP","2005","","","",""
"CDU/Buendnis90/Gruene","2005","","","",""
"Buendnis90/Gruene/Die Linke","2005","","","",""
"SPD/Die Linke","2005","","","",""
"Gruene/DVU(Rep/NPD)","2005","","","",""
"Die Linke /DVU(Rep/NPD)","2005","","","",""
"CDU/Die Linke","2005","","","",""
"CDU/DVU(Rep/NPD)","2005","","","",""
"CSU/FDP","2005","","","",""
"Gruene/FDP","2005","","","",""
"FDP/Die Linke","2005","","","",""
"FDP/NPD","2005","","","",""
"Piratenpartei","2005","","","",""
"AfD","2005","","","",""
"CDU+/oder CSU/AfD","2005","","","",""
"SPD/AfD","2005","","","",""
"SPD","2006","3811","0.377544886081995","0.368271169734837","0.386818602429153"
"CDU","2006","3561","0.327432946970857","0.318455673084046","0.336410220857668"
"CSU","2006","720","0.0688801302950884","0.0640354483627768","0.0737248122274"
"FDP","2006","493","0.044993838504486","0.0410283645495658","0.0489593124594062"
"Buendnis90/Gruene","2006","942","0.0856451199882678","0.0802917877541621","0.0909984522223734"
"Die Linke","2006","616","0.0546169983160124","0.0502700617652973","0.0589639348667276"
"NPD/Republikaner/Die Rechte","2006","132","0.0165898025930382","0.0141463526004289","0.0190332525856475"
"Andere","2006","92","0.00961213849623741","0.00774563779812155","0.0114786391943533"
"SPD/Buendnis90/Gruene","2006","46","0.0056541767044433","0.0042197812251529","0.00708857218373371"
"SPD/CDU","2006","","","",""
"SPD/FDP","2006","","","",""
"SPD/DVU(Rep/NPD)","2006","","","",""
"CDU/CSU","2006","43","0.00440307869425678","0.00313649034558302","0.00566966704293054"
"CDU/FDP","2006","","","",""
"CDU/Buendnis90/Gruene","2006","","","",""
"Buendnis90/Gruene/Die Linke","2006","","","",""
"SPD/Die Linke","2006","","","",""
"Gruene/DVU(Rep/NPD)","2006","","","",""
"Die Linke /DVU(Rep/NPD)","2006","","","",""
"CDU/Die Linke","2006","","","",""
"CDU/DVU(Rep/NPD)","2006","","","",""
"CSU/FDP","2006","","","",""
"Gruene/FDP","2006","","","",""
"FDP/Die Linke","2006","","","",""
"FDP/NPD","2006","","","",""
"Piratenpartei","2006","","","",""
"AfD","2006","","","",""
"CDU+/oder CSU/AfD","2006","","","",""
"SPD/AfD","2006","","","",""
"SPD","2007","3144","0.370713799642408","0.360649268272436","0.380778331012381"
"CDU","2007","2905","0.313356787651759","0.303691045705824","0.323022529597694"
"CSU","2007","625","0.0759881878897516","0.0704666267826494","0.0815097489968538"
"FDP","2007","452","0.0425035702863713","0.0382998736705483","0.0467072669021944"
"Buendnis90/Gruene","2007","870","0.10133696951437","0.0950486808238999","0.10762525820484"
"Die Linke","2007","550","0.0583557004122582","0.0534710311727472","0.0632403696517693"
"NPD/Republikaner/Die Rechte","2007","115","0.0159664693874944","0.0133545517848082","0.0185783869901806"
"Andere","2007","78","0.00833277685640754","0.00643856769434956","0.0102269860184655"
"SPD/Buendnis90/Gruene","2007","41","0.00593630410205576","0.0043355845328018","0.00753702367130973"
"SPD/CDU","2007","","","",""
"SPD/FDP","2007","","","",""
"SPD/DVU(Rep/NPD)","2007","","","",""
"CDU/CSU","2007","31","0.00221726674168068","0.00123715173036871","0.00319738175299265"
"CDU/FDP","2007","","","",""
"CDU/Buendnis90/Gruene","2007","","","",""
"Buendnis90/Gruene/Die Linke","2007","","","",""
"SPD/Die Linke","2007","","","",""
"Gruene/DVU(Rep/NPD)","2007","","","",""
"Die Linke /DVU(Rep/NPD)","2007","","","",""
"CDU/Die Linke","2007","","","",""
"CDU/DVU(Rep/NPD)","2007","","","",""
"CSU/FDP","2007","","","",""
"Gruene/FDP","2007","","","",""
"FDP/Die Linke","2007","","","",""
"FDP/NPD","2007","","","",""
"Piratenpartei","2007","","","",""
"AfD","2007","","","",""
"CDU+/oder CSU/AfD","2007","","","",""
"SPD/AfD","2007","","","",""
"SPD","2008","2797","0.348537161406716","0.338334923415085","0.358739399398347"
"CDU","2008","2899","0.337186311466859","0.327064534021155","0.347308088912563"
"CSU","2008","574","0.0689874167015245","0.0635613041430574","0.0744135292599916"
"FDP","2008","439","0.0455994661909461","0.0411329254694735","0.0500660069124187"
"Buendnis90/Gruene","2008","796","0.0981419445452767","0.0917721928152871","0.104511696275266"
"Die Linke","2008","598","0.0638119020521259","0.058578808672205","0.0690449954320468"
"NPD/Republikaner/Die Rechte","2008","101","0.0131172513313537","0.0106812345246108","0.0155532681380966"
"Andere","2008","58","0.00795632612015319","0.0060541629624695","0.00985848927783688"
"SPD/Buendnis90/Gruene","2008","42","0.00445946425678569","0.00303288173313363","0.00588604678043775"
"SPD/CDU","2008","","","",""
"SPD/FDP","2008","","","",""
"SPD/DVU(Rep/NPD)","2008","","","",""
"CDU/CSU","2008","","","",""
"CDU/FDP","2008","","","",""
"CDU/Buendnis90/Gruene","2008","","","",""
"Buendnis90/Gruene/Die Linke","2008","","","",""
"SPD/Die Linke","2008","","","",""
"Gruene/DVU(Rep/NPD)","2008","","","",""
"Die Linke /DVU(Rep/NPD)","2008","","","",""
"CDU/Die Linke","2008","","","",""
"CDU/DVU(Rep/NPD)","2008","","","",""
"CSU/FDP","2008","","","",""
"Gruene/FDP","2008","","","",""
"FDP/Die Linke","2008","","","",""
"FDP/NPD","2008","","","",""
"Piratenpartei","2008","","","",""
"AfD","2008","","","",""
"CDU+/oder CSU/AfD","2008","","","",""
"SPD/AfD","2008","","","",""
"SPD","2009","2386","0.318442987307568","0.308017675820139","0.328868298794997"
"CDU","2009","2528","0.324914396216324","0.314433799737685","0.335394992694962"
"CSU","2009","503","0.0613849603885202","0.0560134447561169","0.0667564760209235"
"FDP","2009","611","0.0740428049982477","0.0681833262094402","0.0799022837870552"
"Buendnis90/Gruene","2009","831","0.111357510265111","0.104317952236402","0.118397068293819"
"Die Linke","2009","536","0.0628487286833386","0.0574177862732609","0.0682796710934164"
"NPD/Republikaner/Die Rechte","2009","101","0.0183153767568191","0.0153147220546055","0.0213160314590328"
"Andere","2009","76","0.00944825102610427","0.00728335822703856","0.01161314382517"
"SPD/Buendnis90/Gruene","2009","30","0.00392062074576792","0.00252217220148753","0.00531906929004832"
"SPD/CDU","2009","","","",""
"SPD/FDP","2009","","","",""
"SPD/DVU(Rep/NPD)","2009","","","",""
"CDU/CSU","2009","","","",""
"CDU/FDP","2009","","","",""
"CDU/Buendnis90/Gruene","2009","","","",""
"Buendnis90/Gruene/Die Linke","2009","","","",""
"SPD/Die Linke","2009","","","",""
"Gruene/DVU(Rep/NPD)","2009","","","",""
"Die Linke /DVU(Rep/NPD)","2009","","","",""
"CDU/Die Linke","2009","","","",""
"CDU/DVU(Rep/NPD)","2009","","","",""
"CSU/FDP","2009","","","",""
"Gruene/FDP","2009","","","",""
"FDP/Die Linke","2009","","","",""
"FDP/NPD","2009","","","",""
"Piratenpartei","2009","","","",""
"AfD","2009","","","",""
"CDU+/oder CSU/AfD","2009","","","",""
"SPD/AfD","2009","","","",""
"SPD","2010","3242","0.31678077439577","0.308097593450676","0.325463955340863"
"CDU","2010","3496","0.32258010238952","0.313855067628641","0.331305137150399"
"CSU","2010","658","0.0543060054696081","0.0500762170017434","0.0585357939374727"
"FDP","2010","710","0.0561962751336597","0.0518978040225975","0.0604947462447219"
"Buendnis90/Gruene","2010","1617","0.123273550406505","0.117137535439436","0.129409565373575"
"Die Linke","2010","881","0.0799552514859743","0.0748929573449248","0.0850175456270238"
"NPD/Republikaner/Die Rechte","2010","161","0.0158565912652886","0.013524994127165","0.0181881884034122"
"Andere","2010","114","0.0111397292431575","0.00918077547936451","0.0130986830069506"
"SPD/Buendnis90/Gruene","2010","44","0.00545164717496691","0.00407730072348724","0.00682599362644658"
"SPD/CDU","2010","","","",""
"SPD/FDP","2010","","","",""
"SPD/DVU(Rep/NPD)","2010","","","",""
"CDU/CSU","2010","","","",""
"CDU/FDP","2010","38","0.00745132975541227","0.00584619240224834","0.00905646710857619"
"CDU/Buendnis90/Gruene","2010","","","",""
"Buendnis90/Gruene/Die Linke","2010","","","",""
"SPD/Die Linke","2010","","","",""
"Gruene/DVU(Rep/NPD)","2010","","","",""
"Die Linke /DVU(Rep/NPD)","2010","","","",""
"CDU/Die Linke","2010","","","",""
"CDU/DVU(Rep/NPD)","2010","","","",""
"CSU/FDP","2010","","","",""
"Gruene/FDP","2010","","","",""
"FDP/Die Linke","2010","","","",""
"FDP/NPD","2010","","","",""
"Piratenpartei","2010","","","",""
"AfD","2010","","","",""
"CDU+/oder CSU/AfD","2010","","","",""
"SPD/AfD","2010","","","",""
"SPD","2011","2832","0.328135725087309","0.318502946052934","0.337768504121683"
"CDU","2011","2904","0.313349562056089","0.303833298477775","0.322865825634403"
"CSU","2011","617","0.0625304600803484","0.0575632965223402","0.0674976236383566"
"FDP","2011","300","0.0258234147627042","0.0225694732347938","0.0290773562906145"
"Buendnis90/Gruene","2011","1528","0.162083503582385","0.154522945676668","0.169644061488102"
"Die Linke","2011","584","0.05916550957598","0.0543251794222461","0.064005839729714"
"NPD/Republikaner/Die Rechte","2011","107","0.0142880307368955","0.0118533317853773","0.0167227296884137"
"Andere","2011","108","0.0146098258151278","0.0121482642709777","0.0170713873592779"
"SPD/Buendnis90/Gruene","2011","56","0.00812447095001974","0.00628280779853344","0.00996613410150603"
"SPD/CDU","2011","","","",""
"SPD/FDP","2011","","","",""
"SPD/DVU(Rep/NPD)","2011","","","",""
"CDU/CSU","2011","38","0.00492411706821388","0.003488044617691","0.00636018951873676"
"CDU/FDP","2011","","","",""
"CDU/Buendnis90/Gruene","2011","","","",""
"Buendnis90/Gruene/Die Linke","2011","","","",""
"SPD/Die Linke","2011","","","",""
"Gruene/DVU(Rep/NPD)","2011","","","",""
"Die Linke /DVU(Rep/NPD)","2011","","","",""
"CDU/Die Linke","2011","","","",""
"CDU/DVU(Rep/NPD)","2011","","","",""
"CSU/FDP","2011","","","",""
"Gruene/FDP","2011","","","",""
"FDP/Die Linke","2011","","","",""
"FDP/NPD","2011","","","",""
"Piratenpartei","2011","","","",""
"AfD","2011","","","",""
"CDU+/oder CSU/AfD","2011","","","",""
"SPD/AfD","2011","","","",""
"SPD","2012","2866","0.329871563683901","0.320104685766127","0.339638441601674"
"CDU","2012","2870","0.321260766834495","0.311560479057649","0.330961054611341"
"CSU","2012","616","0.062075886310679","0.0570634414136058","0.0670883312077522"
"FDP","2012","228","0.0215056453877412","0.0184922251654066","0.0245190656100757"
"Buendnis90/Gruene","2012","1343","0.149903254898311","0.142487694027383","0.157318815769239"
"Die Linke","2012","530","0.0549614606879946","0.0502271343673954","0.0596957870085939"
"NPD/Republikaner/Die Rechte","2012","87","0.0124637684705995","0.0101591157012576","0.0147684212399415"
"Andere","2012","57","0.00677673940482774","0.00507247046255937","0.0084810083470961"
"SPD/Buendnis90/Gruene","2012","42","0.00546157020422503","0.00393057496238874","0.00699256544606131"
"SPD/CDU","2012","","","",""
"SPD/FDP","2012","","","",""
"SPD/DVU(Rep/NPD)","2012","","","",""
"CDU/CSU","2012","","","",""
"CDU/FDP","2012","","","",""
"CDU/Buendnis90/Gruene","2012","","","",""
"Buendnis90/Gruene/Die Linke","2012","","","",""
"SPD/Die Linke","2012","","","",""
"Gruene/DVU(Rep/NPD)","2012","","","",""
"Die Linke /DVU(Rep/NPD)","2012","","","",""
"CDU/Die Linke","2012","","","",""
"CDU/DVU(Rep/NPD)","2012","","","",""
"CSU/FDP","2012","","","",""
"Gruene/FDP","2012","","","",""
"FDP/Die Linke","2012","","","",""
"FDP/NPD","2012","","","",""
"Piratenpartei","2012","203","0.0251424670955405","0.0218902553256069","0.0283946788654742"
"AfD","2012","","","",""
"CDU+/oder CSU/AfD","2012","","","",""
"SPD/AfD","2012","","","",""
"SPD","2013","3127","0.326497928859501","0.31716839373091","0.335827463988093"
"CDU","2013","3320","0.345882636743319","0.336419338217615","0.355345935269024"
"CSU","2013","620","0.0617449923452483","0.0569563584283252","0.0665336262621714"
"FDP","2013","272","0.0254022239253518","0.0222718306696722","0.0285326171810313"
"Buendnis90/Gruene","2013","1464","0.146267400700726","0.139236919917358","0.153297881484093"
"Die Linke","2013","539","0.0494951994934328","0.0451799191207216","0.0538104798661441"
"NPD/Republikaner/Die Rechte","2013","63","0.00898013903764105","0.00710327405894892","0.0108570040163332"
"Andere","2013","100","0.0127127229392183","0.0104838188427423","0.0149416270356944"
"SPD/Buendnis90/Gruene","2013","54","0.00686557666283801","0.0052227458142169","0.00850840751145911"
"SPD/CDU","2013","","","",""
"SPD/FDP","2013","","","",""
"SPD/DVU(Rep/NPD)","2013","","","",""
"CDU/CSU","2013","","","",""
"CDU/FDP","2013","","","",""
"CDU/Buendnis90/Gruene","2013","","","",""
"Buendnis90/Gruene/Die Linke","2013","","","",""
"SPD/Die Linke","2013","","","",""
"Gruene/DVU(Rep/NPD)","2013","","","",""
"Die Linke /DVU(Rep/NPD)","2013","","","",""
"CDU/Die Linke","2013","","","",""
"CDU/DVU(Rep/NPD)","2013","","","",""
"CSU/FDP","2013","","","",""
"Gruene/FDP","2013","","","",""
"FDP/Die Linke","2013","","","",""
"FDP/NPD","2013","","","",""
"Piratenpartei","2013","87","0.00874886080696094","0.0068961061037705","0.0106016155101514"
"AfD","2013","","","",""
"CDU+/oder CSU/AfD","2013","","","",""
"SPD/AfD","2013","","","",""
"SPD","2014","3588","0.316179853041479","0.307839508914021","0.324520197168938"
"CDU","2014","3962","0.339908586940223","0.331412302619724","0.348404871260721"
"CSU","2014","809","0.0631434716197215","0.0587808585190456","0.0675060847203974"
"FDP","2014","302","0.0230296516839585","0.0203391683650591","0.025720135002858"
"Buendnis90/Gruene","2014","1711","0.131502813809246","0.125441068873247","0.137564558745246"
"Die Linke","2014","914","0.0682814556555754","0.0637572776623769","0.0728056336487739"
"NPD/Republikaner/Die Rechte","2014","99","0.00929833584170784","0.00757678446510497","0.0110198872183107"
"Andere","2014","106","0.00818063542964673","0.0065649539800781","0.00979631687921536"
"SPD/Buendnis90/Gruene","2014","46","0.00580199752452896","0.00443970259454158","0.00716429245451635"
"SPD/CDU","2014","","","",""
"SPD/FDP","2014","","","",""
"SPD/DVU(Rep/NPD)","2014","","","",""
"CDU/CSU","2014","33","0.00299690021756884","0.00201643921708019","0.0039773612180575"
"CDU/FDP","2014","","","",""
"CDU/Buendnis90/Gruene","2014","","","",""
"Buendnis90/Gruene/Die Linke","2014","","","",""
"SPD/Die Linke","2014","","","",""
"Gruene/DVU(Rep/NPD)","2014","","","",""
"Die Linke /DVU(Rep/NPD)","2014","","","",""
"CDU/Die Linke","2014","","","",""
"CDU/DVU(Rep/NPD)","2014","","","",""
"CSU/FDP","2014","","","",""
"Gruene/FDP","2014","","","",""
"FDP/Die Linke","2014","","","",""
"FDP/NPD","2014","","","",""
"Piratenpartei","2014","107","0.00865274660369054","0.00699149342768201","0.0103139997796991"
"AfD","2014","209","0.0152772927870117","0.013077275441661","0.0174773101323624"
"CDU+/oder CSU/AfD","2014","","","",""
"SPD/AfD","2014","","","",""
"SPD","2015","2986","0.297828907804236","0.28900554408519","0.306652271523282"
"CDU","2015","3453","0.346558527505206","0.33737687341765","0.355740181592761"
"CSU","2015","669","0.0634114313493839","0.0587093786814449","0.0681134840173229"
"FDP","2015","270","0.0238821851635069","0.0209362889995166","0.0268280813274972"
"Buendnis90/Gruene","2015","1473","0.133592735795593","0.127028536637697","0.140156934953489"
"Die Linke","2015","822","0.0662522955280692","0.0614533643293911","0.0710512267267473"
"NPD/Republikaner/Die Rechte","2015","98","0.0100797898501796","0.0081524641211135","0.0120071155792457"
"Andere","2015","98","0.00974685205362536","0.00785130492083096","0.0116423991864198"
"SPD/Buendnis90/Gruene","2015","47","0.00574009955180927","0.00428249753962016","0.00719770156399839"
"SPD/CDU","2015","","","",""
"SPD/FDP","2015","","","",""
"SPD/DVU(Rep/NPD)","2015","","","",""
"CDU/CSU","2015","","","",""
"CDU/FDP","2015","","","",""
"CDU/Buendnis90/Gruene","2015","","","",""
"Buendnis90/Gruene/Die Linke","2015","","","",""
"SPD/Die Linke","2015","","","",""
"Gruene/DVU(Rep/NPD)","2015","","","",""
"Die Linke /DVU(Rep/NPD)","2015","","","",""
"CDU/Die Linke","2015","","","",""
"CDU/DVU(Rep/NPD)","2015","","","",""
"CSU/FDP","2015","","","",""
"Gruene/FDP","2015","","","",""
"FDP/Die Linke","2015","","","",""
"FDP/NPD","2015","","","",""
"Piratenpartei","2015","64","0.00537531267916509","0.003964527891513","0.00678609746681719"
"AfD","2015","273","0.0286287602657894","0.02541122603418","0.0318462944973989"
"CDU+/oder CSU/AfD","2015","","","",""
"SPD/AfD","2015","","","",""
"SPD","2016","2481","0.273116950149224","0.264135491185776","0.282098409112672"
"CDU","2016","3012","0.322310931627323","0.312890017397971","0.331731845856674"
"CSU","2016","644","0.0693119854181541","0.0641922617358794","0.0744317091004289"
"FDP","2016","280","0.029049863098178","0.0256644567774679","0.0324352694188881"
"Buendnis90/Gruene","2016","1501","0.153447314542056","0.146182125251979","0.160712503832132"
"Die Linke","2016","703","0.0645981019155939","0.0596430376204233","0.0695531662107644"
"NPD/Republikaner/Die Rechte","2016","71","0.00885775313941404","0.00696902229661871","0.0107464839822094"
"Andere","2016","101","0.0107062272024329","0.00863169033386681","0.0127807640709989"
"SPD/Buendnis90/Gruene","2016","37","0.00275808705118963","0.00170091776226592","0.00381525634011334"
"SPD/CDU","2016","","","",""
"SPD/FDP","2016","","","",""
"SPD/DVU(Rep/NPD)","2016","","","",""
"CDU/CSU","2016","","","",""
"CDU/FDP","2016","","","",""
"CDU/Buendnis90/Gruene","2016","","","",""
"Buendnis90/Gruene/Die Linke","2016","","","",""
"SPD/Die Linke","2016","","","",""
"Gruene/DVU(Rep/NPD)","2016","","","",""
"Die Linke /DVU(Rep/NPD)","2016","","","",""
"CDU/Die Linke","2016","","","",""
"CDU/DVU(Rep/NPD)","2016","","","",""
"CSU/FDP","2016","","","",""
"Gruene/FDP","2016","","","",""
"FDP/Die Linke","2016","","","",""
"FDP/NPD","2016","","","",""
"Piratenpartei","2016","52","0.00701801481540069","0.00533527055794688","0.00870075907285451"
"AfD","2016","517","0.0529470583481598","0.0484331957093886","0.057460920986931"
"CDU+/oder CSU/AfD","2016","","","",""
"SPD/AfD","2016","","","",""
"SPD","2017","3196","0.315961292287841","0.307249318511512","0.324673266064171"
"CDU","2017","3632","0.312282112711113","0.30359774918914","0.320966476233086"
"CSU","2017","650","0.0602110079994179","0.0557532919029385","0.0646687240958973"
"FDP","2017","429","0.0384619981883554","0.0348582168840352","0.0420657794926755"
"Buendnis90/Gruene","2017","1397","0.117335715644334","0.111304953916827","0.12336647737184"
"Die Linke","2017","817","0.0710369703013311","0.0662230298861413","0.0758509107165209"
"NPD/Republikaner/Die Rechte","2017","87","0.00650661963495776","0.00499994499477277","0.00801329427514275"
"Andere","2017","119","0.0119668711361133","0.00992919415017829","0.0140045481220483"
"SPD/Buendnis90/Gruene","2017","","","",""
"SPD/CDU","2017","","","",""
"SPD/FDP","2017","","","",""
"SPD/DVU(Rep/NPD)","2017","","","",""
"CDU/CSU","2017","","","",""
"CDU/FDP","2017","","","",""
"CDU/Buendnis90/Gruene","2017","","","",""
"Buendnis90/Gruene/Die Linke","2017","","","",""
"SPD/Die Linke","2017","","","",""
"Gruene/DVU(Rep/NPD)","2017","","","",""
"Die Linke /DVU(Rep/NPD)","2017","","","",""
"CDU/Die Linke","2017","","","",""
"CDU/DVU(Rep/NPD)","2017","","","",""
"CSU/FDP","2017","","","",""
"Gruene/FDP","2017","","","",""
"FDP/Die Linke","2017","","","",""
"FDP/NPD","2017","","","",""
"Piratenpartei","2017","","","",""
"AfD","2017","512","0.0532384778214606","0.0490312852173741","0.0574456704255471"
"CDU+/oder CSU/AfD","2017","","","",""
"SPD/AfD","2017","","","",""
"SPD","2018","2745","0.267209943428254","0.259002726278358","0.27541716057815"
"CDU","2018","3507","0.301056586118962","0.292548636535586","0.309564535702337"
"CSU","2018","621","0.0599205014044021","0.0555185033814351","0.064322499427369"
"FDP","2018","541","0.0483853400822742","0.0444054846760815","0.052365195488467"
"Buendnis90/Gruene","2018","1765","0.146401729655216","0.139845114397572","0.152958344912859"
"Die Linke","2018","977","0.0795620850791898","0.0745429352411489","0.0845812349172307"
"NPD/Republikaner/Die Rechte","2018","30","0.00208446823948426","0.00123855783802289","0.00293037864094564"
"Andere","2018","166","0.0155762694673459","0.01327957832219","0.0178729606125018"
"SPD/Buendnis90/Gruene","2018","32","0.00280777974705717","0.00182636903877569","0.00378919045533864"
"SPD/CDU","2018","","","",""
"SPD/FDP","2018","","","",""
"SPD/DVU(Rep/NPD)","2018","","","",""
"CDU/CSU","2018","","","",""
"CDU/FDP","2018","","","",""
"CDU/Buendnis90/Gruene","2018","","","",""
"Buendnis90/Gruene/Die Linke","2018","","","",""
"SPD/Die Linke","2018","","","",""
"Gruene/DVU(Rep/NPD)","2018","","","",""
"Die Linke /DVU(Rep/NPD)","2018","","","",""
"CDU/Die Linke","2018","","","",""
"CDU/DVU(Rep/NPD)","2018","","","",""
"CSU/FDP","2018","","","",""
"Gruene/FDP","2018","","","",""
"FDP/Die Linke","2018","","","",""
"FDP/NPD","2018","","","",""
"Piratenpartei","2018","","","",""
"AfD","2018","719","0.0685172738369036","0.0638316515880147","0.0732028960857925"
"CDU+/oder CSU/AfD","2018","","","",""
"SPD/AfD","2018","","","",""
"SPD","2019","2128","0.21289269576945","0.205362116556996","0.220423274981904"
"CDU","2019","3138","0.270659905249932","0.262486405823736","0.278833404676128"
"CSU","2019","649","0.0530979173536963","0.0489729329708335","0.0572229017365592"
"FDP","2019","668","0.0465205143799759","0.0426460741993972","0.0503949545605546"
"Buendnis90/Gruene","2019","2733","0.224541735411685","0.21686531447855","0.232218156344821"
"Die Linke","2019","907","0.0800958073316904","0.0751022824302525","0.0850893322331282"
"NPD/Republikaner/Die Rechte","2019","","","",""
"Andere","2019","264","0.0215208754737139","0.0188513333462864","0.0241904176011413"
"SPD/Buendnis90/Gruene","2019","","","",""
"SPD/CDU","2019","","","",""
"SPD/FDP","2019","","","",""
"SPD/DVU(Rep/NPD)","2019","","","",""
"CDU/CSU","2019","","","",""
"CDU/FDP","2019","","","",""
"CDU/Buendnis90/Gruene","2019","","","",""
"Buendnis90/Gruene/Die Linke","2019","","","",""
"SPD/Die Linke","2019","","","",""
"Gruene/DVU(Rep/NPD)","2019","","","",""
"Die Linke /DVU(Rep/NPD)","2019","","","",""
"CDU/Die Linke","2019","","","",""
"CDU/DVU(Rep/NPD)","2019","","","",""
"CSU/FDP","2019","","","",""
"Gruene/FDP","2019","","","",""
"FDP/Die Linke","2019","","","",""
"FDP/NPD","2019","","","",""
"Piratenpartei","2019","","","",""
"AfD","2019","741","0.0742381140819541","0.0694153708206395","0.0790608573432687"
"CDU+/oder CSU/AfD","2019","","","",""
"SPD/AfD","2019","","","",""
