"plh0012_h","year","sex","n","percent","lower_confidence","upper_confidence"
"Buendnis90/Gruene","1992","maennlich","193","0.0578325409744069","0.0494544618285702","0.0662106201202436"
"Buendnis90/Gruene","1992","weiblich","210","0.0638769240343054","0.0544246669413696","0.0733291811272412"
"Die Linke","1992","maennlich","68","0.0182203950133424","0.0134199647108902","0.0230208253157946"
"Die Linke","1992","weiblich","58","0.0136029599940207","0.0091254182518247","0.0180805017362167"
"NPD/Republikaner/Die Rechte","1992","maennlich","","","",""
"NPD/Republikaner/Die Rechte","1992","weiblich","","","",""
"Andere","1992","maennlich","81","0.0292214815581998","0.0231763540474216","0.0352666090689779"
"Andere","1992","weiblich","38","0.0122711503863003","0.00801557232427669","0.0165267284483239"
"SPD/Buendnis90/Gruene","1992","maennlich","","","",""
"SPD/Buendnis90/Gruene","1992","weiblich","","","",""
"SPD/CDU","1992","maennlich","","","",""
"SPD/CDU","1992","weiblich","","","",""
"SPD/FDP","1992","maennlich","","","",""
"SPD/FDP","1992","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1992","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1992","weiblich","","","",""
"CDU/CSU","1992","maennlich","","","",""
"CDU/CSU","1992","weiblich","","","",""
"CDU/FDP","1992","maennlich","","","",""
"CDU/FDP","1992","weiblich","","","",""
"CDU/Buendnis90/Gruene","1992","maennlich","","","",""
"CDU/Buendnis90/Gruene","1992","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1992","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1992","weiblich","","","",""
"SPD/Die Linke","1992","maennlich","","","",""
"SPD/Die Linke","1992","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1992","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1992","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1992","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1992","weiblich","","","",""
"CDU/Die Linke","1992","maennlich","","","",""
"CDU/Die Linke","1992","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1992","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1992","weiblich","","","",""
"CSU/FDP","1992","maennlich","","","",""
"CSU/FDP","1992","weiblich","","","",""
"Gruene/FDP","1992","maennlich","","","",""
"Gruene/FDP","1992","weiblich","","","",""
"FDP/Die Linke","1992","maennlich","","","",""
"FDP/Die Linke","1992","weiblich","","","",""
"FDP/NPD","1992","maennlich","","","",""
"FDP/NPD","1992","weiblich","","","",""
"Piratenpartei","1992","maennlich","","","",""
"Piratenpartei","1992","weiblich","","","",""
"AfD","1992","maennlich","","","",""
"AfD","1992","weiblich","","","",""
"CDU+/oder CSU/AfD","1992","maennlich","","","",""
"CDU+/oder CSU/AfD","1992","weiblich","","","",""
"SPD/AfD","1992","maennlich","","","",""
"SPD/AfD","1992","weiblich","","","",""
"SPD","1993","maennlich","1252","0.429560770030556","0.410882178842838","0.448239361218274"
"SPD","1993","weiblich","972","0.418860589031048","0.398286285290498","0.439434892771598"
"CDU","1993","maennlich","746","0.303302976351202","0.285957452039526","0.320648500662877"
"CDU","1993","weiblich","700","0.339934411567244","0.320181034938058","0.359687788196429"
"CSU","1993","maennlich","155","0.0667943174752202","0.0573735656334189","0.0762150693170215"
"CSU","1993","weiblich","114","0.062365829779291","0.0522816565255559","0.0724500030330262"
"FDP","1993","maennlich","123","0.0505798163142927","0.0423109690066625","0.0588486636219229"
"FDP","1993","weiblich","80","0.0468557199954345","0.0380429818930511","0.0556684580978179"
"Buendnis90/Gruene","1993","maennlich","221","0.0770147255303329","0.0669544149020199","0.0870750361586459"
"Buendnis90/Gruene","1993","weiblich","217","0.0864996453832113","0.0747773743998132","0.0982219163666094"
"Die Linke","1993","maennlich","71","0.019961759918315","0.0146840192902807","0.0252395005463492"
"Die Linke","1993","weiblich","72","0.0213093924824725","0.0152871466811953","0.0273316382837498"
"NPD/Republikaner/Die Rechte","1993","maennlich","103","0.0434064536513332","0.0357174867013469","0.0510954206013194"
"NPD/Republikaner/Die Rechte","1993","weiblich","36","0.0156178613129621","0.0104472382789038","0.0207884843470205"
"Andere","1993","maennlich","","","",""
"Andere","1993","weiblich","","","",""
"SPD/Buendnis90/Gruene","1993","maennlich","","","",""
"SPD/Buendnis90/Gruene","1993","weiblich","","","",""
"SPD/CDU","1993","maennlich","","","",""
"SPD/CDU","1993","weiblich","","","",""
"SPD/FDP","1993","maennlich","","","",""
"SPD/FDP","1993","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1993","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1993","weiblich","","","",""
"CDU/CSU","1993","maennlich","","","",""
"CDU/CSU","1993","weiblich","","","",""
"CDU/FDP","1993","maennlich","","","",""
"CDU/FDP","1993","weiblich","","","",""
"CDU/Buendnis90/Gruene","1993","maennlich","","","",""
"CDU/Buendnis90/Gruene","1993","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1993","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1993","weiblich","","","",""
"SPD/Die Linke","1993","maennlich","","","",""
"SPD/Die Linke","1993","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1993","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1993","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1993","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1993","weiblich","","","",""
"CDU/Die Linke","1993","maennlich","","","",""
"CDU/Die Linke","1993","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1993","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1993","weiblich","","","",""
"CSU/FDP","1993","maennlich","","","",""
"CSU/FDP","1993","weiblich","","","",""
"Gruene/FDP","1993","maennlich","","","",""
"Gruene/FDP","1993","weiblich","","","",""
"FDP/Die Linke","1993","maennlich","","","",""
"FDP/Die Linke","1993","weiblich","","","",""
"FDP/NPD","1993","maennlich","","","",""
"FDP/NPD","1993","weiblich","","","",""
"Piratenpartei","1993","maennlich","","","",""
"Piratenpartei","1993","weiblich","","","",""
"AfD","1993","maennlich","","","",""
"AfD","1993","weiblich","","","",""
"CDU+/oder CSU/AfD","1993","maennlich","","","",""
"CDU+/oder CSU/AfD","1993","weiblich","","","",""
"SPD/AfD","1993","maennlich","","","",""
"SPD/AfD","1993","weiblich","","","",""
"SPD","1994","maennlich","1324","0.458239835309577","0.439637886764737","0.476841783854418"
"SPD","1994","weiblich","1091","0.448749892578507","0.428679279303125","0.468820505853889"
"CDU","1994","maennlich","785","0.311890819759555","0.294595107310058","0.329186532209052"
"CDU","1994","weiblich","707","0.325534595298075","0.30662585773921","0.344443332856941"
"CSU","1994","maennlich","149","0.058077426329256","0.0493453048626515","0.0668095477958605"
"CSU","1994","weiblich","121","0.063868278581539","0.054001049593398","0.0737355075696799"
"FDP","1994","maennlich","87","0.0379948764051889","0.030857153321256","0.0451325994891217"
"FDP","1994","weiblich","64","0.032464391983373","0.025312495234914","0.039616288731832"
"Buendnis90/Gruene","1994","maennlich","201","0.0707861710835744","0.0612111326171581","0.0803612095499907"
"Buendnis90/Gruene","1994","weiblich","218","0.0833598590566561","0.0722050525264793","0.094514665586833"
"Die Linke","1994","maennlich","96","0.0255123170021274","0.0196256209452285","0.0313990130590264"
"Die Linke","1994","weiblich","114","0.030945243959649","0.0239572063340038","0.0379332815852942"
"NPD/Republikaner/Die Rechte","1994","maennlich","73","0.0246897673521163","0.0188963025390991","0.0304832321651334"
"NPD/Republikaner/Die Rechte","1994","weiblich","","","",""
"Andere","1994","maennlich","41","0.0128087867586047","0.00861058677349832","0.0170069867437111"
"Andere","1994","weiblich","","","",""
"SPD/Buendnis90/Gruene","1994","maennlich","","","",""
"SPD/Buendnis90/Gruene","1994","weiblich","","","",""
"SPD/CDU","1994","maennlich","","","",""
"SPD/CDU","1994","weiblich","","","",""
"SPD/FDP","1994","maennlich","","","",""
"SPD/FDP","1994","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1994","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1994","weiblich","","","",""
"CDU/CSU","1994","maennlich","","","",""
"CDU/CSU","1994","weiblich","","","",""
"CDU/FDP","1994","maennlich","","","",""
"CDU/FDP","1994","weiblich","","","",""
"CDU/Buendnis90/Gruene","1994","maennlich","","","",""
"CDU/Buendnis90/Gruene","1994","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1994","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1994","weiblich","","","",""
"SPD/Die Linke","1994","maennlich","","","",""
"SPD/Die Linke","1994","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1994","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1994","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1994","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1994","weiblich","","","",""
"CDU/Die Linke","1994","maennlich","","","",""
"CDU/Die Linke","1994","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1994","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1994","weiblich","","","",""
"CSU/FDP","1994","maennlich","","","",""
"CSU/FDP","1994","weiblich","","","",""
"Gruene/FDP","1994","maennlich","","","",""
"Gruene/FDP","1994","weiblich","","","",""
"FDP/Die Linke","1994","maennlich","","","",""
"FDP/Die Linke","1994","weiblich","","","",""
"FDP/NPD","1994","maennlich","","","",""
"FDP/NPD","1994","weiblich","","","",""
"Piratenpartei","1994","maennlich","","","",""
"Piratenpartei","1994","weiblich","","","",""
"AfD","1994","maennlich","","","",""
"AfD","1994","weiblich","","","",""
"CDU+/oder CSU/AfD","1994","maennlich","","","",""
"CDU+/oder CSU/AfD","1994","weiblich","","","",""
"SPD/AfD","1994","maennlich","","","",""
"SPD/AfD","1994","weiblich","","","",""
"SPD","1995","maennlich","1354","0.432535189074343","0.415120411956003","0.449949966192683"
"SPD","1995","weiblich","1150","0.414103185474636","0.395670014928009","0.432536356021262"
"CDU","1995","maennlich","993","0.326750481164999","0.310263775912464","0.343237186417534"
"CDU","1995","weiblich","926","0.348477221984017","0.330645750348604","0.366308693619429"
"CSU","1995","maennlich","197","0.0698397455516298","0.0608805721282485","0.078798918975011"
"CSU","1995","weiblich","139","0.0630735425796382","0.0539762628105132","0.0721708223487631"
"FDP","1995","maennlich","84","0.0301202479762693","0.0241123029811676","0.0361281929713711"
"FDP","1995","weiblich","62","0.0271933588829585","0.0211066871810545","0.0332800305848624"
"Buendnis90/Gruene","1995","maennlich","269","0.0852579686621898","0.0754415168743138","0.0950744204500658"
"Buendnis90/Gruene","1995","weiblich","303","0.103669839416494","0.0922622099785993","0.115077468854389"
"Die Linke","1995","maennlich","136","0.0321185972232496","0.0259209466442709","0.0383162478022283"
"Die Linke","1995","weiblich","132","0.032683019576381","0.0260290520043786","0.0393369871483833"
"NPD/Republikaner/Die Rechte","1995","maennlich","43","0.014300391004228","0.010127048983151","0.018473733025305"
"NPD/Republikaner/Die Rechte","1995","weiblich","","","",""
"Andere","1995","maennlich","33","0.00907737934309164","0.00574359238136192","0.0124111663048214"
"Andere","1995","weiblich","","","",""
"SPD/Buendnis90/Gruene","1995","maennlich","","","",""
"SPD/Buendnis90/Gruene","1995","weiblich","","","",""
"SPD/CDU","1995","maennlich","","","",""
"SPD/CDU","1995","weiblich","","","",""
"SPD/FDP","1995","maennlich","","","",""
"SPD/FDP","1995","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1995","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1995","weiblich","","","",""
"CDU/CSU","1995","maennlich","","","",""
"CDU/CSU","1995","weiblich","","","",""
"CDU/FDP","1995","maennlich","","","",""
"CDU/FDP","1995","weiblich","","","",""
"CDU/Buendnis90/Gruene","1995","maennlich","","","",""
"CDU/Buendnis90/Gruene","1995","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1995","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1995","weiblich","","","",""
"SPD/Die Linke","1995","maennlich","","","",""
"SPD/Die Linke","1995","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1995","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1995","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1995","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1995","weiblich","","","",""
"CDU/Die Linke","1995","maennlich","","","",""
"CDU/Die Linke","1995","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1995","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1995","weiblich","","","",""
"CSU/FDP","1995","maennlich","","","",""
"CSU/FDP","1995","weiblich","","","",""
"Gruene/FDP","1995","maennlich","","","",""
"Gruene/FDP","1995","weiblich","","","",""
"FDP/Die Linke","1995","maennlich","","","",""
"FDP/Die Linke","1995","weiblich","","","",""
"FDP/NPD","1995","maennlich","","","",""
"FDP/NPD","1995","weiblich","","","",""
"Piratenpartei","1995","maennlich","","","",""
"Piratenpartei","1995","weiblich","","","",""
"AfD","1995","maennlich","","","",""
"AfD","1995","weiblich","","","",""
"CDU+/oder CSU/AfD","1995","maennlich","","","",""
"CDU+/oder CSU/AfD","1995","weiblich","","","",""
"SPD/AfD","1995","maennlich","","","",""
"SPD/AfD","1995","weiblich","","","",""
"SPD","1996","maennlich","1190","0.399192996964818","0.381454308567494","0.416931685362143"
"SPD","1996","weiblich","952","0.367621070107042","0.348825805280468","0.386416334933616"
"CDU","1996","maennlich","984","0.346043120217261","0.328812447993405","0.363273792441117"
"CDU","1996","weiblich","878","0.363473020681805","0.344722900560229","0.382223140803382"
"CSU","1996","maennlich","204","0.0754285005403371","0.0658631576480182","0.084993843432656"
"CSU","1996","weiblich","150","0.0749744590531694","0.0647086522026511","0.0852402659036877"
"FDP","1996","maennlich","63","0.0248658426811655","0.0192256189655493","0.0305060663967817"
"FDP","1996","weiblich","54","0.0285451492179967","0.0220537693302096","0.0350365291057837"
"Buendnis90/Gruene","1996","maennlich","264","0.0901884091339845","0.0798127988564391","0.10056401941153"
"Buendnis90/Gruene","1996","weiblich","312","0.112344354689497","0.100034371979965","0.124654337399029"
"Die Linke","1996","maennlich","137","0.0348374901327114","0.0281956838257967","0.0414792964396261"
"Die Linke","1996","weiblich","143","0.0345247102653499","0.0274077398744225","0.0416416806562774"
"NPD/Republikaner/Die Rechte","1996","maennlich","59","0.0229169753622146","0.0174968798733764","0.0283370708510528"
"NPD/Republikaner/Die Rechte","1996","weiblich","","","",""
"Andere","1996","maennlich","","","",""
"Andere","1996","weiblich","","","",""
"SPD/Buendnis90/Gruene","1996","maennlich","","","",""
"SPD/Buendnis90/Gruene","1996","weiblich","","","",""
"SPD/CDU","1996","maennlich","","","",""
"SPD/CDU","1996","weiblich","","","",""
"SPD/FDP","1996","maennlich","","","",""
"SPD/FDP","1996","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1996","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1996","weiblich","","","",""
"CDU/CSU","1996","maennlich","","","",""
"CDU/CSU","1996","weiblich","","","",""
"CDU/FDP","1996","maennlich","","","",""
"CDU/FDP","1996","weiblich","","","",""
"CDU/Buendnis90/Gruene","1996","maennlich","","","",""
"CDU/Buendnis90/Gruene","1996","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1996","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1996","weiblich","","","",""
"SPD/Die Linke","1996","maennlich","","","",""
"SPD/Die Linke","1996","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1996","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1996","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1996","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1996","weiblich","","","",""
"CDU/Die Linke","1996","maennlich","","","",""
"CDU/Die Linke","1996","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1996","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1996","weiblich","","","",""
"CSU/FDP","1996","maennlich","","","",""
"CSU/FDP","1996","weiblich","","","",""
"Gruene/FDP","1996","maennlich","","","",""
"Gruene/FDP","1996","weiblich","","","",""
"FDP/Die Linke","1996","maennlich","","","",""
"FDP/Die Linke","1996","weiblich","","","",""
"FDP/NPD","1996","maennlich","","","",""
"FDP/NPD","1996","weiblich","","","",""
"Piratenpartei","1996","maennlich","","","",""
"Piratenpartei","1996","weiblich","","","",""
"AfD","1996","maennlich","","","",""
"AfD","1996","weiblich","","","",""
"CDU+/oder CSU/AfD","1996","maennlich","","","",""
"CDU+/oder CSU/AfD","1996","weiblich","","","",""
"SPD/AfD","1996","maennlich","","","",""
"SPD/AfD","1996","weiblich","","","",""
"SPD","1997","maennlich","1171","0.43781976773095","0.419099477102821","0.456540058359079"
"SPD","1997","weiblich","972","0.401998823874836","0.382300783521858","0.421696864227814"
"CDU","1997","maennlich","832","0.313813291108511","0.296303380215312","0.33132320200171"
"CDU","1997","weiblich","804","0.356428462859738","0.337186728461513","0.375670197257963"
"CSU","1997","maennlich","189","0.0793970213586081","0.0691954890075474","0.0895985537096689"
"CSU","1997","weiblich","124","0.0597773130066996","0.0502527914208354","0.0693018345925638"
"FDP","1997","maennlich","56","0.0234244247523854","0.0177173374689814","0.0291315120357894"
"FDP","1997","weiblich","52","0.0274817110183504","0.0209137527390518","0.034049669297649"
"Buendnis90/Gruene","1997","maennlich","222","0.0807395133476989","0.070459599417596","0.0910194272778018"
"Buendnis90/Gruene","1997","weiblich","268","0.10624445615317","0.0938644139344799","0.11862449837186"
"Die Linke","1997","maennlich","122","0.0292183531911675","0.0228633501285303","0.0355733562538047"
"Die Linke","1997","weiblich","119","0.0305002884473359","0.0235917619462707","0.0374088149484011"
"NPD/Republikaner/Die Rechte","1997","maennlich","76","0.0263527873348218","0.0203085541707415","0.032397020498902"
"NPD/Republikaner/Die Rechte","1997","weiblich","","","",""
"Andere","1997","maennlich","30","0.00923484117585724","0.00562550614526133","0.0128441762064531"
"Andere","1997","weiblich","","","",""
"SPD/Buendnis90/Gruene","1997","maennlich","","","",""
"SPD/Buendnis90/Gruene","1997","weiblich","","","",""
"SPD/CDU","1997","maennlich","","","",""
"SPD/CDU","1997","weiblich","","","",""
"SPD/FDP","1997","maennlich","","","",""
"SPD/FDP","1997","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1997","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1997","weiblich","","","",""
"CDU/CSU","1997","maennlich","","","",""
"CDU/CSU","1997","weiblich","","","",""
"CDU/FDP","1997","maennlich","","","",""
"CDU/FDP","1997","weiblich","","","",""
"CDU/Buendnis90/Gruene","1997","maennlich","","","",""
"CDU/Buendnis90/Gruene","1997","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1997","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1997","weiblich","","","",""
"SPD/Die Linke","1997","maennlich","","","",""
"SPD/Die Linke","1997","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1997","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1997","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1997","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1997","weiblich","","","",""
"CDU/Die Linke","1997","maennlich","","","",""
"CDU/Die Linke","1997","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1997","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1997","weiblich","","","",""
"CSU/FDP","1997","maennlich","","","",""
"CSU/FDP","1997","weiblich","","","",""
"Gruene/FDP","1997","maennlich","","","",""
"Gruene/FDP","1997","weiblich","","","",""
"FDP/Die Linke","1997","maennlich","","","",""
"FDP/Die Linke","1997","weiblich","","","",""
"FDP/NPD","1997","maennlich","","","",""
"FDP/NPD","1997","weiblich","","","",""
"Piratenpartei","1997","maennlich","","","",""
"Piratenpartei","1997","weiblich","","","",""
"AfD","1997","maennlich","","","",""
"AfD","1997","weiblich","","","",""
"CDU+/oder CSU/AfD","1997","maennlich","","","",""
"CDU+/oder CSU/AfD","1997","weiblich","","","",""
"SPD/AfD","1997","maennlich","","","",""
"SPD/AfD","1997","weiblich","","","",""
"SPD","1998","maennlich","1456","0.461014498171363","0.443551381497212","0.478477614845515"
"SPD","1998","weiblich","1202","0.428875090028325","0.410272455682325","0.447477724374325"
"CDU","1998","maennlich","894","0.293944432136242","0.277984612374266","0.309904251898219"
"CDU","1998","weiblich","806","0.316423412174142","0.298942206523488","0.333904617824796"
"CSU","1998","maennlich","180","0.0616519346385956","0.0532257444315603","0.070078124845631"
"CSU","1998","weiblich","127","0.0540540852058551","0.0455546336840029","0.0625535367277074"
"FDP","1998","maennlich","69","0.0250041206087666","0.0195341737779031","0.0304740674396301"
"FDP","1998","weiblich","60","0.0291628789502619","0.0228382963098741","0.0354874615906496"
"Buendnis90/Gruene","1998","maennlich","228","0.0723515666153347","0.0632756269609577","0.0814275062697117"
"Buendnis90/Gruene","1998","weiblich","306","0.106304064676112","0.0947186038277655","0.117889525524458"
"Die Linke","1998","maennlich","130","0.0285597291358125","0.0227244583282699","0.034394999943355"
"Die Linke","1998","weiblich","121","0.0274221353700074","0.0212837194301037","0.033560551309911"
"NPD/Republikaner/Die Rechte","1998","maennlich","68","0.0213932711836763","0.0163243140422162","0.0264622283251363"
"NPD/Republikaner/Die Rechte","1998","weiblich","","","",""
"Andere","1998","maennlich","50","0.0173825035714241","0.0128039918291641","0.021961015313684"
"Andere","1998","weiblich","30","0.0126800785676964","0.00847442583485627","0.0168857313005365"
"SPD/Buendnis90/Gruene","1998","maennlich","","","",""
"SPD/Buendnis90/Gruene","1998","weiblich","","","",""
"SPD/CDU","1998","maennlich","","","",""
"SPD/CDU","1998","weiblich","","","",""
"SPD/FDP","1998","maennlich","","","",""
"SPD/FDP","1998","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1998","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1998","weiblich","","","",""
"CDU/CSU","1998","maennlich","","","",""
"CDU/CSU","1998","weiblich","","","",""
"CDU/FDP","1998","maennlich","","","",""
"CDU/FDP","1998","weiblich","","","",""
"CDU/Buendnis90/Gruene","1998","maennlich","","","",""
"CDU/Buendnis90/Gruene","1998","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1998","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1998","weiblich","","","",""
"SPD/Die Linke","1998","maennlich","","","",""
"SPD/Die Linke","1998","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1998","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1998","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1998","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1998","weiblich","","","",""
"CDU/Die Linke","1998","maennlich","","","",""
"CDU/Die Linke","1998","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1998","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1998","weiblich","","","",""
"CSU/FDP","1998","maennlich","","","",""
"CSU/FDP","1998","weiblich","","","",""
"Gruene/FDP","1998","maennlich","","","",""
"Gruene/FDP","1998","weiblich","","","",""
"FDP/Die Linke","1998","maennlich","","","",""
"FDP/Die Linke","1998","weiblich","","","",""
"FDP/NPD","1998","maennlich","","","",""
"FDP/NPD","1998","weiblich","","","",""
"Piratenpartei","1998","maennlich","","","",""
"Piratenpartei","1998","weiblich","","","",""
"AfD","1998","maennlich","","","",""
"AfD","1998","weiblich","","","",""
"CDU+/oder CSU/AfD","1998","maennlich","","","",""
"CDU+/oder CSU/AfD","1998","weiblich","","","",""
"SPD/AfD","1998","maennlich","","","",""
"SPD/AfD","1998","weiblich","","","",""
"SPD","1999","maennlich","1482","0.442679691794109","0.425783988162994","0.459575395425224"
"SPD","1999","weiblich","1275","0.420175536448054","0.402373076532497","0.437977996363611"
"CDU","1999","maennlich","1015","0.312075093948419","0.296314262639411","0.327835925257427"
"CDU","1999","weiblich","930","0.333355420345","0.316352743358595","0.350358097331406"
"CSU","1999","maennlich","243","0.082266013776966","0.072919542326885","0.091612485227047"
"CSU","1999","weiblich","180","0.0730337352536252","0.0636492579457289","0.0824182125615216"
"FDP","1999","maennlich","79","0.0259582667782179","0.0205494075659514","0.0313671259904843"
"FDP","1999","weiblich","56","0.0229471785172162","0.0175466030871979","0.0283477539472345"
"Buendnis90/Gruene","1999","maennlich","190","0.0561104878264043","0.0482822925324357","0.0639386831203729"
"Buendnis90/Gruene","1999","weiblich","230","0.0697691620165881","0.0605806859751844","0.0789576380579918"
"Die Linke","1999","maennlich","149","0.0316000286031887","0.0256495736608865","0.0375504835454908"
"Die Linke","1999","weiblich","155","0.0382894398715036","0.0313682929808579","0.0452105867621493"
"NPD/Republikaner/Die Rechte","1999","maennlich","61","0.0146670309226418","0.0105777997745464","0.0187562620707372"
"NPD/Republikaner/Die Rechte","1999","weiblich","","","",""
"Andere","1999","maennlich","44","0.0131993245440879","0.00931719858900084","0.0170814504991749"
"Andere","1999","weiblich","","","",""
"SPD/Buendnis90/Gruene","1999","maennlich","","","",""
"SPD/Buendnis90/Gruene","1999","weiblich","37","0.0130484421328216","0.00895542447800714","0.0171414597876362"
"SPD/CDU","1999","maennlich","","","",""
"SPD/CDU","1999","weiblich","","","",""
"SPD/FDP","1999","maennlich","","","",""
"SPD/FDP","1999","weiblich","","","",""
"SPD/DVU(Rep/NPD)","1999","maennlich","","","",""
"SPD/DVU(Rep/NPD)","1999","weiblich","","","",""
"CDU/CSU","1999","maennlich","","","",""
"CDU/CSU","1999","weiblich","","","",""
"CDU/FDP","1999","maennlich","","","",""
"CDU/FDP","1999","weiblich","","","",""
"CDU/Buendnis90/Gruene","1999","maennlich","","","",""
"CDU/Buendnis90/Gruene","1999","weiblich","","","",""
"Buendnis90/Gruene/Die Linke","1999","maennlich","","","",""
"Buendnis90/Gruene/Die Linke","1999","weiblich","","","",""
"SPD/Die Linke","1999","maennlich","","","",""
"SPD/Die Linke","1999","weiblich","","","",""
"Gruene/DVU(Rep/NPD)","1999","maennlich","","","",""
"Gruene/DVU(Rep/NPD)","1999","weiblich","","","",""
"Die Linke /DVU(Rep/NPD)","1999","maennlich","","","",""
"Die Linke /DVU(Rep/NPD)","1999","weiblich","","","",""
"CDU/Die Linke","1999","maennlich","","","",""
"CDU/Die Linke","1999","weiblich","","","",""
"CDU/DVU(Rep/NPD)","1999","maennlich","","","",""
"CDU/DVU(Rep/NPD)","1999","weiblich","","","",""
"CSU/FDP","1999","maennlich","","","",""
"CSU/FDP","1999","weiblich","","","",""
"Gruene/FDP","1999","maennlich","","","",""
"Gruene/FDP","1999","weiblich","","","",""
"FDP/Die Linke","1999","maennlich","","","",""
"FDP/Die Linke","1999","weiblich","","","",""
"FDP/NPD","1999","maennlich","","","",""
"FDP/NPD","1999","weiblich","","","",""
"Piratenpartei","1999","maennlich","","","",""
"Piratenpartei","1999","weiblich","","","",""
"AfD","1999","maennlich","","","",""
"AfD","1999","weiblich","","","",""
"CDU+/oder CSU/AfD","1999","maennlich","","","",""
"CDU+/oder CSU/AfD","1999","weiblich","","","",""
"SPD/AfD","1999","maennlich","","","",""
"SPD/AfD","1999","weiblich","","","",""
"SPD","2000","maennlich","2446","0.440761087070349","0.427751953890378","0.45377022025032"
"SPD","2000","weiblich","2157","0.423272495894292","0.40970188964109","0.436843102147493"
"CDU","2000","maennlich","1767","0.318268577951076","0.306063190135429","0.330473965766723"
"CDU","2000","weiblich","1671","0.331764682268512","0.318832146684524","0.344697217852499"
"CSU","2000","maennlich","392","0.0686574886601919","0.0620315606053337","0.0752834167150501"
"CSU","2000","weiblich","310","0.0661032517911139","0.0592788476603132","0.0729276559219145"
"FDP","2000","maennlich","158","0.0298370566127218","0.0253789712930198","0.0342951419324238"
