"pgoeffd","year","alter_gr","sampreg","n","percent","lower_confidence","upper_confidence"
"nein","2005","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","530","0.761951377805208","0.729893873481074","0.794008882129342"
"nein","2005","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4481","0.746208560578266","0.735366634356186","0.757050486800346"
"nein","2005","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1208","0.717339129259938","0.696223854091344","0.738454404428531"
"nein","2005","66 und älter","Westdeutschland, alte Bundeslaender","89","0.951888819745292","0.908395482213658","0.995382157276926"
"nein","2005","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2006","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","421","0.209905741361472","0.192302682238659","0.227508800484286"
"ja","2006","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","135","0.233576331505533","0.200949064075841","0.266203598935225"
"ja","2006","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1819","0.253576412513663","0.243004874745711","0.264147950281614"
"ja","2006","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","561","0.284074526358976","0.263372883589413","0.30477616912854"
"ja","2006","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2006","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2006","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1635","0.790094258638528","0.772491199515714","0.807697317761341"
"nein","2006","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","511","0.766423668494467","0.733796401064775","0.799050935924159"
"nein","2006","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4687","0.746423587486337","0.735852049718386","0.756995125254289"
"nein","2006","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1262","0.715925473641024","0.695223830871461","0.736627116410587"
"nein","2006","66 und älter","Westdeutschland, alte Bundeslaender","116","0.921390136191503","0.874210630566221","0.968569641816786"
"nein","2006","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2007","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","441","0.184635765003863","0.168564325118438","0.200707204889287"
"ja","2007","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","149","0.216607573602557","0.187340300125475","0.24587484707964"
"ja","2007","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1758","0.250028072485826","0.239490440380791","0.260565704590861"
"ja","2007","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","526","0.268661324293566","0.248418778791401","0.288903869795731"
"ja","2007","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2007","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2007","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1798","0.815364234996137","0.799292795110713","0.831435674881562"
"nein","2007","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","612","0.783392426397443","0.754125152920361","0.812659699874525"
"nein","2007","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4729","0.749971927514174","0.739434295409139","0.760509559619209"
"nein","2007","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1316","0.731338675706434","0.711096130204269","0.751581221208599"
"nein","2007","66 und älter","Westdeutschland, alte Bundeslaender","142","0.906301026218482","0.860424989147368","0.952177063289596"
"nein","2007","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2008","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","380","0.167394671489174","0.150752017972973","0.184037325005374"
"ja","2008","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","123","0.204752333402171","0.174013687792313","0.23549097901203"
"ja","2008","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1628","0.252952803423734","0.2419156986072","0.263989908240269"
"ja","2008","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","489","0.264312855466643","0.243563525441742","0.285062185491545"
"ja","2008","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2008","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2008","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1553","0.832605328510826","0.815962674994626","0.849247982027027"
"nein","2008","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","539","0.795247666597829","0.76450902098797","0.825986312207687"
"nein","2008","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4331","0.747047196576266","0.736010091759731","0.7580843013928"
"nein","2008","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1246","0.735687144533357","0.714937814508455","0.756436474558258"
"nein","2008","66 und älter","Westdeutschland, alte Bundeslaender","133","0.940539010667708","0.901642701725125","0.97943531961029"
"nein","2008","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2009","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","407","0.178880248795933","0.161821639162378","0.195938858429489"
"ja","2009","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","118","0.190639057558639","0.160324914470149","0.220953200647128"
"ja","2009","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","1532","0.246798585984374","0.235581189900941","0.258015982067807"
"ja","2009","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","478","0.264413031453437","0.243702919015761","0.285123143891113"
"ja","2009","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2009","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2009","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","1532","0.821119751204067","0.804061141570511","0.838178360837622"
"nein","2009","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","527","0.809360942441361","0.779046799352872","0.839675085529851"
"nein","2009","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","4143","0.753201414015626","0.741984017932193","0.764418810099059"
"nein","2009","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1264","0.735586968546563","0.714876856108887","0.756297080984239"
"nein","2009","66 und älter","Westdeutschland, alte Bundeslaender","181","0.909306336680444","0.869407049784367","0.94920562357652"
"nein","2009","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2010","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","519","0.187544226781302","0.172815037855485","0.202273415707118"
"ja","2010","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","151","0.199770010949753","0.17261824080683","0.226921781092676"
"ja","2010","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2004","0.253859849245349","0.244140764783979","0.263578933706719"
"ja","2010","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","510","0.26126064967169","0.242362597907823","0.280158701435557"
"ja","2010","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2010","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2010","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2179","0.812455773218698","0.797726584292882","0.827184962144515"
"nein","2010","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","682","0.800229989050247","0.773078218907324","0.82738175919317"
"nein","2010","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","5699","0.746140150754651","0.736421066293281","0.755859235216021"
"nein","2010","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1566","0.73873935032831","0.719841298564443","0.757637402092177"
"nein","2010","66 und älter","Westdeutschland, alte Bundeslaender","154","0.899785764882133","0.854512792821921","0.945058736942344"
"nein","2010","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2011","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","602","0.197937195642834","0.183750061620148","0.212124329665519"
"ja","2011","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","167","0.182962492010828","0.157992390579969","0.207932593441687"
"ja","2011","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2507","0.258788621166052","0.249985288131577","0.267591954200527"
"ja","2011","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","646","0.260413222388194","0.243116567599175","0.277709877177213"
"ja","2011","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2011","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2011","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2428","0.802062804357166","0.787875670334481","0.816249938379852"
"nein","2011","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","754","0.817037507989172","0.792067406558313","0.842007609420031"
"nein","2011","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","7001","0.741211378833948","0.732408045799473","0.750014711868423"
"nein","2011","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1827","0.739586777611806","0.722290122822787","0.756883432400825"
"nein","2011","66 und älter","Westdeutschland, alte Bundeslaender","155","0.876364374635385","0.828008163838145","0.924720585432625"
"nein","2011","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2012","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","563","0.20589972540053","0.191129306398797","0.220670144402262"
"ja","2012","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","146","0.196968398854639","0.16992805720931","0.224008740499968"
"ja","2012","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2483","0.257839795893485","0.248982953266954","0.266696638520015"
"ja","2012","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","644","0.259423576004079","0.242234935207033","0.276612216801124"
"ja","2012","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2012","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2012","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2316","0.79410027459947","0.779329855597738","0.808870693601203"
"nein","2012","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","685","0.803031601145361","0.775991259500032","0.83007194279069"
"nein","2012","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6888","0.742160204106515","0.733303361479985","0.751017046733046"
"nein","2012","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1854","0.740576423995921","0.723387783198876","0.757765064792967"
"nein","2012","66 und älter","Westdeutschland, alte Bundeslaender","147","0.857929976607524","0.805449136613625","0.910410816601423"
"nein","2012","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2013","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","732","0.210372882285376","0.197630291930723","0.22311547264003"
"ja","2013","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","169","0.223422587891407","0.195169835104807","0.251675340678007"
"ja","2013","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2546","0.265455716867821","0.256828557716186","0.274082876019455"
"ja","2013","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","634","0.264532254395475","0.246848671088795","0.282215837702155"
"ja","2013","66 und älter","Westdeutschland, alte Bundeslaender","","","",""
"ja","2013","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2013","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","3198","0.789627117714624","0.77688452735997","0.802369708069277"
"nein","2013","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","666","0.776577412108593","0.748324659321993","0.804830164895194"
"nein","2013","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","7518","0.734544283132179","0.725917123980545","0.743171442283814"
"nein","2013","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1756","0.735467745604525","0.717784162297845","0.753151328911205"
"nein","2013","66 und älter","Westdeutschland, alte Bundeslaender","110","0.805595477578946","0.738590451055698","0.872600504102193"
"nein","2013","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2014","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","660","0.231877353618462","0.217601013936022","0.246153693300903"
"ja","2014","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","132","0.21710786840381","0.186803723325321","0.2474120134823"
"ja","2014","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2372","0.272549966387747","0.263328166387969","0.281771766387525"
"ja","2014","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","557","0.252653074550132","0.234445677958659","0.270860471141605"
"ja","2014","66 und älter","Westdeutschland, alte Bundeslaender","30","0.18726495210025","0.128447327003751","0.24608257719675"
"ja","2014","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2014","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2697","0.768122646381538","0.753846306699098","0.782398986063978"
"nein","2014","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","579","0.78289213159619","0.7525879865177","0.813196276674679"
"nein","2014","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6584","0.727450033612253","0.718228233612475","0.736671833612031"
"nein","2014","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1631","0.747346925449868","0.729139528858395","0.765554322041341"
"nein","2014","66 und älter","Westdeutschland, alte Bundeslaender","139","0.81273504789975","0.75391742280325","0.871552672996249"
"nein","2014","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"ja","2015","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","614","0.215219532498792","0.201455910472892","0.228983154524693"
"ja","2015","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","147","0.18410197635149","0.155812323081657","0.212391629621322"
"ja","2015","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2323","0.272163134260861","0.262891964520255","0.281434304001467"
"ja","2015","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","530","0.248502651642018","0.229957935980806","0.267047367303231"
"ja","2015","66 und älter","Westdeutschland, alte Bundeslaender","35","0.179711430719633","0.122498233206058","0.236924628233209"
"ja","2015","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2015","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2811","0.784780467501208","0.771016845475307","0.798544089527108"
"nein","2015","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","574","0.81589802364851","0.787608370378678","0.844187676918343"
"nein","2015","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6530","0.727836865739139","0.718565695998533","0.737108035479745"
"nein","2015","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1556","0.751497348357982","0.732952632696769","0.770042064019194"
"nein","2015","66 und älter","Westdeutschland, alte Bundeslaender","138","0.820288569280367","0.763075371766791","0.877501766793942"
"nein","2015","66 und älter","Ostdeutschland, neue Bundeslaender","30","0.938978235059964","0.857308477521869","1.02064799259806"
"ja","2016","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","614","0.221764270579704","0.207284271666628","0.236244269492781"
"ja","2016","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","130","0.231609464252879","0.199153471544658","0.2640654569611"
"ja","2016","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2198","0.268894832661556","0.259369871571965","0.278419793751146"
"ja","2016","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","519","0.250152437900286","0.231431595050913","0.268873280749658"
"ja","2016","66 und älter","Westdeutschland, alte Bundeslaender","35","0.175535570570523","0.119649108251285","0.231422032889762"
"ja","2016","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2016","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2548","0.778235729420296","0.763755730507219","0.792715728333372"
"nein","2016","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","519","0.768390535747121","0.7359345430389","0.800846528455342"
"nein","2016","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6126","0.731105167338444","0.721580206248854","0.740630128428035"
"nein","2016","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1537","0.749847562099714","0.731126719250342","0.768568404949087"
"nein","2016","66 und älter","Westdeutschland, alte Bundeslaender","143","0.824464429429477","0.768577967110238","0.880350891748715"
"nein","2016","66 und älter","Ostdeutschland, neue Bundeslaender","31","0.854561993175239","0.737766842127417","0.97135714422306"
"ja","2017","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","734","0.225478706581585","0.212142518939206","0.238814894223964"
"ja","2017","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","139","0.182760803062318","0.155211963088684","0.210309643035953"
"ja","2017","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2514","0.267393760737985","0.258436385573252","0.276351135902717"
"ja","2017","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","590","0.266364567890356","0.248518330082634","0.284210805698077"
"ja","2017","66 und älter","Westdeutschland, alte Bundeslaender","44","0.159773204712776","0.110797679972202","0.20874872945335"
"ja","2017","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2017","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","3038","0.774521293418415","0.761185105776036","0.787857481060793"
"nein","2017","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","617","0.817239196937682","0.789690356964047","0.844788036911316"
"nein","2017","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6865","0.732606239262016","0.723648864097283","0.741563614426748"
"nein","2017","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1767","0.733635432109645","0.715789194301923","0.751481669917366"
"nein","2017","66 und älter","Westdeutschland, alte Bundeslaender","171","0.840226795287224","0.79125127054665","0.889202320027798"
"nein","2017","66 und älter","Ostdeutschland, neue Bundeslaender","38","0.883379720138886","0.786309906037224","0.980449534240548"
"ja","2018","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","734","0.229395335271773","0.215936778873108","0.242853891670438"
"ja","2018","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","136","0.20046208447866","0.172166375903654","0.228757793053666"
"ja","2018","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2387","0.277838002241323","0.268455187207596","0.287220817275051"
"ja","2018","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","567","0.268283717903618","0.250016921467035","0.2865505143402"
"ja","2018","66 und älter","Westdeutschland, alte Bundeslaender","42","0.156958303138065","0.108780975230287","0.205135631045843"
"ja","2018","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2018","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","3015","0.770604664728227","0.757146108329562","0.784063221126893"
"nein","2018","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","633","0.79953791552134","0.771242206946334","0.827833624096346"
"nein","2018","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6368","0.722161997758677","0.712779182724949","0.731544812792404"
"nein","2018","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1693","0.731716282096382","0.713449485659799","0.749983078532965"
"nein","2018","66 und älter","Westdeutschland, alte Bundeslaender","177","0.843041696861935","0.794864368954157","0.891219024769713"
"nein","2018","66 und älter","Ostdeutschland, neue Bundeslaender","33","0.855311304569598","0.74629348242552","0.964329126713676"
"ja","2019","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","716","0.243055200463505","0.228885478686084","0.257224922240925"
"ja","2019","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","119","0.186244694075322","0.157259891615955","0.215229496534688"
"ja","2019","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","2266","0.269999071474486","0.260568801857019","0.279429341091954"
"ja","2019","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","568","0.280084508148668","0.261303572405941","0.298865443891394"
"ja","2019","66 und älter","Westdeutschland, alte Bundeslaender","47","0.207505311536483","0.157237396114989","0.257773226957977"
"ja","2019","66 und älter","Ostdeutschland, neue Bundeslaender","","","",""
"nein","2019","16-34 Jahre alt","Westdeutschland, alte Bundeslaender","2804","0.756944799536495","0.742775077759075","0.771114521313916"
"nein","2019","16-34 Jahre alt","Ostdeutschland, neue Bundeslaender","574","0.813755305924678","0.784770503465312","0.842740108384045"
"nein","2019","35-65 Jahre alt","Westdeutschland, alte Bundeslaender","6248","0.730000928525514","0.720570658908046","0.739431198142981"
"nein","2019","35-65 Jahre alt","Ostdeutschland, neue Bundeslaender","1628","0.719915491851332","0.701134556108606","0.738696427594059"
"nein","2019","66 und älter","Westdeutschland, alte Bundeslaender","203","0.792494688463517","0.742226773042023","0.842762603885011"
"nein","2019","66 und älter","Ostdeutschland, neue Bundeslaender","51","0.826428192090195","0.729786563346124","0.923069820834266"
