"pgoeffd","year","migback","sex","n","percent","lower_confidence","upper_confidence"
"ja","2007","indirekter Migrationshintergrund","weiblich","60","0.212139747523415","0.16052483578899","0.26375465925784"
"nein","2007","kein Migrationshintergrund","maennlich","4043","0.780331138640919","0.769096440945477","0.791565836336361"
"nein","2007","kein Migrationshintergrund","weiblich","3272","0.716516638933546","0.703645571546152","0.72938770632094"
"nein","2007","direkter Migrationshintergrund","maennlich","521","0.922901143372094","0.901098169745417","0.94470411699877"
"nein","2007","direkter Migrationshintergrund","weiblich","373","0.762145524525473","0.72493731996779","0.799353729083156"
"nein","2007","indirekter Migrationshintergrund","maennlich","230","0.883264396170937","0.844456754986448","0.922072037355426"
"nein","2007","indirekter Migrationshintergrund","weiblich","181","0.787860252476585","0.73624534074216","0.83947516421101"
"ja","2008","kein Migrationshintergrund","maennlich","1066","0.221418466819893","0.209567160827792","0.233269772811994"
"ja","2008","kein Migrationshintergrund","weiblich","1321","0.279944896397276","0.266530177960629","0.293359614833923"
"ja","2008","direkter Migrationshintergrund","maennlich","48","0.0924878086589259","0.0672198079272484","0.117755809390603"
"ja","2008","direkter Migrationshintergrund","weiblich","118","0.211626012702585","0.174460530793145","0.248791494612024"
"ja","2008","indirekter Migrationshintergrund","maennlich","","","",""
"ja","2008","indirekter Migrationshintergrund","weiblich","50","0.179619545322311","0.128308210826062","0.23093087981856"
"nein","2008","kein Migrationshintergrund","maennlich","3649","0.778581533180107","0.766730227188006","0.790432839172208"
"nein","2008","kein Migrationshintergrund","weiblich","2982","0.720055103602724","0.706640385166077","0.733469822039371"
"nein","2008","direkter Migrationshintergrund","maennlich","457","0.907512191341074","0.882244190609397","0.932780192072752"
"nein","2008","direkter Migrationshintergrund","weiblich","346","0.788373987297415","0.751208505387976","0.825539469206855"
"nein","2008","indirekter Migrationshintergrund","maennlich","219","0.900867449460096","0.863523596438999","0.938211302481192"
"nein","2008","indirekter Migrationshintergrund","weiblich","165","0.820380454677689","0.76906912018144","0.871691789173938"
"ja","2009","kein Migrationshintergrund","maennlich","984","0.202806743765715","0.19116050275143","0.21445298478"
"ja","2009","kein Migrationshintergrund","weiblich","1322","0.284312252714993","0.270849993729789","0.297774511700197"
"ja","2009","direkter Migrationshintergrund","maennlich","49","0.124015039728977","0.0931478892564053","0.154882190201549"
"ja","2009","direkter Migrationshintergrund","weiblich","120","0.220588102567682","0.181844829215683","0.25933137591968"
"ja","2009","indirekter Migrationshintergrund","maennlich","31","0.0822980852009994","0.0474567471896158","0.117139423212383"
"ja","2009","indirekter Migrationshintergrund","weiblich","48","0.220346702898576","0.165199655857502","0.27549374993965"
"nein","2009","kein Migrationshintergrund","maennlich","3595","0.797193256234285","0.78554701522","0.80883949724857"
"nein","2009","kein Migrationshintergrund","weiblich","2991","0.715687747285007","0.702225488299803","0.729150006270211"
"nein","2009","direkter Migrationshintergrund","maennlich","389","0.875984960271023","0.845117809798451","0.906852110743595"
"nein","2009","direkter Migrationshintergrund","weiblich","320","0.779411897432318","0.740668624080319","0.818155170784317"
"nein","2009","indirekter Migrationshintergrund","maennlich","208","0.917701914799001","0.882860576787617","0.952543252810384"
"nein","2009","indirekter Migrationshintergrund","weiblich","169","0.779653297101424","0.72450625006035","0.834800344142498"
"ja","2010","kein Migrationshintergrund","maennlich","1243","0.216508253135748","0.205991754666275","0.227024751605222"
"ja","2010","kein Migrationshintergrund","weiblich","1628","0.286507355812916","0.274596254552979","0.298418457072853"
"ja","2010","direkter Migrationshintergrund","maennlich","78","0.101183786409295","0.0809221637266313","0.12144540909196"
"ja","2010","direkter Migrationshintergrund","weiblich","140","0.21392108154912","0.180888150935917","0.246954012162322"
"ja","2010","indirekter Migrationshintergrund","maennlich","52","0.11215959207316","0.0790524996215547","0.145266684524764"
"ja","2010","indirekter Migrationshintergrund","weiblich","61","0.263420346524911","0.211640565377601","0.315200127672222"
"nein","2010","kein Migrationshintergrund","maennlich","4649","0.783491746864251","0.772975248394778","0.794008245333725"
"nein","2010","kein Migrationshintergrund","weiblich","3907","0.713492644187084","0.701581542927147","0.725403745447021"
"nein","2010","direkter Migrationshintergrund","maennlich","773","0.898816213590705","0.87855459090804","0.919077836273369"
"nein","2010","direkter Migrationshintergrund","weiblich","452","0.78607891845088","0.753045987837678","0.819111849064083"
"nein","2010","indirekter Migrationshintergrund","maennlich","297","0.88784040792684","0.854733315475235","0.920947500378445"
"nein","2010","indirekter Migrationshintergrund","weiblich","217","0.736579653475089","0.684799872327778","0.788359434622399"
"ja","2011","kein Migrationshintergrund","maennlich","1499","0.220349526269097","0.210499535775441","0.230199516762754"
"ja","2011","kein Migrationshintergrund","weiblich","2047","0.290083871207389","0.279351436362853","0.300816306051926"
"ja","2011","direkter Migrationshintergrund","maennlich","80","0.103402049761159","0.0834540195090791","0.123350080013239"
"ja","2011","direkter Migrationshintergrund","weiblich","171","0.222655844663691","0.193422264123159","0.251889425204223"
"ja","2011","indirekter Migrationshintergrund","maennlich","51","0.120267960622496","0.0884710268468936","0.152064894398097"
"ja","2011","indirekter Migrationshintergrund","weiblich","98","0.294522044187954","0.248989873709041","0.340054214666867"
"nein","2011","kein Migrationshintergrund","maennlich","5303","0.779650473730903","0.769800483237246","0.789500464224559"
"nein","2011","kein Migrationshintergrund","weiblich","4821","0.709916128792611","0.699183693948074","0.720648563637147"
"nein","2011","direkter Migrationshintergrund","maennlich","815","0.896597950238841","0.876649919986761","0.916545980490921"
"nein","2011","direkter Migrationshintergrund","weiblich","607","0.777344155336309","0.748110574795777","0.806577735876841"
"nein","2011","indirekter Migrationshintergrund","maennlich","351","0.879732039377504","0.847935105601902","0.911528973153106"
"nein","2011","indirekter Migrationshintergrund","weiblich","287","0.705477955812046","0.659945785333133","0.751010126290959"
"ja","2012","kein Migrationshintergrund","maennlich","1430","0.224510451137762","0.214349511413289","0.234671390862236"
"ja","2012","kein Migrationshintergrund","weiblich","2021","0.298607873628972","0.28771846649268","0.309497280765264"
"ja","2012","direkter Migrationshintergrund","maennlich","75","0.086301292852522","0.0679350603106781","0.104667525394366"
"ja","2012","direkter Migrationshintergrund","weiblich","187","0.243331760244736","0.213708509019921","0.272955011469551"
"ja","2012","indirekter Migrationshintergrund","maennlich","58","0.127310700126126","0.0953950747786334","0.159226325473619"
"ja","2012","indirekter Migrationshintergrund","weiblich","89","0.225810903147735","0.183936880531617","0.267684925763853"
"nein","2012","kein Migrationshintergrund","maennlich","5048","0.775489548862238","0.765328609137764","0.785650488586711"
"nein","2012","kein Migrationshintergrund","weiblich","4764","0.701392126371028","0.690502719234736","0.712281533507319"
"nein","2012","direkter Migrationshintergrund","maennlich","823","0.913698707147478","0.895332474605634","0.932064939689322"
"nein","2012","direkter Migrationshintergrund","weiblich","619","0.756668239755264","0.727044988530449","0.786291490980079"
"nein","2012","indirekter Migrationshintergrund","maennlich","361","0.872689299873874","0.840773674526381","0.904604925221367"
"nein","2012","indirekter Migrationshintergrund","weiblich","294","0.774189096852265","0.732315074236147","0.816063119468383"
"ja","2013","kein Migrationshintergrund","maennlich","1324","0.226168139437005","0.215464239156687","0.236872039717323"
"ja","2013","kein Migrationshintergrund","weiblich","2037","0.319175715581433","0.307816143937589","0.330535287225276"
"ja","2013","direkter Migrationshintergrund","maennlich","157","0.0885978992037308","0.0758607900152626","0.101335008392199"
"ja","2013","direkter Migrationshintergrund","weiblich","371","0.229197055512109","0.20990266980162","0.248491441222599"
"ja","2013","indirekter Migrationshintergrund","maennlich","78","0.139521281624157","0.11347870623783","0.165563857010484"
"ja","2013","indirekter Migrationshintergrund","weiblich","141","0.236891633673144","0.2034513263609","0.270331940985388"
"nein","2013","kein Migrationshintergrund","maennlich","4544","0.773831860562995","0.763127960282677","0.784535760843313"
"nein","2013","kein Migrationshintergrund","weiblich","4432","0.680824284418568","0.669464712774724","0.692183856062411"
"nein","2013","direkter Migrationshintergrund","maennlich","1755","0.911402100796269","0.898664991607801","0.924139209984737"
"nein","2013","direkter Migrationshintergrund","weiblich","1452","0.770802944487891","0.751508558777401","0.79009733019838"
"nein","2013","indirekter Migrationshintergrund","maennlich","602","0.860478718375843","0.834436142989516","0.88652129376217"
"nein","2013","indirekter Migrationshintergrund","weiblich","480","0.763108366326856","0.729668059014612","0.7965486736391"
"ja","2014","kein Migrationshintergrund","maennlich","1228","0.232642860587854","0.221326364251844","0.243959356923864"
"ja","2014","kein Migrationshintergrund","weiblich","1870","0.317954875118294","0.306069255538339","0.32984049469825"
"ja","2014","direkter Migrationshintergrund","maennlich","138","0.116393525423351","0.10043340925237","0.132353641594331"
"ja","2014","direkter Migrationshintergrund","weiblich","303","0.241311043364191","0.219430521643639","0.263191565084743"
"ja","2014","indirekter Migrationshintergrund","maennlich","69","0.143741668082267","0.114606720647189","0.172876615517344"
"ja","2014","indirekter Migrationshintergrund","weiblich","146","0.314464185700494","0.276677851279758","0.352250520121229"
"nein","2014","kein Migrationshintergrund","maennlich","4127","0.767357139412146","0.756040643076135","0.778673635748156"
"nein","2014","kein Migrationshintergrund","weiblich","4027","0.682045124881706","0.67015950530175","0.693930744461662"
"nein","2014","direkter Migrationshintergrund","maennlich","1413","0.883606474576649","0.867646358405669","0.89956659074763"
"nein","2014","direkter Migrationshintergrund","weiblich","1166","0.758688956635809","0.736808434915257","0.780569478356361"
"nein","2014","indirekter Migrationshintergrund","maennlich","488","0.856258331917733","0.827123384482656","0.885393279352811"
"nein","2014","indirekter Migrationshintergrund","weiblich","434","0.685535814299506","0.647749479878771","0.723322148720242"
"ja","2015","kein Migrationshintergrund","maennlich","1171","0.222582400779939","0.211130975580953","0.234033825978926"
"ja","2015","kein Migrationshintergrund","weiblich","1825","0.323610242726793","0.311402336324841","0.335818149128745"
"ja","2015","direkter Migrationshintergrund","maennlich","148","0.0855059717821763","0.0727704641535493","0.0982414794108034"
"ja","2015","direkter Migrationshintergrund","weiblich","311","0.226442675529051","0.206435323001428","0.246450028056673"
"ja","2015","indirekter Migrationshintergrund","maennlich","72","0.152535440765498","0.12180977003276","0.183261111498235"
"ja","2015","indirekter Migrationshintergrund","weiblich","125","0.286513180802037","0.24768969648989","0.325336665114183"
"nein","2015","kein Migrationshintergrund","maennlich","3898","0.77741759922006","0.765966174021074","0.788869024419047"
"nein","2015","kein Migrationshintergrund","weiblich","3817","0.676389757273207","0.664181850871255","0.688597663675159"
"nein","2015","direkter Migrationshintergrund","maennlich","1704","0.914494028217824","0.901758520589196","0.927229535846451"
"nein","2015","direkter Migrationshintergrund","weiblich","1370","0.773557324470949","0.753549971943327","0.793564676998572"
"nein","2015","indirekter Migrationshintergrund","maennlich","454","0.847464559234502","0.816738888501765","0.878190229967239"
"nein","2015","indirekter Migrationshintergrund","weiblich","396","0.713486819197964","0.674663334885817","0.75231030351011"
"ja","2016","kein Migrationshintergrund","maennlich","1094","0.228366262641207","0.216349821444682","0.240382703837732"
"ja","2016","kein Migrationshintergrund","weiblich","1716","0.321706270752342","0.309145483863467","0.334267057641217"
"ja","2016","direkter Migrationshintergrund","maennlich","184","0.109463250289588","0.0952932856732405","0.123633214905936"
"ja","2016","direkter Migrationshintergrund","weiblich","294","0.191226171713486","0.171481822783888","0.210970520643085"
"ja","2016","indirekter Migrationshintergrund","maennlich","82","0.198214763765622","0.162772048684415","0.23365747884683"
"ja","2016","indirekter Migrationshintergrund","weiblich","130","0.295964070501805","0.257028365995708","0.334899775007902"
"nein","2016","kein Migrationshintergrund","maennlich","3594","0.771633737358793","0.759617296162268","0.783650178555318"
"nein","2016","kein Migrationshintergrund","weiblich","3597","0.678293729247658","0.665732942358783","0.690854516136533"
"nein","2016","direkter Migrationshintergrund","maennlich","1681","0.890536749710412","0.876366785094064","0.90470671432676"
"nein","2016","direkter Migrationshintergrund","weiblich","1230","0.808773828286514","0.789029479356915","0.828518177216112"
"nein","2016","indirekter Migrationshintergrund","maennlich","404","0.801785236234378","0.76634252115317","0.837227951315585"
"nein","2016","indirekter Migrationshintergrund","weiblich","398","0.704035929498195","0.665100224992098","0.742971634004292"
"ja","2017","kein Migrationshintergrund","maennlich","1291","0.226790522530977","0.21580614851197","0.237774896549985"
"ja","2017","kein Migrationshintergrund","weiblich","2029","0.319167551602271","0.307570790587164","0.330764312617377"
"ja","2017","direkter Migrationshintergrund","maennlich","186","0.106204573417384","0.0930490995353233","0.119360047299445"
"ja","2017","direkter Migrationshintergrund","weiblich","285","0.21714724208269","0.196399420603891","0.237895063561489"
"ja","2017","indirekter Migrationshintergrund","maennlich","81","0.15675105551225","0.125651686366888","0.187850424657612"
"ja","2017","indirekter Migrationshintergrund","weiblich","153","0.29726346477789","0.260131012382665","0.334395917173114"
"nein","2017","kein Migrationshintergrund","maennlich","4292","0.773209477469023","0.762225103450015","0.78419385148803"
"nein","2017","kein Migrationshintergrund","weiblich","4178","0.680832448397729","0.669235687382623","0.692429209412836"
"nein","2017","direkter Migrationshintergrund","maennlich","1921","0.893795426582616","0.880639952700555","0.906950900464677"
"nein","2017","direkter Migrationshintergrund","weiblich","1232","0.78285275791731","0.762104936438511","0.803600579396109"
"nein","2017","indirekter Migrationshintergrund","maennlich","444","0.84324894448775","0.812149575342388","0.874348313633112"
"nein","2017","indirekter Migrationshintergrund","weiblich","429","0.70273653522211","0.665604082826886","0.739868987617335"
"ja","2018","kein Migrationshintergrund","maennlich","1222","0.239512846204845","0.227878146676277","0.251147545733413"
"ja","2018","kein Migrationshintergrund","weiblich","1899","0.323321794360099","0.311286192480326","0.335357396239872"
"ja","2018","direkter Migrationshintergrund","maennlich","215","0.131763351445725","0.117668130014904","0.145858572876545"
"ja","2018","direkter Migrationshintergrund","weiblich","303","0.233649978977012","0.212228782009139","0.255071175944885"
"ja","2018","indirekter Migrationshintergrund","maennlich","86","0.153262692467756","0.122708554483286","0.183816830452226"
"ja","2018","indirekter Migrationshintergrund","weiblich","148","0.281486855126705","0.244760040099923","0.318213670153487"
"nein","2018","kein Migrationshintergrund","maennlich","3947","0.760487153795155","0.748852454266587","0.772121853323723"
"nein","2018","kein Migrationshintergrund","weiblich","3903","0.676678205639901","0.664642603760128","0.688713807519674"
"nein","2018","direkter Migrationshintergrund","maennlich","1997","0.868236648554276","0.854141427123455","0.882331869985096"
"nein","2018","direkter Migrationshintergrund","weiblich","1196","0.766350021022988","0.744928824055115","0.787771217990861"
"nein","2018","indirekter Migrationshintergrund","maennlich","448","0.846737307532244","0.816183169547774","0.877291445516714"
"nein","2018","indirekter Migrationshintergrund","weiblich","428","0.718513144873295","0.681786329846513","0.755239959900077"
"ja","2019","kein Migrationshintergrund","maennlich","1179","0.237697467433156","0.225916293144605","0.249478641721707"
"ja","2019","kein Migrationshintergrund","weiblich","1838","0.324080290218641","0.312011304535419","0.336149275901863"
"ja","2019","direkter Migrationshintergrund","maennlich","178","0.120811026923413","0.106828641453595","0.134793412393231"
"ja","2019","direkter Migrationshintergrund","weiblich","293","0.244360894143663","0.221275774548521","0.267446013738804"
"ja","2019","indirekter Migrationshintergrund","maennlich","87","0.178581880340326","0.144875812708463","0.212287947972189"
"ja","2019","indirekter Migrationshintergrund","weiblich","159","0.283861415881377","0.246749935346718","0.320972896416037"
"nein","2019","kein Migrationshintergrund","maennlich","3836","0.762302532566844","0.750521358278293","0.774083706855395"
"nein","2019","kein Migrationshintergrund","weiblich","3939","0.675919709781359","0.663850724098137","0.687988695464581"
"nein","2019","direkter Migrationshintergrund","maennlich","1909","0.879188973076587","0.865206587606769","0.893171358546405"
"nein","2019","direkter Migrationshintergrund","weiblich","1038","0.755639105856337","0.732553986261196","0.778724225451479"
"nein","2019","indirekter Migrationshintergrund","maennlich","409","0.821418119659674","0.787712052027811","0.855124187291537"
"nein","2019","indirekter Migrationshintergrund","weiblich","408","0.716138584118623","0.679027103583963","0.753250064653282"
