year,quintil_oecd,sampreg,plb0021,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2008,4th Quintile,West,No,0.97915,2991,3063,0.97409,0.98421
2008,4th Quintile,East,Yes,0.02926,32,814,0.01768,0.04085
2008,4th Quintile,East,No,0.97074,782,814,0.95915,0.98232
2008,5th Quintile,West,Yes,0.01420,58,4545,0.01076,0.01764
2008,5th Quintile,West,No,0.98580,4487,4545,0.98236,0.98924
2008,5th Quintile,East,No,0.98184,707,707,0.97199,0.99169
2009,1st Quintile,West,Yes,0.16500,299,1941,0.14848,0.18152
2009,1st Quintile,West,No,0.83500,1642,1941,0.81848,0.85152
2009,1st Quintile,East,Yes,0.31243,273,927,0.28258,0.34228
2009,1st Quintile,East,No,0.68757,654,927,0.65772,0.71742
2009,2nd Quintile,West,Yes,0.05538,111,2094,0.04558,0.06518
2009,2nd Quintile,West,No,0.94462,1983,2094,0.93482,0.95442
2009,2nd Quintile,East,Yes,0.10798,96,1068,0.08936,0.12661
2009,2nd Quintile,East,No,0.89202,972,1068,0.87339,0.91064
2009,3rd Quintile,West,Yes,0.03249,69,2331,0.02529,0.03969
2009,3rd Quintile,West,No,0.96751,2262,2331,0.96031,0.97471
2009,3rd Quintile,East,Yes,0.05438,61,1075,0.04082,0.06794
2009,3rd Quintile,East,No,0.94562,1014,1075,0.93206,0.95918
2009,4th Quintile,West,Yes,0.02753,65,2967,0.02164,0.03341
2009,4th Quintile,West,No,0.97247,2902,2967,0.96659,0.97836
2009,4th Quintile,East,No,0.95867,774,774,0.94464,0.97270
2009,5th Quintile,West,Yes,0.01324,56,4138,0.00976,0.01672
2009,5th Quintile,West,No,0.98676,4082,4138,0.98328,0.99024
2009,5th Quintile,East,No,0.98335,656,656,0.97355,0.99315
2010,1st Quintile,West,Yes,0.16151,294,1762,0.14433,0.17870
2010,1st Quintile,West,No,0.83849,1468,1762,0.82130,0.85567
2010,1st Quintile,East,Yes,0.29833,238,813,0.26686,0.32980
2010,1st Quintile,East,No,0.70167,575,813,0.67020,0.73314
2010,2nd Quintile,West,Yes,0.05239,92,1940,0.04247,0.06230
2010,2nd Quintile,West,No,0.94761,1848,1940,0.93770,0.95753
2010,2nd Quintile,East,Yes,0.06251,73,1072,0.04801,0.07701
2010,2nd Quintile,East,No,0.93749,999,1072,0.92299,0.95199
2010,3rd Quintile,West,Yes,0.04081,78,2302,0.03273,0.04890
2010,3rd Quintile,West,No,0.95919,2224,2302,0.95110,0.96727
2010,3rd Quintile,East,Yes,0.05045,42,905,0.03618,0.06472
2010,3rd Quintile,East,No,0.94955,863,905,0.93528,0.96382
2010,4th Quintile,West,Yes,0.02105,60,2713,0.01565,0.02646
2010,4th Quintile,West,No,0.97895,2653,2713,0.97354,0.98435
2010,4th Quintile,East,No,0.97659,733,733,0.96564,0.98755
2010,5th Quintile,West,Yes,0.01393,57,3796,0.01020,0.01766
2010,5th Quintile,West,No,0.98607,3739,3796,0.98234,0.98980
2010,5th Quintile,East,No,0.98383,561,561,0.97338,0.99428
2011,1st Quintile,West,Yes,0.16274,619,3206,0.14996,0.17552
2011,1st Quintile,West,No,0.83726,2587,3206,0.82448,0.85004
2011,1st Quintile,East,Yes,0.30160,456,1384,0.27741,0.32579
2011,1st Quintile,East,No,0.69840,928,1384,0.67421,0.72259
2011,2nd Quintile,West,Yes,0.03642,149,3034,0.02976,0.04309
2011,2nd Quintile,West,No,0.96358,2885,3034,0.95691,0.97024
2011,2nd Quintile,East,Yes,0.05689,79,1290,0.04424,0.06953
2011,2nd Quintile,East,No,0.94311,1211,1290,0.93047,0.95576
2011,3rd Quintile,West,Yes,0.02749,76,3097,0.02173,0.03325
2011,3rd Quintile,West,No,0.97251,3021,3097,0.96675,0.97827
2011,3rd Quintile,East,Yes,0.02611,43,1028,0.01635,0.03586
2011,3rd Quintile,East,No,0.97389,985,1028,0.96414,0.98365
2011,4th Quintile,West,Yes,0.01317,49,3309,0.00928,0.01705
2011,4th Quintile,West,No,0.98683,3260,3309,0.98295,0.99072
2011,4th Quintile,East,No,0.95564,794,794,0.94131,0.96997
2011,5th Quintile,West,Yes,0.01200,51,4158,0.00869,0.01532
2011,5th Quintile,West,No,0.98800,4107,4158,0.98468,0.99131
2011,5th Quintile,East,No,0.99172,556,556,0.98418,0.99926
2012,1st Quintile,West,Yes,0.16052,718,3822,0.14888,0.17216
2012,1st Quintile,West,No,0.83948,3104,3822,0.82784,0.85112
2012,1st Quintile,East,Yes,0.31613,525,1507,0.29264,0.33961
2012,1st Quintile,East,No,0.68387,982,1507,0.66039,0.70736
2012,2nd Quintile,West,Yes,0.04575,188,3685,0.03900,0.05249
2012,2nd Quintile,West,No,0.95425,3497,3685,0.94751,0.96100
2012,2nd Quintile,East,Yes,0.06461,94,1263,0.05105,0.07817
2012,2nd Quintile,East,No,0.93539,1169,1263,0.92183,0.94895
2012,3rd Quintile,West,Yes,0.03044,103,3606,0.02483,0.03605
2012,3rd Quintile,West,No,0.96956,3503,3606,0.96395,0.97517
2012,3rd Quintile,East,Yes,0.03757,53,1230,0.02694,0.04820
2012,3rd Quintile,East,No,0.96243,1177,1230,0.95180,0.97306
2012,4th Quintile,West,Yes,0.01478,57,3832,0.01095,0.01860
2012,4th Quintile,West,No,0.98522,3775,3832,0.98140,0.98905
2012,4th Quintile,East,No,0.98101,960,960,0.97237,0.98965
2012,5th Quintile,West,Yes,0.00712,38,4496,0.00466,0.00958
2012,5th Quintile,West,No,0.99288,4458,4496,0.99042,0.99534
2012,5th Quintile,East,No,0.97709,755,755,0.96641,0.98777
2013,1st Quintile,West,Yes,0.15809,723,3623,0.14621,0.16997
2013,1st Quintile,West,No,0.84191,2900,3623,0.83003,0.85379
2013,1st Quintile,East,Yes,0.27006,471,1542,0.24790,0.29223
2013,1st Quintile,East,No,0.72994,1071,1542,0.70777,0.75210
2013,2nd Quintile,West,Yes,0.04937,197,3752,0.04243,0.05630
2013,2nd Quintile,West,No,0.95063,3555,3752,0.94370,0.95757
2013,2nd Quintile,East,Yes,0.05503,88,1492,0.04345,0.06660
2013,2nd Quintile,East,No,0.94497,1404,1492,0.93340,0.95655
2013,3rd Quintile,West,Yes,0.02860,100,3747,0.02327,0.03394
2013,3rd Quintile,West,No,0.97140,3647,3747,0.96606,0.97673
2013,3rd Quintile,East,Yes,0.03897,53,1155,0.02780,0.05013
2013,3rd Quintile,East,No,0.96103,1102,1155,0.94987,0.97220
2013,4th Quintile,West,Yes,0.01578,64,3966,0.01190,0.01966
2013,4th Quintile,West,No,0.98422,3902,3966,0.98034,0.98810
2013,4th Quintile,East,No,0.98656,877,877,0.97893,0.99418
2013,5th Quintile,West,Yes,0.00816,42,4855,0.00563,0.01069
2013,5th Quintile,West,No,0.99184,4813,4855,0.98931,0.99437
2013,5th Quintile,East,No,0.99642,647,647,0.99182,1.00103
2014,1st Quintile,West,Yes,0.16803,897,4388,0.15696,0.17909
2014,1st Quintile,West,No,0.83197,3491,4388,0.82091,0.84304
2014,1st Quintile,East,Yes,0.30175,448,1433,0.27798,0.32552
2014,1st Quintile,East,No,0.69825,985,1433,0.67448,0.72202
2014,2nd Quintile,West,Yes,0.05679,239,4123,0.04972,0.06385
2014,2nd Quintile,West,No,0.94321,3884,4123,0.93615,0.95028
2014,2nd Quintile,East,Yes,0.07247,99,1395,0.05886,0.08608
2014,2nd Quintile,East,No,0.92753,1296,1395,0.91392,0.94114
2014,3rd Quintile,West,Yes,0.02371,113,3990,0.01899,0.02844
2014,3rd Quintile,West,No,0.97629,3877,3990,0.97156,0.98101
2014,3rd Quintile,East,Yes,0.02774,36,1174,0.01834,0.03714
2014,3rd Quintile,East,No,0.97226,1138,1174,0.96286,0.98166
2014,4th Quintile,West,Yes,0.01532,73,4234,0.01162,0.01902
2014,4th Quintile,West,No,0.98468,4161,4234,0.98098,0.98838
2014,4th Quintile,East,No,0.97715,907,907,0.96742,0.98688
2014,5th Quintile,West,Yes,0.01107,48,4753,0.00809,0.01404
2014,5th Quintile,West,No,0.98893,4705,4753,0.98596,0.99191
2014,5th Quintile,East,No,0.98676,641,641,0.97790,0.99561
2015,1st Quintile,West,Yes,0.18380,779,3824,0.17152,0.19608
2015,1st Quintile,West,No,0.81620,3045,3824,0.80392,0.82848
2015,1st Quintile,East,Yes,0.29372,401,1303,0.26898,0.31846
2015,1st Quintile,East,No,0.70628,902,1303,0.68154,0.73102
2015,2nd Quintile,West,Yes,0.04958,193,3785,0.04266,0.05649
2015,2nd Quintile,West,No,0.95042,3592,3785,0.94351,0.95734
2015,2nd Quintile,East,Yes,0.05206,89,1482,0.04074,0.06337
2015,2nd Quintile,East,No,0.94794,1393,1482,0.93663,0.95926
2015,3rd Quintile,West,Yes,0.01903,99,3805,0.01469,0.02338
2015,3rd Quintile,West,No,0.98097,3706,3805,0.97662,0.98531
2015,3rd Quintile,East,Yes,0.02764,33,1048,0.01771,0.03757
2015,3rd Quintile,East,No,0.97236,1015,1048,0.96243,0.98229
2015,4th Quintile,West,Yes,0.01888,59,3945,0.01463,0.02313
2015,4th Quintile,West,No,0.98112,3886,3945,0.97687,0.98537
2015,4th Quintile,East,No,0.98716,809,809,0.97940,0.99493
2015,5th Quintile,West,Yes,0.00976,46,4508,0.00689,0.01263
2015,5th Quintile,West,No,0.99024,4462,4508,0.98737,0.99311
2015,5th Quintile,East,No,0.99075,602,602,0.98309,0.99840
2016,1st Quintile,West,Yes,0.18494,805,3788,0.17258,0.19731
2016,1st Quintile,West,No,0.81506,2983,3788,0.80269,0.82742
2016,1st Quintile,East,Yes,0.31316,381,1268,0.28762,0.33869
2016,1st Quintile,East,No,0.68684,887,1268,0.66131,0.71238
2016,2nd Quintile,West,Yes,0.04870,192,3744,0.04180,0.05559
2016,2nd Quintile,West,No,0.95130,3552,3744,0.94441,0.95820
2016,2nd Quintile,East,Yes,0.04727,69,1346,0.03592,0.05861
2016,2nd Quintile,East,No,0.95273,1277,1346,0.94139,0.96408
2016,3rd Quintile,West,Yes,0.01645,78,3558,0.01227,0.02063
2016,3rd Quintile,West,No,0.98355,3480,3558,0.97937,0.98773
2016,3rd Quintile,East,No,0.98233,1039,1039,0.97431,0.99034
2016,4th Quintile,West,Yes,0.01451,60,3844,0.01073,0.01829
2016,4th Quintile,West,No,0.98549,3784,3844,0.98171,0.98927
2016,4th Quintile,East,No,0.99004,784,784,0.98308,0.99699
2016,5th Quintile,West,Yes,0.01259,47,4310,0.00926,0.01592
2016,5th Quintile,West,No,0.98741,4263,4310,0.98408,0.99074
2016,5th Quintile,East,No,0.99185,554,554,0.98435,0.99934
2017,1st Quintile,West,Yes,0.18198,1306,4767,0.17102,0.19293
2017,1st Quintile,West,No,0.81802,3461,4767,0.80707,0.82898
2017,1st Quintile,East,Yes,0.27665,438,1440,0.25354,0.29976
2017,1st Quintile,East,No,0.72335,1002,1440,0.70024,0.74646
2017,2nd Quintile,West,Yes,0.04016,207,3595,0.03374,0.04657
2017,2nd Quintile,West,No,0.95984,3388,3595,0.95343,0.96626
2017,2nd Quintile,East,Yes,0.02864,70,1305,0.01959,0.03770
2017,2nd Quintile,East,No,0.97136,1235,1305,0.96230,0.98041
2017,3rd Quintile,West,Yes,0.02064,95,3436,0.01588,0.02539
2017,3rd Quintile,West,No,0.97936,3341,3436,0.97461,0.98412
2017,3rd Quintile,East,No,0.99076,984,984,0.98478,0.99674
2017,4th Quintile,West,Yes,0.01144,44,3651,0.00799,0.01489
2017,4th Quintile,West,No,0.98856,3607,3651,0.98511,0.99201
2017,4th Quintile,East,No,0.98707,700,700,0.97869,0.99544
2017,5th Quintile,West,Yes,0.00990,37,3984,0.00683,0.01297
2017,5th Quintile,West,No,0.99010,3947,3984,0.98703,0.99317
2017,5th Quintile,East,No,0.99463,565,565,0.98860,1.00066
2018,1st Quintile,West,Yes,0.19229,1430,5509,0.18188,0.20270
2018,1st Quintile,West,No,0.80771,4079,5509,0.79730,0.81812
2018,1st Quintile,East,Yes,0.22528,484,1643,0.20508,0.24549
2018,1st Quintile,East,No,0.77472,1159,1643,0.75451,0.79492
2018,2nd Quintile,West,Yes,0.03312,247,3866,0.02748,0.03876
2018,2nd Quintile,West,No,0.96688,3619,3866,0.96124,0.97252
2018,2nd Quintile,East,Yes,0.04254,88,1452,0.03216,0.05292
2018,2nd Quintile,East,No,0.95746,1364,1452,0.94708,0.96784
2018,3rd Quintile,West,Yes,0.01870,115,3750,0.01436,0.02303
2018,3rd Quintile,West,No,0.98130,3635,3750,0.97697,0.98564
2018,3rd Quintile,East,No,0.98626,1052,1052,0.97922,0.99330
2018,4th Quintile,West,Yes,0.01531,72,3916,0.01146,0.01916
2018,4th Quintile,West,No,0.98469,3844,3916,0.98084,0.98854
2018,4th Quintile,East,No,0.99068,811,811,0.98406,0.99729
2018,5th Quintile,West,Yes,0.00921,50,4470,0.00641,0.01201
2018,5th Quintile,West,No,0.99079,4420,4470,0.98799,0.99359
2018,5th Quintile,East,No,0.99805,599,599,0.99451,1.00159
2019,1st Quintile,West,Yes,0.16705,1530,5484,0.15718,0.17693
2019,1st Quintile,West,No,0.83295,3954,5484,0.82307,0.84282
2019,1st Quintile,East,Yes,0.22945,467,1577,0.20869,0.25021
2019,1st Quintile,East,No,0.77055,1110,1577,0.74979,0.79131
2019,2nd Quintile,West,Yes,0.03658,198,3617,0.03046,0.04269
2019,2nd Quintile,West,No,0.96342,3419,3617,0.95731,0.96954
2019,2nd Quintile,East,Yes,0.03037,61,1308,0.02107,0.03968
2019,2nd Quintile,East,No,0.96963,1247,1308,0.96032,0.97893
2019,3rd Quintile,West,Yes,0.02088,77,3374,0.01605,0.02570
2019,3rd Quintile,West,No,0.97912,3297,3374,0.97430,0.98395
2019,3rd Quintile,East,No,0.98862,1058,1058,0.98223,0.99502
2019,4th Quintile,West,Yes,0.01433,40,3529,0.01041,0.01825
2019,4th Quintile,West,No,0.98567,3489,3529,0.98175,0.98959
2019,4th Quintile,East,No,0.99041,747,747,0.98341,0.99740
2019,5th Quintile,West,Yes,0.00944,39,4207,0.00652,0.01236
2019,5th Quintile,West,No,0.99056,4168,4207,0.98764,0.99348
2019,5th Quintile,East,No,0.98961,607,607,0.98153,0.99768
2020,1st Quintile,West,Yes,0.15709,1160,5120,0.14712,0.16706
2020,1st Quintile,West,No,0.84291,3960,5120,0.83294,0.85288
2020,1st Quintile,East,Yes,0.20963,399,1450,0.18867,0.23059
2020,1st Quintile,East,No,0.79037,1051,1450,0.76941,0.81133
2020,2nd Quintile,West,Yes,0.03608,179,3498,0.02990,0.04226
2020,2nd Quintile,West,No,0.96392,3319,3498,0.95774,0.97010
2020,2nd Quintile,East,Yes,0.03685,71,1340,0.02676,0.04694
2020,2nd Quintile,East,No,0.96315,1269,1340,0.95306,0.97324
2020,3rd Quintile,West,Yes,0.02172,68,3290,0.01673,0.02670
2020,3rd Quintile,West,No,0.97828,3222,3290,0.97330,0.98327
2020,3rd Quintile,East,No,0.97269,961,961,0.96238,0.98300
2020,4th Quintile,West,Yes,0.01329,51,3693,0.00959,0.01698
2020,4th Quintile,West,No,0.98671,3642,3693,0.98302,0.99041
2020,4th Quintile,East,No,0.99726,831,831,0.99370,1.00081
2020,5th Quintile,West,Yes,0.01394,47,5084,0.01072,0.01717
2020,5th Quintile,West,No,0.98606,5037,5084,0.98283,0.98928
2020,5th Quintile,East,No,0.97259,869,869,0.96173,0.98346
2021,1st Quintile,West,Yes,0.15427,670,3771,0.14274,0.16580
2021,1st Quintile,West,No,0.84573,3101,3771,0.83420,0.85726
2021,1st Quintile,East,Yes,0.16737,215,998,0.14420,0.19054
2021,1st Quintile,East,No,0.83263,783,998,0.80946,0.85580
2021,2nd Quintile,West,Yes,0.03821,151,2642,0.03089,0.04552
2021,2nd Quintile,West,No,0.96179,2491,2642,0.95448,0.96911
2021,2nd Quintile,East,Yes,0.03228,47,896,0.02070,0.04386
2021,2nd Quintile,East,No,0.96772,849,896,0.95614,0.97930
2021,3rd Quintile,West,Yes,0.02808,69,2449,0.02153,0.03462
2021,3rd Quintile,West,No,0.97192,2380,2449,0.96538,0.97847
2021,3rd Quintile,East,No,0.98488,680,680,0.97571,0.99406
2021,4th Quintile,West,Yes,0.01352,37,2602,0.00908,0.01796
2021,4th Quintile,West,No,0.98648,2565,2602,0.98204,0.99092
2021,4th Quintile,East,No,0.98945,588,588,0.98118,0.99771
2021,5th Quintile,West,Yes,0.01059,34,3631,0.00726,0.01392
2021,5th Quintile,West,No,0.98941,3597,3631,0.98608,0.99274
2021,5th Quintile,East,No,0.97822,644,644,0.96694,0.98950
2022,1st Quintile,West,Yes,0.12775,595,3305,0.11637,0.13914
2022,1st Quintile,West,No,0.87225,2710,3305,0.86086,0.88363
2022,1st Quintile,East,Yes,0.15524,216,945,0.13214,0.17834
2022,1st Quintile,East,No,0.84476,729,945,0.82166,0.86786
2022,2nd Quintile,West,Yes,0.03578,115,2358,0.02828,0.04327
2022,2nd Quintile,West,No,0.96422,2243,2358,0.95673,0.97172
2022,2nd Quintile,East,No,0.97387,828,828,0.96299,0.98474
2022,3rd Quintile,West,Yes,0.00950,33,2298,0.00553,0.01347
2022,3rd Quintile,West,No,0.99050,2265,2298,0.98653,0.99447
2022,3rd Quintile,East,No,0.98940,657,657,0.98157,0.99724
2022,4th Quintile,West,No,0.98790,2514,2514,0.98362,0.99217
2022,4th Quintile,East,No,0.99229,562,562,0.98505,0.99953
2022,5th Quintile,West,Yes,0.01411,36,3382,0.01014,0.01809
2022,5th Quintile,West,No,0.98589,3346,3382,0.98191,0.98986
2022,5th Quintile,East,No,0.99235,620,620,0.98549,0.99922
