year,quintil_oecd,e11103,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,5th Quintile,Part Time,0.16913,965,4844,0.15857,0.17969
2009,5th Quintile,Not Working,0.21039,1280,4844,0.19891,0.22187
2010,1st Quintile,Full Time,0.13499,406,2696,0.12208,0.14789
2010,1st Quintile,Part Time,0.22557,731,2696,0.20979,0.24135
2010,1st Quintile,Not Working,0.57237,1559,2696,0.55369,0.59105
2010,2nd Quintile,Full Time,0.24626,864,3035,0.23093,0.26159
2010,2nd Quintile,Part Time,0.20303,689,3035,0.18871,0.21734
2010,2nd Quintile,Not Working,0.45896,1482,3035,0.44123,0.47669
2010,3rd Quintile,Full Time,0.36182,1244,3217,0.34521,0.37843
2010,3rd Quintile,Part Time,0.19731,748,3217,0.18355,0.21106
2010,3rd Quintile,Not Working,0.33176,1225,3217,0.31549,0.34804
2010,4th Quintile,Full Time,0.42343,1581,3458,0.40696,0.43990
2010,4th Quintile,Part Time,0.19668,817,3458,0.18343,0.20993
2010,4th Quintile,Not Working,0.27947,1060,3458,0.26452,0.29443
2010,5th Quintile,Full Time,0.54465,2351,4419,0.52997,0.55934
2010,5th Quintile,Part Time,0.17195,906,4419,0.16082,0.18308
2010,5th Quintile,Not Working,0.20857,1162,4419,0.19658,0.22055
2011,1st Quintile,Full Time,0.12539,816,4652,0.11587,0.13491
2011,1st Quintile,Part Time,0.21138,1397,4652,0.19964,0.22311
2011,1st Quintile,Not Working,0.49153,2439,4652,0.47716,0.50590
2011,2nd Quintile,Full Time,0.24903,1424,4532,0.23643,0.26162
2011,2nd Quintile,Part Time,0.20170,1334,4532,0.19002,0.21339
2011,2nd Quintile,Not Working,0.38726,1774,4532,0.37308,0.40144
2011,3rd Quintile,Full Time,0.33593,1650,4172,0.32160,0.35027
2011,3rd Quintile,Part Time,0.20072,1128,4172,0.18856,0.21287
2011,3rd Quintile,Not Working,0.31460,1394,4172,0.30051,0.32870
2011,4th Quintile,Full Time,0.42187,1908,4086,0.40672,0.43701
2011,4th Quintile,Part Time,0.19657,1093,4086,0.18438,0.20876
2011,4th Quintile,Not Working,0.24412,1085,4086,0.23095,0.25729
2011,5th Quintile,Full Time,0.52009,2537,4833,0.50600,0.53418
2011,5th Quintile,Part Time,0.17286,1094,4833,0.16219,0.18352
2011,5th Quintile,Not Working,0.20114,1202,4833,0.18983,0.21244
2012,1st Quintile,Full Time,0.12883,1016,5552,0.12001,0.13764
2012,1st Quintile,Part Time,0.21443,1694,5552,0.20363,0.22522
2012,1st Quintile,Not Working,0.46987,2842,5552,0.45674,0.48300
2012,2nd Quintile,Full Time,0.24045,1551,5060,0.22868,0.25223
2012,2nd Quintile,Part Time,0.19511,1408,5060,0.18419,0.20603
2012,2nd Quintile,Not Working,0.40024,2101,5060,0.38673,0.41374
2012,3rd Quintile,Full Time,0.34681,1964,4930,0.33352,0.36010
2012,3rd Quintile,Part Time,0.19424,1330,4930,0.18320,0.20529
2012,3rd Quintile,Not Working,0.30355,1636,4930,0.29071,0.31639
2012,4th Quintile,Full Time,0.41262,2214,4851,0.39877,0.42648
2012,4th Quintile,Part Time,0.19060,1262,4851,0.17955,0.20165
2012,4th Quintile,Not Working,0.25906,1375,4851,0.24673,0.27139
2012,5th Quintile,Full Time,0.52127,2793,5299,0.50782,0.53472
2012,5th Quintile,Part Time,0.17719,1201,5299,0.16691,0.18747
2012,5th Quintile,Not Working,0.19727,1305,5299,0.18655,0.20798
2013,1st Quintile,Full Time,0.12540,940,5376,0.11654,0.13425
2013,1st Quintile,Part Time,0.21070,1662,5376,0.19980,0.22161
2013,1st Quintile,Not Working,0.49541,2774,5376,0.48204,0.50878
2013,2nd Quintile,Full Time,0.24358,1689,5345,0.23207,0.25509
2013,2nd Quintile,Part Time,0.19118,1513,5345,0.18064,0.20172
2013,2nd Quintile,Not Working,0.41266,2143,5345,0.39946,0.42586
2013,3rd Quintile,Full Time,0.32179,1910,5022,0.30887,0.33472
2013,3rd Quintile,Part Time,0.19904,1388,5022,0.18800,0.21008
2013,3rd Quintile,Not Working,0.33190,1724,5022,0.31888,0.34493
2013,4th Quintile,Full Time,0.41512,2290,4957,0.40140,0.42884
2013,4th Quintile,Part Time,0.19705,1306,4957,0.18598,0.20813
2013,4th Quintile,Not Working,0.26095,1361,4957,0.24873,0.27318
2013,5th Quintile,Full Time,0.50966,2888,5533,0.49649,0.52283
2013,5th Quintile,Part Time,0.18297,1288,5533,0.17278,0.19316
2013,5th Quintile,Not Working,0.21319,1357,5533,0.20240,0.22399
2014,1st Quintile,Full Time,0.11332,980,6000,0.10530,0.12134
2014,1st Quintile,Part Time,0.23041,1873,6000,0.21976,0.24107
2014,1st Quintile,Not Working,0.46097,3147,6000,0.44836,0.47358
2014,2nd Quintile,Full Time,0.22571,1786,5671,0.21483,0.23659
2014,2nd Quintile,Part Time,0.21216,1622,5671,0.20152,0.22280
2014,2nd Quintile,Not Working,0.39424,2263,5671,0.38152,0.40696
2014,3rd Quintile,Full Time,0.32918,2081,5278,0.31651,0.34186
2014,3rd Quintile,Part Time,0.19943,1442,5278,0.18865,0.21021
2014,3rd Quintile,Not Working,0.32378,1755,5278,0.31115,0.33640
2014,4th Quintile,Full Time,0.41763,2432,5238,0.40427,0.43098
2014,4th Quintile,Part Time,0.19333,1353,5238,0.18263,0.20402
2014,4th Quintile,Not Working,0.25905,1453,5238,0.24719,0.27092
2014,5th Quintile,Full Time,0.53415,2944,5461,0.52092,0.54738
2014,5th Quintile,Part Time,0.17814,1254,5461,0.16800,0.18829
2014,5th Quintile,Not Working,0.19232,1263,5461,0.18186,0.20277
2015,1st Quintile,Full Time,0.11887,877,5229,0.11010,0.12764
2015,1st Quintile,Part Time,0.23800,1637,5229,0.22646,0.24954
2015,1st Quintile,Not Working,0.45779,2715,5229,0.44429,0.47130
2015,2nd Quintile,Full Time,0.23459,1689,5419,0.22331,0.24587
2015,2nd Quintile,Part Time,0.20321,1561,5419,0.19249,0.21392
2015,2nd Quintile,Not Working,0.40261,2169,5419,0.38955,0.41567
2015,3rd Quintile,Full Time,0.33635,1977,4996,0.32325,0.34945
2015,3rd Quintile,Part Time,0.20370,1390,4996,0.19253,0.21487
2015,3rd Quintile,Not Working,0.31145,1629,4996,0.29861,0.32429
2015,4th Quintile,Full Time,0.42639,2288,4855,0.41248,0.44030
2015,4th Quintile,Part Time,0.19304,1258,4855,0.18194,0.20415
2015,4th Quintile,Not Working,0.25293,1309,4855,0.24070,0.26516
2015,5th Quintile,Full Time,0.51497,2685,5168,0.50135,0.52860
2015,5th Quintile,Part Time,0.19213,1263,5168,0.18139,0.20288
2015,5th Quintile,Not Working,0.19609,1220,5168,0.18526,0.20691
2016,1st Quintile,Full Time,0.11584,851,5201,0.10714,0.12454
2016,1st Quintile,Part Time,0.23676,1656,5201,0.22521,0.24831
2016,1st Quintile,Not Working,0.44961,2694,5201,0.43609,0.46313
2016,2nd Quintile,Full Time,0.24625,1700,5303,0.23466,0.25785
2016,2nd Quintile,Part Time,0.21477,1556,5303,0.20371,0.22582
2016,2nd Quintile,Not Working,0.37797,2047,5303,0.36492,0.39102
2016,3rd Quintile,Full Time,0.33567,1892,4746,0.32223,0.34911
2016,3rd Quintile,Part Time,0.20565,1319,4746,0.19415,0.21715
2016,3rd Quintile,Not Working,0.30412,1535,4746,0.29103,0.31721
2016,4th Quintile,Full Time,0.43261,2212,4671,0.41840,0.44682
2016,4th Quintile,Part Time,0.20163,1245,4671,0.19013,0.21314
2016,4th Quintile,Not Working,0.24206,1214,4671,0.22977,0.25434
2016,5th Quintile,Full Time,0.51304,2515,4888,0.49903,0.52706
2016,5th Quintile,Part Time,0.18454,1169,4888,0.17366,0.19541
2016,5th Quintile,Not Working,0.20363,1204,4888,0.19234,0.21492
2017,1st Quintile,Full Time,0.11857,885,6451,0.11068,0.12646
2017,1st Quintile,Part Time,0.22437,1589,6451,0.21419,0.23455
2017,1st Quintile,Not Working,0.45458,3977,6451,0.44242,0.46673
2017,2nd Quintile,Full Time,0.24084,1592,5083,0.22908,0.25260
2017,2nd Quintile,Part Time,0.22018,1516,5083,0.20879,0.23157
2017,2nd Quintile,Not Working,0.38162,1975,5083,0.36827,0.39498
2017,3rd Quintile,Full Time,0.31812,1796,4519,0.30453,0.33170
2017,3rd Quintile,Part Time,0.18925,1229,4519,0.17783,0.20068
2017,3rd Quintile,Not Working,0.33903,1494,4519,0.32523,0.35284
2017,4th Quintile,Full Time,0.42933,2092,4399,0.41470,0.44396
2017,4th Quintile,Part Time,0.20383,1154,4399,0.19192,0.21573
2017,4th Quintile,Not Working,0.25147,1153,4399,0.23865,0.26429
2017,5th Quintile,Full Time,0.49650,2355,4595,0.48205,0.51096
2017,5th Quintile,Part Time,0.18771,1118,4595,0.17641,0.19900
2017,5th Quintile,Not Working,0.21316,1122,4595,0.20132,0.22500
2018,1st Quintile,Full Time,0.12054,928,7381,0.11312,0.12797
2018,1st Quintile,Part Time,0.25504,1871,7381,0.24510,0.26499
2018,1st Quintile,Not Working,0.42921,4582,7381,0.41791,0.44050
2018,2nd Quintile,Full Time,0.25026,1765,5585,0.23889,0.26162
2018,2nd Quintile,Part Time,0.21825,1657,5585,0.20742,0.22909
2018,2nd Quintile,Not Working,0.36464,2163,5585,0.35202,0.37727
2018,3rd Quintile,Full Time,0.34807,2010,4903,0.33473,0.36140
2018,3rd Quintile,Part Time,0.19925,1356,4903,0.18807,0.21043
2018,3rd Quintile,Not Working,0.30527,1537,4903,0.29238,0.31816
2018,4th Quintile,Full Time,0.42656,2215,4700,0.41242,0.44070
2018,4th Quintile,Part Time,0.21784,1328,4700,0.20604,0.22965
2018,4th Quintile,Not Working,0.22875,1157,4700,0.21674,0.24076
2018,5th Quintile,Full Time,0.51372,2733,5157,0.50008,0.52736
2018,5th Quintile,Part Time,0.20163,1265,5157,0.19068,0.21258
2018,5th Quintile,Not Working,0.18670,1159,5157,0.17607,0.19734
2019,1st Quintile,Full Time,0.12584,1009,7329,0.11825,0.13344
2019,1st Quintile,Part Time,0.23957,1793,7329,0.22980,0.24934
2019,1st Quintile,Not Working,0.43481,4527,7329,0.42346,0.44616
2019,2nd Quintile,Full Time,0.25028,1559,5054,0.23833,0.26222
2019,2nd Quintile,Part Time,0.21958,1488,5054,0.20816,0.23099
2019,2nd Quintile,Not Working,0.36169,2007,5054,0.34844,0.37494
2019,3rd Quintile,Full Time,0.35414,1877,4614,0.34034,0.36794
2019,3rd Quintile,Part Time,0.20552,1297,4614,0.19386,0.21718
2019,3rd Quintile,Not Working,0.28942,1440,4614,0.27633,0.30250
2019,4th Quintile,Full Time,0.42082,2016,4346,0.40614,0.43550
2019,4th Quintile,Part Time,0.20354,1177,4346,0.19157,0.21551
2019,4th Quintile,Not Working,0.24105,1153,4346,0.22833,0.25377
2019,5th Quintile,Full Time,0.49965,2497,4843,0.48557,0.51374
2019,5th Quintile,Part Time,0.19548,1186,4843,0.18431,0.20665
2019,5th Quintile,Not Working,0.20874,1160,4843,0.19729,0.22019
2020,1st Quintile,Full Time,0.12605,1101,6847,0.11819,0.13391
2020,1st Quintile,Part Time,0.23919,1845,6847,0.22908,0.24929
2020,1st Quintile,Not Working,0.44113,3901,6847,0.42936,0.45289
2020,2nd Quintile,Full Time,0.24287,1519,4822,0.23077,0.25498
2020,2nd Quintile,Part Time,0.21095,1382,4822,0.19944,0.22247
2020,2nd Quintile,Not Working,0.37226,1921,4822,0.35861,0.38591
2020,3rd Quintile,Full Time,0.34089,1814,4468,0.32699,0.35479
2020,3rd Quintile,Part Time,0.20543,1221,4468,0.19358,0.21728
2020,3rd Quintile,Not Working,0.30093,1433,4468,0.28748,0.31438
2020,4th Quintile,Full Time,0.42605,2167,4496,0.41159,0.44050
2020,4th Quintile,Part Time,0.21594,1251,4496,0.20391,0.22797
2020,4th Quintile,Not Working,0.21836,1078,4496,0.20628,0.23044
2020,5th Quintile,Full Time,0.50081,3295,6087,0.48825,0.51338
2020,5th Quintile,Part Time,0.19022,1460,6087,0.18036,0.20008
2020,5th Quintile,Not Working,0.20320,1332,6087,0.19309,0.21330
2021,1st Quintile,Full Time,0.10801,717,4868,0.09929,0.11673
2021,1st Quintile,Part Time,0.21177,1182,4868,0.20029,0.22325
2021,1st Quintile,Not Working,0.48611,2969,4868,0.47207,0.50016
2021,2nd Quintile,Full Time,0.22792,1088,3696,0.21440,0.24145
2021,2nd Quintile,Part Time,0.21010,1020,3696,0.19697,0.22324
2021,2nd Quintile,Not Working,0.38748,1588,3696,0.37177,0.40319
2021,3rd Quintile,Full Time,0.30716,1192,3123,0.29098,0.32335
2021,3rd Quintile,Part Time,0.21051,876,3123,0.19621,0.22481
2021,3rd Quintile,Not Working,0.31404,1055,3123,0.29775,0.33032
2021,4th Quintile,Full Time,0.39939,1493,3309,0.38270,0.41608
2021,4th Quintile,Part Time,0.19566,831,3309,0.18214,0.20918
2021,4th Quintile,Not Working,0.27346,985,3309,0.25827,0.28865
2021,5th Quintile,Full Time,0.48024,2227,4361,0.46541,0.49507
2021,5th Quintile,Part Time,0.17029,983,4361,0.15913,0.18145
2021,5th Quintile,Not Working,0.23224,1151,4361,0.21971,0.24477
