year,quintil_oecd,region_origin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1999,4th Quintile,Germany,0.77502,2480,2674,0.75919,0.79085
1999,4th Quintile,Southern Europe,0.02490,128,2674,0.01899,0.03081
1999,4th Quintile,Eastern Europe,0.02238,66,2674,0.01677,0.02799
1999,5th Quintile,Germany,0.82837,2408,2536,0.81370,0.84305
1999,5th Quintile,Southern Europe,0.01143,63,2536,0.00729,0.01557
1999,5th Quintile,Eastern Europe,0.02582,65,2536,0.01965,0.03199
2000,1st Quintile,Germany,0.59405,1875,2521,0.57488,0.61323
2000,1st Quintile,Southern Europe,0.03998,182,2521,0.03234,0.04763
2000,1st Quintile,Central Asia,0.01015,39,2521,0.00624,0.01406
2000,1st Quintile,Western Asia,0.06049,273,2521,0.05118,0.06980
2000,1st Quintile,Eastern Europe,0.04230,152,2521,0.03444,0.05016
2000,2nd Quintile,Germany,0.65400,2233,2679,0.63599,0.67202
2000,2nd Quintile,Southern Europe,0.03782,178,2679,0.03059,0.04504
2000,2nd Quintile,Western Asia,0.02878,140,2679,0.02245,0.03512
2000,2nd Quintile,Eastern Europe,0.03678,128,2679,0.02965,0.04391
2000,3rd Quintile,Germany,0.72745,2372,2624,0.71041,0.74449
2000,3rd Quintile,Southern Europe,0.02215,119,2624,0.01652,0.02778
2000,3rd Quintile,Western Asia,0.01155,56,2624,0.00746,0.01564
2000,3rd Quintile,Eastern Europe,0.02187,77,2624,0.01627,0.02747
2000,4th Quintile,Germany,0.75551,2384,2625,0.73907,0.77196
2000,4th Quintile,Southern Europe,0.02797,111,2625,0.02166,0.03428
2000,4th Quintile,Western Asia,0.01043,41,2625,0.00654,0.01431
2000,4th Quintile,Eastern Europe,0.03118,89,2625,0.02453,0.03783
2000,5th Quintile,Germany,0.81504,2329,2463,0.79971,0.83038
2000,5th Quintile,Southern Europe,0.01649,76,2463,0.01146,0.02152
2000,5th Quintile,Eastern Europe,0.02069,58,2463,0.01507,0.02632
2001,1st Quintile,Germany,0.59219,2911,3759,0.57647,0.60790
2001,1st Quintile,Southern Europe,0.03054,203,3759,0.02504,0.03604
2001,1st Quintile,Central Asia,0.02131,99,3759,0.01669,0.02593
2001,1st Quintile,Western Asia,0.04914,304,3759,0.04223,0.05605
2001,1st Quintile,Eastern Europe,0.04964,242,3759,0.04270,0.05658
2001,2nd Quintile,Germany,0.67611,3654,4296,0.66211,0.69010
2001,2nd Quintile,Southern Europe,0.01966,168,4296,0.01551,0.02381
2001,2nd Quintile,Central Asia,0.01034,56,4296,0.00731,0.01336
2001,2nd Quintile,Western Asia,0.02884,203,4296,0.02383,0.03384
2001,2nd Quintile,Eastern Europe,0.03815,215,4296,0.03242,0.04388
2001,3rd Quintile,Germany,0.72705,3998,4442,0.71395,0.74016
2001,3rd Quintile,Southern Europe,0.02699,176,4442,0.02222,0.03176
2001,3rd Quintile,Central Asia,0.00547,32,4442,0.00330,0.00764
2001,3rd Quintile,Western Asia,0.01081,81,4442,0.00777,0.01386
2001,3rd Quintile,Eastern Europe,0.03204,155,4442,0.02686,0.03721
2001,4th Quintile,Germany,0.78571,4200,4528,0.77376,0.79766
2001,4th Quintile,Southern Europe,0.01567,116,4528,0.01205,0.01929
2001,4th Quintile,Central Asia,0.00579,33,4528,0.00358,0.00800
2001,4th Quintile,Western Asia,0.00874,53,4528,0.00603,0.01146
2001,4th Quintile,Eastern Europe,0.02563,126,4528,0.02103,0.03024
2001,5th Quintile,Germany,0.84085,4240,4454,0.83010,0.85159
2001,5th Quintile,Southern Europe,0.00954,78,4454,0.00668,0.01239
2001,5th Quintile,Eastern Europe,0.01557,90,4454,0.01193,0.01921
2001,5th Quintile,Western Europe,0.01310,46,4454,0.00976,0.01644
2002,1st Quintile,Germany,0.59809,2638,3363,0.58152,0.61467
2002,1st Quintile,Southern Europe,0.02746,158,3363,0.02194,0.03298
2002,1st Quintile,Central Asia,0.01754,69,3363,0.01310,0.02198
2002,1st Quintile,Western Asia,0.05319,275,3363,0.04560,0.06078
2002,1st Quintile,Eastern Europe,0.05191,223,3363,0.04441,0.05941
2002,2nd Quintile,Germany,0.66850,3228,3866,0.65366,0.68334
2002,2nd Quintile,Southern Europe,0.03039,173,3866,0.02498,0.03581
2002,2nd Quintile,Central Asia,0.01696,72,3866,0.01289,0.02103
2002,2nd Quintile,Western Asia,0.02888,178,3866,0.02360,0.03415
2002,2nd Quintile,Eastern Europe,0.04326,215,3866,0.03684,0.04967
2002,3rd Quintile,Germany,0.73316,3636,4000,0.71946,0.74687
2002,3rd Quintile,Southern Europe,0.02136,130,4000,0.01688,0.02584
2002,3rd Quintile,Central Asia,0.00766,32,4000,0.00496,0.01036
2002,3rd Quintile,Western Asia,0.01190,90,4000,0.00854,0.01526
2002,3rd Quintile,Eastern Europe,0.02271,112,4000,0.01809,0.02733
2002,4th Quintile,Germany,0.77799,3967,4260,0.76551,0.79047
2002,4th Quintile,Southern Europe,0.01726,119,4260,0.01335,0.02117
2002,4th Quintile,Western Asia,0.00697,46,4260,0.00447,0.00947
2002,4th Quintile,Eastern Europe,0.02617,128,4260,0.02138,0.03097
2002,5th Quintile,Germany,0.85161,4638,4873,0.84163,0.86159
2002,5th Quintile,Southern Europe,0.01040,87,4873,0.00755,0.01325
2002,5th Quintile,Eastern Europe,0.02282,101,4873,0.01863,0.02702
2002,5th Quintile,Western Europe,0.01172,47,4873,0.00870,0.01474
2003,1st Quintile,Germany,0.60795,2642,3304,0.59130,0.62460
2003,1st Quintile,Southern Europe,0.02838,160,3304,0.02272,0.03405
2003,1st Quintile,Central Asia,0.01572,56,3304,0.01147,0.01996
2003,1st Quintile,Western Asia,0.05409,238,3304,0.04638,0.06181
2003,1st Quintile,Eastern Europe,0.05325,208,3304,0.04559,0.06090
2003,2nd Quintile,Germany,0.66755,3246,3798,0.65257,0.68254
2003,2nd Quintile,Southern Europe,0.02241,114,3798,0.01771,0.02712
2003,2nd Quintile,Central Asia,0.01666,73,3798,0.01258,0.02073
2003,2nd Quintile,Western Asia,0.02570,166,3798,0.02066,0.03073
2003,2nd Quintile,Eastern Europe,0.04447,199,3798,0.03791,0.05103
2003,3rd Quintile,Germany,0.73456,3660,4055,0.72097,0.74815
2003,3rd Quintile,Southern Europe,0.02158,140,4055,0.01710,0.02605
2003,3rd Quintile,Central Asia,0.00590,32,4055,0.00354,0.00826
2003,3rd Quintile,Western Asia,0.01378,91,4055,0.01019,0.01737
2003,3rd Quintile,Eastern Europe,0.02582,132,4055,0.02093,0.03070
2003,4th Quintile,Germany,0.78000,4021,4313,0.76764,0.79237
2003,4th Quintile,Southern Europe,0.01906,123,4313,0.01498,0.02315
2003,4th Quintile,Western Asia,0.00579,47,4313,0.00353,0.00806
2003,4th Quintile,Eastern Europe,0.02294,122,4313,0.01847,0.02741
2003,5th Quintile,Germany,0.83752,5974,6221,0.82835,0.84669
2003,5th Quintile,Southern Europe,0.00945,80,6221,0.00704,0.01185
2003,5th Quintile,Eastern Europe,0.01915,105,6221,0.01574,0.02255
2003,5th Quintile,Western Europe,0.01178,62,6221,0.00910,0.01446
2004,1st Quintile,Germany,0.60705,2557,3215,0.59016,0.62393
2004,1st Quintile,Southern Europe,0.03733,160,3215,0.03077,0.04388
2004,1st Quintile,Central Asia,0.01767,58,3215,0.01312,0.02223
2004,1st Quintile,Western Asia,0.05606,250,3215,0.04810,0.06401
2004,1st Quintile,Eastern Europe,0.04874,190,3215,0.04130,0.05619
2004,2nd Quintile,Germany,0.67038,3184,3736,0.65531,0.68546
2004,2nd Quintile,Southern Europe,0.02021,128,3736,0.01570,0.02472
2004,2nd Quintile,Central Asia,0.02011,76,3736,0.01561,0.02461
2004,2nd Quintile,Western Asia,0.02710,158,3736,0.02189,0.03230
