"year","bildungsniveau","regtyp","mean","median","n","lower_confidence","upper_confidence"
"2018","(Fach-)Abitur","Laendlicher Raum","7.04","7.5","1295","6.92","7.16"
"2018","(Fach-)Abitur","Staedtischer Raum","6.85","6.5","3329","6.78","6.92"
"2018","(noch) kein Abschluss","Laendlicher Raum","6.81","7.5","622","6.61","7.01"
"2018","(noch) kein Abschluss","Staedtischer Raum","6.56","6.5","1573","6.43","6.69"
"2018","AkademikerIn","Laendlicher Raum","6.69","6.5","1904","6.6","6.78"
"2018","AkademikerIn","Staedtischer Raum","6.93","6.5","5048","6.87","6.99"
"2018","Hauptschule","Laendlicher Raum","5.97","5.5","2857","5.88","6.06"
"2018","Hauptschule","Staedtischer Raum","6.15","5.5","4691","6.08","6.22"
"2018","Realschule","Laendlicher Raum","6.5","6.5","2958","6.42","6.58"
"2018","Realschule","Staedtischer Raum","6.44","6.5","3708","6.37","6.51"
"2019","(Fach-)Abitur","Laendlicher Raum","7.05","6.5","1235","6.94","7.16"
"2019","(Fach-)Abitur","Staedtischer Raum","6.94","6.5","3311","6.87","7.01"
"2019","(noch) kein Abschluss","Laendlicher Raum","6.8","6.5","596","6.6","7"
"2019","(noch) kein Abschluss","Staedtischer Raum","6.75","6.5","1466","6.62","6.88"
"2019","AkademikerIn","Laendlicher Raum","6.77","6.5","2049","6.68","6.86"
"2019","AkademikerIn","Staedtischer Raum","7.14","7.5","5370","7.09","7.19"
"2019","Hauptschule","Laendlicher Raum","6.13","5.5","2589","6.04","6.22"
"2019","Hauptschule","Staedtischer Raum","6.12","5.5","4250","6.05","6.19"
"2019","Realschule","Laendlicher Raum","6.53","6.5","2963","6.45","6.61"
"2019","Realschule","Staedtischer Raum","6.54","6.5","3686","6.47","6.61"
"2020","(Fach-)Abitur","Laendlicher Raum","7.04","6.5","1307","6.93","7.15"
"2020","(Fach-)Abitur","Staedtischer Raum","6.99","6.5","3760","6.92","7.06"
"2020","(noch) kein Abschluss","Laendlicher Raum","6.95","6.5","607","6.76","7.14"
"2020","(noch) kein Abschluss","Staedtischer Raum","6.93","7.5","1657","6.81","7.05"
"2020","AkademikerIn","Laendlicher Raum","6.75","6.5","2047","6.66","6.84"
"2020","AkademikerIn","Staedtischer Raum","7.02","6.5","5734","6.97","7.07"
"2020","Hauptschule","Laendlicher Raum","5.94","5.5","2497","5.85","6.03"
"2020","Hauptschule","Staedtischer Raum","6.19","6.5","4253","6.12","6.26"
"2020","Realschule","Laendlicher Raum","6.57","6.5","2761","6.49","6.65"
"2020","Realschule","Staedtischer Raum","6.51","6.5","3486","6.44","6.58"
