year,regtyp,sex,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1998,Staedtischer Raum,weiblich,0.3985873252605666,0.37732377258340466,0.4198508779377286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4718.0
1998,Laendlicher Raum,maennlich,0.39375101311691674,0.36618668965710577,0.4213153365767277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2361.0
1998,Laendlicher Raum,weiblich,0.3465651669168921,0.31957277119531197,0.37355756263847223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2492.0
1999,Staedtischer Raum,maennlich,0.5393465140122599,0.514743879761313,0.5639491482632067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4191.0
1999,Staedtischer Raum,weiblich,0.4152973855377967,0.39341762718009315,0.4371771438955003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4515.0
1999,Laendlicher Raum,maennlich,0.44093770313229624,0.41179211399361937,0.4700832922709731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2268.0
1999,Laendlicher Raum,weiblich,0.4244084247147089,0.3939653404911836,0.45485150893823423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2416.0
2000,Staedtischer Raum,maennlich,0.5283748744427136,0.5105110042183859,0.5462387446670413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7366.0
2000,Staedtischer Raum,weiblich,0.4408765916536732,0.4242207310386092,0.45753245226873723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8059.0
2000,Laendlicher Raum,maennlich,0.4440796288897741,0.42147720806322636,0.4666820497163218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3968.0
2000,Laendlicher Raum,weiblich,0.38181981837943346,0.36047308692840935,0.4031665498304576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4230.0
2001,Staedtischer Raum,maennlich,0.5613935793007822,0.541007872926177,0.5817792856753873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6726.0
2001,Staedtischer Raum,weiblich,0.4444326269461551,0.42676249357224255,0.46210276032006764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7359.0
2001,Laendlicher Raum,maennlich,0.44153266698252847,0.41779297850949704,0.4652723554555599,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3616.0
2001,Laendlicher Raum,weiblich,0.39417214251497246,0.37102928297392546,0.41731500205601946,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3841.0
2002,Staedtischer Raum,maennlich,0.5522766021156599,0.5330426050675444,0.5715105991637753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7216.0
2002,Staedtischer Raum,weiblich,0.4363353240623095,0.4194861731355972,0.4531844749890218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7777.0
2002,Laendlicher Raum,maennlich,0.4898269008529388,0.46510301463836684,0.5145507870675107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3691.0
2002,Laendlicher Raum,weiblich,0.3626133308182487,0.341142463857943,0.3840841977785544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3896.0
2003,Staedtischer Raum,maennlich,0.5744520432428081,0.5542019543918701,0.594702132093746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6933.0
2003,Staedtischer Raum,weiblich,0.44419795636299286,0.4270818783454023,0.46131403438058344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7531.0
2003,Laendlicher Raum,maennlich,0.5122038126846196,0.48511574725651135,0.5392918781127278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3526.0
2003,Laendlicher Raum,weiblich,0.4065313334042222,0.3819495278892322,0.4311131389192122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3746.0
2004,Staedtischer Raum,maennlich,0.5860017871181237,0.5650357775228362,0.6069677967134112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6746.0
2004,Staedtischer Raum,weiblich,0.4507043012031078,0.43288472445225606,0.4685238779539595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7342.0
2004,Laendlicher Raum,maennlich,0.47182465740766644,0.4458222194690297,0.49782709534630315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3428.0
2004,Laendlicher Raum,weiblich,0.3956143165919477,0.37212890620750283,0.41909972697639253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3670.0
2005,Staedtischer Raum,maennlich,0.5895826118808395,0.5680430731426263,0.6111221506190527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6421.0
2005,Staedtischer Raum,weiblich,0.4873891317010606,0.4682949860864256,0.5064832773156955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7069.0
2005,Laendlicher Raum,maennlich,0.49658697786344197,0.4687584436649259,0.524415512061958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3277.0
2005,Laendlicher Raum,weiblich,0.45877159626527525,0.4321473546089858,0.4853958379215647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3519.0
2006,Staedtischer Raum,maennlich,0.599647971896596,0.5785315750646455,0.6207643687285466,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6844.0
2006,Staedtischer Raum,weiblich,0.4969872803286588,0.4779046648026679,0.5160698958546497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7540.0
2006,Laendlicher Raum,maennlich,0.42536296456283834,0.4017463331987058,0.4489795959269709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3581.0
2006,Laendlicher Raum,weiblich,0.46759019614285774,0.44136172130076123,0.49381867098495424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3911.0
2007,Staedtischer Raum,maennlich,0.5677474650500942,0.5465133892980718,0.5889815408021166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6345.0
2007,Staedtischer Raum,weiblich,0.5188677070293423,0.498705025834721,0.5390303882239635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7055.0
2007,Laendlicher Raum,maennlich,0.4675684599702188,0.4415238035100784,0.49361311643035916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3387.0
2007,Laendlicher Raum,weiblich,0.46205201902579685,0.43563718667809576,0.48846685137349793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3637.0
2008,Staedtischer Raum,maennlich,0.5781478740010957,0.5564725134417402,0.5998232345604512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5979.0
2008,Staedtischer Raum,weiblich,0.5095705048799256,0.4892959560307093,0.5298450537291419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6651.0
2008,Laendlicher Raum,maennlich,0.510525366983758,0.48264575735486615,0.53840497661265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3202.0
2008,Laendlicher Raum,weiblich,0.4880827657353168,0.45961403674512435,0.5165514947255092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3437.0
2009,Staedtischer Raum,maennlich,0.5999305217112468,0.5763750172380927,0.623486026184401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5505.0
2009,Staedtischer Raum,weiblich,0.5487697298204465,0.5264378590792129,0.57110160056168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6126.0
2009,Laendlicher Raum,maennlich,0.4558035166555568,0.4274200210072233,0.4841870123038903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3056.0
2009,Laendlicher Raum,weiblich,0.46432141597820037,0.43721527075631944,0.4914275612000813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3266.0
2010,Staedtischer Raum,maennlich,0.6698145343118238,0.6481983615252471,0.6914307070984005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7057.0
2010,Staedtischer Raum,weiblich,0.5929539701534814,0.5739193807997148,0.611988559507248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8537.0
2010,Laendlicher Raum,maennlich,0.5375109437621186,0.5114562445745772,0.56356564294966,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3829.0
2010,Laendlicher Raum,weiblich,0.5049227280104936,0.4806637347621187,0.5291817212588685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4502.0
2011,Staedtischer Raum,-3,,,,,,,,,,,,
2011,Staedtischer Raum,-1,,,,,,,,,,,,
2011,Staedtischer Raum,maennlich,0.5736147120102786,0.5547701506660783,0.5924592733544789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8133.0
2011,Staedtischer Raum,weiblich,0.5905717160104332,0.5725005584243761,0.6086428735964904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9979.0
2011,Laendlicher Raum,maennlich,0.41157668049873225,0.39131531795317065,0.43183804304429385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4662.0
2011,Laendlicher Raum,weiblich,0.4233779627951695,0.4032592848247089,0.44349664076563006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5497.0
2012,Staedtischer Raum,-3,,,,,,,,,,,,
2012,Staedtischer Raum,maennlich,0.5903454279887119,0.5712384074683604,0.6094524485090634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7873.0
2012,Staedtischer Raum,weiblich,0.5710244419318073,0.5533479242717821,0.5887009595918326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9583.0
2012,Laendlicher Raum,maennlich,0.45077368875185175,0.42899859216292624,0.47254878534077727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4649.0
2012,Laendlicher Raum,weiblich,0.436227746524829,0.4154772004078032,0.45697829264185474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5466.0
2013,Staedtischer Raum,-3,,,,,,,,,,,,
2013,Staedtischer Raum,maennlich,0.5802544907569772,0.5598287380903344,0.60068024342362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7302.0
2013,Staedtischer Raum,weiblich,0.5258109369853091,0.5081555102041481,0.5434663637664702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8948.0
2013,Laendlicher Raum,maennlich,0.4492423244556552,0.4264967661337701,0.47198788277754034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4286.0
2013,Laendlicher Raum,weiblich,0.3813649785566673,0.3617425241143901,0.40098743299894446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5081.0
2014,Staedtischer Raum,-3,,,,,,,,,,,,
2014,Staedtischer Raum,maennlich,0.6265024397733738,0.6071052159465888,0.6458996636001588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8023.0
2014,Staedtischer Raum,weiblich,0.5833695603243668,0.5665164402853654,0.6002226803633682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9549.0
2014,Laendlicher Raum,-1,,,,,,,,,,,,
2014,Laendlicher Raum,maennlich,0.4852876605447365,0.4621903769875164,0.5083849441019566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4365.0
2014,Laendlicher Raum,weiblich,0.4732527047519475,0.4513227851262025,0.49518262437769245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5063.0
2015,Staedtischer Raum,-3,,,,,,,,,,,,
2015,Staedtischer Raum,-1,,,,,,,,,,,,
2015,Staedtischer Raum,maennlich,0.5527136308972666,0.5346795542040994,0.5707477075904337,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7967.0
2015,Staedtischer Raum,weiblich,0.532952815585207,0.5163150435382642,0.5495905876321499,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9448.0
2015,Laendlicher Raum,maennlich,0.40747570167051345,0.38544751420276724,0.42950388913825965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4301.0
2015,Laendlicher Raum,weiblich,0.4384256540120485,0.4169284587362492,0.4599228492878479,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4971.0
2016,Staedtischer Raum,-3,,,,,,,,,,,,
2016,Staedtischer Raum,-1,,,,,,,,,,,,
2016,Staedtischer Raum,maennlich,0.5863201840250123,0.567964885574207,0.6046754824758176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8339.0
2016,Staedtischer Raum,weiblich,0.5425700051416941,0.5252349784103779,0.5599050318730102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9397.0
2016,Laendlicher Raum,-1,,,,,,,,,,,,
2016,Laendlicher Raum,maennlich,0.3998962541296997,0.3790536494907577,0.4207388587686417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4447.0
2016,Laendlicher Raum,weiblich,0.3926241296165052,0.3724481983649856,0.41280006086802484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4909.0
2017,Staedtischer Raum,-3,,,,,,,,,,,,
2017,Staedtischer Raum,-1,,,,,,,,,,,,
2017,Staedtischer Raum,maennlich,0.6209893638044959,0.6028862594487554,0.6390924681602363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9364.0
2017,Staedtischer Raum,weiblich,0.5159449907003281,0.5000211441354774,0.5318688372651788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10437.0
2017,Laendlicher Raum,maennlich,0.4079290954375315,0.3879614241461818,0.42789676672888116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5074.0
2017,Laendlicher Raum,weiblich,0.3882470318332831,0.36912604265600835,0.4073680210105578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5494.0
2018,Staedtischer Raum,-3,,,,,,,,,,,,
2018,Staedtischer Raum,-1,,,,,,,,,,,,
2018,Staedtischer Raum,maennlich,0.5668616620564784,0.5498338103095043,0.5838895138034524,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9076.0
2018,Staedtischer Raum,weiblich,0.49329424365324853,0.4777651602942921,0.508823327012205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10054.0
2018,Laendlicher Raum,maennlich,0.3620092620796006,0.3427610026364831,0.3812575215227181,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4721.0
2018,Laendlicher Raum,weiblich,0.34157149997988495,0.3231791569046591,0.3599638430551108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5220.0
2019,-1,-3,,,,,,,,,,,,
2019,-1,maennlich,0.9315992886190432,0.8155188323287721,1.0476797449093143,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,296.0
2019,-1,weiblich,1.0046168611884112,0.8723084221707684,1.136925300206054,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0,251.0
2019,Staedtischer Raum,-3,,,,,,,,,,,,
2019,Staedtischer Raum,-1,,,,,,,,,,,,
2019,Staedtischer Raum,maennlich,0.5443163690546765,0.5269916030449195,0.5616411350644335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9141.0
2019,Staedtischer Raum,weiblich,0.43286895717070634,0.4175390588386328,0.4481988555027799,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9555.0
2019,Laendlicher Raum,-1,,,,,,,,,,,,
2019,Laendlicher Raum,maennlich,0.36238055219983945,0.342780874486868,0.3819802299128109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4741.0
2019,Laendlicher Raum,weiblich,0.3073519624175652,0.2892594274026935,0.32544449743243686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4956.0
2020,Staedtischer Raum,-3,,,,,,,,,,,,
2020,Staedtischer Raum,-1,,,,,,,,,,,,
2020,Staedtischer Raum,maennlich,0.5355980298294782,0.5199092782581108,0.5512867814008456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9852.0
2020,Staedtischer Raum,weiblich,0.44073150642933717,0.42682433828831423,0.4546386745703601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9902.0
2020,Laendlicher Raum,-3,,,,,,,,,,,,
2020,Laendlicher Raum,-1,,,,,,,,,,,,
2020,Laendlicher Raum,maennlich,0.39946441444243774,0.37899059405472213,0.41993823483015336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4630.0
2020,Laendlicher Raum,weiblich,0.2987107837166722,0.2814289286312251,0.3159926388021193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4781.0
2021,-1,weiblich,,,,,,,,,,,,
2021,Staedtischer Raum,-3,,,,,,,,,,,,
2021,Staedtischer Raum,-1,,,,,,,,,,,,
2021,Staedtischer Raum,maennlich,0.6246350238476919,0.6037147011517734,0.6455553465436104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6225.0
2021,Staedtischer Raum,weiblich,0.566977413434336,0.5475064289806597,0.5864483978880124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6577.0
2021,Laendlicher Raum,-1,,,,,,,,,,,,
2021,Laendlicher Raum,maennlich,0.4764465400518905,0.4480475849270384,0.5048454951767426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2871.0
