year,quintil_oecd,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2021,1st Quintile,4588,0.82202,0.76139,0.88264,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2021,2nd Quintile,3395,0.58543,0.52737,0.64348,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2021,3rd Quintile,3020,0.49999,0.44364,0.55634,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2021,4th Quintile,3088,0.47314,0.41970,0.52657,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2021,5th Quintile,4138,0.35730,0.32001,0.39459,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2022,1st Quintile,4065,0.86201,0.79285,0.93116,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2022,2nd Quintile,3072,0.54409,0.48242,0.60576,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2022,3rd Quintile,2834,0.37654,0.32452,0.42856,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2022,4th Quintile,2975,0.39360,0.34810,0.43910,0.00000,0.00000,0.00000,0.00000,0.00000,,,
2022,5th Quintile,3802,0.38933,0.34810,0.43056,0.00000,0.00000,0.00000,0.00000,0.00000,,,
