year,bula_h,sampreg,plb0218_v1,proportion,n,lower_confidence,upper_confidence
2011,Berlin,Ostdeutschland,"Nein, nie",0.005737166079005558,41903,0.005014008692308817,0.006460323465702299
2011,Thüringen,Ostdeutschland,"Ja, jede Woche",0.00567740393234925,41903,0.004958001230654349,0.006396806634044151
2011,Schleswig-Holstein,Westdeutschland,"Ja, alle 2 Wochen",0.005498117492380326,41903,0.004790101078832556,0.006206133905928096
2011,"Rheinland-Pfalz,Saarland",Westdeutschland,"Ja, alle 3-4 Wochen",0.005438355345724019,41903,0.004734176203971533,0.006142534487476504
2011,Brandenburg,Ostdeutschland,"Ja, jede Woche",0.005079782465786171,41903,0.004399091168245968,0.005760473763326373
2011,Sachsen-Anhalt,Ostdeutschland,"Ja, jede Woche",0.005020020319129863,41903,0.00434332461178179,0.005696716026477936
2011,Mecklenburg-Vorpommern,Ostdeutschland,Seltener,0.004661447439192016,41903,0.004009249650916286,0.0053136452274677465
2011,Schleswig-Holstein,Westdeutschland,"Ja, jede Woche",0.004482160999223092,41903,0.0038425708556569698,0.005121751142789214
2011,Sachsen-Anhalt,Ostdeutschland,"Ja, alle 3-4 Wochen",0.004422398852566784,41903,0.0037870678829697003,0.005057729822163868
2011,Berlin,Westdeutschland,Seltener,0.004422398852566784,41903,0.0037870678829697003,0.005057729822163868
2011,Thüringen,Ostdeutschland,"Ja, alle 3-4 Wochen",0.004243112412597861,41903,0.0036207369798344686,0.004865487845361253
2011,Berlin,Ostdeutschland,Seltener,0.004063825972628937,41903,0.003454686395903723,0.00467296554935415
2011,Mecklenburg-Vorpommern,Ostdeutschland,"Ja, alle 2 Wochen",0.003884539532660013,41903,0.0032889348191076197,0.0044801442462124065
2011,Schleswig-Holstein,Westdeutschland,"Ja, alle 3-4 Wochen",0.0038247773860037053,41903,0.00323375427700207,0.004415800495005341
2011,Brandenburg,Ostdeutschland,"Ja, alle 3-4 Wochen",0.0036454909460347817,41903,0.003068434269520346,0.004222547622549218
2011,Hamburg,Westdeutschland,Seltener,0.003585728799378474,41903,0.0030134044778330985,0.004158053120923849
2011,Berlin,Westdeutschland,"Ja, jede Woche",0.0030478694794717027,41903,0.0025200701327770707,0.0035756688261663347
