,Unnamed: 0,year,age_gr,pgisced97,pli0089,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
213,213,2003,66 and older,Upper Secondary Level,At least once per week,0.01973,37,21331,0.01672,0.02337
214,214,2003,66 and older,Upper Secondary Level,At least once per month,0.03139,69,21331,0.02794,0.03479
215,215,2003,66 and older,Upper Secondary Level,Seldom,0.15465,278,21331,0.14525,0.16445
216,216,2003,66 and older,Upper Secondary Level,Never,0.79423,1484,21331,0.77318,0.81764
217,217,2003,66 and older,Post-secondary Non-tertiary Level,Never,1.0,78,21331,0.87438,1.11471
218,218,2003,66 and older,First Stage of Tertiary Education,Seldom,0.26104,60,21331,0.22357,0.30011
219,219,2003,66 and older,First Stage of Tertiary Education,Never,0.73896,161,21331,0.66904,0.8133
220,220,2003,66 and older,Second Stage of Tertiary Education,Seldom,0.20491,120,21331,0.17824,0.23192
221,221,2003,66 and older,Second Stage of Tertiary Education,Never,0.79509,419,21331,0.74586,0.84851
222,222,2008,17-29 y.,Pre-primary Level,At least once per week,0.16916,53,18450,0.13809,0.21672
223,223,2008,17-29 y.,Pre-primary Level,At least once per month,0.21473,78,18450,0.16819,0.26073
224,224,2008,17-29 y.,Pre-primary Level,Seldom,0.32458,115,18450,0.27063,0.3775
225,225,2008,17-29 y.,Pre-primary Level,Never,0.29153,98,18450,0.23626,0.34539
226,226,2008,17-29 y.,Lower Secondary Level,At least once per week,0.11267,55,18450,0.0925,0.14598
227,227,2008,17-29 y.,Lower Secondary Level,At least once per month,0.11462,55,18450,0.09078,0.14273
228,228,2008,17-29 y.,Lower Secondary Level,Seldom,0.2734,156,18450,0.23987,0.3134
229,229,2008,17-29 y.,Lower Secondary Level,Never,0.49932,258,18450,0.45416,0.57275
230,230,2008,17-29 y.,Upper Secondary Level,At least once per week,0.09528,129,18450,0.07984,0.11124
231,231,2008,17-29 y.,Upper Secondary Level,At least once per month,0.13161,156,18450,0.11475,0.14985
232,232,2008,17-29 y.,Upper Secondary Level,Seldom,0.36831,514,18450,0.3412,0.396
233,233,2008,17-29 y.,Upper Secondary Level,Never,0.4048,600,18450,0.375,0.43358
234,234,2008,17-29 y.,Post-secondary Non-tertiary Level,Seldom,0.4892,83,18450,0.36636,0.60289
235,235,2008,17-29 y.,Post-secondary Non-tertiary Level,Never,0.5108,99,18450,0.4331,0.62547
236,236,2008,17-29 y.,Second Stage of Tertiary Education,Seldom,0.57961,110,18450,0.45769,0.68611
237,237,2008,17-29 y.,Second Stage of Tertiary Education,Never,0.42039,90,18450,0.34006,0.52379
238,238,2008,30-45 y.,Primary Level,Never,1.0,38,18450,0.77594,1.2742
239,239,2008,30-45 y.,Lower Secondary Level,Seldom,0.2251,66,18450,0.17391,0.28291
240,240,2008,30-45 y.,Lower Secondary Level,Never,0.7749,212,18450,0.68887,0.85838
241,241,2008,30-45 y.,Upper Secondary Level,At least once per week,0.05913,172,18450,0.05191,0.06706
242,242,2008,30-45 y.,Upper Secondary Level,At least once per month,0.11544,273,18450,0.10403,0.12873
243,243,2008,30-45 y.,Upper Secondary Level,Seldom,0.34799,879,18450,0.32916,0.36921
244,244,2008,30-45 y.,Upper Secondary Level,Never,0.47744,1270,18450,0.45396,0.49657
245,245,2008,30-45 y.,Post-secondary Non-tertiary Level,At least once per month,0.0973,47,18450,0.07299,0.12499
246,246,2008,30-45 y.,Post-secondary Non-tertiary Level,Seldom,0.41716,178,18450,0.37586,0.4693
247,247,2008,30-45 y.,Post-secondary Non-tertiary Level,Never,0.48555,234,18450,0.43274,0.53504
248,248,2008,30-45 y.,First Stage of Tertiary Education,At least once per month,0.1308,62,18450,0.10074,0.15631
249,249,2008,30-45 y.,First Stage of Tertiary Education,Seldom,0.42168,189,18450,0.36625,0.47653
250,250,2008,30-45 y.,First Stage of Tertiary Education,Never,0.44752,203,18450,0.39119,0.50981
251,251,2008,30-45 y.,Second Stage of Tertiary Education,At least once per week,0.03227,51,18450,0.02522,0.04381
252,252,2008,30-45 y.,Second Stage of Tertiary Education,At least once per month,0.10779,134,18450,0.09123,0.12605
253,253,2008,30-45 y.,Second Stage of Tertiary Education,Seldom,0.41839,497,18450,0.38426,0.45048
254,254,2008,30-45 y.,Second Stage of Tertiary Education,Never,0.44156,550,18450,0.40899,0.47748
255,255,2008,46-65 y.,Primary Level,Never,1.0,54,18450,0.76523,1.25427
256,256,2008,46-65 y.,Lower Secondary Level,Seldom,0.20027,74,18450,0.1739,0.23735
257,257,2008,46-65 y.,Lower Secondary Level,Never,0.79973,342,18450,0.73379,0.86855
258,258,2008,46-65 y.,Upper Secondary Level,At least once per week,0.0398,138,18450,0.03446,0.04653
259,259,2008,46-65 y.,Upper Secondary Level,At least once per month,0.07194,256,18450,0.06429,0.0786
260,260,2008,46-65 y.,Upper Secondary Level,Seldom,0.29082,1022,18450,0.27589,0.3052
261,261,2008,46-65 y.,Upper Secondary Level,Never,0.59745,2041,18450,0.57697,0.61531
262,262,2008,46-65 y.,Post-secondary Non-tertiary Level,Seldom,0.36592,96,18450,0.28975,0.42853
263,263,2008,46-65 y.,Post-secondary Non-tertiary Level,Never,0.63408,151,18450,0.53784,0.7225
264,264,2008,46-65 y.,First Stage of Tertiary Education,At least once per month,0.09484,45,18450,0.07181,0.12174
265,265,2008,46-65 y.,First Stage of Tertiary Education,Seldom,0.33382,188,18450,0.28061,0.37827
266,266,2008,46-65 y.,First Stage of Tertiary Education,Never,0.57134,316,18450,0.51994,0.63596
267,267,2008,46-65 y.,Second Stage of Tertiary Education,At least once per week,0.03111,54,18450,0.02322,0.03975
268,268,2008,46-65 y.,Second Stage of Tertiary Education,At least once per month,0.07396,159,18450,0.062,0.08584
269,269,2008,46-65 y.,Second Stage of Tertiary Education,Seldom,0.34764,652,18450,0.32371,0.37006
270,270,2008,46-65 y.,Second Stage of Tertiary Education,Never,0.5473,975,18450,0.51242,0.58373
271,271,2008,66 and older,Primary Level,Never,1.0,41,18450,0.81254,1.24199
272,272,2008,66 and older,Lower Secondary Level,Seldom,0.08412,61,18450,0.07407,0.09622
273,273,2008,66 and older,Lower Secondary Level,Never,0.91588,636,18450,0.87813,0.95667
274,274,2008,66 and older,Upper Secondary Level,At least once per week,0.03413,62,18450,0.02908,0.03969
275,275,2008,66 and older,Upper Secondary Level,At least once per month,0.0466,97,18450,0.04024,0.0534
276,276,2008,66 and older,Upper Secondary Level,Seldom,0.17091,415,18450,0.15927,0.18161
277,277,2008,66 and older,Upper Secondary Level,Never,0.74836,1643,18450,0.72439,0.77148
278,278,2008,66 and older,Post-secondary Non-tertiary Level,Never,1.0,83,18450,0.869,1.1181
279,279,2008,66 and older,First Stage of Tertiary Education,Seldom,0.29707,82,18450,0.25024,0.34564
