year,age_gr,migback,plb0218_v1,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2019,46-65 y.,Direct migration background,"No, never",0.29187,487,1117,0.26520,0.31854
2019,46-65 y.,Direct migration background,"Yes, every week",0.11396,162,1117,0.09532,0.13261
2019,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.11620,193,1117,0.09739,0.13500
2019,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.05961,85,1117,0.04572,0.07350
2019,46-65 y.,Direct migration background,"Yes, less frequently",0.12825,190,1117,0.10863,0.14787
2019,46-65 y.,Indirect migration background,"No, never",0.37060,101,235,0.30872,0.43248
2019,46-65 y.,Indirect migration background,"Yes, every week",0.08631,45,235,0.05033,0.12229
2019,46-65 y.,Indirect migration background,"Yes, every 2 weeks",0.18728,34,235,0.13729,0.23727
2019,46-65 y.,Indirect migration background,"Yes, less frequently",0.17347,55,235,0.12495,0.22199
2019,66 and older,No migration background,"No, never",0.03712,242,589,0.02184,0.05240
2019,66 and older,No migration background,"Yes, every week",0.01099,109,589,0.00256,0.01942
2019,66 and older,No migration background,"Yes, every 2 weeks",0.00614,50,589,-0.00017,0.01246
2019,66 and older,No migration background,"Yes, every 3-4 weeks",0.00457,45,589,-0.00088,0.01002
2019,66 and older,No migration background,"Yes, less frequently",0.02076,143,589,0.00923,0.03228
2021,17-29 y.,No migration background,"No, never",0.26693,497,1038,0.24000,0.29385
2021,17-29 y.,No migration background,"Yes, every week",0.05801,120,1038,0.04378,0.07223
2021,17-29 y.,No migration background,"Yes, every 2 weeks",0.08207,174,1038,0.06537,0.09878
2021,17-29 y.,No migration background,"Yes, every 3-4 weeks",0.03544,76,1038,0.02419,0.04669
2021,17-29 y.,No migration background,"Yes, less frequently",0.09706,171,1038,0.07904,0.11508
2021,17-29 y.,Direct migration background,"No, never",0.17059,196,522,0.13829,0.20289
2021,17-29 y.,Direct migration background,"Yes, every week",0.12315,100,522,0.09494,0.15137
2021,17-29 y.,Direct migration background,"Yes, every 2 weeks",0.09660,108,522,0.07123,0.12197
2021,17-29 y.,Direct migration background,"Yes, every 3-4 weeks",0.07263,49,522,0.05034,0.09492
2021,17-29 y.,Direct migration background,"Yes, less frequently",0.04579,69,522,0.02784,0.06374
2021,17-29 y.,Indirect migration background,"No, never",0.27158,121,157,0.20178,0.34137
2021,17-29 y.,Indirect migration background,"Yes, every 2 weeks",0.10865,36,157,0.05981,0.15748
2021,30-45 y.,No migration background,"No, never",0.30977,844,1963,0.28931,0.33023
2021,30-45 y.,No migration background,"Yes, every week",0.07909,233,1963,0.06715,0.09103
2021,30-45 y.,No migration background,"Yes, every 2 weeks",0.09436,263,1963,0.08143,0.10730
2021,30-45 y.,No migration background,"Yes, every 3-4 weeks",0.06851,178,1963,0.05734,0.07969
2021,30-45 y.,No migration background,"Yes, less frequently",0.15818,445,1963,0.14204,0.17433
2021,30-45 y.,Direct migration background,"No, never",0.31611,674,1413,0.29185,0.34036
2021,30-45 y.,Direct migration background,"Yes, every week",0.07894,180,1413,0.06488,0.09301
2021,30-45 y.,Direct migration background,"Yes, every 2 weeks",0.10646,215,1413,0.09038,0.12255
2021,30-45 y.,Direct migration background,"Yes, every 3-4 weeks",0.05566,111,1413,0.04371,0.06762
2021,30-45 y.,Direct migration background,"Yes, less frequently",0.13076,233,1413,0.11317,0.14834
2021,30-45 y.,Indirect migration background,"No, never",0.27604,99,147,0.20353,0.34856
2021,30-45 y.,Indirect migration background,"Yes, less frequently",0.19326,48,147,0.12921,0.25731
2021,46-65 y.,No migration background,"No, never",0.27207,1604,3849,0.25801,0.28613
2021,46-65 y.,No migration background,"Yes, every week",0.07377,556,3849,0.06551,0.08203
2021,46-65 y.,No migration background,"Yes, every 2 weeks",0.07773,501,3849,0.06927,0.08619
2021,46-65 y.,No migration background,"Yes, every 3-4 weeks",0.05606,332,3849,0.04879,0.06333
2021,46-65 y.,No migration background,"Yes, less frequently",0.12601,856,3849,0.11553,0.13650
2021,46-65 y.,Direct migration background,"No, never",0.27481,372,849,0.24476,0.30485
2021,46-65 y.,Direct migration background,"Yes, every week",0.08231,114,849,0.06381,0.10081
2021,46-65 y.,Direct migration background,"Yes, every 2 weeks",0.10672,148,849,0.08593,0.12750
2021,46-65 y.,Direct migration background,"Yes, every 3-4 weeks",0.04628,57,849,0.03214,0.06042
2021,46-65 y.,Direct migration background,"Yes, less frequently",0.13224,158,849,0.10944,0.15504
2021,46-65 y.,Indirect migration background,"No, never",0.40995,69,69,0.29305,0.52685
2021,66 and older,No migration background,"No, never",0.03533,131,249,0.01235,0.05830
2021,66 and older,No migration background,"Yes, every week",0.00885,44,249,-0.00281,0.02051
2021,66 and older,No migration background,"Yes, less frequently",0.01490,74,249,-0.00018,0.02998
