year,bula_h,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1991,North Rhine-Westphalia,1181,1648.63661,1593.06513,1704.20810,948.10873,1432.00000,2096.00000,256.00000,3817.83690,1432.00000,1380.00000,1534.00000
1991,Hesse,443,1721.96165,1625.76678,1818.15652,1023.00000,1534.00000,2199.00000,210.00000,3963.00000,1534.00000,1483.00000,1637.27500
1991,"Rhineland-Palatinate, Saarland",313,1515.34421,1429.39444,1601.29398,946.00000,1380.00000,1994.00000,339.00000,3566.00000,1380.00000,1227.00000,1534.00000
1991,Baden-Wuerttemberg,790,1770.88903,1703.95605,1837.82200,1074.00000,1604.88611,2301.00000,182.00000,4141.50000,1605.00000,1534.00000,1790.00000
1991,Bavaria,761,1633.42904,1572.81441,1694.04367,1023.00000,1534.00000,2045.00000,228.00000,3578.00000,1534.00000,1451.50000,1534.00000
1991,Berlin,314,1507.30742,1394.62011,1619.99474,869.00000,1278.00000,1994.00000,128.00000,3681.50000,1278.00000,1227.00000,1398.00000
1991,Brandenburg,318,942.18617,888.09476,996.27758,518.80454,890.00000,1227.00000,256.00000,2289.29319,890.00000,867.00000,971.00000
1991,Mecklenburg-Western Pomerania,215,956.19837,894.90930,1017.48744,614.00000,920.00000,1227.00000,205.00000,2146.50000,920.00000,767.00000,1023.00000
1991,Saxony,586,874.85389,837.51872,912.18906,511.00000,818.00000,1125.00000,102.00000,2046.00000,818.00000,767.00000,853.00000
1991,Saxony-Anhalt,368,918.92646,864.82144,973.03148,481.95506,869.00000,1176.00000,102.00000,2217.06741,869.00000,792.65000,920.00000
1991,Thuringa,328,866.62280,821.26607,911.97954,511.00000,818.00000,1125.00000,253.00000,2046.00000,818.00000,767.00000,895.00000
1992,Schleswig-Holstein,144,1606.51660,1462.86849,1750.16471,970.31327,1455.09318,2045.00000,239.00000,3657.03009,1457.00000,1329.00000,1636.00000
1992,Hamburg,90,1495.95430,1344.41742,1647.49118,962.93197,1299.73195,2045.00000,389.00000,3668.10204,1299.00000,1174.72500,1534.00000
1992,Lower Saxony,470,1667.33186,1578.54865,1756.11508,1023.00000,1534.00000,2045.00000,179.00000,3578.00000,1534.00000,1329.00000,1534.00000
1992,Bremen,55,1255.47055,1093.02550,1417.91559,818.00000,1039.17563,1655.82715,322.00000,2912.56789,1029.00000,869.00000,1278.00000
1992,North Rhine-Westphalia,1183,1727.16940,1671.85530,1782.48350,1023.00000,1534.00000,2301.00000,256.00000,4218.00000,1534.00000,1461.00000,1585.00000
1992,Hesse,453,1811.17018,1706.19886,1916.14150,1023.00000,1534.00000,2311.05440,205.00000,4243.13601,1534.00000,1483.00000,1790.00000
1992,"Rhineland-Palatinate, Saarland",318,1571.84356,1480.77234,1662.91477,983.97632,1432.00000,2022.75019,256.00000,3580.91101,1432.00000,1278.00000,1534.00000
