year,age_gr,quintil_oecd,plh0107,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2004,46-65 y.,2nd Quintile,Less important,0.19616,190,934,0.17068,0.22164
2004,46-65 y.,2nd Quintile,Unimportant,0.13768,141,934,0.11557,0.15979
2004,46-65 y.,3rd Quintile,Very important,0.13388,157,1080,0.11356,0.15419
2004,46-65 y.,3rd Quintile,Important,0.49317,574,1080,0.46334,0.52300
2004,46-65 y.,3rd Quintile,Less important,0.19534,224,1080,0.17168,0.21900
2004,46-65 y.,3rd Quintile,Unimportant,0.09970,125,1080,0.08182,0.11758
2004,46-65 y.,4th Quintile,Very important,0.13975,221,1402,0.12160,0.15791
2004,46-65 y.,4th Quintile,Important,0.54568,798,1402,0.51961,0.57175
2004,46-65 y.,4th Quintile,Less important,0.18779,278,1402,0.16734,0.20824
2004,46-65 y.,4th Quintile,Unimportant,0.08315,105,1402,0.06869,0.09760
2004,46-65 y.,5th Quintile,Very important,0.20843,603,2777,0.19332,0.22354
2004,46-65 y.,5th Quintile,Important,0.53622,1601,2777,0.51767,0.55477
2004,46-65 y.,5th Quintile,Less important,0.14986,427,2777,0.13658,0.16314
2004,46-65 y.,5th Quintile,Unimportant,0.05304,146,2777,0.04470,0.06138
2004,66 and older,1st Quintile,Very important,0.06088,42,524,0.04039,0.08137
2004,66 and older,1st Quintile,Important,0.18743,124,524,0.15398,0.22087
2004,66 and older,1st Quintile,Less important,0.21084,126,524,0.17588,0.24580
2004,66 and older,1st Quintile,Unimportant,0.37116,232,524,0.32976,0.41257
2004,66 and older,2nd Quintile,Very important,0.06185,55,730,0.04437,0.07934
2004,66 and older,2nd Quintile,Important,0.22971,217,730,0.19918,0.26025
2004,66 and older,2nd Quintile,Less important,0.16624,146,730,0.13921,0.19326
2004,66 and older,2nd Quintile,Unimportant,0.34295,312,730,0.30849,0.37741
2004,66 and older,3rd Quintile,Very important,0.05030,48,651,0.03350,0.06710
2004,66 and older,3rd Quintile,Important,0.26189,213,651,0.22809,0.29569
2004,66 and older,3rd Quintile,Less important,0.13817,109,651,0.11164,0.16470
2004,66 and older,3rd Quintile,Unimportant,0.36535,281,651,0.32833,0.40237
2004,66 and older,4th Quintile,Very important,0.07893,62,583,0.05702,0.10083
2004,66 and older,4th Quintile,Important,0.29903,215,583,0.26183,0.33622
2004,66 and older,4th Quintile,Less important,0.14265,105,583,0.11424,0.17107
2004,66 and older,4th Quintile,Unimportant,0.28810,201,583,0.25130,0.32489
2004,66 and older,5th Quintile,Very important,0.09965,90,616,0.07598,0.12332
2004,66 and older,5th Quintile,Important,0.29085,238,616,0.25495,0.32674
2004,66 and older,5th Quintile,Less important,0.14366,107,616,0.11594,0.17138
2004,66 and older,5th Quintile,Unimportant,0.26967,181,616,0.23459,0.30474
2008,17-29 y.,1st Quintile,Very important,0.35823,307,770,0.32434,0.39212
2008,17-29 y.,1st Quintile,Important,0.44910,389,770,0.41395,0.48426
2008,17-29 y.,1st Quintile,Less important,0.09369,74,770,0.07309,0.11428
2008,17-29 y.,2nd Quintile,Very important,0.30823,207,561,0.26998,0.34647
2008,17-29 y.,2nd Quintile,Important,0.52096,308,561,0.47958,0.56234
2008,17-29 y.,2nd Quintile,Less important,0.06744,46,561,0.04667,0.08821
2008,17-29 y.,3rd Quintile,Very important,0.35940,245,630,0.32190,0.39690
2008,17-29 y.,3rd Quintile,Important,0.50903,337,630,0.46997,0.54810
2008,17-29 y.,3rd Quintile,Less important,0.06163,48,630,0.04284,0.08042
2008,17-29 y.,4th Quintile,Very important,0.35960,228,599,0.32114,0.39807
2008,17-29 y.,4th Quintile,Important,0.47862,311,599,0.43858,0.51866
2008,17-29 y.,4th Quintile,Less important,0.08878,60,599,0.06599,0.11158
2008,17-29 y.,5th Quintile,Very important,0.39309,222,550,0.35223,0.43394
2008,17-29 y.,5th Quintile,Important,0.48929,297,550,0.44747,0.53110
2008,17-29 y.,5th Quintile,Less important,0.04569,31,550,0.02822,0.06316
2008,30-45 y.,1st Quintile,Very important,0.21517,140,717,0.18507,0.24528
2008,30-45 y.,1st Quintile,Important,0.53508,412,717,0.49854,0.57161
2008,30-45 y.,1st Quintile,Less important,0.19143,134,717,0.16261,0.22025
2008,30-45 y.,1st Quintile,Unimportant,0.04168,31,717,0.02704,0.05632
2008,30-45 y.,2nd Quintile,Very important,0.19632,175,889,0.17019,0.22244
2008,30-45 y.,2nd Quintile,Important,0.59503,548,889,0.56274,0.62731
2008,30-45 y.,2nd Quintile,Less important,0.18120,166,889,0.15587,0.20654
2008,30-45 y.,3rd Quintile,Very important,0.21223,225,1069,0.18771,0.23676
2008,30-45 y.,3rd Quintile,Important,0.59700,660,1069,0.56758,0.62642
2008,30-45 y.,3rd Quintile,Less important,0.16521,184,1069,0.14294,0.18748
2008,30-45 y.,4th Quintile,Very important,0.21973,244,1122,0.19549,0.24397
2008,30-45 y.,4th Quintile,Important,0.62465,709,1122,0.59631,0.65300
2008,30-45 y.,4th Quintile,Less important,0.14197,169,1122,0.12153,0.16240
2008,30-45 y.,5th Quintile,Very important,0.21687,295,1286,0.19434,0.23940
2008,30-45 y.,5th Quintile,Important,0.59724,762,1286,0.57042,0.62405
2008,30-45 y.,5th Quintile,Less important,0.16978,229,1286,0.14925,0.19031
2008,46-65 y.,1st Quintile,Very important,0.12274,97,755,0.09932,0.14616
2008,46-65 y.,1st Quintile,Important,0.41044,337,755,0.37533,0.44555
2008,46-65 y.,1st Quintile,Less important,0.21813,173,755,0.18865,0.24761
2008,46-65 y.,1st Quintile,Unimportant,0.18592,148,755,0.15815,0.21368
2008,46-65 y.,2nd Quintile,Very important,0.11989,109,785,0.09715,0.14263
2008,46-65 y.,2nd Quintile,Important,0.49011,403,785,0.45511,0.52510
2008,46-65 y.,2nd Quintile,Less important,0.20217,162,785,0.17406,0.23029
2008,46-65 y.,2nd Quintile,Unimportant,0.13256,111,785,0.10883,0.15630
2008,46-65 y.,3rd Quintile,Very important,0.12732,133,1048,0.10713,0.14751
2008,46-65 y.,3rd Quintile,Important,0.56112,627,1048,0.53106,0.59118
2008,46-65 y.,3rd Quintile,Less important,0.17940,196,1048,0.15616,0.20265
2008,46-65 y.,3rd Quintile,Unimportant,0.08026,92,1048,0.06380,0.09672
2008,46-65 y.,4th Quintile,Very important,0.13919,213,1436,0.12128,0.15710
2008,46-65 y.,4th Quintile,Important,0.53627,823,1436,0.51047,0.56208
2008,46-65 y.,4th Quintile,Less important,0.20717,295,1436,0.18620,0.22814
2008,46-65 y.,4th Quintile,Unimportant,0.08002,105,1436,0.06598,0.09406
2008,46-65 y.,5th Quintile,Very important,0.16632,445,2410,0.15145,0.18119
2008,46-65 y.,5th Quintile,Important,0.59186,1414,2410,0.57224,0.61149
2008,46-65 y.,5th Quintile,Less important,0.15697,395,2410,0.14244,0.17149
2008,46-65 y.,5th Quintile,Unimportant,0.05992,156,2410,0.05044,0.06940
2008,66 and older,1st Quintile,Very important,0.03728,32,582,0.02188,0.05269
2008,66 and older,1st Quintile,Important,0.20729,153,582,0.17433,0.24026
2008,66 and older,1st Quintile,Less important,0.15621,116,582,0.12668,0.18573
2008,66 and older,1st Quintile,Unimportant,0.38738,281,582,0.34777,0.42699
2008,66 and older,2nd Quintile,Very important,0.04938,58,852,0.03482,0.06393
2008,66 and older,2nd Quintile,Important,0.24916,266,852,0.22010,0.27822
2008,66 and older,2nd Quintile,Less important,0.12938,137,852,0.10683,0.15193
2008,66 and older,2nd Quintile,Unimportant,0.38450,391,852,0.35181,0.41718
2008,66 and older,3rd Quintile,Very important,0.06149,62,783,0.04465,0.07833
2008,66 and older,3rd Quintile,Important,0.22450,229,783,0.19525,0.25374
