year,age_gr,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
1987,66 und älter,1. Quintil,10.099609871936226,10.051081975159986,10.148137768712465,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5125,670.0
1987,66 und älter,2. Quintil,10.998127034587169,10.868226560022007,11.12802750915233,9.0,10.5,11.5,7.0,15.25,10.5,10.0,10.5,233.0
1987,66 und älter,3. Quintil,11.690131856255789,11.457004730536433,11.923258981975145,10.5,11.0,12.0,8.25,14.25,11.0,10.5,11.5,97.0
1987,66 und älter,4. Quintil,12.218330492185228,11.785533412833491,12.651127571536964,10.5,11.5,13.022777630111502,9.0,16.806944075278757,11.5,11.0,12.5,42.0
1987,66 und älter,5. Quintil,,,,,,,,,,,,
1988,unter 18 J.,-6,,,,,,,,,,,,
1988,18-29 J.,1. Quintil,10.957991802020357,10.901531786157287,11.014451817883428,10.0,10.5,12.0,7.0,15.0,10.5,10.5,10.5,1109.0
1988,18-29 J.,2. Quintil,11.14693358696998,11.088244263143542,11.20562291079642,10.5,10.5,11.5,9.0,13.0,10.5,10.0,10.5,791.0
1988,18-29 J.,3. Quintil,11.505807394999179,11.422451191737753,11.589163598260605,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.0,424.0
1988,18-29 J.,4. Quintil,11.608169733259455,11.437667112179023,11.778672354339887,10.5,11.5,12.0,8.25,14.25,11.5,11.5,12.5,110.0
1988,18-29 J.,5. Quintil,,,,,,,,,,,,
1988,30-45 J.,1. Quintil,10.713220253237736,10.66210333208002,10.764337174395452,10.0,10.5,11.0,8.5,12.5,10.5,10.5,10.5,1302.0
1988,30-45 J.,2. Quintil,11.459554922329897,11.380058977401589,11.539050867258204,10.5,10.5,11.5,9.0,13.0,10.5,10.5,10.5,806.0
1988,30-45 J.,3. Quintil,12.22285562181211,12.099228938927894,12.346482304696327,10.5,11.0,13.0,7.0,16.75,11.0,10.5,11.0,474.0
1988,30-45 J.,4. Quintil,13.344402676877515,13.165414983231232,13.523390370523797,11.0,12.0,16.0,7.0,18.0,12.0,12.0,12.5,256.0
1988,30-45 J.,5. Quintil,14.270801977375546,13.937107072997524,14.604496881753569,11.5,14.0,18.0,7.0,18.0,14.0,12.0,16.0,76.0
1988,46-65 J.,1. Quintil,10.064734282863284,10.025818574101955,10.103649991624614,9.0,10.5,10.5,7.0,12.75,10.5,10.5,10.5,1180.0
