year,bula_h,rentown,hgeqpgar,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
1991,"Rhineland-Palatinate, Saarland",Tenant,No,0.60177,97,6377,0,0.51763,0,0.68691
1991,Baden-Wuerttemberg,Owner,Yes,0.87392,297,6377,0,0.82022,0,0.92211
1991,Baden-Wuerttemberg,Owner,No,0.12608,50,6377,0,0.10550,0,0.14993
1991,Baden-Wuerttemberg,Tenant,Yes,0.40439,186,6377,0,0.36137,0,0.45723
1991,Baden-Wuerttemberg,Tenant,No,0.59561,297,6377,0,0.53111,0,0.65747
1991,Bavaria,Owner,Yes,0.90906,314,6377,0,0.87475,0,0.94923
1991,Bavaria,Owner,No,0.09094,31,6377,0,0.07726,0,0.10857
1991,Bavaria,Tenant,Yes,0.35750,151,6377,0,0.32202,0,0.38639
1991,Bavaria,Tenant,No,0.64250,297,6377,0,0.60400,0,0.70355
1991,Berlin,Tenant,No,1.00000,260,6377,0,0.91278,0,1.08566
1991,Brandenburg,Owner,Yes,1.00000,114,6377,0,0.91309,0,1.09760
1991,Brandenburg,Tenant,Yes,0.36340,77,6377,0,0.32943,0,0.40665
1991,Brandenburg,Tenant,No,0.63660,122,6377,0,0.57794,0,0.69761
1991,Mecklenburg-Western Pomerania,Owner,Yes,1.00000,57,6377,0,0.88189,0,1.13866
1991,Mecklenburg-Western Pomerania,Tenant,Yes,0.39199,61,6377,0,0.34180,0,0.44758
1991,Mecklenburg-Western Pomerania,Tenant,No,0.60801,97,6377,0,0.54652,0,0.66681
1991,Saxony,Owner,Yes,1.00000,134,6377,0,0.91770,0,1.09167
1991,Saxony,Tenant,Yes,0.25682,127,6377,0,0.23382,0,0.28132
1991,Saxony,Tenant,No,0.74318,323,6377,0,0.69833,0,0.78959
1991,Saxony-Anhalt,Owner,Yes,1.00000,114,6377,0,0.91223,0,1.09820
1991,Saxony-Anhalt,Tenant,Yes,0.24207,59,6377,0,0.20221,0,0.28934
1991,Saxony-Anhalt,Tenant,No,0.75793,171,6377,0,0.69207,0,0.82052
1991,Thuringa,Owner,Yes,1.00000,124,6377,0,0.91183,0,1.09833
1991,Thuringa,Tenant,Yes,0.25324,54,6377,0,0.21150,0,0.30015
1991,Thuringa,Tenant,No,0.74676,133,6377,0,0.68410,0,0.80974
1992,Schleswig-Holstein,Owner,Yes,1.00000,59,6249,0,0.90888,0,1.09747
1992,Schleswig-Holstein,Tenant,Yes,0.48695,37,6249,0,0.42218,0,0.55134
1992,Schleswig-Holstein,Tenant,No,0.51305,39,6249,0,0.40943,0,0.60031
1992,Hamburg,Tenant,No,1.00000,63,6249,0,0.86372,0,1.14177
1992,Lower Saxony,Owner,Yes,1.00000,205,6249,0,0.93626,0,1.07330
1992,Lower Saxony,Tenant,Yes,0.40686,102,6249,0,0.37185,0,0.44941
1992,Lower Saxony,Tenant,No,0.59314,162,6249,0,0.53034,0,0.66015
1992,Bremen,Tenant,No,1.00000,35,6249,0,0.83794,0,1.16844
1992,North Rhine-Westphalia,Owner,Yes,0.90720,387,6249,0,0.86764,0,0.95053
1992,North Rhine-Westphalia,Owner,No,0.09280,33,6249,0,0.07599,0,0.11286
1992,North Rhine-Westphalia,Tenant,Yes,0.32634,271,6249,0,0.30233,0,0.35558
1992,North Rhine-Westphalia,Tenant,No,0.67366,547,6249,0,0.62348,0,0.71595
1992,Hesse,Owner,Yes,1.00000,143,6249,0,0.92856,0,1.09018
1992,Hesse,Tenant,Yes,0.34125,88,6249,0,0.28844,0,0.38610
1992,Hesse,Tenant,No,0.65875,205,6249,0,0.58180,0,0.75015
1992,"Rhineland-Palatinate, Saarland",Owner,Yes,1.00000,149,6249,0,0.93935,0,1.07692
1992,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.39672,66,6249,0,0.35026,0,0.44381
1992,"Rhineland-Palatinate, Saarland",Tenant,No,0.60328,102,6249,0,0.50772,0,0.69218
1992,Baden-Wuerttemberg,Owner,Yes,0.86949,295,6249,0,0.81635,0,0.93413
1992,Baden-Wuerttemberg,Owner,No,0.13051,47,6249,0,0.10405,0,0.15496
1992,Baden-Wuerttemberg,Tenant,Yes,0.41892,183,6249,0,0.37126,0,0.46325
1992,Baden-Wuerttemberg,Tenant,No,0.58108,298,6249,0,0.50493,0,0.64877
1992,Bavaria,Owner,Yes,0.90762,319,6249,0,0.86991,0,0.94698
1992,Bavaria,Owner,No,0.09238,33,6249,0,0.07276,0,0.11143
1992,Bavaria,Tenant,Yes,0.32993,146,6249,0,0.29422,0,0.37046
1992,Bavaria,Tenant,No,0.67007,306,6249,0,0.61169,0,0.74753
1992,Berlin,Tenant,No,1.00000,256,6249,0,0.91215,0,1.08515
1992,Brandenburg,Owner,Yes,1.00000,103,6249,0,0.92746,0,1.09443
1992,Brandenburg,Tenant,Yes,0.43472,84,6249,0,0.39000,0,0.48047
1992,Brandenburg,Tenant,No,0.56528,112,6249,0,0.51574,0,0.61899
1992,Mecklenburg-Western Pomerania,Owner,Yes,1.00000,53,6249,0,0.87904,0,1.13382
1992,Mecklenburg-Western Pomerania,Tenant,Yes,0.34621,47,6249,0,0.29336,0,0.39972
1992,Mecklenburg-Western Pomerania,Tenant,No,0.65379,93,6249,0,0.59035,0,0.71964
1992,Saxony,Owner,Yes,1.00000,131,6249,0,0.91664,0,1.08723
1992,Saxony,Tenant,Yes,0.24627,114,6249,0,0.22561,0,0.27110
1992,Saxony,Tenant,No,0.75373,309,6249,0,0.71196,0,0.80340
1992,Saxony-Anhalt,Owner,Yes,1.00000,103,6249,0,0.88488,0,1.12032
1992,Saxony-Anhalt,Tenant,Yes,0.27022,62,6249,0,0.22327,0,0.31107
1992,Saxony-Anhalt,Tenant,No,0.72978,165,6249,0,0.66978,0,0.80607
1992,Thuringa,Owner,Yes,1.00000,122,6249,0,0.91023,0,1.09116
1992,Thuringa,Tenant,Yes,0.27526,49,6249,0,0.23526,0,0.31743
1992,Thuringa,Tenant,No,0.72474,126,6249,0,0.65934,0,0.80068
1993,Schleswig-Holstein,Owner,Yes,1.00000,60,6179,0,0.90420,0,1.11313
1993,Schleswig-Holstein,Tenant,Yes,0.46289,41,6179,0,0.39021,0,0.52438
1993,Schleswig-Holstein,Tenant,No,0.53711,45,6179,0,0.44243,0,0.62576
1993,Hamburg,Tenant,No,1.00000,64,6179,0,0.86942,0,1.14114
1993,Lower Saxony,Owner,Yes,1.00000,208,6179,0,0.94081,0,1.07117
1993,Lower Saxony,Tenant,Yes,0.42884,105,6179,0,0.38083,0,0.48003
1993,Lower Saxony,Tenant,No,0.57116,170,6179,0,0.52240,0,0.63662
1993,Bremen,Tenant,No,1.00000,32,6179,0,0.80001,0,1.15765
1993,North Rhine-Westphalia,Owner,Yes,0.89580,386,6179,0,0.85224,0,0.94514
1993,North Rhine-Westphalia,Owner,No,0.10420,36,6179,0,0.08157,0,0.12252
1993,North Rhine-Westphalia,Tenant,Yes,0.33288,279,6179,0,0.29890,0,0.36415
1993,North Rhine-Westphalia,Tenant,No,0.66712,531,6179,0,0.61679,0,0.71530
1993,Hesse,Owner,Yes,1.00000,137,6179,0,0.91529,0,1.08503
