"pgstib","year","bula_h","n","percent","lower_confidence","upper_confidence"
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1988","Berlin","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1988","Brandenburg","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1988","Mecklenburg-Vorpommern","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1988","Sachsen","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1988","Sachsen-Anhalt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1988","Thueringen","","","",""
"Beamte, einfacher Dienst","1988","Schleswig-Holstein","","","",""
"Beamte, einfacher Dienst","1988","Hamburg","","","",""
"Beamte, einfacher Dienst","1988","Niedersachsen","","","",""
"Beamte, einfacher Dienst","1988","Bremen","","","",""
"Beamte, einfacher Dienst","1988","Nordrhein-Westfalen","","","",""
"Beamte, einfacher Dienst","1988","Hessen","","","",""
"Beamte, einfacher Dienst","1988","Rheinland-Pfalz,Saarland","","","",""
"Beamte, einfacher Dienst","1988","Baden-Wuerttemberg","","","",""
"Beamte, einfacher Dienst","1988","Bayern","","","",""
"Beamte, einfacher Dienst","1988","Saarland","","","",""
"Beamte, einfacher Dienst","1988","Berlin","","","",""
"Beamte, einfacher Dienst","1988","Brandenburg","","","",""
"Beamte, einfacher Dienst","1988","Mecklenburg-Vorpommern","","","",""
"Beamte, einfacher Dienst","1988","Sachsen","","","",""
"Beamte, einfacher Dienst","1988","Sachsen-Anhalt","","","",""
"Beamte, einfacher Dienst","1988","Thueringen","","","",""
"Beamte, mittlerer Dienst","1988","Schleswig-Holstein","","","",""
"Beamte, mittlerer Dienst","1988","Hamburg","","","",""
"Beamte, mittlerer Dienst","1988","Niedersachsen","","","",""
"Beamte, mittlerer Dienst","1988","Bremen","","","",""
"Beamte, mittlerer Dienst","1988","Nordrhein-Westfalen","38","0.0156278335786824","0.0109494560978983","0.0203062110594664"
"Beamte, mittlerer Dienst","1988","Hessen","","","",""
"Beamte, mittlerer Dienst","1988","Rheinland-Pfalz,Saarland","","","",""
"Beamte, mittlerer Dienst","1988","Baden-Wuerttemberg","","","",""
"Beamte, mittlerer Dienst","1988","Bayern","31","0.0197729405210398","0.0130595479584899","0.0264863330835897"
"Beamte, mittlerer Dienst","1988","Saarland","","","",""
"Beamte, mittlerer Dienst","1988","Berlin","","","",""
"Beamte, mittlerer Dienst","1988","Brandenburg","","","",""
"Beamte, mittlerer Dienst","1988","Mecklenburg-Vorpommern","","","",""
"Beamte, mittlerer Dienst","1988","Sachsen","","","",""
"Beamte, mittlerer Dienst","1988","Sachsen-Anhalt","","","",""
"Beamte, mittlerer Dienst","1988","Thueringen","","","",""
"Beamte, gehobener Dienst","1988","Schleswig-Holstein","","","",""
"Beamte, gehobener Dienst","1988","Hamburg","","","",""
"Beamte, gehobener Dienst","1988","Niedersachsen","","","",""
"Beamte, gehobener Dienst","1988","Bremen","","","",""
"Beamte, gehobener Dienst","1988","Nordrhein-Westfalen","44","0.016768129498314","0.0119248839018695","0.0216113750947584"
"Beamte, gehobener Dienst","1988","Hessen","","","",""
"Beamte, gehobener Dienst","1988","Rheinland-Pfalz,Saarland","","","",""
"Beamte, gehobener Dienst","1988","Baden-Wuerttemberg","","","",""
"Beamte, gehobener Dienst","1988","Bayern","","","",""
"Beamte, gehobener Dienst","1988","Saarland","","","",""
"Beamte, gehobener Dienst","1988","Berlin","","","",""
"Beamte, gehobener Dienst","1988","Brandenburg","","","",""
"Beamte, gehobener Dienst","1988","Mecklenburg-Vorpommern","","","",""
"Beamte, gehobener Dienst","1988","Sachsen","","","",""
"Beamte, gehobener Dienst","1988","Sachsen-Anhalt","","","",""
"Beamte, gehobener Dienst","1988","Thueringen","","","",""
"Beamte, höherer Dienst","1988","Schleswig-Holstein","","","",""
"Beamte, höherer Dienst","1988","Hamburg","","","",""
"Beamte, höherer Dienst","1988","Niedersachsen","","","",""
"Beamte, höherer Dienst","1988","Bremen","","","",""
"Beamte, höherer Dienst","1988","Nordrhein-Westfalen","31","0.0122849053371697","0.00812993467575263","0.0164398759985869"
"Beamte, höherer Dienst","1988","Hessen","","","",""
"Beamte, höherer Dienst","1988","Rheinland-Pfalz,Saarland","","","",""
"Beamte, höherer Dienst","1988","Baden-Wuerttemberg","","","",""
"Beamte, höherer Dienst","1988","Bayern","","","",""
"Beamte, höherer Dienst","1988","Saarland","","","",""
"Beamte, höherer Dienst","1988","Berlin","","","",""
"Beamte, höherer Dienst","1988","Brandenburg","","","",""
"Beamte, höherer Dienst","1988","Mecklenburg-Vorpommern","","","",""
"Beamte, höherer Dienst","1988","Sachsen","","","",""
"Beamte, höherer Dienst","1988","Sachsen-Anhalt","","","",""
"Beamte, höherer Dienst","1988","Thueringen","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Schleswig-Holstein","54","0.164156297683241","0.122517075260061","0.205795520106421"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Hamburg","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Niedersachsen","147","0.128928270919754","0.108168044259568","0.14968849757994"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Bremen","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Nordrhein-Westfalen","461","0.142177400108089","0.128812584482859","0.15554221573332"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Hessen","144","0.117663055838308","0.0976526583588874","0.137673453317729"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Rheinland-Pfalz,Saarland","116","0.150907812854421","0.124295110694722","0.177520515014121"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Baden-Wuerttemberg","250","0.112864376429922","0.0983309983779602","0.127397754481883"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Bayern","213","0.118629923811852","0.102859691021102","0.134400156602602"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Saarland","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Berlin","32","0.0631197640429425","0.0369618100742288","0.0892777180116563"
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Brandenburg","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Mecklenburg-Vorpommern","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Sachsen","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Sachsen-Anhalt","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1989","Thueringen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Schleswig-Holstein","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Hamburg","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Niedersachsen","63","0.0531019781140113","0.0392108343299626","0.06699312189806"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Bremen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Nordrhein-Westfalen","206","0.0685903461729762","0.058917577300512","0.0782631150454404"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Hessen","49","0.0475416008424395","0.0343262611626399","0.060756940522239"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Rheinland-Pfalz,Saarland","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Baden-Wuerttemberg","79","0.045378466530952","0.0358190003905762","0.0549379326713278"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Bayern","89","0.0508838750298348","0.0401659283467915","0.061601821712878"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Saarland","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Berlin","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Brandenburg","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Mecklenburg-Vorpommern","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Sachsen","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Sachsen-Anhalt","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1989","Thueringen","","","",""
"NE: arbeitslos gemeldet","1989","Schleswig-Holstein","","","",""
"NE: arbeitslos gemeldet","1989","Hamburg","","","",""
"NE: arbeitslos gemeldet","1989","Niedersachsen","48","0.0416101895110259","0.029239269665225","0.0539811093568267"
"NE: arbeitslos gemeldet","1989","Bremen","","","",""
"NE: arbeitslos gemeldet","1989","Nordrhein-Westfalen","95","0.0360973268136229","0.0289588910008764","0.0432357626263695"
"NE: arbeitslos gemeldet","1989","Hessen","32","0.0218740661484891","0.0127899941164042","0.0309581381805739"
"NE: arbeitslos gemeldet","1989","Rheinland-Pfalz,Saarland","31","0.0368045783096743","0.0228066483350635","0.0508025082842852"
"NE: arbeitslos gemeldet","1989","Baden-Wuerttemberg","38","0.0163086707414932","0.0104912319548411","0.0221261095281453"
"NE: arbeitslos gemeldet","1989","Bayern","40","0.0197396729154636","0.0129554123928242","0.026523933438103"
"NE: arbeitslos gemeldet","1989","Saarland","","","",""
"NE: arbeitslos gemeldet","1989","Berlin","","","",""
"NE: arbeitslos gemeldet","1989","Brandenburg","","","",""
"NE: arbeitslos gemeldet","1989","Mecklenburg-Vorpommern","","","",""
"NE: arbeitslos gemeldet","1989","Sachsen","","","",""
"NE: arbeitslos gemeldet","1989","Sachsen-Anhalt","","","",""
"NE: arbeitslos gemeldet","1989","Thueringen","","","",""
"NE: Rentner/Rentnerin","1989","Schleswig-Holstein","45","0.213034522760197","0.167007367532183","0.259061677988211"
"NE: Rentner/Rentnerin","1989","Hamburg","41","0.299801525652302","0.235494520466668","0.364108530837936"
"NE: Rentner/Rentnerin","1989","Niedersachsen","173","0.25618720396468","0.229145030649897","0.283229377279463"
"NE: Rentner/Rentnerin","1989","Bremen","30","0.39596017259485","0.303725384757192","0.488194960432508"
"NE: Rentner/Rentnerin","1989","Nordrhein-Westfalen","360","0.219395056166974","0.203557870326147","0.235232242007801"
"NE: Rentner/Rentnerin","1989","Hessen","161","0.278438856405402","0.250602017791501","0.306275695019304"
"NE: Rentner/Rentnerin","1989","Rheinland-Pfalz,Saarland","118","0.233572865977373","0.202116951206972","0.265028780747774"
"NE: Rentner/Rentnerin","1989","Baden-Wuerttemberg","246","0.228484140179231","0.209200297621858","0.247767982736603"
"NE: Rentner/Rentnerin","1989","Bayern","231","0.230951157290907","0.210397038575323","0.251505276006491"
"NE: Rentner/Rentnerin","1989","Saarland","","","",""
"NE: Rentner/Rentnerin","1989","Berlin","51","0.26047300144442","0.213262629360492","0.307683373528349"
"NE: Rentner/Rentnerin","1989","Brandenburg","","","",""
"NE: Rentner/Rentnerin","1989","Mecklenburg-Vorpommern","","","",""
"NE: Rentner/Rentnerin","1989","Sachsen","","","",""
"NE: Rentner/Rentnerin","1989","Sachsen-Anhalt","","","",""
"NE: Rentner/Rentnerin","1989","Thueringen","","","",""
"NE: Wehr- und Zivildienst","1989","Schleswig-Holstein","","","",""
"NE: Wehr- und Zivildienst","1989","Hamburg","","","",""
"NE: Wehr- und Zivildienst","1989","Niedersachsen","","","",""
"NE: Wehr- und Zivildienst","1989","Bremen","","","",""
"NE: Wehr- und Zivildienst","1989","Nordrhein-Westfalen","","","",""
"NE: Wehr- und Zivildienst","1989","Hessen","","","",""
"NE: Wehr- und Zivildienst","1989","Rheinland-Pfalz,Saarland","","","",""
"NE: Wehr- und Zivildienst","1989","Baden-Wuerttemberg","","","",""
"NE: Wehr- und Zivildienst","1989","Bayern","","","",""
"NE: Wehr- und Zivildienst","1989","Saarland","","","",""
"NE: Wehr- und Zivildienst","1989","Berlin","","","",""
"NE: Wehr- und Zivildienst","1989","Brandenburg","","","",""
"NE: Wehr- und Zivildienst","1989","Mecklenburg-Vorpommern","","","",""
"NE: Wehr- und Zivildienst","1989","Sachsen","","","",""
"NE: Wehr- und Zivildienst","1989","Sachsen-Anhalt","","","",""
"NE: Wehr- und Zivildienst","1989","Thueringen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Schleswig-Holstein","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Hamburg","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Niedersachsen","38","0.0284533819390724","0.0181535575227299","0.0387532063554148"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Bremen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Nordrhein-Westfalen","91","0.033097988906365","0.0262519245007997","0.0399440533119303"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Hessen","32","0.0219036758613925","0.0128135951957907","0.0309937565269942"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Rheinland-Pfalz,Saarland","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Baden-Wuerttemberg","78","0.0362420155441041","0.0276581425387097","0.0448258885494986"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Bayern","59","0.0279430494247082","0.0199051127172302","0.0359809861321862"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Saarland","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Berlin","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Brandenburg","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Mecklenburg-Vorpommern","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Sachsen","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Sachsen-Anhalt","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1989","Thueringen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Schleswig-Holstein","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Hamburg","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Niedersachsen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Bremen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Nordrhein-Westfalen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Hessen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Rheinland-Pfalz,Saarland","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Baden-Wuerttemberg","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Bayern","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Saarland","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Berlin","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Brandenburg","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Mecklenburg-Vorpommern","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Sachsen","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Sachsen-Anhalt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1989","Thueringen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Schleswig-Holstein","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Hamburg","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Niedersachsen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Bremen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Nordrhein-Westfalen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Hessen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Rheinland-Pfalz,Saarland","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Baden-Wuerttemberg","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Bayern","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Saarland","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Berlin","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Brandenburg","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Mecklenburg-Vorpommern","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Sachsen","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Sachsen-Anhalt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1989","Thueringen","","","",""
"Volontäre, Praktikanten","1989","Schleswig-Holstein","","","",""
"Volontäre, Praktikanten","1989","Hamburg","","","",""
"Volontäre, Praktikanten","1989","Niedersachsen","","","",""
"Volontäre, Praktikanten","1989","Bremen","","","",""
"Volontäre, Praktikanten","1989","Nordrhein-Westfalen","","","",""
"Volontäre, Praktikanten","1989","Hessen","","","",""
"Volontäre, Praktikanten","1989","Rheinland-Pfalz,Saarland","","","",""
"Volontäre, Praktikanten","1989","Baden-Wuerttemberg","","","",""
"Volontäre, Praktikanten","1989","Bayern","","","",""
"Volontäre, Praktikanten","1989","Saarland","","","",""
"Volontäre, Praktikanten","1989","Berlin","","","",""
"Volontäre, Praktikanten","1989","Brandenburg","","","",""
"Volontäre, Praktikanten","1989","Mecklenburg-Vorpommern","","","",""
"Volontäre, Praktikanten","1989","Sachsen","","","",""
"Volontäre, Praktikanten","1989","Sachsen-Anhalt","","","",""
"Volontäre, Praktikanten","1989","Thueringen","","","",""
"Aspiranten (1990 Ost)","1989","Schleswig-Holstein","","","",""
"Aspiranten (1990 Ost)","1989","Hamburg","","","",""
"Aspiranten (1990 Ost)","1989","Niedersachsen","","","",""
"Aspiranten (1990 Ost)","1989","Bremen","","","",""
"Aspiranten (1990 Ost)","1989","Nordrhein-Westfalen","","","",""
"Aspiranten (1990 Ost)","1989","Hessen","","","",""
"Aspiranten (1990 Ost)","1989","Rheinland-Pfalz,Saarland","","","",""
"Aspiranten (1990 Ost)","1989","Baden-Wuerttemberg","","","",""
"Aspiranten (1990 Ost)","1989","Bayern","","","",""
"Aspiranten (1990 Ost)","1989","Saarland","","","",""
"Aspiranten (1990 Ost)","1989","Berlin","","","",""
"Aspiranten (1990 Ost)","1989","Brandenburg","","","",""
"Aspiranten (1990 Ost)","1989","Mecklenburg-Vorpommern","","","",""
"Aspiranten (1990 Ost)","1989","Sachsen","","","",""
"Aspiranten (1990 Ost)","1989","Sachsen-Anhalt","","","",""
"Aspiranten (1990 Ost)","1989","Thueringen","","","",""
"ungelernter Arbeiter","1989","Schleswig-Holstein","","","",""
"ungelernter Arbeiter","1989","Hamburg","","","",""
"ungelernter Arbeiter","1989","Niedersachsen","34","0.0255152302826735","0.015746945186671","0.035283515378676"
"ungelernter Arbeiter","1989","Bremen","","","",""
"ungelernter Arbeiter","1989","Nordrhein-Westfalen","124","0.0228757252686137","0.0171542070772382","0.0285972434599892"
"ungelernter Arbeiter","1989","Hessen","61","0.0378777887507223","0.0260221256116236","0.049733451889821"
"ungelernter Arbeiter","1989","Rheinland-Pfalz,Saarland","","","",""
"ungelernter Arbeiter","1989","Baden-Wuerttemberg","123","0.0385432186649986","0.0297015957047309","0.0473848416252664"
"ungelernter Arbeiter","1989","Bayern","77","0.0286932839760295","0.0205513017162444","0.0368352662358146"
"ungelernter Arbeiter","1989","Saarland","","","",""
"ungelernter Arbeiter","1989","Berlin","31","0.0485228807344604","0.0254101365821489","0.0716356248867719"
"ungelernter Arbeiter","1989","Brandenburg","","","",""
"ungelernter Arbeiter","1989","Mecklenburg-Vorpommern","","","",""
"ungelernter Arbeiter","1989","Sachsen","","","",""
"ungelernter Arbeiter","1989","Sachsen-Anhalt","","","",""
"ungelernter Arbeiter","1989","Thueringen","","","",""
"angelernter Arbeiter","1989","Schleswig-Holstein","","","",""
"angelernter Arbeiter","1989","Hamburg","","","",""
"angelernter Arbeiter","1989","Niedersachsen","84","0.0568802763445243","0.0425321459503386","0.0712284067387099"
"angelernter Arbeiter","1989","Bremen","","","",""
"angelernter Arbeiter","1989","Nordrhein-Westfalen","264","0.0616474499836137","0.0524431763045388","0.0708517236626886"
"angelernter Arbeiter","1989","Hessen","125","0.0767160396520266","0.060187702821878","0.0932443764821752"
"angelernter Arbeiter","1989","Rheinland-Pfalz,Saarland","88","0.0937799209358681","0.0721065002837862","0.11545334158795"
"angelernter Arbeiter","1989","Baden-Wuerttemberg","306","0.0926078254842672","0.0792936438849726","0.105922007083562"
"angelernter Arbeiter","1989","Bayern","192","0.0736987981809536","0.0609559020142175","0.0864416943476897"
"angelernter Arbeiter","1989","Saarland","","","",""
"angelernter Arbeiter","1989","Berlin","34","0.0613417151642936","0.035530362449279","0.0871530678793081"
"angelernter Arbeiter","1989","Brandenburg","","","",""
"angelernter Arbeiter","1989","Mecklenburg-Vorpommern","","","",""
"angelernter Arbeiter","1989","Sachsen","","","",""
"angelernter Arbeiter","1989","Sachsen-Anhalt","","","",""
"angelernter Arbeiter","1989","Thueringen","","","",""
"gelernte und Facharbeiter","1989","Schleswig-Holstein","","","",""
"gelernte und Facharbeiter","1989","Hamburg","","","",""
"gelernte und Facharbeiter","1989","Niedersachsen","71","0.0577331882700638","0.043284421841654","0.0721819546984736"
"gelernte und Facharbeiter","1989","Bremen","","","",""
"gelernte und Facharbeiter","1989","Nordrhein-Westfalen","194","0.0699299197819725","0.0601701786725986","0.0796896608913464"
"gelernte und Facharbeiter","1989","Hessen","79","0.0579366044621698","0.0434276871454354","0.0724455217789041"
"gelernte und Facharbeiter","1989","Rheinland-Pfalz,Saarland","64","0.0859093155491234","0.0650754210918793","0.106743210006368"
"gelernte und Facharbeiter","1989","Baden-Wuerttemberg","182","0.0841303291864301","0.071381031813787","0.0968796265590732"
"gelernte und Facharbeiter","1989","Bayern","154","0.0878846219492912","0.0740762282469771","0.101693015651605"
"gelernte und Facharbeiter","1989","Saarland","","","",""
"gelernte und Facharbeiter","1989","Berlin","","","",""
"gelernte und Facharbeiter","1989","Brandenburg","","","",""
"gelernte und Facharbeiter","1989","Mecklenburg-Vorpommern","","","",""
"gelernte und Facharbeiter","1989","Sachsen","","","",""
"gelernte und Facharbeiter","1989","Sachsen-Anhalt","","","",""
"gelernte und Facharbeiter","1989","Thueringen","","","",""
"Vorarbeiter, Kolonnenführer","1989","Schleswig-Holstein","","","",""
"Vorarbeiter, Kolonnenführer","1989","Hamburg","","","",""
"Vorarbeiter, Kolonnenführer","1989","Niedersachsen","","","",""
"Vorarbeiter, Kolonnenführer","1989","Bremen","","","",""
"Vorarbeiter, Kolonnenführer","1989","Nordrhein-Westfalen","36","0.0127766959065765","0.00847870072515223","0.0170746910880008"
"Vorarbeiter, Kolonnenführer","1989","Hessen","","","",""
"Vorarbeiter, Kolonnenführer","1989","Rheinland-Pfalz,Saarland","","","",""
"Vorarbeiter, Kolonnenführer","1989","Baden-Wuerttemberg","","","",""
"Vorarbeiter, Kolonnenführer","1989","Bayern","","","",""
"Vorarbeiter, Kolonnenführer","1989","Saarland","","","",""
"Vorarbeiter, Kolonnenführer","1989","Berlin","","","",""
"Vorarbeiter, Kolonnenführer","1989","Brandenburg","","","",""
"Vorarbeiter, Kolonnenführer","1989","Mecklenburg-Vorpommern","","","",""
"Vorarbeiter, Kolonnenführer","1989","Sachsen","","","",""
"Vorarbeiter, Kolonnenführer","1989","Sachsen-Anhalt","","","",""
"Vorarbeiter, Kolonnenführer","1989","Thueringen","","","",""
"Meister, Polier","1989","Schleswig-Holstein","","","",""
"Meister, Polier","1989","Hamburg","","","",""
"Meister, Polier","1989","Niedersachsen","","","",""
"Meister, Polier","1989","Bremen","","","",""
"Meister, Polier","1989","Nordrhein-Westfalen","","","",""
"Meister, Polier","1989","Hessen","","","",""
"Meister, Polier","1989","Rheinland-Pfalz,Saarland","","","",""
"Meister, Polier","1989","Baden-Wuerttemberg","","","",""
"Meister, Polier","1989","Bayern","","","",""
"Meister, Polier","1989","Saarland","","","",""
"Meister, Polier","1989","Berlin","","","",""
"Meister, Polier","1989","Brandenburg","","","",""
"Meister, Polier","1989","Mecklenburg-Vorpommern","","","",""
"Meister, Polier","1989","Sachsen","","","",""
"Meister, Polier","1989","Sachsen-Anhalt","","","",""
"Meister, Polier","1989","Thueringen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Schleswig-Holstein","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Hamburg","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Niedersachsen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Bremen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Nordrhein-Westfalen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Hessen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Rheinland-Pfalz,Saarland","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Baden-Wuerttemberg","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Bayern","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Saarland","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Berlin","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Brandenburg","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Mecklenburg-Vorpommern","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Sachsen","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Sachsen-Anhalt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1989","Thueringen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Schleswig-Holstein","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Hamburg","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Niedersachsen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Bremen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Nordrhein-Westfalen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Hessen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Rheinland-Pfalz,Saarland","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Baden-Wuerttemberg","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Bayern","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Saarland","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Berlin","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Brandenburg","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Mecklenburg-Vorpommern","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Sachsen","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Sachsen-Anhalt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1989","Thueringen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1989","Schleswig-Holstein","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1989","Hamburg","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1989","Niedersachsen","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1989","Bremen","","","",""
