"pgstib","year","alter_gr","n","percent","lower_confidence","upper_confidence"
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1992","35-65 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1992","66 und älter","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1992","16-34 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1992","35-65 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1992","66 und älter","","","",""
"mithelfende Familienangehörige","1992","16-34 Jahre alt","","","",""
"mithelfende Familienangehörige","1992","35-65 Jahre alt","31","0.00458904793565833","0.00299466859311736","0.00618342727819929"
"mithelfende Familienangehörige","1992","66 und älter","","","",""
"Angestellte, Industrie- und Werkmeister","1992","16-34 Jahre alt","","","",""
"Angestellte, Industrie- und Werkmeister","1992","35-65 Jahre alt","51","0.00849099613228482","0.0063265000352434","0.0106554922293262"
"Angestellte, Industrie- und Werkmeister","1992","66 und älter","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1992","16-34 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1992","35-65 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1992","66 und älter","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1992","16-34 Jahre alt","152","0.0316135395658024","0.0267617965161711","0.0364652826154336"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1992","35-65 Jahre alt","233","0.0341437778015921","0.029859859488024","0.0384276961151602"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1992","66 und älter","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1992","16-34 Jahre alt","254","0.0512009123287604","0.0450892006916366","0.0573126239658842"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1992","35-65 Jahre alt","272","0.0411570900894523","0.0364708426549523","0.0458433375239524"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1992","66 und älter","","","",""
"Angestellte, qualifizierte Tätigkeit","1992","16-34 Jahre alt","598","0.145432976012783","0.135657421836742","0.155208530188824"
"Angestellte, qualifizierte Tätigkeit","1992","35-65 Jahre alt","807","0.131447376635993","0.123476553291828","0.139418199980159"
"Angestellte, qualifizierte Tätigkeit","1992","66 und älter","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1992","16-34 Jahre alt","238","0.0604291419831884","0.0538218293091565","0.0670364546572204"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1992","35-65 Jahre alt","511","0.0759326978674389","0.0696839159054582","0.0821814798294197"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1992","66 und älter","","","",""
"Angestellte, umfassende Führungsaufgaben","1992","16-34 Jahre alt","","","",""
"Angestellte, umfassende Führungsaufgaben","1992","35-65 Jahre alt","82","0.0134448867977636","0.0107280196321341","0.0161617539633932"
"Angestellte, umfassende Führungsaufgaben","1992","66 und älter","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1992","16-34 Jahre alt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1992","35-65 Jahre alt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1992","66 und älter","","","",""
"Beamte, einfacher Dienst","1992","16-34 Jahre alt","","","",""
"Beamte, einfacher Dienst","1992","35-65 Jahre alt","","","",""
"Beamte, einfacher Dienst","1992","66 und älter","","","",""
"Beamte, mittlerer Dienst","1992","16-34 Jahre alt","78","0.0164998510180699","0.0129674979771729","0.0200322040589668"
"Beamte, mittlerer Dienst","1992","35-65 Jahre alt","81","0.016052432241399","0.0130876994610644","0.0190171650217337"
"Beamte, mittlerer Dienst","1992","66 und älter","","","",""
"Beamte, gehobener Dienst","1992","16-34 Jahre alt","30","0.0100082535941517","0.00724810912770423","0.0127683980605991"
"Beamte, gehobener Dienst","1992","35-65 Jahre alt","86","0.0171483296916373","0.0140857735648627","0.0202108858184119"
"Beamte, gehobener Dienst","1992","66 und älter","","","",""
"Beamte, höherer Dienst","1992","16-34 Jahre alt","","","",""
"Beamte, höherer Dienst","1992","35-65 Jahre alt","76","0.0163439257449527","0.0133528391694343","0.0193350123204711"
"Beamte, höherer Dienst","1992","66 und älter","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1993","16-34 Jahre alt","505","0.0915691271830582","0.0835042977103576","0.0996339566557587"
"nicht erwerbstätig (NE): keine weitere Angaben","1993","35-65 Jahre alt","776","0.125639447462439","0.117731993651943","0.133546901272934"
"nicht erwerbstätig (NE): keine weitere Angaben","1993","66 und älter","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1993","16-34 Jahre alt","628","0.133927915790189","0.124404619764822","0.143451211815556"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1993","35-65 Jahre alt","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1993","66 und älter","","","",""
"NE: arbeitslos gemeldet","1993","16-34 Jahre alt","368","0.0667439585833779","0.0597651530860697","0.0737227640806861"
"NE: arbeitslos gemeldet","1993","35-65 Jahre alt","546","0.06878974270185","0.0627514509217035","0.0748280344819964"
"NE: arbeitslos gemeldet","1993","66 und älter","","","",""
"NE: Rentner/Rentnerin","1993","16-34 Jahre alt","","","",""
"NE: Rentner/Rentnerin","1993","35-65 Jahre alt","889","0.143517151006133","0.135152658150841","0.151881643861425"
"NE: Rentner/Rentnerin","1993","66 und älter","1443","0.967010761754801","0.957972097412482","0.97604942609712"
"NE: Wehr- und Zivildienst","1993","16-34 Jahre alt","52","0.0138321690873608","0.0105663263396702","0.0170980118350513"
"NE: Wehr- und Zivildienst","1993","35-65 Jahre alt","","","",""
"NE: Wehr- und Zivildienst","1993","66 und älter","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1993","16-34 Jahre alt","474","0.0916162321397084","0.0835495377300978","0.099682926549319"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1993","35-65 Jahre alt","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1993","66 und älter","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1993","16-34 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1993","35-65 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1993","66 und älter","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1993","16-34 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1993","35-65 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1993","66 und älter","","","",""
"Volontäre, Praktikanten","1993","16-34 Jahre alt","","","",""
"Volontäre, Praktikanten","1993","35-65 Jahre alt","","","",""
"Volontäre, Praktikanten","1993","66 und älter","","","",""
"Aspiranten (1990 Ost)","1993","16-34 Jahre alt","","","",""
"Aspiranten (1990 Ost)","1993","35-65 Jahre alt","","","",""
"Aspiranten (1990 Ost)","1993","66 und älter","","","",""
"ungelernter Arbeiter","1993","16-34 Jahre alt","152","0.0221335106110349","0.01801974406329","0.0262472771587798"
"ungelernter Arbeiter","1993","35-65 Jahre alt","282","0.0315164859987152","0.0273483355384956","0.0356846364589347"
"ungelernter Arbeiter","1993","66 und älter","","","",""
"angelernter Arbeiter","1993","16-34 Jahre alt","442","0.0706659546785901","0.0635001371020844","0.0778317722550958"
"angelernter Arbeiter","1993","35-65 Jahre alt","782","0.087671473574475","0.0809241248371513","0.0944188223117986"
"angelernter Arbeiter","1993","66 und älter","","","",""
"gelernte und Facharbeiter","1993","16-34 Jahre alt","635","0.125837393016997","0.116563209663623","0.135111576370372"
"gelernte und Facharbeiter","1993","35-65 Jahre alt","671","0.0870508028666101","0.0803250938651326","0.0937765118680877"
"gelernte und Facharbeiter","1993","66 und älter","","","",""
"Vorarbeiter, Kolonnenführer","1993","16-34 Jahre alt","59","0.0141337310734524","0.0108329849296662","0.0174344772172386"
"Vorarbeiter, Kolonnenführer","1993","35-65 Jahre alt","118","0.0151722790059731","0.0122559674451124","0.0180885905668338"
"Vorarbeiter, Kolonnenführer","1993","66 und älter","","","",""
"Meister, Polier","1993","16-34 Jahre alt","","","",""
"Meister, Polier","1993","35-65 Jahre alt","55","0.00754893051323954","0.00548390394835029","0.00961395707812879"
"Meister, Polier","1993","66 und älter","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1993","16-34 Jahre alt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1993","35-65 Jahre alt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1993","66 und älter","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1993","16-34 Jahre alt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1993","35-65 Jahre alt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1993","66 und älter","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1993","16-34 Jahre alt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1993","35-65 Jahre alt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1993","66 und älter","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1993","16-34 Jahre alt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1993","35-65 Jahre alt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1993","66 und älter","","","",""
"selbständiger Landwirt","1993","16-34 Jahre alt","","","",""
"selbständiger Landwirt","1993","35-65 Jahre alt","31","0.00508805601327904","0.00339060737915232","0.00678550464740575"
"selbständiger Landwirt","1993","66 und älter","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1993","16-34 Jahre alt","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1993","35-65 Jahre alt","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1993","66 und älter","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1993","16-34 Jahre alt","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1993","35-65 Jahre alt","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1993","66 und älter","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1993","16-34 Jahre alt","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1993","35-65 Jahre alt","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1993","66 und älter","","","",""
"Freiberufler, Akademiker","1993","16-34 Jahre alt","31","0.0094729616641862","0.00676432491568978","0.0121815984126826"
"Freiberufler, Akademiker","1993","35-65 Jahre alt","89","0.0176370480212191","0.0144967033765255","0.0207773926659126"
"Freiberufler, Akademiker","1993","66 und älter","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1993","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1993","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1993","66 und älter","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1993","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1993","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1993","66 und älter","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1993","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1993","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1993","66 und älter","","","",""
"sonstige selbständiger","1993","16-34 Jahre alt","111","0.0216455876344064","0.0175764019943485","0.0257147732744643"
"sonstige selbständiger","1993","35-65 Jahre alt","257","0.0410963206624981","0.0363602590873151","0.0458323822376812"
"sonstige selbständiger","1993","66 und älter","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1993","16-34 Jahre alt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1993","35-65 Jahre alt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1993","66 und älter","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1993","16-34 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1993","35-65 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1993","66 und älter","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1993","16-34 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1993","35-65 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1993","66 und älter","","","",""
"mithelfende Familienangehörige","1993","16-34 Jahre alt","","","",""
"mithelfende Familienangehörige","1993","35-65 Jahre alt","","","",""
"mithelfende Familienangehörige","1993","66 und älter","","","",""
"Angestellte, Industrie- und Werkmeister","1993","16-34 Jahre alt","","","",""
"Angestellte, Industrie- und Werkmeister","1993","35-65 Jahre alt","51","0.00730289744692042","0.00527154933362869","0.00933424556021215"
"Angestellte, Industrie- und Werkmeister","1993","66 und älter","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1993","16-34 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1993","35-65 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1993","66 und älter","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1993","16-34 Jahre alt","150","0.0302767124506692","0.0254854166955731","0.0350680082057652"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1993","35-65 Jahre alt","210","0.0306946675418344","0.0265794751419313","0.0348098599417375"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1993","66 und älter","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1993","16-34 Jahre alt","245","0.0528394968765679","0.0465839420386515","0.0590950517144843"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1993","35-65 Jahre alt","256","0.0415482454399145","0.0367873367784784","0.0463091541013507"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1993","66 und älter","","","",""
"Angestellte, qualifizierte Tätigkeit","1993","16-34 Jahre alt","611","0.147547624928232","0.13763072608997","0.157464523766494"
"Angestellte, qualifizierte Tätigkeit","1993","35-65 Jahre alt","790","0.126779351990761","0.118841287206369","0.134717416775153"
"Angestellte, qualifizierte Tätigkeit","1993","66 und älter","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1993","16-34 Jahre alt","197","0.0509019825029969","0.0447559112514556","0.0570480537545381"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1993","35-65 Jahre alt","491","0.0765351017489823","0.0701924786481661","0.0828777248497985"
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1993","66 und älter","","","",""
"Angestellte, umfassende Führungsaufgaben","1993","16-34 Jahre alt","","","",""
"Angestellte, umfassende Führungsaufgaben","1993","35-65 Jahre alt","82","0.0149779575414052","0.0120800958809691","0.0178758192018413"
"Angestellte, umfassende Führungsaufgaben","1993","66 und älter","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1993","16-34 Jahre alt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1993","35-65 Jahre alt","","","",""
"Geschäftsführender Gesellschafter und vergl. Angestellte im eigenen Betrieb (ab 2019)","1993","66 und älter","","","",""
"Beamte, einfacher Dienst","1993","16-34 Jahre alt","","","",""
"Beamte, einfacher Dienst","1993","35-65 Jahre alt","","","",""
"Beamte, einfacher Dienst","1993","66 und älter","","","",""
"Beamte, mittlerer Dienst","1993","16-34 Jahre alt","69","0.0150652237605127","0.0116590543989661","0.0184713931220592"
"Beamte, mittlerer Dienst","1993","35-65 Jahre alt","88","0.0178919861164794","0.0147294369890132","0.0210545352439456"
"Beamte, mittlerer Dienst","1993","66 und älter","","","",""
"Beamte, gehobener Dienst","1993","16-34 Jahre alt","34","0.0104096435419337","0.00757159143247334","0.0132476956513941"
"Beamte, gehobener Dienst","1993","35-65 Jahre alt","92","0.0187007632245173","0.015468856834433","0.0219326696146017"
"Beamte, gehobener Dienst","1993","66 und älter","","","",""
"Beamte, höherer Dienst","1993","16-34 Jahre alt","","","",""
"Beamte, höherer Dienst","1993","35-65 Jahre alt","89","0.0197212106074825","0.0164040235262153","0.0230383976887498"
"Beamte, höherer Dienst","1993","66 und älter","","","",""
"nicht erwerbstätig (NE): keine weitere Angaben","1994","16-34 Jahre alt","519","0.0979287867956642","0.089532821261708","0.10632475232962"
"nicht erwerbstätig (NE): keine weitere Angaben","1994","35-65 Jahre alt","760","0.126848697525558","0.118819652701533","0.134877742349583"
"nicht erwerbstätig (NE): keine weitere Angaben","1994","66 und älter","32","0.0174288457854218","0.0108522703998222","0.0240054211710214"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1994","16-34 Jahre alt","611","0.132640098487163","0.123058628662386","0.14222156831194"
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1994","35-65 Jahre alt","","","",""
"NE: in Ausbildung, inkl. Weiterbildung, Berufsausbildung, Lehre","1994","66 und älter","","","",""
"NE: arbeitslos gemeldet","1994","16-34 Jahre alt","419","0.0770672951507516","0.0695334771524713","0.0846011131490319"
"NE: arbeitslos gemeldet","1994","35-65 Jahre alt","616","0.0827959727712178","0.0761476253493054","0.0894443201931302"
"NE: arbeitslos gemeldet","1994","66 und älter","","","",""
"NE: Rentner/Rentnerin","1994","16-34 Jahre alt","","","",""
"NE: Rentner/Rentnerin","1994","35-65 Jahre alt","853","0.141442008412742","0.133034832242841","0.149849184582643"
"NE: Rentner/Rentnerin","1994","66 und älter","1459","0.963543180605058","0.95412410108495","0.972962260125166"
"NE: Wehr- und Zivildienst","1994","16-34 Jahre alt","60","0.0144157764789088","0.0110486382972144","0.0177829146606033"
"NE: Wehr- und Zivildienst","1994","35-65 Jahre alt","","","",""
"NE: Wehr- und Zivildienst","1994","66 und älter","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1994","16-34 Jahre alt","411","0.0767041796864583","0.0691866526674348","0.0842217067054819"
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1994","35-65 Jahre alt","","","",""
"Auszubildende (1984-1999), Lehrlinge (1990 Ost)","1994","66 und älter","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1994","16-34 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1994","35-65 Jahre alt","","","",""
"Auszubildende, gewerblich-technisch (ab 2000)","1994","66 und älter","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1994","16-34 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1994","35-65 Jahre alt","","","",""
"Auszubildende, kaufmännisch (ab 2000)","1994","66 und älter","","","",""
"Volontäre, Praktikanten","1994","16-34 Jahre alt","","","",""
"Volontäre, Praktikanten","1994","35-65 Jahre alt","","","",""
"Volontäre, Praktikanten","1994","66 und älter","","","",""
"Aspiranten (1990 Ost)","1994","16-34 Jahre alt","","","",""
"Aspiranten (1990 Ost)","1994","35-65 Jahre alt","","","",""
"Aspiranten (1990 Ost)","1994","66 und älter","","","",""
"ungelernter Arbeiter","1994","16-34 Jahre alt","142","0.0249211192612924","0.0205176122224177","0.029324626300167"
"ungelernter Arbeiter","1994","35-65 Jahre alt","260","0.0294289270008378","0.0253515862400812","0.0335062677615944"
"ungelernter Arbeiter","1994","66 und älter","","","",""
"angelernter Arbeiter","1994","16-34 Jahre alt","376","0.0627784401674407","0.0559263756473667","0.0696305046875148"
"angelernter Arbeiter","1994","35-65 Jahre alt","636","0.0721594830492216","0.0659169694580997","0.0784019966403434"
"angelernter Arbeiter","1994","66 und älter","","","",""
"gelernte und Facharbeiter","1994","16-34 Jahre alt","627","0.126868408338251","0.117466594561439","0.136270222115062"
"gelernte und Facharbeiter","1994","35-65 Jahre alt","669","0.0858270570541369","0.0790693024759996","0.0925848116322742"
"gelernte und Facharbeiter","1994","66 und älter","","","",""
"Vorarbeiter, Kolonnenführer","1994","16-34 Jahre alt","55","0.0119844656681308","0.00891059017607063","0.0150583411601909"
"Vorarbeiter, Kolonnenführer","1994","35-65 Jahre alt","114","0.0157499375393472","0.0127461565340016","0.0187537185446927"
"Vorarbeiter, Kolonnenführer","1994","66 und älter","","","",""
"Meister, Polier","1994","16-34 Jahre alt","","","",""
"Meister, Polier","1994","35-65 Jahre alt","50","0.00763529738910255","0.00553527098105365","0.00973532379715144"
"Meister, Polier","1994","66 und älter","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1994","16-34 Jahre alt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1994","35-65 Jahre alt","","","",""
"Arbeiter in der Landwirtschaft (1990 Ost)","1994","66 und älter","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1994","16-34 Jahre alt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1994","35-65 Jahre alt","","","",""
"Facharbeiter in der Landwirtschaft (1990 Ost)","1994","66 und älter","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1994","16-34 Jahre alt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1994","35-65 Jahre alt","","","",""
"Brigadier, Meister in der Landwirtschaft (1990 Ost)","1994","66 und älter","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1994","16-34 Jahre alt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1994","35-65 Jahre alt","","","",""
"höhere Leitungsfunktion in der Landwirtschaft (1990 Ost)","1994","66 und älter","","","",""
"selbständiger Landwirt","1994","16-34 Jahre alt","","","",""
"selbständiger Landwirt","1994","35-65 Jahre alt","","","",""
"selbständiger Landwirt","1994","66 und älter","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1994","16-34 Jahre alt","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1994","35-65 Jahre alt","","","",""
"selbständiger Landwirt ohne Mitarbeiter (ab 2000)","1994","66 und älter","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1994","16-34 Jahre alt","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1994","35-65 Jahre alt","","","",""
"selbständiger Landwirt 1-9 Mitarbeiter (ab 2000)","1994","66 und älter","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1994","16-34 Jahre alt","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1994","35-65 Jahre alt","","","",""
"selbständiger Landwirt 10+ Mitarbeiter (ab 2000)","1994","66 und älter","","","",""
"Freiberufler, Akademiker","1994","16-34 Jahre alt","48","0.0150684957117209","0.0116271126877279","0.0185098787357138"
"Freiberufler, Akademiker","1994","35-65 Jahre alt","89","0.017388437495946","0.0142349048035252","0.0205419701883668"
"Freiberufler, Akademiker","1994","66 und älter","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1994","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1994","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker ohne Mitarbeiter (ab 2000)","1994","66 und älter","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1994","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1994","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker, 1-9 Mitarbeiter (ab 2000)","1994","66 und älter","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1994","16-34 Jahre alt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1994","35-65 Jahre alt","","","",""
"Freiberufler, Akademiker, 10+ Mitarbeiter (ab 2000)","1994","66 und älter","","","",""
"sonstige selbständiger","1994","16-34 Jahre alt","100","0.0186608568179308","0.0148381552083401","0.0224835584275215"
"sonstige selbständiger","1994","35-65 Jahre alt","257","0.0397216398819884","0.0350098243526357","0.044433455411341"
"sonstige selbständiger","1994","66 und älter","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1994","16-34 Jahre alt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1994","35-65 Jahre alt","","","",""
"sonstige selbständiger, ohne Mitarbeiter (ab 1997)","1994","66 und älter","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1994","16-34 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1994","35-65 Jahre alt","","","",""
"sonstige selbständiger, 1-9 Mitarbeiter (ab 1997)","1994","66 und älter","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1994","16-34 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1994","35-65 Jahre alt","","","",""
"sonstige selbständiger, 10+ Mitarbeiter","1994","66 und älter","","","",""
"mithelfende Familienangehörige","1994","16-34 Jahre alt","","","",""
"mithelfende Familienangehörige","1994","35-65 Jahre alt","31","0.0053812692318567","0.00361626073467502","0.00714627772903837"
"mithelfende Familienangehörige","1994","66 und älter","","","",""
"Angestellte, Industrie- und Werkmeister","1994","16-34 Jahre alt","","","",""
"Angestellte, Industrie- und Werkmeister","1994","35-65 Jahre alt","63","0.0102183928076689","0.00779213408583757","0.0126446515295003"
"Angestellte, Industrie- und Werkmeister","1994","66 und älter","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1994","16-34 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1994","35-65 Jahre alt","","","",""
"Angestellte, einfache Tätigkeit (bis 1990)","1994","66 und älter","","","",""
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1994","16-34 Jahre alt","111","0.0219179551221862","0.0177819343813067","0.0260539758630657"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1994","35-65 Jahre alt","192","0.0302373814864015","0.0261061366643055","0.0343686263084975"
"Angestellte, einfache Tätigkeit ohne Ausbildungsabschluss (ab 1991)","1994","66 und älter","","","",""
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1994","16-34 Jahre alt","233","0.0469544535507104","0.0409787331153207","0.0529301739861002"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1994","35-65 Jahre alt","263","0.0431526181820668","0.0382503051976727","0.0480549311664609"
"Angestellte, einfache Tätigkeit mit Ausbildungsabschluss (ab 1991)","1994","66 und älter","","","",""
"Angestellte, qualifizierte Tätigkeit","1994","16-34 Jahre alt","620","0.151907831195833","0.141768561940351","0.162047100451316"
"Angestellte, qualifizierte Tätigkeit","1994","35-65 Jahre alt","824","0.131118485270318","0.122975411599834","0.139261558940802"
"Angestellte, qualifizierte Tätigkeit","1994","66 und älter","","","",""
"Angestellte, hochqualifizierte Tätigkeit oder Leitungsfunktion","1994","16-34 Jahre alt","222","0.0575437244079309","0.0509652583683579","0.0641221904475038"
