"ple0044_h","year","bildungsniveau","regtyp","n","percent","lower_confidence","upper_confidence"
"Ja","1998","(noch) kein Abschluss","Laendlicher Raum","173","0.907767066533505","0.866944560807078","0.948589572259932"
"Ja","1998","Hauptschule","Staedtischer Raum","2926","0.774927640932854","0.761825554114184","0.788029727751525"
"Ja","1998","Hauptschule","Laendlicher Raum","1535","0.791184493994655","0.773533351027909","0.808835636961401"
"Ja","1998","Realschule","Staedtischer Raum","1211","0.69206736963639","0.670974230278573","0.713160508994208"
"Ja","1998","Realschule","Laendlicher Raum","876","0.650521271888712","0.625580742844812","0.675461800932612"
"Ja","1998","(Fach-)Abitur","Staedtischer Raum","587","0.710704379995365","0.680185710917768","0.741223049072962"
"Ja","1998","(Fach-)Abitur","Laendlicher Raum","164","0.71217436809083","0.6547750089712","0.769573727210459"
"Ja","1998","AkademikerIn","Staedtischer Raum","692","0.608233587342411","0.580463865423896","0.636003309260926"
"Ja","1998","AkademikerIn","Laendlicher Raum","412","0.592352879986577","0.556028110258304","0.628677649714849"
"keinen Tag","1999","(noch) kein Abschluss","Staedtischer Raum","103","0.177713179487838","0.146788833497854","0.208637525477823"
"keinen Tag","1999","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","1999","Hauptschule","Staedtischer Raum","981","0.231020803687779","0.217640853839575","0.244400753535984"
"keinen Tag","1999","Hauptschule","Laendlicher Raum","483","0.220514387739567","0.202117601020998","0.238911174458135"
"keinen Tag","1999","Realschule","Staedtischer Raum","675","0.350104444881894","0.328225906757558","0.371982983006229"
"keinen Tag","1999","Realschule","Laendlicher Raum","528","0.34980729360606","0.324993545442579","0.374621041769541"
"keinen Tag","1999","(Fach-)Abitur","Staedtischer Raum","276","0.332357808689328","0.300311067335228","0.364404550043428"
"keinen Tag","1999","(Fach-)Abitur","Laendlicher Raum","91","0.327905119105994","0.269360227463014","0.386450010748974"
"keinen Tag","1999","AkademikerIn","Staedtischer Raum","491","0.383455651819129","0.35593376328459","0.410977540353667"
"keinen Tag","1999","AkademikerIn","Laendlicher Raum","287","0.381482000279837","0.345342549122346","0.417621451437328"
"Ja","1999","(noch) kein Abschluss","Staedtischer Raum","484","0.822286820512161","0.791362474522177","0.853211166502146"
"Ja","1999","(noch) kein Abschluss","Laendlicher Raum","147","0.862787179667404","0.811515891784929","0.91405846754988"
"Ja","1999","Hauptschule","Staedtischer Raum","2831","0.768979196312221","0.755599246464017","0.782359146160426"
"Ja","1999","Hauptschule","Laendlicher Raum","1468","0.779485612260433","0.761088825541865","0.797882398979002"
"Ja","1999","Realschule","Staedtischer Raum","1151","0.649895555118106","0.628017016993771","0.671774093242442"
"Ja","1999","Realschule","Laendlicher Raum","891","0.65019270639394","0.625378958230459","0.675006454557421"
"Ja","1999","(Fach-)Abitur","Staedtischer Raum","554","0.667642191310672","0.635595449956572","0.699688932664772"
"Ja","1999","(Fach-)Abitur","Laendlicher Raum","156","0.672094880894006","0.613549989251026","0.730639772536986"
"Ja","1999","AkademikerIn","Staedtischer Raum","708","0.616544348180871","0.589022459646333","0.64406623671541"
"Ja","1999","AkademikerIn","Laendlicher Raum","407","0.618517999720164","0.582378548562673","0.654657450877654"
"keinen Tag","2000","(noch) kein Abschluss","Staedtischer Raum","76","0.117768865556246","0.0930270976247314","0.14251063348776"
"keinen Tag","2000","(noch) kein Abschluss","Laendlicher Raum","32","0.135191821847469","0.0922887605233638","0.178094883171574"
"keinen Tag","2000","Hauptschule","Staedtischer Raum","1612","0.226575319029923","0.216560630870886","0.236590007188959"
"keinen Tag","2000","Hauptschule","Laendlicher Raum","816","0.210028029568166","0.196740661663031","0.223315397473301"
"keinen Tag","2000","Realschule","Staedtischer Raum","1181","0.322437757448813","0.306950530442184","0.337924984455443"
"keinen Tag","2000","Realschule","Laendlicher Raum","987","0.382742428311531","0.363836271420057","0.401648585203005"
"keinen Tag","2000","(Fach-)Abitur","Staedtischer Raum","558","0.312489712099735","0.290667123154224","0.334312301045247"
"keinen Tag","2000","(Fach-)Abitur","Laendlicher Raum","170","0.31864136385509","0.279268599120396","0.358014128589783"
"keinen Tag","2000","AkademikerIn","Staedtischer Raum","1016","0.394988243855758","0.375943461664324","0.414033026047192"
"keinen Tag","2000","AkademikerIn","Laendlicher Raum","460","0.385608585204558","0.357694552300059","0.413522618109058"
"Ja","2000","(noch) kein Abschluss","Staedtischer Raum","576","0.882231134443754","0.85748936651224","0.906972902375269"
"Ja","2000","(noch) kein Abschluss","Laendlicher Raum","212","0.864808178152531","0.821905116828426","0.907711239476636"
"Ja","2000","Hauptschule","Staedtischer Raum","5100","0.773424680970077","0.763409992811041","0.783439369129114"
"Ja","2000","Hauptschule","Laendlicher Raum","2794","0.789971970431834","0.776684602526699","0.803259338336969"
"Ja","2000","Realschule","Staedtischer Raum","2318","0.677562242551187","0.662075015544557","0.693049469557816"
"Ja","2000","Realschule","Laendlicher Raum","1552","0.617257571688469","0.598351414796995","0.636163728579943"
"Ja","2000","(Fach-)Abitur","Staedtischer Raum","1175","0.687510287900264","0.665687698954753","0.709332876845776"
"Ja","2000","(Fach-)Abitur","Laendlicher Raum","368","0.68135863614491","0.641985871410217","0.720731400879604"
"Ja","2000","AkademikerIn","Staedtischer Raum","1515","0.605011756144242","0.585966973952808","0.624056538335677"
"Ja","2000","AkademikerIn","Laendlicher Raum","708","0.614391414795442","0.586477381890942","0.642305447699941"
"keinen Tag","2001","(noch) kein Abschluss","Staedtischer Raum","90","0.154685175450225","0.125605573441575","0.183764777458875"
"keinen Tag","2001","(noch) kein Abschluss","Laendlicher Raum","35","0.138326223989214","0.0961990877819047","0.180453360196523"
"keinen Tag","2001","Hauptschule","Staedtischer Raum","1462","0.240467682667275","0.229573808209169","0.251361557125381"
"keinen Tag","2001","Hauptschule","Laendlicher Raum","711","0.21047672383142","0.196339467200525","0.224613980462316"
"keinen Tag","2001","Realschule","Staedtischer Raum","1127","0.322911693986226","0.306858167317926","0.338965220654527"
"keinen Tag","2001","Realschule","Laendlicher Raum","850","0.360567380687632","0.34105394026019","0.380080821115074"
"keinen Tag","2001","(Fach-)Abitur","Staedtischer Raum","548","0.32342280050703","0.300844993370632","0.346000607643428"
"keinen Tag","2001","(Fach-)Abitur","Laendlicher Raum","164","0.324935444370293","0.284127564767765","0.365743323972822"
"keinen Tag","2001","AkademikerIn","Staedtischer Raum","897","0.379497020892477","0.359923172579842","0.399070869205111"
"keinen Tag","2001","AkademikerIn","Laendlicher Raum","448","0.385514474673705","0.356712587135708","0.414316362211702"
"Ja","2001","(noch) kein Abschluss","Staedtischer Raum","504","0.845314824549775","0.816235222541125","0.874394426558425"
"Ja","2001","(noch) kein Abschluss","Laendlicher Raum","223","0.861673776010786","0.819546639803477","0.903800912218095"
"Ja","2001","Hauptschule","Staedtischer Raum","4450","0.759532317332725","0.748638442874619","0.770426191790831"
"Ja","2001","Hauptschule","Laendlicher Raum","2483","0.78952327616858","0.775386019537684","0.803660532799475"
"Ja","2001","Realschule","Staedtischer Raum","2132","0.677088306013774","0.661034779345473","0.693141832682074"
"Ja","2001","Realschule","Laendlicher Raum","1476","0.639432619312368","0.619919178884926","0.65894605973981"
"Ja","2001","(Fach-)Abitur","Staedtischer Raum","1101","0.67657719949297","0.653999392356572","0.699155006629368"
"Ja","2001","(Fach-)Abitur","Laendlicher Raum","342","0.675064555629707","0.634256676027178","0.715872435232235"
"Ja","2001","AkademikerIn","Staedtischer Raum","1464","0.620502979107524","0.600929130794889","0.640076827420158"
"Ja","2001","AkademikerIn","Laendlicher Raum","649","0.614485525326295","0.585683637788299","0.643287412864292"
"keinen Tag","2002","(noch) kein Abschluss","Staedtischer Raum","88","0.137674517477856","0.111021709613298","0.164327325342414"
"keinen Tag","2002","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","2002","Hauptschule","Staedtischer Raum","1367","0.229558690627807","0.218549935944714","0.2405674453109"
"keinen Tag","2002","Hauptschule","Laendlicher Raum","681","0.213621955746648","0.199033069914264","0.228210841579033"
"keinen Tag","2002","Realschule","Staedtischer Raum","1229","0.328027825320136","0.312365952793922","0.343689697846349"
"keinen Tag","2002","Realschule","Laendlicher Raum","873","0.376158021464058","0.356441959334293","0.395874083593823"
"keinen Tag","2002","(Fach-)Abitur","Staedtischer Raum","571","0.290488671915166","0.269521710207746","0.311455633622586"
"keinen Tag","2002","(Fach-)Abitur","Laendlicher Raum","191","0.307103474124946","0.269066984979359","0.345139963270533"
"keinen Tag","2002","AkademikerIn","Staedtischer Raum","1313","0.39186885544549","0.374775123446493","0.408962587444486"
"keinen Tag","2002","AkademikerIn","Laendlicher Raum","507","0.355373224889687","0.329173266578244","0.38157318320113"
"Ja","2002","(noch) kein Abschluss","Staedtischer Raum","554","0.862325482522144","0.835672674657586","0.888978290386702"
"Ja","2002","(noch) kein Abschluss","Laendlicher Raum","220","0.889487530613419","0.850545016027892","0.928430045198945"
"Ja","2002","Hauptschule","Staedtischer Raum","4239","0.770441309372193","0.7594325546891","0.781450064055286"
"Ja","2002","Hauptschule","Laendlicher Raum","2351","0.786378044253352","0.771789158420968","0.800966930085736"
"Ja","2002","Realschule","Staedtischer Raum","2223","0.671972174679864","0.656310302153651","0.687634047206078"
"Ja","2002","Realschule","Laendlicher Raum","1446","0.623841978535942","0.604125916406177","0.643558040665707"
"Ja","2002","(Fach-)Abitur","Staedtischer Raum","1230","0.709511328084834","0.688544366377414","0.730478289792254"
"Ja","2002","(Fach-)Abitur","Laendlicher Raum","374","0.692896525875054","0.654860036729467","0.730933015020641"
"Ja","2002","AkademikerIn","Staedtischer Raum","1820","0.60813114455451","0.591037412555514","0.625224876553507"
"Ja","2002","AkademikerIn","Laendlicher Raum","775","0.644626775110313","0.61842681679887","0.670826733421756"
"keinen Tag","2003","(noch) kein Abschluss","Staedtischer Raum","77","0.130519986896981","0.103938833520424","0.157101140273538"
"keinen Tag","2003","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","2003","Hauptschule","Staedtischer Raum","1267","0.22009948324665","0.209020262780105","0.231178703713194"
"keinen Tag","2003","Hauptschule","Laendlicher Raum","640","0.213561499823378","0.198575899610697","0.228547100036059"
"keinen Tag","2003","Realschule","Staedtischer Raum","1173","0.332223672921722","0.316175318587822","0.348272027255622"
"keinen Tag","2003","Realschule","Laendlicher Raum","861","0.381402960436051","0.361394861407202","0.4014110594649"
"keinen Tag","2003","(Fach-)Abitur","Staedtischer Raum","573","0.298319615868216","0.277071192804547","0.319568038931885"
"keinen Tag","2003","(Fach-)Abitur","Laendlicher Raum","188","0.349505421826929","0.309583943890322","0.389426899763536"
"keinen Tag","2003","AkademikerIn","Staedtischer Raum","1175","0.361602216178553","0.344369076168791","0.378835356188315"
"keinen Tag","2003","AkademikerIn","Laendlicher Raum","474","0.367432774708347","0.340512156645141","0.394353392771554"
"Ja","2003","(noch) kein Abschluss","Staedtischer Raum","540","0.869480013103019","0.842898859726463","0.896061166479576"
"Ja","2003","(noch) kein Abschluss","Laendlicher Raum","242","0.933216535752455","0.902813013932701","0.96362005757221"
"Ja","2003","Hauptschule","Staedtischer Raum","4105","0.77990051675335","0.768821296286806","0.790979737219895"
"Ja","2003","Hauptschule","Laendlicher Raum","2233","0.786438500176622","0.771452899963941","0.801424100389303"
"Ja","2003","Realschule","Staedtischer Raum","2136","0.667776327078278","0.651727972744378","0.683824681412178"
"Ja","2003","Realschule","Laendlicher Raum","1403","0.618597039563949","0.5985889405351","0.638605138592798"
"Ja","2003","(Fach-)Abitur","Staedtischer Raum","1208","0.701680384131784","0.680431961068115","0.722928807195453"
"Ja","2003","(Fach-)Abitur","Laendlicher Raum","360","0.650494578173071","0.610573100236464","0.690416056109678"
"Ja","2003","AkademikerIn","Staedtischer Raum","1811","0.638397783821447","0.621164643811685","0.655630923831209"
"Ja","2003","AkademikerIn","Laendlicher Raum","758","0.632567225291653","0.605646607228447","0.659487843354859"
"keinen Tag","2004","(noch) kein Abschluss","Staedtischer Raum","71","0.125785645979714","0.100114598792567","0.151456693166862"
"keinen Tag","2004","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","2004","Hauptschule","Staedtischer Raum","1231","0.222788068343155","0.211387837541831","0.234188299144479"
"keinen Tag","2004","Hauptschule","Laendlicher Raum","633","0.218439826255","0.202948970970885","0.233930681539115"
"keinen Tag","2004","Realschule","Staedtischer Raum","1088","0.30156209722136","0.28573507882579","0.317389115616929"
"keinen Tag","2004","Realschule","Laendlicher Raum","855","0.392133277406688","0.371819510074021","0.412447044739355"
"keinen Tag","2004","(Fach-)Abitur","Staedtischer Raum","579","0.308237328340217","0.286779720962649","0.329694935717784"
"keinen Tag","2004","(Fach-)Abitur","Laendlicher Raum","185","0.36603258445125","0.325737203929822","0.406327964972678"
"keinen Tag","2004","AkademikerIn","Staedtischer Raum","1168","0.372897814907972","0.355447584754298","0.390348045061646"
"keinen Tag","2004","AkademikerIn","Laendlicher Raum","491","0.357736888822329","0.330960166387088","0.384513611257569"
"Ja","2004","(noch) kein Abschluss","Staedtischer Raum","570","0.874214354020286","0.848543306833138","0.899885401207433"
"Ja","2004","(noch) kein Abschluss","Laendlicher Raum","229","0.884133029887389","0.844848945639121","0.923417114135657"
"Ja","2004","Hauptschule","Staedtischer Raum","3887","0.777211931656845","0.765811700855521","0.788612162458169"
"Ja","2004","Hauptschule","Laendlicher Raum","2100","0.781560173745","0.766069318460885","0.797051029029115"
"Ja","2004","Realschule","Staedtischer Raum","2142","0.69843790277864","0.682610884383071","0.71426492117421"
"Ja","2004","Realschule","Laendlicher Raum","1364","0.607866722593312","0.587552955260645","0.628180489925979"
"Ja","2004","(Fach-)Abitur","Staedtischer Raum","1200","0.691762671659783","0.670305064282216","0.713220279037351"
"Ja","2004","(Fach-)Abitur","Laendlicher Raum","364","0.63396741554875","0.593672035027322","0.674262796070178"
"Ja","2004","AkademikerIn","Staedtischer Raum","1782","0.627102185092028","0.609651954938354","0.644552415245702"
"Ja","2004","AkademikerIn","Laendlicher Raum","740","0.642263111177671","0.615486388742431","0.669039833612912"
"keinen Tag","2005","(noch) kein Abschluss","Staedtischer Raum","72","0.138857885093484","0.111983271970743","0.165732498216224"
"keinen Tag","2005","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","2005","Hauptschule","Staedtischer Raum","1140","0.225491786660057","0.213714684970391","0.237268888349723"
"keinen Tag","2005","Hauptschule","Laendlicher Raum","561","0.21812710013594","0.202135886642675","0.234118313629206"
"keinen Tag","2005","Realschule","Staedtischer Raum","1061","0.307463306942697","0.291227448930692","0.323699164954701"
"keinen Tag","2005","Realschule","Laendlicher Raum","833","0.380857797447152","0.360191894455943","0.401523700438361"
"keinen Tag","2005","(Fach-)Abitur","Staedtischer Raum","541","0.313669968011055","0.291659245345883","0.335680690676228"
"keinen Tag","2005","(Fach-)Abitur","Laendlicher Raum","184","0.340040818992244","0.300122382501111","0.379959255483377"
"keinen Tag","2005","AkademikerIn","Staedtischer Raum","1109","0.370492319717582","0.352857680329816","0.388126959105348"
"keinen Tag","2005","AkademikerIn","Laendlicher Raum","481","0.401139185963136","0.373209489794232","0.429068882132039"
"Ja","2005","(noch) kein Abschluss","Staedtischer Raum","564","0.861142114906516","0.834267501783776","0.888016728029257"
"Ja","2005","(noch) kein Abschluss","Laendlicher Raum","238","0.895721202913144","0.85828321135325","0.933159194473039"
"Ja","2005","Hauptschule","Staedtischer Raum","3697","0.774508213339943","0.762731111650277","0.786285315029609"
"Ja","2005","Hauptschule","Laendlicher Raum","2001","0.78187289986406","0.765881686370794","0.797864113357325"
"Ja","2005","Realschule","Staedtischer Raum","2042","0.692536693057303","0.676300835045299","0.708772551069308"
"Ja","2005","Realschule","Laendlicher Raum","1288","0.619142202552848","0.598476299561638","0.639808105544057"
"Ja","2005","(Fach-)Abitur","Staedtischer Raum","1166","0.686330031988945","0.664319309323772","0.708340754654117"
"Ja","2005","(Fach-)Abitur","Laendlicher Raum","357","0.659959181007756","0.620040744516623","0.699877617498889"
"Ja","2005","AkademikerIn","Staedtischer Raum","1772","0.629507680282418","0.611873040894652","0.647142319670184"
"Ja","2005","AkademikerIn","Laendlicher Raum","702","0.598860814036864","0.570931117867961","0.626790510205768"
"keinen Tag","2006","(noch) kein Abschluss","Staedtischer Raum","53","0.131162141016517","0.100346497225824","0.16197778480721"
"keinen Tag","2006","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","2006","Hauptschule","Staedtischer Raum","1145","0.223037652144888","0.21159929589475","0.234476008395027"
"keinen Tag","2006","Hauptschule","Laendlicher Raum","677","0.232542676340339","0.217013868644451","0.248071484036228"
"keinen Tag","2006","Realschule","Staedtischer Raum","1083","0.306720040505063","0.290912437139682","0.322527643870445"
"keinen Tag","2006","Realschule","Laendlicher Raum","927","0.384516631687663","0.364703891747739","0.404329371627587"
"keinen Tag","2006","(Fach-)Abitur","Staedtischer Raum","598","0.320140265593783","0.298653617233181","0.341626913954385"
"keinen Tag","2006","(Fach-)Abitur","Laendlicher Raum","187","0.374867107260148","0.335706097338799","0.414028117181498"
"keinen Tag","2006","AkademikerIn","Staedtischer Raum","1193","0.364650520933311","0.347836348866675","0.381464692999947"
"keinen Tag","2006","AkademikerIn","Laendlicher Raum","511","0.364708088756288","0.338632289535168","0.390783887977408"
"Ja","2006","(noch) kein Abschluss","Staedtischer Raum","408","0.868837858983483","0.83802221519279","0.899653502774176"
"Ja","2006","(noch) kein Abschluss","Laendlicher Raum","168","0.899410618358159","0.855950164838947","0.942871071877372"
"Ja","2006","Hauptschule","Staedtischer Raum","3943","0.776962347855112","0.765523991604973","0.78840070410525"
"Ja","2006","Hauptschule","Laendlicher Raum","2166","0.767457323659661","0.751928515963772","0.782986131355549"
"Ja","2006","Realschule","Staedtischer Raum","2186","0.693279959494937","0.677472356129555","0.709087562860318"
"Ja","2006","Realschule","Laendlicher Raum","1389","0.615483368312337","0.595670628372413","0.635296108252261"
"Ja","2006","(Fach-)Abitur","Staedtischer Raum","1213","0.679859734406217","0.658373086045615","0.701346382766819"
"Ja","2006","(Fach-)Abitur","Laendlicher Raum","400","0.625132892739852","0.585971882818502","0.664293902661201"
"Ja","2006","AkademikerIn","Staedtischer Raum","1955","0.635349479066689","0.618535307000053","0.652163651133325"
"Ja","2006","AkademikerIn","Laendlicher Raum","798","0.635291911243712","0.609216112022592","0.661367710464832"
"keinen Tag","2007","(noch) kein Abschluss","Staedtischer Raum","46","0.151824152517592","0.115838465943161","0.187809839092023"
"keinen Tag","2007","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","2007","Hauptschule","Staedtischer Raum","1029","0.220130686362196","0.208128471236632","0.232132901487761"
"keinen Tag","2007","Hauptschule","Laendlicher Raum","571","0.22548652198334","0.209447825041198","0.241525218925481"
"keinen Tag","2007","Realschule","Staedtischer Raum","1051","0.321022161162501","0.304491165291975","0.337553157033027"
"keinen Tag","2007","Realschule","Laendlicher Raum","826","0.365202916595815","0.344925928562679","0.385479904628951"
"keinen Tag","2007","(Fach-)Abitur","Staedtischer Raum","535","0.313881112017921","0.291943344414826","0.335818879621016"
"keinen Tag","2007","(Fach-)Abitur","Laendlicher Raum","206","0.39808298904449","0.35750436604838","0.4386616120406"
"keinen Tag","2007","AkademikerIn","Staedtischer Raum","1098","0.345841757211151","0.328875085444512","0.36280842897779"
"keinen Tag","2007","AkademikerIn","Laendlicher Raum","478","0.361850475816977","0.335222065825024","0.38847888580893"
"Ja","2007","(noch) kein Abschluss","Staedtischer Raum","336","0.848175847482408","0.812190160907977","0.884161534056839"
"Ja","2007","(noch) kein Abschluss","Laendlicher Raum","151","0.888951402103875","0.841440967896639","0.936461836311112"
"Ja","2007","Hauptschule","Staedtischer Raum","3549","0.779869313637804","0.76786709851224","0.791871528763368"
"Ja","2007","Hauptschule","Laendlicher Raum","2037","0.77451347801666","0.758474781074518","0.790552174958802"
"Ja","2007","Realschule","Staedtischer Raum","2013","0.678977838837499","0.662446842966973","0.695508834708025"
"Ja","2007","Realschule","Laendlicher Raum","1340","0.634797083404185","0.614520095371049","0.655074071437321"
"Ja","2007","(Fach-)Abitur","Staedtischer Raum","1184","0.686118887982079","0.664181120378984","0.708056655585174"
"Ja","2007","(Fach-)Abitur","Laendlicher Raum","353","0.60191701095551","0.5613383879594","0.64249563395162"
"Ja","2007","AkademikerIn","Staedtischer Raum","1921","0.654158242788849","0.63719157102221","0.671124914555488"
"Ja","2007","AkademikerIn","Laendlicher Raum","773","0.638149524183023","0.61152111419107","0.664777934174977"
"keinen Tag","2008","(noch) kein Abschluss","Staedtischer Raum","44","0.156741721182508","0.119846825422683","0.193636616942333"
"keinen Tag","2008","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","2008","Hauptschule","Staedtischer Raum","944","0.224837213017826","0.212311071210466","0.237363354825185"
"keinen Tag","2008","Hauptschule","Laendlicher Raum","511","0.216888155995104","0.200495339995054","0.233280971995154"
"keinen Tag","2008","Realschule","Staedtischer Raum","915","0.300064130112838","0.283484295089192","0.316643965136483"
"keinen Tag","2008","Realschule","Laendlicher Raum","790","0.36558097686984","0.344774176577973","0.386387777161708"
"keinen Tag","2008","(Fach-)Abitur","Staedtischer Raum","517","0.312902437048644","0.290147196846489","0.3356576772508"
"keinen Tag","2008","(Fach-)Abitur","Laendlicher Raum","184","0.343721059652357","0.303247858067676","0.384194261237037"
"keinen Tag","2008","AkademikerIn","Staedtischer Raum","990","0.33037742247035","0.313291154522178","0.347463690418522"
"keinen Tag","2008","AkademikerIn","Laendlicher Raum","433","0.357233051905266","0.330188672352485","0.384277431458048"
"Ja","2008","(noch) kein Abschluss","Staedtischer Raum","329","0.843258278817492","0.806363383057667","0.880153174577317"
"Ja","2008","(noch) kein Abschluss","Laendlicher Raum","154","0.930831807164565","0.891997551184355","0.969666063144775"
"Ja","2008","Hauptschule","Staedtischer Raum","3323","0.775162786982174","0.762636645174815","0.787688928789534"
"Ja","2008","Hauptschule","Laendlicher Raum","1917","0.783111844004896","0.766719028004846","0.799504660004946"
"Ja","2008","Realschule","Staedtischer Raum","2020","0.699935869887162","0.683356034863517","0.716515704910808"
"Ja","2008","Realschule","Laendlicher Raum","1268","0.63441902313016","0.613612222838292","0.655225823422027"
"Ja","2008","(Fach-)Abitur","Staedtischer Raum","1078","0.687097562951356","0.6643423227492","0.709852803153511"
"Ja","2008","(Fach-)Abitur","Laendlicher Raum","345","0.656278940347643","0.615805738762963","0.696752141932324"
"Ja","2008","AkademikerIn","Staedtischer Raum","1921","0.66962257752965","0.652536309581478","0.686708845477822"
"Ja","2008","AkademikerIn","Laendlicher Raum","773","0.642766948094734","0.615722568541952","0.669811327647515"
"keinen Tag","2009","(noch) kein Abschluss","Staedtischer Raum","49","0.175509689671183","0.135193603464084","0.215825775878283"
"keinen Tag","2009","(noch) kein Abschluss","Laendlicher Raum","","","",""
"keinen Tag","2009","Hauptschule","Staedtischer Raum","850","0.224800749943312","0.211628118855029","0.237973381031595"
"keinen Tag","2009","Hauptschule","Laendlicher Raum","459","0.2023555518267","0.185695791772602","0.219015311880797"
"keinen Tag","2009","Realschule","Staedtischer Raum","848","0.29663392518426","0.27944279748467","0.31382505288385"
"keinen Tag","2009","Realschule","Laendlicher Raum","691","0.336504296669357","0.315728220835768","0.357280372502947"
"keinen Tag","2009","(Fach-)Abitur","Staedtischer Raum","432","0.282726549246116","0.259579717110882","0.30587338138135"
"keinen Tag","2009","(Fach-)Abitur","Laendlicher Raum","162","0.332980452734855","0.292158689367322","0.373802216102389"
"keinen Tag","2009","AkademikerIn","Staedtischer Raum","895","0.31656312771517","0.299194454008728","0.333931801421613"
"keinen Tag","2009","AkademikerIn","Laendlicher Raum","397","0.371526099495197","0.34402538141474","0.399026817575654"
"Ja","2009","(noch) kein Abschluss","Staedtischer Raum","293","0.824490310328817","0.784174224121717","0.864806396535916"
"Ja","2009","(noch) kein Abschluss","Laendlicher Raum","123","0.898640380464733","0.847917479075949","0.949363281853517"
"Ja","2009","Hauptschule","Staedtischer Raum","3008","0.775199250056688","0.762026618968405","0.788371881144971"
"Ja","2009","Hauptschule","Laendlicher Raum","1775","0.7976444481733","0.780984688119203","0.814304208227398"
"Ja","2009","Realschule","Staedtischer Raum","1864","0.70336607481574","0.68617494711615","0.72055720251533"
"Ja","2009","Realschule","Laendlicher Raum","1296","0.663495703330643","0.642719627497053","0.684271779164232"
"Ja","2009","(Fach-)Abitur","Staedtischer Raum","1022","0.717273450753884","0.69412661861865","0.740420282889118"
"Ja","2009","(Fach-)Abitur","Laendlicher Raum","350","0.667019547265145","0.626197783897611","0.707841310632679"
"Ja","2009","AkademikerIn","Staedtischer Raum","1860","0.68343687228483","0.666068198578387","0.700805545991272"
"Ja","2009","AkademikerIn","Laendlicher Raum","789","0.628473900504803","0.600973182424346","0.65597461858526"
"keinen Tag","2010","(noch) kein Abschluss","Staedtischer Raum","66","0.110159502346804","0.0835297028407829","0.136789301852826"
"keinen Tag","2010","(noch) kein Abschluss","Laendlicher Raum","30","0.133009298966342","0.0896841253727189","0.176334472559966"
"keinen Tag","2010","Hauptschule","Staedtischer Raum","1100","0.212794921677644","0.20106014649406","0.224529696861228"
"keinen Tag","2010","Hauptschule","Laendlicher Raum","661","0.228242096933413","0.212472440297832","0.244011753568994"
"keinen Tag","2010","Realschule","Staedtischer Raum","1190","0.289082216400403","0.274702493870533","0.303461938930274"
"keinen Tag","2010","Realschule","Laendlicher Raum","1092","0.376593251510312","0.358949299832393","0.394237203188232"
"keinen Tag","2010","(Fach-)Abitur","Staedtischer Raum","673","0.306719070055509","0.287592867713453","0.325845272397565"
"keinen Tag","2010","(Fach-)Abitur","Laendlicher Raum","258","0.330928424094266","0.298239932331144","0.363616915857387"
"keinen Tag","2010","AkademikerIn","Staedtischer Raum","1244","0.303107082667119","0.288591235086729","0.317622930247509"
"keinen Tag","2010","AkademikerIn","Laendlicher Raum","510","0.344664530364941","0.320361114043832","0.368967946686051"
"Ja","2010","(noch) kein Abschluss","Staedtischer Raum","465","0.889840497653196","0.863210698147174","0.916470297159217"
"Ja","2010","(noch) kein Abschluss","Laendlicher Raum","206","0.866990701033658","0.823665527440034","0.910315874627281"
"Ja","2010","Hauptschule","Staedtischer Raum","3573","0.787205078322356","0.775470303138772","0.79893985350594"
"Ja","2010","Hauptschule","Laendlicher Raum","2060","0.771757903066587","0.755988246431006","0.787527559702168"
"Ja","2010","Realschule","Staedtischer Raum","2628","0.710917783599597","0.696538061069726","0.725297506129467"
"Ja","2010","Realschule","Laendlicher Raum","1805","0.623406748489688","0.605762796811768","0.641050700167607"
"Ja","2010","(Fach-)Abitur","Staedtischer Raum","1560","0.693280929944491","0.674154727602435","0.712407132286547"
"Ja","2010","(Fach-)Abitur","Laendlicher Raum","538","0.669071575905734","0.636383084142613","0.701760067668856"
"Ja","2010","AkademikerIn","Staedtischer Raum","2607","0.696892917332881","0.682377069752491","0.711408764913271"
"Ja","2010","AkademikerIn","Laendlicher Raum","959","0.655335469635059","0.631032053313949","0.679638885956168"
"keinen Tag","2011","(noch) kein Abschluss","Staedtischer Raum","68","0.114934556892805","0.0889555937236331","0.140913520061978"
"keinen Tag","2011","(noch) kein Abschluss","Laendlicher Raum","32","0.1276100201675","0.0878117741865454","0.167408266148455"
"keinen Tag","2011","Hauptschule","Staedtischer Raum","808","0.145779514545795","0.135421832007914","0.156137197083675"
"keinen Tag","2011","Hauptschule","Laendlicher Raum","467","0.130673024514358","0.118217908572885","0.143128140455831"
"keinen Tag","2011","Realschule","Staedtischer Raum","864","0.238712092147624","0.223744186327571","0.253679997967677"
"keinen Tag","2011","Realschule","Laendlicher Raum","747","0.275390668031559","0.257481487607106","0.293299848456013"
