"ple0044_h","year","age_gr","sex","n","percent","lower_confidence","upper_confidence"
"Ja","2011","66 +","weiblich","2580","0.984841752696715","0.980164161097698","0.989519344295733"
"keinen Tag","2012","17-34","maennlich","826","0.308878825236324","0.291518614684948","0.3262390357877"
"keinen Tag","2012","17-34","weiblich","890","0.258364973546593","0.243945201515422","0.272784745577765"
"keinen Tag","2012","35-65","maennlich","2725","0.383327176533376","0.372031511163529","0.394622841903223"
"keinen Tag","2012","35-65","weiblich","2832","0.320910207895401","0.311120448832447","0.330699966958354"
"keinen Tag","2012","66 +","maennlich","150","0.0564458986511499","0.0474246832321469","0.0654671140701529"
"keinen Tag","2012","66 +","weiblich","88","0.0327320737904316","0.0259816046149419","0.0394825429659214"
"Ja","2012","17-34","maennlich","1895","0.691121174763676","0.673760964212299","0.708481385315052"
"Ja","2012","17-34","weiblich","2650","0.741635026453407","0.727215254422235","0.756054798484578"
"Ja","2012","35-65","maennlich","4392","0.616672823466624","0.605377158096777","0.627968488836471"
"Ja","2012","35-65","weiblich","5903","0.679089792104599","0.669300033041646","0.688879551167553"
"Ja","2012","66 +","maennlich","2364","0.94355410134885","0.934532885929847","0.952575316767853"
"Ja","2012","66 +","weiblich","2581","0.967267926209568","0.960517457034079","0.974018395385058"
"keinen Tag","2013","17-34","maennlich","982","0.292102585216473","0.2768802757128","0.307324894720146"
"keinen Tag","2013","17-34","weiblich","1042","0.245965190812961","0.233109612982972","0.258820768642949"
"keinen Tag","2013","35-65","maennlich","2935","0.364119371061189","0.353522740977162","0.374716001145215"
"keinen Tag","2013","35-65","weiblich","3072","0.311257279189622","0.301987153634253","0.320527404744991"
"keinen Tag","2013","66 +","maennlich","136","0.0447811418494754","0.036578112097264","0.0529841716016869"
"keinen Tag","2013","66 +","weiblich","84","0.032218142123297","0.0254137573913333","0.0390225268552607"
"Ja","2013","17-34","maennlich","2446","0.707897414783527","0.692675105279854","0.7231197242872"
"Ja","2013","17-34","weiblich","3269","0.754034809187039","0.741179231357051","0.766890387017028"
"Ja","2013","35-65","maennlich","4986","0.635880628938811","0.625283998854785","0.646477259022838"
"Ja","2013","35-65","weiblich","6511","0.688742720810378","0.679472595255009","0.698012846365747"
"Ja","2013","66 +","maennlich","2306","0.955218858150525","0.947015828398313","0.963421887902736"
"Ja","2013","66 +","weiblich","2503","0.967781857876703","0.960977473144739","0.974586242608667"
"keinen Tag","2014","17-34","maennlich","982","0.340990157634204","0.323816863747544","0.358163451520864"
"keinen Tag","2014","17-34","weiblich","1081","0.281047156009315","0.266178473887776","0.295915838130855"
"keinen Tag","2014","35-65","maennlich","2766","0.391006290107298","0.379515697507478","0.402496882707117"
"keinen Tag","2014","35-65","weiblich","2990","0.33861013331217","0.328492386371622","0.348727880252718"
"keinen Tag","2014","66 +","maennlich","188","0.0641184294757881","0.0543343102684694","0.0739025486831068"
"keinen Tag","2014","66 +","weiblich","128","0.0409889392147572","0.0332495477219127","0.0487283307076017"
"Ja","2014","17-34","maennlich","1945","0.659009842365796","0.641836548479136","0.676183136252456"
"Ja","2014","17-34","weiblich","2430","0.718952843990684","0.704084161869145","0.733821526112224"
"Ja","2014","35-65","maennlich","4162","0.608993709892702","0.597503117292883","0.620484302492522"
"Ja","2014","35-65","weiblich","5414","0.66138986668783","0.651272119747282","0.671507613628378"
"Ja","2014","66 +","maennlich","2220","0.935881570524212","0.926097451316893","0.945665689731531"
"Ja","2014","66 +","weiblich","2393","0.959011060785243","0.951271669292398","0.966750452278087"
"keinen Tag","2015","17-34","maennlich","908","0.298509122414759","0.28207390089639","0.314944343933128"
"keinen Tag","2015","17-34","weiblich","892","0.249179308679148","0.235018495440627","0.263340121917668"
"keinen Tag","2015","35-65","maennlich","2511","0.370033369136513","0.358523083911516","0.38154365436151"
"keinen Tag","2015","35-65","weiblich","2571","0.310799414842435","0.300806380034494","0.320792449650377"
"keinen Tag","2015","66 +","maennlich","168","0.0645406247645895","0.0546731446251495","0.0744081049040294"
"keinen Tag","2015","66 +","weiblich","101","0.0422602935369123","0.0343788155415758","0.0501417715322488"
"Ja","2015","17-34","maennlich","2070","0.701490877585241","0.685055656066872","0.71792609910361"
"Ja","2015","17-34","weiblich","2692","0.750820691320852","0.736659878082332","0.764981504559373"
"Ja","2015","35-65","maennlich","4248","0.629966630863487","0.61845634563849","0.641476916088484"
"Ja","2015","35-65","weiblich","5669","0.689200585157565","0.679207550349623","0.699193619965506"
"Ja","2015","66 +","maennlich","2214","0.93545937523541","0.925591895095971","0.94532685537485"
"Ja","2015","66 +","weiblich","2402","0.957739706463088","0.949858228467751","0.965621184458424"
"keinen Tag","2016","17-34","maennlich","729","0.308351873943549","0.290378096295566","0.326325651591532"
"keinen Tag","2016","17-34","weiblich","732","0.240882131505479","0.22561584646753","0.256148416543429"
"keinen Tag","2016","35-65","maennlich","2253","0.361432432903683","0.34938737372246","0.373477492084906"
"keinen Tag","2016","35-65","weiblich","2380","0.315002435213505","0.30456724978694","0.32543762064007"
"keinen Tag","2016","66 +","maennlich","174","0.0762811582642384","0.0654210216952564","0.0871412948332204"
"keinen Tag","2016","66 +","weiblich","99","0.0422908476164331","0.0342342052144152","0.0503474900184511"
"Ja","2016","17-34","maennlich","1807","0.691648126056451","0.673674348408468","0.709621903704434"
"Ja","2016","17-34","weiblich","2282","0.759117868494521","0.743851583456571","0.77438415353247"
"Ja","2016","35-65","maennlich","3858","0.638567567096317","0.626522507915094","0.65061262627754"
"Ja","2016","35-65","weiblich","5232","0.684997564786495","0.67456237935993","0.69543275021306"
"Ja","2016","66 +","maennlich","2121","0.923718841735762","0.91285870516678","0.934578978304744"
"Ja","2016","66 +","weiblich","2298","0.957709152383567","0.949652509981549","0.965765794785585"
"keinen Tag","2017","17-34","maennlich","772","0.281129779879018","0.264685677669338","0.297573882088698"
"keinen Tag","2017","17-34","weiblich","724","0.231652959800157","0.217123808207505","0.246182111392808"
"keinen Tag","2017","35-65","maennlich","2375","0.351812662862194","0.340453372748964","0.363171952975424"
"keinen Tag","2017","35-65","weiblich","2424","0.29190982475994","0.28218907978182","0.30163056973806"
"keinen Tag","2017","66 +","maennlich","195","0.0734302982565929","0.0630741795469189","0.0837864169662669"
"keinen Tag","2017","66 +","weiblich","123","0.0478068965630042","0.039441765404702","0.0561720277213063"
"Ja","2017","17-34","maennlich","2099","0.718870220120982","0.702426117911302","0.735314322330662"
"Ja","2017","17-34","weiblich","2515","0.768347040199843","0.753817888607192","0.782876191792495"
"Ja","2017","35-65","maennlich","4414","0.648187337137806","0.636828047024576","0.659546627251036"
"Ja","2017","35-65","weiblich","5979","0.70809017524006","0.69836943026194","0.71781092021818"
"Ja","2017","66 +","maennlich","2242","0.926569701743407","0.916213583033733","0.936925820453081"
"Ja","2017","66 +","weiblich","2376","0.952193103436996","0.943827972278694","0.960558234595298"
"keinen Tag","2018","17-34","maennlich","763","0.284227595292672","0.267503005059896","0.300952185525448"
"keinen Tag","2018","17-34","weiblich","678","0.224466573637562","0.209840434402628","0.239092712872495"
"keinen Tag","2018","35-65","maennlich","2151","0.327223807555505","0.315772379293763","0.338675235817246"
"keinen Tag","2018","35-65","weiblich","2357","0.283787279315439","0.273916739622069","0.293657819008809"
"keinen Tag","2018","66 +","maennlich","192","0.0845433373880778","0.0734843795993146","0.0956022951768411"
"keinen Tag","2018","66 +","weiblich","117","0.044833750576026","0.0367860232605592","0.0528814778914927"
"Ja","2018","17-34","maennlich","2031","0.715772404707328","0.699047814474552","0.732496994940104"
"Ja","2018","17-34","weiblich","2448","0.775533426362438","0.760907287127505","0.790159565597372"
"Ja","2018","35-65","maennlich","4298","0.672776192444495","0.661324764182754","0.684227620706237"
"Ja","2018","35-65","weiblich","5657","0.716212720684561","0.706342180991191","0.726083260377931"
"Ja","2018","66 +","maennlich","2239","0.915456662611922","0.904397704823159","0.926515620400685"
"Ja","2018","66 +","weiblich","2423","0.955166249423974","0.947118522108507","0.963213976739441"
"keinen Tag","2019","17-34","maennlich","683","0.279254161672403","0.261786463282428","0.296721860062378"
"keinen Tag","2019","17-34","weiblich","577","0.215858688259947","0.200625319344849","0.231092057175045"
"keinen Tag","2019","35-65","maennlich","2558","0.334338121753637","0.323267687748909","0.345408555758364"
"keinen Tag","2019","35-65","weiblich","2349","0.266378776864036","0.256665647664881","0.27609190606319"
"keinen Tag","2019","66 +","maennlich","325","0.0908764750018716","0.0798892003104078","0.101863749693335"
"keinen Tag","2019","66 +","weiblich","185","0.048160423573956","0.0399004032319062","0.0564204439160059"
"Ja","2019","17-34","maennlich","1851","0.720745838327597","0.703278139937622","0.738213536717572"
"Ja","2019","17-34","weiblich","2225","0.784141311740053","0.768907942824955","0.79937468065515"
"Ja","2019","35-65","maennlich","4418","0.665661878246363","0.654591444241636","0.676732312251091"
"Ja","2019","35-65","weiblich","5608","0.733621223135964","0.72390809393681","0.743334352335119"
"Ja","2019","66 +","maennlich","2304","0.909123524998128","0.898136250306665","0.920110799689592"
"Ja","2019","66 +","weiblich","2396","0.951839576426044","0.943579556083994","0.960099596768094"
"keinen Tag","2020","17-34","maennlich","1327","0.276099061622674","0.261719102499654","0.290479020745695"
"keinen Tag","2020","17-34","weiblich","951","0.235295316169357","0.221327901364209","0.249262730974504"
"keinen Tag","2020","35-65","maennlich","3025","0.341915195828778","0.331181242719254","0.352649148938303"
"keinen Tag","2020","35-65","weiblich","2541","0.280798782812171","0.271035735720878","0.290561829903464"
"keinen Tag","2020","66 +","maennlich","262","0.0760339059595144","0.0655192305786921","0.0865485813403368"
"keinen Tag","2020","66 +","weiblich","176","0.0538510241515899","0.0449654279531565","0.0627366203500233"
"Ja","2020","17-34","maennlich","2386","0.723900938377326","0.709520979254305","0.738280897500346"
"Ja","2020","17-34","weiblich","2592","0.764704683830643","0.750737269025496","0.778672098635791"
"Ja","2020","35-65","maennlich","4477","0.658084804171222","0.647350851061697","0.668818757280746"
"Ja","2020","35-65","weiblich","5598","0.719201217187829","0.709438170096537","0.728964264279122"
"Ja","2020","66 +","maennlich","2179","0.923966094040486","0.913451418659663","0.934480769421308"
"Ja","2020","66 +","weiblich","2303","0.94614897584841","0.937263379649977","0.955034572046843"
