"ple0044_h","year","bildungsniveau","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"keinen Tag","2018","Realschule","Westdeutschland","1141","","",""
"keinen Tag","2018","Realschule","Ostdeutschland","603","0.291072574249186","0.27182647430651","0.310318674191862"
"keinen Tag","2018","(Fach-)Abitur","Westdeutschland","949","0.258562889304501","0.24386069086779","0.273265087741213"
"keinen Tag","2018","(Fach-)Abitur","Ostdeutschland","159","","",""
"keinen Tag","2018","AkademikerIn","Westdeutschland","1340","","",""
"keinen Tag","2018","AkademikerIn","Ostdeutschland","340","0.221501659705462","0.199576598212151","0.243426721198774"
"Ja","2018","(noch) kein Abschluss","Westdeutschland","651","0.879185832357098","0.856030285810417","0.902341378903779"
"Ja","2018","(noch) kein Abschluss","Ostdeutschland","112","","",""
"Ja","2018","Hauptschule","Westdeutschland","4412","0.798962105731043","0.788534917531244","0.809389293930842"
"Ja","2018","Hauptschule","Ostdeutschland","916","0.857780745220581","0.836644507107617","0.878916983333544"
"Ja","2018","Realschule","Westdeutschland","3308","0.759203352023644","0.746639547662548","0.771767156384739"
"Ja","2018","Realschule","Ostdeutschland","1537","","",""
"Ja","2018","(Fach-)Abitur","Westdeutschland","2458","","",""
"Ja","2018","(Fach-)Abitur","Ostdeutschland","422","0.720656885517077","0.684173655567332","0.757140115466822"
"Ja","2018","AkademikerIn","Westdeutschland","3578","0.742713510424482","0.730496273907282","0.754930746941683"
"Ja","2018","AkademikerIn","Ostdeutschland","1038","","",""
"keinen Tag","2019","(noch) kein Abschluss","Westdeutschland","98","0.120335980397091","0.0956817643884298","0.144990196405752"
"keinen Tag","2019","(noch) kein Abschluss","Ostdeutschland","9","0.037253697790203","0.000856156736248517","0.0736512388441574"
"keinen Tag","2019","Hauptschule","Westdeutschland","1129","","",""
"keinen Tag","2019","Hauptschule","Ostdeutschland","129","","",""
"keinen Tag","2019","Realschule","Westdeutschland","1241","","",""
"keinen Tag","2019","Realschule","Ostdeutschland","615","0.263486966634877","0.244739286122777","0.282234647146977"
"keinen Tag","2019","(Fach-)Abitur","Westdeutschland","974","0.250465636660538","0.236109222816331","0.264822050504746"
"keinen Tag","2019","(Fach-)Abitur","Ostdeutschland","177","","",""
"keinen Tag","2019","AkademikerIn","Westdeutschland","1611","","",""
"keinen Tag","2019","AkademikerIn","Ostdeutschland","466","0.212335717760531","0.192099994912117","0.232571440608946"
"Ja","2019","(noch) kein Abschluss","Westdeutschland","571","0.879664019602909","0.855009803594248","0.90431823561157"
"Ja","2019","(noch) kein Abschluss","Ostdeutschland","95","0.962746302209797","0.926348761155843","0.999143843263751"
"Ja","2019","Hauptschule","Westdeutschland","4084","0.8054138583577","0.794667291845882","0.816160424869519"
"Ja","2019","Hauptschule","Ostdeutschland","795","0.878081267739035","0.856984560282144","0.899177975195926"
"Ja","2019","Realschule","Westdeutschland","3289","0.743724160883509","0.731010847066874","0.756437474700144"
"Ja","2019","Realschule","Ostdeutschland","1506","","",""
"Ja","2019","(Fach-)Abitur","Westdeutschland","2525","","",""
"Ja","2019","(Fach-)Abitur","Ostdeutschland","413","0.7386572543054","0.703204596921739","0.77410991168906"
"Ja","2019","AkademikerIn","Westdeutschland","3744","0.739287094157577","0.727528478888292","0.751045709426861"
"Ja","2019","AkademikerIn","Ostdeutschland","1103","","",""
"keinen Tag","2020","(noch) kein Abschluss","Westdeutschland","546","0.176894110434371","0.158173664534681","0.19561455633406"
"keinen Tag","2020","(noch) kein Abschluss","Ostdeutschland","105","","",""
"keinen Tag","2020","Hauptschule","Westdeutschland","1340","","",""
"keinen Tag","2020","Hauptschule","Ostdeutschland","178","","",""
"keinen Tag","2020","Realschule","Westdeutschland","1125","","",""
"keinen Tag","2020","Realschule","Ostdeutschland","524","0.258425479185949","0.238879731027178","0.277971227344721"
"keinen Tag","2020","(Fach-)Abitur","Westdeutschland","1360","","",""
"keinen Tag","2020","(Fach-)Abitur","Ostdeutschland","236","","",""
"keinen Tag","2020","AkademikerIn","Westdeutschland","1928","","",""
"keinen Tag","2020","AkademikerIn","Ostdeutschland","538","0.276117915322634","0.25431357083654","0.297922259808728"
"Ja","2020","(noch) kein Abschluss","Westdeutschland","1050","","",""
"Ja","2020","(noch) kein Abschluss","Ostdeutschland","142","","",""
"Ja","2020","Hauptschule","Westdeutschland","4103","0.80553417438409","0.795019579252179","0.816048769516001"
"Ja","2020","Hauptschule","Ostdeutschland","778","0.884704112178108","0.864458772081025","0.904949452275191"
"Ja","2020","Realschule","Westdeutschland","3043","0.745094540710903","0.731863942072069","0.758325139349738"
"Ja","2020","Realschule","Ostdeutschland","1403","","",""
"Ja","2020","(Fach-)Abitur","Westdeutschland","2767","","",""
"Ja","2020","(Fach-)Abitur","Ostdeutschland","431","0.707332045342259","0.672803011436888","0.741861079247629"
"Ja","2020","AkademikerIn","Westdeutschland","4015","0.735389395785478","0.724174182694253","0.746604608876703"
"Ja","2020","AkademikerIn","Ostdeutschland","1077","","",""
