year,bula_h,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1986,"Rheinland-Pfalz,Saarland",higher education,36,0.838367745064963,0.6089074387067896,1.0678280514231364,0.0,0.0,1.8884323841921296,0.0,4.721080960480323,0.0,0.0,0.0
1986,Baden-Württemberg,in school,,,,,,,,,,,,
1986,Baden-Württemberg,inadequately,214,2.3545269061657885,2.114453988595945,2.5945998237356322,0.0,0.0,3.0,0.0,7.5,0.0,-1.0,0.0
1986,Baden-Württemberg,general elemantary,568,0.8914410509981179,0.7935666806065818,0.989315421389654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Baden-Württemberg,middle vocational,849,1.186330310782334,1.0953899037965993,1.2772707177680687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Baden-Württemberg,vocational + Abi,49,1.201557967070099,0.7558002380084776,1.6473156961317206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Baden-Württemberg,higher vocational,102,1.2536180810411124,0.994531792086615,1.5127043699956098,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Baden-Württemberg,higher education,114,1.4269901582240585,1.2075517576930352,1.6464285587550818,0.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0
1986,Bayern,in school,,,,,,,,,,,,
1986,Bayern,inadequately,73,0.9288572645525229,0.6912414077670477,1.1664731213379982,0.0,0.0,1.0,0.0,2.5,0.0,0.0,0.0
1986,Bayern,general elemantary,469,0.917738447032482,0.8083737906345982,1.0271031034303657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Bayern,middle vocational,881,1.1627472553295388,1.076178813442115,1.2493156972169626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Bayern,vocational + Abi,41,1.160325767329334,0.7328113132382451,1.5878402214204228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1986,Bayern,higher vocational,108,1.0377268608639059,0.8298163488587448,1.245637372869067,0.0,0.0,0.5531676914853975,0.0,1.3829192287134937,0.0,0.0,0.0
