year,age_gr,sampreg,hospitalyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2014,46-65 y.,West,Yes,0.13507,907,7276,0.12722,0.14293
2014,46-65 y.,West,No,0.86149,6369,7276,0.85356,0.86943
2014,46-65 y.,East,Yes,0.12601,239,2021,0.11153,0.14048
2014,46-65 y.,East,No,0.87296,1782,2021,0.85843,0.88748
2014,66 and older,West,Yes,0.20050,736,3721,0.18763,0.21336
2014,66 and older,West,No,0.79362,2985,3721,0.78061,0.80662
2014,66 and older,East,Yes,0.21643,268,1218,0.19329,0.23956
2014,66 and older,East,No,0.77683,950,1218,0.75343,0.80022
2015,17-29 y.,West,Yes,0.08789,343,3257,0.07817,0.09762
2015,17-29 y.,West,No,0.79099,2914,3257,0.77702,0.80495
2015,17-29 y.,East,Yes,0.09293,76,652,0.07063,0.11523
2015,17-29 y.,East,No,0.80493,576,652,0.77449,0.83537
2015,30-45 y.,West,Yes,0.09187,620,5885,0.08449,0.09925
2015,30-45 y.,West,No,0.85502,5265,5885,0.84602,0.86401
2015,30-45 y.,East,Yes,0.09930,163,1461,0.08396,0.11464
2015,30-45 y.,East,No,0.87287,1298,1461,0.85578,0.88995
2015,46-65 y.,West,Yes,0.12405,800,6949,0.11630,0.13180
2015,46-65 y.,West,No,0.86493,6149,6949,0.85689,0.87296
2015,46-65 y.,East,Yes,0.13131,255,1917,0.11618,0.14643
2015,46-65 y.,East,No,0.86299,1662,1917,0.84759,0.87839
2015,66 and older,West,Yes,0.22181,807,3656,0.20834,0.23528
2015,66 and older,West,No,0.77364,2849,3656,0.76008,0.78721
2015,66 and older,East,Yes,0.21667,254,1215,0.19349,0.23984
2015,66 and older,East,No,0.77508,961,1215,0.75159,0.79856
2016,17-29 y.,West,Yes,0.09095,329,3161,0.08092,0.10098
2016,17-29 y.,West,No,0.80862,2832,3161,0.79490,0.82233
2016,17-29 y.,East,Yes,0.06379,65,628,0.04466,0.08292
2016,17-29 y.,East,No,0.84294,563,628,0.81446,0.87142
2016,30-45 y.,West,Yes,0.10234,660,5682,0.09445,0.11022
2016,30-45 y.,West,No,0.88134,5022,5682,0.87293,0.88975
2016,30-45 y.,East,Yes,0.10426,149,1357,0.08799,0.12053
2016,30-45 y.,East,No,0.88262,1208,1357,0.86549,0.89975
2016,46-65 y.,West,Yes,0.11590,787,6720,0.10824,0.12355
2016,46-65 y.,West,No,0.88131,5933,6720,0.87358,0.88905
2016,46-65 y.,East,Yes,0.13089,223,1864,0.11558,0.14621
2016,46-65 y.,East,No,0.86261,1641,1864,0.84698,0.87825
2016,66 and older,West,Yes,0.21390,727,3541,0.20039,0.22741
2016,66 and older,West,No,0.78522,2814,3541,0.77169,0.79874
2016,66 and older,East,Yes,0.20688,244,1167,0.18363,0.23013
2016,66 and older,East,No,0.79254,923,1167,0.76927,0.81582
2017,17-29 y.,West,Yes,0.07919,341,3538,0.07029,0.08809
2017,17-29 y.,West,No,0.81134,3197,3538,0.79844,0.82423
2017,17-29 y.,East,Yes,0.10950,90,738,0.08696,0.13205
2017,17-29 y.,East,No,0.81726,648,738,0.78936,0.84516
2017,30-45 y.,West,Yes,0.10426,619,5747,0.09636,0.11216
2017,30-45 y.,West,No,0.87783,5128,5747,0.86937,0.88630
2017,30-45 y.,East,Yes,0.09206,159,1459,0.07722,0.10690
2017,30-45 y.,East,No,0.89261,1300,1459,0.87671,0.90850
2017,46-65 y.,West,Yes,0.13000,957,7782,0.12253,0.13747
2017,46-65 y.,West,No,0.86442,6825,7782,0.85681,0.87202
2017,46-65 y.,East,Yes,0.13621,273,2166,0.12176,0.15066
2017,46-65 y.,East,No,0.86060,1893,2166,0.84601,0.87519
2017,66 and older,West,Yes,0.22277,853,3737,0.20942,0.23611
2017,66 and older,West,No,0.77601,2884,3737,0.76264,0.78937
2017,66 and older,East,Yes,0.23572,265,1215,0.21184,0.25960
2017,66 and older,East,No,0.75834,950,1215,0.73426,0.78243
2018,17-29 y.,West,Yes,0.08561,339,3500,0.07633,0.09488
2018,17-29 y.,West,No,0.82455,3161,3500,0.81194,0.83715
2018,17-29 y.,East,Yes,0.11855,84,727,0.09504,0.14207
2018,17-29 y.,East,No,0.75080,643,727,0.71934,0.78227
2018,30-45 y.,West,Yes,0.10908,589,5305,0.10069,0.11747
2018,30-45 y.,West,No,0.87066,4716,5305,0.86163,0.87969
2018,30-45 y.,East,Yes,0.11200,170,1392,0.09542,0.12857
2018,30-45 y.,East,No,0.87337,1222,1392,0.85589,0.89085
2018,46-65 y.,West,Yes,0.12347,915,7503,0.11603,0.13092
2018,46-65 y.,West,No,0.87256,6588,7503,0.86502,0.88011
2018,46-65 y.,East,Yes,0.13965,274,2117,0.12488,0.15442
2018,46-65 y.,East,No,0.85806,1843,2117,0.84319,0.87293
2018,66 and older,West,Yes,0.20942,772,3741,0.19638,0.22246
2018,66 and older,West,No,0.78641,2969,3741,0.77328,0.79955
2018,66 and older,East,Yes,0.23099,276,1234,0.20746,0.25451
2018,66 and older,East,No,0.76242,958,1234,0.73866,0.78617
2019,17-29 y.,West,Yes,0.08890,318,3175,0.07900,0.09881
2019,17-29 y.,West,No,0.81058,2857,3175,0.79695,0.82421
2019,17-29 y.,East,Yes,0.09120,60,638,0.06884,0.11356
2019,17-29 y.,East,No,0.79622,578,638,0.76494,0.82750
2019,30-45 y.,West,Yes,0.10154,530,4922,0.09310,0.10998
2019,30-45 y.,West,No,0.88233,4392,4922,0.87333,0.89133
2019,30-45 y.,East,Yes,0.09718,142,1330,0.08125,0.11310
2019,30-45 y.,East,No,0.89130,1188,1330,0.87456,0.90803
2019,46-65 y.,West,Yes,0.13569,1050,8106,0.12824,0.14315
2019,46-65 y.,West,No,0.85989,7056,8106,0.85233,0.86745
2019,46-65 y.,East,Yes,0.13098,276,2273,0.11711,0.14485
2019,46-65 y.,East,No,0.86284,1997,2273,0.84870,0.87699
2019,66 and older,West,Yes,0.20700,780,3860,0.19421,0.21978
2019,66 and older,West,No,0.78970,3080,3860,0.77684,0.80256
2019,66 and older,East,Yes,0.21974,280,1296,0.19719,0.24230
2019,66 and older,East,No,0.77974,1016,1296,0.75717,0.80231
2020,17-29 y.,West,Yes,0.09099,411,4309,0.08240,0.09958
2020,17-29 y.,West,No,0.83244,3898,4309,0.82129,0.84360
2020,17-29 y.,East,Yes,0.07315,75,752,0.05452,0.09177
2020,17-29 y.,East,No,0.81430,677,752,0.78648,0.84211
2020,30-45 y.,West,Yes,0.11403,738,6486,0.10629,0.12176
2020,30-45 y.,West,No,0.87794,5748,6486,0.86998,0.88591
2020,30-45 y.,East,Yes,0.09645,148,1537,0.08168,0.11121
2020,30-45 y.,East,No,0.89909,1389,1537,0.88402,0.91415
2020,46-65 y.,West,Yes,0.13021,1034,8199,0.12293,0.13750
2020,46-65 y.,West,No,0.86788,7165,8199,0.86055,0.87521
2020,46-65 y.,East,Yes,0.15004,272,2178,0.13504,0.16504
2020,46-65 y.,East,No,0.84820,1906,2178,0.83313,0.86327
2020,66 and older,West,Yes,0.21504,752,3659,0.20173,0.22836
2020,66 and older,West,No,0.78169,2907,3659,0.76830,0.79508
2020,66 and older,East,Yes,0.19546,241,1238,0.17336,0.21756
2020,66 and older,East,No,0.79943,997,1238,0.77711,0.82174
2021,17-29 y.,West,Yes,0.07464,197,2270,0.06383,0.08545
2021,17-29 y.,West,No,0.82981,2073,2270,0.81435,0.84528
2021,17-29 y.,East,Yes,0.07103,40,423,0.04652,0.09554
2021,17-29 y.,East,No,0.82935,383,423,0.79345,0.86524
2021,30-45 y.,West,Yes,0.09050,295,3234,0.08061,0.10039
2021,30-45 y.,West,No,0.88726,2939,3234,0.87636,0.89817
2021,30-45 y.,East,Yes,0.08039,80,913,0.06274,0.09804
2021,30-45 y.,East,No,0.90296,833,913,0.88374,0.92217
2021,46-65 y.,West,Yes,0.11508,588,5360,0.10654,0.12363
2021,46-65 y.,West,No,0.87721,4772,5360,0.86842,0.88599
2021,46-65 y.,East,Yes,0.13645,163,1426,0.11862,0.15427
2021,46-65 y.,East,No,0.85543,1263,1426,0.83717,0.87369
2021,66 and older,West,Yes,0.20114,554,2687,0.18598,0.21630
2021,66 and older,West,No,0.79255,2133,2687,0.77721,0.80788
2021,66 and older,East,Yes,0.16673,157,852,0.14169,0.19178
2021,66 and older,East,No,0.83007,695,852,0.80483,0.85530
