year,bula_h,regtyp,pld0045,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2018,Hesse,Urban regions,Often,0.12304,143,25021,0.12273,0.12335
2018,Hesse,Urban regions,Sometimes,0.10538,146,25021,0.10509,0.10567
2018,Hesse,Urban regions,Seldom,0.17066,235,25021,0.17031,0.17102
2018,Hesse,Urban regions,Never,0.50379,690,25021,0.50331,0.50426
2018,Hesse,Rural regions,Very often,0.08732,33,25021,0.08677,0.08787
2018,Hesse,Rural regions,Often,0.13196,52,25021,0.13131,0.13262
2018,Hesse,Rural regions,Sometimes,0.14670,42,25021,0.14602,0.14739
2018,Hesse,Rural regions,Seldom,0.17125,56,25021,0.17052,0.17198
2018,Hesse,Rural regions,Never,0.46276,159,25021,0.46179,0.46373
2018,"Rhineland-Palatinate, Saarland",Urban regions,Very often,0.07016,71,25021,0.06987,0.07045
2018,"Rhineland-Palatinate, Saarland",Urban regions,Often,0.10674,107,25021,0.10639,0.10709
2018,"Rhineland-Palatinate, Saarland",Urban regions,Sometimes,0.09389,101,25021,0.09356,0.09422
2018,"Rhineland-Palatinate, Saarland",Urban regions,Seldom,0.16819,166,25021,0.16776,0.16861
2018,"Rhineland-Palatinate, Saarland",Urban regions,Never,0.56102,634,25021,0.56046,0.56159
2018,"Rhineland-Palatinate, Saarland",Rural regions,Often,0.12101,41,25021,0.12031,0.12170
2018,"Rhineland-Palatinate, Saarland",Rural regions,Sometimes,0.11934,43,25021,0.11865,0.12003
2018,"Rhineland-Palatinate, Saarland",Rural regions,Seldom,0.23361,69,25021,0.23271,0.23451
2018,"Rhineland-Palatinate, Saarland",Rural regions,Never,0.52605,211,25021,0.52499,0.52711
2018,Baden-Wuerttemberg,Urban regions,Very often,0.08294,214,25021,0.08275,0.08313
2018,Baden-Wuerttemberg,Urban regions,Often,0.11184,287,25021,0.11163,0.11206
2018,Baden-Wuerttemberg,Urban regions,Sometimes,0.10799,296,25021,0.10778,0.10821
2018,Baden-Wuerttemberg,Urban regions,Seldom,0.17999,413,25021,0.17972,0.18025
2018,Baden-Wuerttemberg,Urban regions,Never,0.51723,1247,25021,0.51689,0.51758
2018,Baden-Wuerttemberg,Rural regions,Often,0.12535,49,25021,0.12463,0.12607
2018,Baden-Wuerttemberg,Rural regions,Sometimes,0.21440,56,25021,0.21351,0.21530
2018,Baden-Wuerttemberg,Rural regions,Seldom,0.19827,49,25021,0.19740,0.19914
2018,Baden-Wuerttemberg,Rural regions,Never,0.46198,143,25021,0.46089,0.46307
2018,Bavaria,Urban regions,Very often,0.06698,138,25021,0.06676,0.06721
2018,Bavaria,Urban regions,Often,0.08474,197,25021,0.08450,0.08499
2018,Bavaria,Urban regions,Sometimes,0.13087,238,25021,0.13057,0.13117
2018,Bavaria,Urban regions,Seldom,0.17692,316,25021,0.17659,0.17726
2018,Bavaria,Urban regions,Never,0.54048,919,25021,0.54003,0.54092
2018,Bavaria,Rural regions,Very often,0.09103,214,25021,0.09078,0.09127
2018,Bavaria,Rural regions,Often,0.13749,287,25021,0.13720,0.13778
2018,Bavaria,Rural regions,Sometimes,0.12333,276,25021,0.12305,0.12360
2018,Bavaria,Rural regions,Seldom,0.21101,398,25021,0.21067,0.21136
2018,Bavaria,Rural regions,Never,0.43715,983,25021,0.43673,0.43756
2018,Berlin,Urban regions,Very often,0.03402,36,25021,0.03381,0.03422
2018,Berlin,Urban regions,Often,0.05930,71,25021,0.05903,0.05956
2018,Berlin,Urban regions,Sometimes,0.08960,78,25021,0.08928,0.08992
2018,Berlin,Urban regions,Seldom,0.14397,159,25021,0.14357,0.14436
2018,Berlin,Urban regions,Never,0.67312,648,25021,0.67259,0.67365
2018,Brandenburg,Urban regions,Never,1.00000,54,25021,1.00000,1.00000
2018,Brandenburg,Rural regions,Often,0.09791,78,25021,0.09746,0.09835
2018,Brandenburg,Rural regions,Sometimes,0.12021,116,25021,0.11972,0.12070
2018,Brandenburg,Rural regions,Seldom,0.17044,147,25021,0.16988,0.17100
2018,Brandenburg,Rural regions,Never,0.61144,562,25021,0.61072,0.61217
2018,Mecklenburg-Western Pomerania,Urban regions,Never,1.00000,83,25021,1.00000,1.00000
2018,Mecklenburg-Western Pomerania,Rural regions,Often,0.08412,52,25021,0.08360,0.08464
2018,Mecklenburg-Western Pomerania,Rural regions,Sometimes,0.12477,78,25021,0.12414,0.12539
2018,Mecklenburg-Western Pomerania,Rural regions,Seldom,0.18694,86,25021,0.18621,0.18767
2018,Mecklenburg-Western Pomerania,Rural regions,Never,0.60417,262,25021,0.60325,0.60509
2018,Saxony,Urban regions,Very often,0.04965,52,25021,0.04934,0.04996
2018,Saxony,Urban regions,Often,0.10100,87,25021,0.10056,0.10143
2018,Saxony,Urban regions,Sometimes,0.08080,74,25021,0.08041,0.08120
2018,Saxony,Urban regions,Seldom,0.14562,122,25021,0.14511,0.14613
2018,Saxony,Urban regions,Never,0.62293,525,25021,0.62223,0.62363
2018,Saxony,Rural regions,Often,0.08974,57,25021,0.08931,0.09017
2018,Saxony,Rural regions,Sometimes,0.08757,75,25021,0.08714,0.08799
2018,Saxony,Rural regions,Seldom,0.17974,135,25021,0.17916,0.18032
2018,Saxony,Rural regions,Never,0.64295,464,25021,0.64223,0.64368
2018,Saxony-Anhalt,Urban regions,Never,1.00000,120,25021,1.00000,1.00000
2018,Saxony-Anhalt,Rural regions,Very often,0.09111,66,25021,0.09065,0.09157
2018,Saxony-Anhalt,Rural regions,Often,0.10793,87,25021,0.10743,0.10842
2018,Saxony-Anhalt,Rural regions,Sometimes,0.08858,63,25021,0.08813,0.08903
2018,Saxony-Anhalt,Rural regions,Seldom,0.18053,119,25021,0.17992,0.18114
2018,Saxony-Anhalt,Rural regions,Never,0.53185,384,25021,0.53105,0.53264
2018,Thuringa,Urban regions,Sometimes,0.14899,35,25021,0.14798,0.14999
2018,Thuringa,Urban regions,Seldom,0.08359,35,25021,0.08281,0.08437
2018,Thuringa,Urban regions,Never,0.76742,181,25021,0.76623,0.76861
2018,Thuringa,Rural regions,Very often,0.06348,35,25021,0.06304,0.06392
2018,Thuringa,Rural regions,Often,0.09565,67,25021,0.09513,0.09618
2018,Thuringa,Rural regions,Sometimes,0.12030,69,25021,0.11972,0.12088
2018,Thuringa,Rural regions,Seldom,0.11664,99,25021,0.11606,0.11721
2018,Thuringa,Rural regions,Never,0.60393,371,25021,0.60306,0.60481
