year,age_gr,migback,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1996,17-29 y.,Indirect migration background,No,0.9190087171656243,419,12978,0.918488400648619,0.9195290336826295
1996,30-45 y.,No migration background,Yes,0.0960236990325934,361,12978,0.09588436053325643,0.09616303753193038
1996,30-45 y.,No migration background,No,0.9039763009674067,3149,12978,0.9038369624680697,0.9041156394667437
1996,30-45 y.,Direct migration background,Yes,0.11250743837909963,85,12978,0.11213665194352532,0.11287822481467394
1996,30-45 y.,Direct migration background,No,0.8874925616209004,765,12978,0.8871217751853261,0.8878633480564747
1996,30-45 y.,Indirect migration background,No,1.0,54,12978,1.0,1.0
1996,46-65 y.,No migration background,Yes,0.12100263551972223,350,12978,0.12085025312500078,0.12115501791444369
1996,46-65 y.,No migration background,No,0.8789973644802778,2544,12978,0.8788449820855563,0.8791497468749992
1996,46-65 y.,Direct migration background,Yes,0.13897154085662072,132,12978,0.13860431313611024,0.1393387685771312
1996,46-65 y.,Direct migration background,No,0.8610284591433792,849,12978,0.8606612314228688,0.8613956868638897
1996,66 and older,No migration background,Yes,0.2171326869832998,269,12978,0.21689027686509604,0.21737509710150354
1996,66 and older,No migration background,No,0.7828673130167003,1040,12978,0.7826249028984965,0.7831097231349041
1996,66 and older,Direct migration background,Yes,0.20166339721969273,49,12978,0.20098682276214141,0.20233997167724405
1996,66 and older,Direct migration background,No,0.7983366027803073,175,12978,0.797660028322756,0.7990131772378586
1997,17-29 y.,No migration background,Yes,0.10681592604603349,217,12742,0.10661901561733647,0.1070128364747305
1997,17-29 y.,No migration background,No,0.8931840739539665,1853,12742,0.8929871635252695,0.8933809843826634
1997,17-29 y.,Direct migration background,Yes,0.11643784277188907,55,12742,0.11594992921600632,0.11692575632777182
1997,17-29 y.,Direct migration background,No,0.8835621572281108,417,12742,0.8830742436722281,0.8840500707839936
1997,17-29 y.,Indirect migration background,Yes,0.08544901300507529,46,12742,0.08494967131419712,0.08594835469595347
1997,17-29 y.,Indirect migration background,No,0.9145509869949247,428,12742,0.9140516453040465,0.9150503286858028
1997,30-45 y.,No migration background,Yes,0.09783162383492681,352,12742,0.09769186742228221,0.09797138024757142
1997,30-45 y.,No migration background,No,0.9021683761650731,3113,12742,0.9020286197524284,0.9023081325777177
1997,30-45 y.,Direct migration background,Yes,0.10736773504396359,81,12742,0.1069984147342585,0.10773705535366868
1997,30-45 y.,Direct migration background,No,0.8926322649560364,733,12742,0.8922629446463314,0.8930015852657415
1997,30-45 y.,Indirect migration background,No,1.0,56,12742,1.0,1.0
1997,46-65 y.,No migration background,Yes,0.12924382554223043,371,12742,0.12908764026937278,0.1294000108150881
1997,46-65 y.,No migration background,No,0.8707561744577695,2518,12742,0.8705999891849119,0.8709123597306272
1997,46-65 y.,Direct migration background,Yes,0.09949245526987005,103,12742,0.09917864816913424,0.09980626237060586
1997,46-65 y.,Direct migration background,No,0.90050754473013,832,12742,0.9001937376293941,0.9008213518308658
1997,66 and older,No migration background,Yes,0.20141037954782545,256,12742,0.20117646706347897,0.20164429203217193
1997,66 and older,No migration background,No,0.7985896204521746,1078,12742,0.7983557079678282,0.7988235329365211
1997,66 and older,Direct migration background,Yes,0.20991184187160225,52,12742,0.20923784149979036,0.21058584224341415
1997,66 and older,Direct migration background,No,0.7900881581283976,181,12742,0.7894141577565857,0.7907621585002095
1998,17-29 y.,No migration background,Yes,0.10347648674723882,241,14186,0.10327964546607657,0.10367332802840107
1998,17-29 y.,No migration background,No,0.8965235132527613,2000,14186,0.896326671971599,0.8967203545339235
1998,17-29 y.,Direct migration background,Yes,0.15460862311329931,61,14186,0.1540358020917464,0.15518144413485224
1998,17-29 y.,Direct migration background,No,0.8453913768867007,373,14186,0.8448185558651478,0.8459641979082537
1998,17-29 y.,Indirect migration background,Yes,0.06806196847248873,36,14186,0.06764406391238416,0.0684798730325933
1998,17-29 y.,Indirect migration background,No,0.9319380315275113,449,14186,0.9315201269674067,0.9323559360876159
1998,30-45 y.,No migration background,Yes,0.10138728549545298,404,14186,0.10124520088249092,0.10152937010841503
1998,30-45 y.,No migration background,No,0.8986127145045469,3543,14186,0.8984706298915849,0.898754799117509
1998,30-45 y.,Direct migration background,Yes,0.10625144871169033,79,14186,0.10588078616428635,0.10662211125909431
1998,30-45 y.,Direct migration background,No,0.8937485512883098,706,14186,0.8933778887409057,0.8941192138357138
1998,30-45 y.,Indirect migration background,No,1.0,80,14186,1.0,1.0
1998,46-65 y.,No migration background,Yes,0.12532051256916976,428,14186,0.1251681239381296,0.12547290120020993
1998,46-65 y.,No migration background,No,0.8746794874308302,3011,14186,0.8745270987997901,0.8748318760618704
1998,46-65 y.,Direct migration background,Yes,0.11770619149171022,109,14186,0.11736635204776684,0.11804603093565359
1998,46-65 y.,Direct migration background,No,0.8822938085082898,820,14186,0.8819539690643464,0.8826336479522331
1998,66 and older,No migration background,Yes,0.194193341101192,309,14186,0.19396414150654703,0.19442254069583695
1998,66 and older,No migration background,No,0.805806658898808,1289,14186,0.805577459304163,0.8060358584934529
1998,66 and older,Direct migration background,Yes,0.19809353281169254,54,14186,0.19741965093464173,0.19876741468874334
1998,66 and older,Direct migration background,No,0.8019064671883075,194,14186,0.8012325853112567,0.8025803490653582
1999,17-29 y.,No migration background,Yes,0.09561719820028033,211,13621,0.09542501180528287,0.0958093845952778
1999,17-29 y.,No migration background,No,0.9043828017997197,1912,13621,0.9041906154047222,0.9045749881947173
1999,17-29 y.,Direct migration background,Yes,0.09661337180541603,37,13621,0.09612343889299695,0.09710330471783511
1999,17-29 y.,Direct migration background,No,0.903386628194584,331,13621,0.902896695282165,0.9038765611070031
1999,17-29 y.,Indirect migration background,Yes,0.07976751864908858,33,13621,0.07933041938464898,0.08020461791352819
1999,17-29 y.,Indirect migration background,No,0.9202324813509114,447,13621,0.9197953820864718,0.920669580615351
1999,30-45 y.,No migration background,Yes,0.09420156886975686,373,13621,0.09406465132321974,0.09433848641629398
1999,30-45 y.,No migration background,No,0.905798431130243,3499,13621,0.905661513583706,0.9059353486767802
1999,30-45 y.,Direct migration background,Yes,0.14756840784296782,94,13621,0.14714075747265157,0.14799605821328407
1999,30-45 y.,Direct migration background,No,0.8524315921570322,646,13621,0.852003941786716,0.8528592425273485
1999,30-45 y.,Indirect migration background,No,1.0,90,13621,1.0,1.0
1999,46-65 y.,No migration background,Yes,0.13385526493549793,447,13621,0.13369908906015748,0.13401144081083838
1999,46-65 y.,No migration background,No,0.8661447350645021,2869,13621,0.8659885591891616,0.8663009109398425
1999,46-65 y.,Direct migration background,Yes,0.12754088042786837,106,13621,0.12718465843545348,0.12789710242028327
1999,46-65 y.,Direct migration background,No,0.8724591195721315,736,13621,0.8721028975797166,0.8728153415645464
1999,66 and older,No migration background,Yes,0.2068720628199931,309,13621,0.20663898140462617,0.20710514423536003
1999,66 and older,No migration background,No,0.793127937180007,1233,13621,0.79289485576464,0.7933610185953739
1999,66 and older,Direct migration background,Yes,0.17085741793870257,45,13621,0.17024482891121312,0.17147000696619202
1999,66 and older,Direct migration background,No,0.8291425820612974,203,13621,0.828529993033808,0.8297551710887868
2000,17-29 y.,No migration background,Yes,0.09508044644720744,339,23991,0.0948852529896323,0.09527563990478258
2000,17-29 y.,No migration background,No,0.9049195535527926,3025,23991,0.9047243600952175,0.9051147470103678
2000,17-29 y.,Direct migration background,Yes,0.09296093104060987,61,23991,0.09251336619874137,0.09340849588247838
2000,17-29 y.,Direct migration background,No,0.9070390689593901,527,23991,0.9065915041175217,0.9074866338012586
2000,17-29 y.,Indirect migration background,Yes,0.09181272994377845,55,23991,0.09131997659434937,0.09230548329320754
2000,17-29 y.,Indirect migration background,No,0.9081872700562217,554,23991,0.9076945167067926,0.9086800234056508
2000,30-45 y.,No migration background,Yes,0.08967590919484648,623,23991,0.08954145883711798,0.08981035955257499
2000,30-45 y.,No migration background,No,0.9103240908051535,6195,23991,0.910189640447425,0.910458541162882
2000,30-45 y.,Direct migration background,Yes,0.08487966338723445,99,23991,0.08455181026085966,0.08520751651360924
2000,30-45 y.,Direct migration background,No,0.9151203366127655,1073,23991,0.9147924834863906,0.9154481897391403
2000,30-45 y.,Indirect migration background,No,1.0,142,23991,1.0,1.0
2000,46-65 y.,No migration background,Yes,0.12415086284831468,826,23991,0.12400137310211763,0.12430035259451173
2000,46-65 y.,No migration background,No,0.8758491371516854,5715,23991,0.8756996474054883,0.8759986268978825
2000,46-65 y.,Direct migration background,Yes,0.1123893649271711,136,23991,0.11203473453647238,0.11274399531786981
2000,46-65 y.,Direct migration background,No,0.887610635072829,1046,23991,0.8872560046821303,0.8879652654635277
2000,66 and older,No migration background,Yes,0.19137159752266356,612,23991,0.1911489168198207,0.1915942782255064
2000,66 and older,No migration background,No,0.8086284024773362,2609,23991,0.8084057217744934,0.8088510831801791
2000,66 and older,Direct migration background,Yes,0.20559377127204828,77,23991,0.2048716114561444,0.20631593108795215
2000,66 and older,Direct migration background,No,0.7944062287279517,277,23991,0.7936840689120479,0.7951283885438556
2001,17-29 y.,No migration background,Yes,0.08936444591578806,295,21784,0.08917120212652288,0.08955768970505323
2001,17-29 y.,No migration background,No,0.9106355540842118,2748,21784,0.9104423102949466,0.910828797873477
2001,17-29 y.,Direct migration background,Yes,0.11111688627448414,58,21784,0.11063022415807411,0.11160354839089418
2001,17-29 y.,Direct migration background,No,0.8888831137255158,439,21784,0.8883964516091057,0.8893697758419258
2001,17-29 y.,Indirect migration background,Yes,0.09520440193785058,51,21784,0.09469786013270966,0.09571094374299151
2001,17-29 y.,Indirect migration background,No,0.9047955980621495,496,21784,0.9042890562570085,0.9053021398672905
2001,30-45 y.,No migration background,Yes,0.0943736594468514,575,21784,0.0942359822754453,0.0945113366182575
2001,30-45 y.,No migration background,No,0.9056263405531485,5534,21784,0.9054886633817424,0.9057640177245546
2001,30-45 y.,Direct migration background,Yes,0.09009065497742792,105,21784,0.08975329956982388,0.09042801038503197
2001,30-45 y.,Direct migration background,No,0.909909345022572,934,21784,0.909571989614968,0.9102467004301761
2001,30-45 y.,Indirect migration background,No,1.0,148,21784,1.0,1.0
2001,46-65 y.,No migration background,Yes,0.12508908134369098,738,21784,0.12494008515376706,0.1252380775336149
2001,46-65 y.,No migration background,No,0.8749109186563091,5254,21784,0.8747619224663852,0.875059914846233
2001,46-65 y.,Direct migration background,Yes,0.11470234630775014,117,21784,0.11433744159916276,0.11506725101633752
2001,46-65 y.,Direct migration background,No,0.8852976536922499,923,21784,0.8849327489836625,0.8856625584008373
2001,66 and older,No migration background,Yes,0.197345594551936,587,21784,0.1971233029120876,0.19756788619178442
2001,66 and older,No migration background,No,0.8026544054480639,2452,21784,0.8024321138082154,0.8028766970879123
2001,66 and older,Direct migration background,Yes,0.19509072352960935,67,21784,0.19437343354582517,0.19580801351339353
2001,66 and older,Direct migration background,No,0.8049092764703907,263,21784,0.8041919864866065,0.8056265664541749
2002,17-29 y.,No migration background,Yes,0.08506711027714112,254,22943,0.08487684760646359,0.08525737294781864
2002,17-29 y.,No migration background,No,0.9149328897228589,2916,22943,0.9147426270521813,0.9151231523935365
2002,17-29 y.,Direct migration background,Yes,0.11037536959463452,55,22943,0.1098871050747591,0.11086363411450995
2002,17-29 y.,Direct migration background,No,0.8896246304053655,385,22943,0.8891363658854902,0.8901128949252409
2002,17-29 y.,Indirect migration background,Yes,0.08944152490749628,57,22943,0.08894330712503219,0.08993974268996037
2002,17-29 y.,Indirect migration background,No,0.9105584750925036,466,22943,0.9100602573100396,0.9110566928749677
2002,30-45 y.,No migration background,Yes,0.08677054009070707,539,22943,0.08663784340190767,0.08690323677950648
2002,30-45 y.,No migration background,No,0.9132294599092929,5733,22943,0.9130967632204935,0.9133621565980924
2002,30-45 y.,Direct migration background,Yes,0.08862495110086058,87,22943,0.08829233197346956,0.0889575702282516
2002,30-45 y.,Direct migration background,No,0.9113750488991395,880,22943,0.9110424297717484,0.9117076680265305
2002,30-45 y.,Indirect migration background,No,1.0,168,22943,1.0,1.0
2002,46-65 y.,No migration background,Yes,0.12585515412875828,835,22943,0.1257053611162612,0.12600494714125535
2002,46-65 y.,No migration background,No,0.8741448458712417,5925,22943,0.8739950528587447,0.8742946388837388
2002,46-65 y.,Direct migration background,Yes,0.1107770674500279,112,22943,0.11042403375888642,0.11113010114116938
2002,46-65 y.,Direct migration background,No,0.8892229325499722,925,22943,0.8888698988588307,0.8895759662411137
2002,46-65 y.,Indirect migration background,No,1.0,39,22943,1.0,1.0
2002,66 and older,No migration background,Yes,0.21440170451572862,665,22943,0.2141763167558159,0.21462709227564136
2002,66 and older,No migration background,No,0.7855982954842714,2555,22943,0.7853729077243586,0.7858236832441842
2002,66 and older,Direct migration background,Yes,0.19973997847897476,70,22943,0.1990485417434095,0.20043141521454003
2002,66 and older,Direct migration background,No,0.8002600215210252,277,22943,0.7995685847854599,0.8009514582565904
2003,17-29 y.,No migration background,Yes,0.08609522768460828,270,22049,0.08590659182786181,0.08628386354135476
2003,17-29 y.,No migration background,No,0.9139047723153916,2841,22049,0.9137161364586451,0.914093408172138
2003,17-29 y.,Direct migration background,Yes,0.08768027581619477,37,22049,0.08722290756980987,0.08813764406257966
2003,17-29 y.,Direct migration background,No,0.9123197241838052,340,22049,0.9118623559374204,0.9127770924301901
2003,17-29 y.,Indirect migration background,Yes,0.12295980725735797,49,22049,0.12240435750538241,0.12351525700933354
2003,17-29 y.,Indirect migration background,No,0.8770401927426421,452,22049,0.8764847429906666,0.8775956424946176
2003,30-45 y.,No migration background,Yes,0.09153038546518523,568,22049,0.09139231533563938,0.09166845559473108
2003,30-45 y.,No migration background,No,0.9084696145348147,5252,22049,0.9083315444052689,0.9086076846643605
2003,30-45 y.,Direct migration background,Yes,0.10914506818889444,82,22049,0.10877788502816046,0.10951225134962841
2003,30-45 y.,Direct migration background,No,0.8908549318111055,799,22049,0.8904877486503715,0.8912221149718396
2003,30-45 y.,Indirect migration background,No,1.0,195,22049,1.0,1.0
2003,46-65 y.,No migration background,Yes,0.1218316154985173,782,22049,0.12168335788774244,0.12197987310929216
2003,46-65 y.,No migration background,No,0.8781683845014826,5736,22049,0.8780201268907077,0.8783166421122575
2003,46-65 y.,Direct migration background,Yes,0.1420635371190358,124,22049,0.14167392822518748,0.1424531460128841
2003,46-65 y.,Direct migration background,No,0.8579364628809643,859,22049,0.8575468539871159,0.8583260717748126
2003,46-65 y.,Indirect migration background,No,1.0,40,22049,1.0,1.0
2003,66 and older,No migration background,Yes,0.19279157921438334,619,22049,0.19257766948450913,0.19300548894425754
2003,66 and older,No migration background,No,0.8072084207856166,2649,22049,0.8069945110557424,0.8074223305154908
2003,66 and older,Direct migration background,Yes,0.17765880077197382,61,22049,0.17701378853369876,0.1783038130102489
2003,66 and older,Direct migration background,No,0.8223411992280263,294,22049,0.8216961869897512,0.8229862114663014
2004,17-29 y.,No migration background,Yes,0.07019391343398569,232,21478,0.07002214237180845,0.07036568449616293
2004,17-29 y.,No migration background,No,0.9298060865660144,2831,21478,0.9296343155038371,0.9299778576281916
2004,17-29 y.,Direct migration background,No,1.0,340,21478,1.0,1.0
2004,17-29 y.,Indirect migration background,Yes,0.07758374229497453,42,21478,0.07716008486029145,0.0780073997296576
