year,migback,quintil_oecd,hospitalyn,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1992,No migration background,5th Quintile,Yes,0.10916,217,13165,0.10899,0.10932
1992,No migration background,5th Quintile,No,0.89084,1844,13165,0.89068,0.89101
1992,Direct migration background,1st Quintile,Yes,0.11858,58,13165,0.11806,0.11910
1992,Direct migration background,1st Quintile,No,0.88142,464,13165,0.88090,0.88194
1992,Direct migration background,2nd Quintile,Yes,0.14180,71,13165,0.14123,0.14237
1992,Direct migration background,2nd Quintile,No,0.85820,515,13165,0.85763,0.85877
1992,Direct migration background,3rd Quintile,Yes,0.10586,63,13165,0.10539,0.10633
1992,Direct migration background,3rd Quintile,No,0.89414,542,13165,0.89367,0.89461
1992,Direct migration background,4th Quintile,Yes,0.10991,61,13165,0.10943,0.11039
1992,Direct migration background,4th Quintile,No,0.89009,489,13165,0.88961,0.89057
1992,Direct migration background,5th Quintile,No,1.00000,250,13165,1.00000,1.00000
1992,Indirect migration background,1st Quintile,No,1.00000,68,13165,1.00000,1.00000
1992,Indirect migration background,2nd Quintile,No,1.00000,90,13165,1.00000,1.00000
1992,Indirect migration background,3rd Quintile,No,1.00000,90,13165,1.00000,1.00000
1992,Indirect migration background,4th Quintile,No,1.00000,88,13165,1.00000,1.00000
1994,No migration background,1st Quintile,Yes,0.17003,252,12753,0.16980,0.17026
1994,No migration background,1st Quintile,No,0.82997,1466,12753,0.82974,0.83020
1994,No migration background,2nd Quintile,Yes,0.13692,244,12753,0.13672,0.13713
1994,No migration background,2nd Quintile,No,0.86308,1790,12753,0.86287,0.86328
1994,No migration background,3rd Quintile,Yes,0.12826,240,12753,0.12806,0.12846
1994,No migration background,3rd Quintile,No,0.87174,1859,12753,0.87154,0.87194
1994,No migration background,4th Quintile,Yes,0.12065,234,12753,0.12046,0.12083
1994,No migration background,4th Quintile,No,0.87935,1829,12753,0.87917,0.87954
1994,No migration background,5th Quintile,Yes,0.11402,221,12753,0.11385,0.11420
1994,No migration background,5th Quintile,No,0.88598,1859,12753,0.88580,0.88615
1994,Direct migration background,1st Quintile,Yes,0.14253,88,12753,0.14205,0.14300
1994,Direct migration background,1st Quintile,No,0.85747,577,12753,0.85700,0.85795
1994,Direct migration background,2nd Quintile,Yes,0.09237,53,12753,0.09192,0.09282
1994,Direct migration background,2nd Quintile,No,0.90763,493,12753,0.90718,0.90808
1994,Direct migration background,3rd Quintile,Yes,0.10379,55,12753,0.10329,0.10428
1994,Direct migration background,3rd Quintile,No,0.89621,434,12753,0.89572,0.89671
1994,Direct migration background,4th Quintile,Yes,0.09437,36,12753,0.09389,0.09485
1994,Direct migration background,4th Quintile,No,0.90563,344,12753,0.90515,0.90611
1994,Direct migration background,5th Quintile,No,1.00000,242,12753,1.00000,1.00000
1994,Indirect migration background,1st Quintile,No,1.00000,111,12753,1.00000,1.00000
1994,Indirect migration background,2nd Quintile,No,1.00000,99,12753,1.00000,1.00000
1994,Indirect migration background,3rd Quintile,No,1.00000,93,12753,1.00000,1.00000
1994,Indirect migration background,4th Quintile,No,1.00000,88,12753,1.00000,1.00000
1994,Indirect migration background,5th Quintile,No,1.00000,46,12753,1.00000,1.00000
1995,No migration background,1st Quintile,Yes,0.16572,245,13139,0.16547,0.16596
1995,No migration background,1st Quintile,No,0.83428,1327,13139,0.83404,0.83453
1995,No migration background,2nd Quintile,Yes,0.13794,252,13139,0.13773,0.13815
1995,No migration background,2nd Quintile,No,0.86206,1732,13139,0.86185,0.86227
1995,No migration background,3rd Quintile,Yes,0.13462,269,13139,0.13442,0.13482
1995,No migration background,3rd Quintile,No,0.86538,1828,13139,0.86518,0.86558
1995,No migration background,4th Quintile,Yes,0.10882,219,13139,0.10864,0.10899
1995,No migration background,4th Quintile,No,0.89118,1944,13139,0.89101,0.89136
1995,No migration background,5th Quintile,Yes,0.10919,219,13139,0.10902,0.10936
1995,No migration background,5th Quintile,No,0.89081,1910,13139,0.89064,0.89098
1995,Direct migration background,1st Quintile,Yes,0.13895,96,13139,0.13853,0.13936
1995,Direct migration background,1st Quintile,No,0.86105,727,13139,0.86064,0.86147
1995,Direct migration background,2nd Quintile,Yes,0.10650,78,13139,0.10608,0.10692
1995,Direct migration background,2nd Quintile,No,0.89350,659,13139,0.89308,0.89392
1995,Direct migration background,3rd Quintile,Yes,0.12670,64,13139,0.12621,0.12719
1995,Direct migration background,3rd Quintile,No,0.87330,449,13139,0.87281,0.87379
1995,Direct migration background,4th Quintile,Yes,0.08771,52,13139,0.08726,0.08815
1995,Direct migration background,4th Quintile,No,0.91229,355,13139,0.91185,0.91274
1995,Direct migration background,5th Quintile,No,1.00000,255,13139,1.00000,1.00000
1995,Indirect migration background,1st Quintile,No,1.00000,116,13139,1.00000,1.00000
1995,Indirect migration background,2nd Quintile,No,1.00000,119,13139,1.00000,1.00000
