,Unnamed: 0,year,bula_h,pgisced97,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
539,539,1997,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.21942,74,10124,0.17898,0.25986
540,540,1997,Baden-Wuerttemberg,Lower Secondary Level,At least once per month,0.12219,55,10124,0.09335,0.15327
541,541,1997,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.35655,147,10124,0.30319,0.41771
542,542,1997,Baden-Wuerttemberg,Lower Secondary Level,Never,0.30184,137,10124,0.25272,0.3522
543,543,1997,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.12465,96,10124,0.10446,0.14466
544,544,1997,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.13976,95,10124,0.12009,0.16165
545,545,1997,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.38916,313,10124,0.35163,0.42658
546,546,1997,Baden-Wuerttemberg,Upper Secondary Level,Never,0.34643,271,10124,0.31111,0.38553
547,547,1997,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.50143,38,10124,0.40281,0.63529
548,548,1997,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.49857,33,10124,0.39986,0.61052
549,549,1997,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.39443,45,10124,0.31804,0.47905
550,550,1997,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.60557,49,10124,0.48743,0.73806
551,551,1997,Bavaria,Lower Secondary Level,At least once per week,0.26508,71,10124,0.22755,0.30445
552,552,1997,Bavaria,Lower Secondary Level,At least once per month,0.13089,46,10124,0.10481,0.15352
553,553,1997,Bavaria,Lower Secondary Level,Seldom,0.28084,108,10124,0.23887,0.31901
554,554,1997,Bavaria,Lower Secondary Level,Never,0.32319,115,10124,0.27264,0.38082
555,555,1997,Bavaria,Upper Secondary Level,At least once per week,0.15161,114,10124,0.13199,0.17024
556,556,1997,Bavaria,Upper Secondary Level,At least once per month,0.13443,123,10124,0.12143,0.15069
557,557,1997,Bavaria,Upper Secondary Level,Seldom,0.32525,265,10124,0.29658,0.35764
558,558,1997,Bavaria,Upper Secondary Level,Never,0.38871,326,10124,0.35654,0.425
559,559,1997,Bavaria,First Stage of Tertiary Education,Seldom,0.48519,42,10124,0.39145,0.57758
560,560,1997,Bavaria,First Stage of Tertiary Education,Never,0.51481,40,10124,0.41274,0.63208
561,561,1997,Bavaria,Second Stage of Tertiary Education,Seldom,0.44984,61,10124,0.37713,0.54903
562,562,1997,Bavaria,Second Stage of Tertiary Education,Never,0.55016,70,10124,0.47028,0.6466
563,563,1997,Berlin,Lower Secondary Level,Never,1.0,44,10124,0.79552,1.24708
564,564,1997,Berlin,Upper Secondary Level,Seldom,0.21572,39,10124,0.17227,0.27896
565,565,1997,Berlin,Upper Secondary Level,Never,0.78428,167,10124,0.71823,0.84882
566,566,1997,Berlin,Second Stage of Tertiary Education,Never,1.0,99,10124,0.84273,1.1564
567,567,1997,Brandenburg,Lower Secondary Level,Never,1.0,48,10124,0.85688,1.18471
568,568,1997,Brandenburg,Upper Secondary Level,Seldom,0.11578,31,10124,0.09334,0.1443
569,569,1997,Brandenburg,Upper Secondary Level,Never,0.88422,255,10124,0.83034,0.94144
570,570,1997,Brandenburg,Second Stage of Tertiary Education,Never,1.0,117,10124,0.9041,1.10406
571,571,1997,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.21128,33,10124,0.17632,0.24819
572,572,1997,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.78872,172,10124,0.71969,0.86013
573,573,1997,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Never,1.0,70,10124,0.8646,1.102
574,574,1997,Saxony,Lower Secondary Level,Never,1.0,86,10124,0.89487,1.11135
575,575,1997,Saxony,Upper Secondary Level,Seldom,0.1957,93,10124,0.17229,0.22391
576,576,1997,Saxony,Upper Secondary Level,Never,0.8043,462,10124,0.76018,0.8473
577,577,1997,Saxony,First Stage of Tertiary Education,Never,1.0,34,10124,0.80396,1.21349
578,578,1997,Saxony,Second Stage of Tertiary Education,Seldom,0.23071,51,10124,0.18386,0.27563
579,579,1997,Saxony,Second Stage of Tertiary Education,Never,0.76929,164,10124,0.69797,0.84101
580,580,1997,Saxony-Anhalt,Lower Secondary Level,Never,1.0,60,10124,0.83797,1.15863
581,581,1997,Saxony-Anhalt,Upper Secondary Level,Seldom,0.1222,49,10124,0.10087,0.14833
582,582,1997,Saxony-Anhalt,Upper Secondary Level,Never,0.8778,285,10124,0.80525,0.92625
583,583,1997,Saxony-Anhalt,First Stage of Tertiary Education,Never,1.0,48,10124,0.85033,1.16329
584,584,1997,Saxony-Anhalt,Second Stage of Tertiary Education,Never,1.0,104,10124,0.87949,1.15937
585,585,1997,Thuringa,Lower Secondary Level,Never,1.0,42,10124,0.80354,1.23659
586,586,1997,Thuringa,Upper Secondary Level,Seldom,0.20385,86,10124,0.17588,0.23002
587,587,1997,Thuringa,Upper Secondary Level,Never,0.79615,272,10124,0.73794,0.84654
588,588,1997,Thuringa,Second Stage of Tertiary Education,Never,1.0,77,10124,0.85916,1.13701
589,589,1998,Schleswig-Holstein,Upper Secondary Level,Seldom,0.41795,66,11322,0.35468,0.47973
590,590,1998,Schleswig-Holstein,Upper Secondary Level,Never,0.58205,102,11322,0.51777,0.64999
591,591,1998,Hamburg,Upper Secondary Level,Never,1.0,57,11322,0.85528,1.15904
592,592,1998,Lower Saxony,Lower Secondary Level,Seldom,0.37215,68,11322,0.31722,0.43391
593,593,1998,Lower Saxony,Lower Secondary Level,Never,0.62785,109,11322,0.55416,0.70575
594,594,1998,Lower Saxony,Upper Secondary Level,At least once per week,0.05017,37,11322,0.0409,0.06055
595,595,1998,Lower Saxony,Upper Secondary Level,At least once per month,0.06768,43,11322,0.05875,0.07917
596,596,1998,Lower Saxony,Upper Secondary Level,Seldom,0.34687,190,11322,0.32271,0.38047
597,597,1998,Lower Saxony,Upper Secondary Level,Never,0.53527,302,11322,0.50025,0.57792
598,598,1998,Lower Saxony,First Stage of Tertiary Education,Seldom,0.46943,34,11322,0.38265,0.55522
599,599,1998,Lower Saxony,First Stage of Tertiary Education,Never,0.53057,37,11322,0.42445,0.66228
600,600,1998,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.51788,52,11322,0.44425,0.62395
601,601,1998,Lower Saxony,Second Stage of Tertiary Education,Never,0.48212,59,11322,0.40198,0.56323
602,602,1998,Bremen,Upper Secondary Level,Never,1.0,31,11322,0.85177,1.13854
603,603,1998,North Rhine-Westphalia,Primary Level,Seldom,0.39543,31,11322,0.33511,0.47001
604,604,1998,North Rhine-Westphalia,Primary Level,Never,0.60457,51,11322,0.51063,0.72726
605,605,1998,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.16043,87,11322,0.13464,0.18645
606,606,1998,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.10843,51,11322,0.08423,0.14109
607,607,1998,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.26655,146,11322,0.24161,0.29408
608,608,1998,North Rhine-Westphalia,Lower Secondary Level,Never,0.46459,248,11322,0.42506,0.52016
609,609,1998,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.12136,164,11322,0.10849,0.1335
610,610,1998,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.10833,130,11322,0.09484,0.11961
611,611,1998,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.33386,453,11322,0.3141,0.3559
612,612,1998,North Rhine-Westphalia,Upper Secondary Level,Never,0.43645,593,11322,0.41233,0.46309
613,613,1998,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.36887,42,11322,0.27668,0.47179
614,614,1998,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.63113,62,11322,0.52272,0.74097
615,615,1998,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.46941,65,11322,0.41045,0.53443
616,616,1998,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.53059,64,11322,0.45635,0.62466
617,617,1998,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.16277,46,11322,0.12624,0.20267
618,618,1998,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per month,0.11967,39,11322,0.09764,0.14191
619,619,1998,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.35985,110,11322,0.31307,0.40515
620,620,1998,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.35772,116,11322,0.31834,0.40141
621,621,1998,Hesse,Lower Secondary Level,Seldom,0.4421,61,11322,0.37596,0.50914
622,622,1998,Hesse,Lower Secondary Level,Never,0.5579,86,11322,0.47666,0.65159
623,623,1998,Hesse,Upper Secondary Level,At least once per week,0.08152,33,11322,0.06523,0.09792
624,624,1998,Hesse,Upper Secondary Level,At least once per month,0.08058,34,11322,0.0662,0.09317
625,625,1998,Hesse,Upper Secondary Level,Seldom,0.39809,175,11322,0.3643,0.43292
626,626,1998,Hesse,Upper Secondary Level,Never,0.43981,193,11322,0.39808,0.48392
627,627,1998,Hesse,Second Stage of Tertiary Education,Seldom,0.33348,39,11322,0.27428,0.39485
628,628,1998,Hesse,Second Stage of Tertiary Education,Never,0.66652,67,11322,0.55753,0.76172
629,629,1998,"Rhineland-Palatinate, Saarland",Lower Secondary Level,At least once per week,0.18072,34,11322,0.14575,0.21185
630,630,1998,"Rhineland-Palatinate, Saarland",Lower Secondary Level,At least once per month,0.17955,33,11322,0.14555,0.21305
631,631,1998,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.28319,67,11322,0.2503,0.31093
632,632,1998,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.35654,82,11322,0.31017,0.40425
633,633,1998,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.14395,49,11322,0.12515,0.1638
634,634,1998,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per month,0.09209,41,11322,0.08364,0.10132
635,635,1998,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.36541,143,11322,0.33806,0.40128
636,636,1998,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.39856,158,11322,0.35732,0.44068
637,637,1998,Baden-Wuerttemberg,Primary Level,At least once per week,0.21928,31,11322,0.16472,0.28299
638,638,1998,Baden-Wuerttemberg,Primary Level,Seldom,0.39316,36,11322,0.25916,0.53884
639,639,1998,Baden-Wuerttemberg,Primary Level,Never,0.38756,34,11322,0.25922,0.55975
640,640,1998,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.18601,72,11322,0.15636,0.21869
641,641,1998,Baden-Wuerttemberg,Lower Secondary Level,At least once per month,0.1681,69,11322,0.1271,0.20406
642,642,1998,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.33903,159,11322,0.29477,0.38528
643,643,1998,Baden-Wuerttemberg,Lower Secondary Level,Never,0.30686,144,11322,0.26456,0.3476
644,644,1998,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.12472,108,11322,0.10823,0.14244
645,645,1998,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.16528,112,11322,0.13796,0.18825
646,646,1998,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.35072,309,11322,0.31988,0.38612
647,647,1998,Baden-Wuerttemberg,Upper Secondary Level,Never,0.35927,271,11322,0.32797,0.39133
648,648,1998,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Never,1.0,32,11322,0.70327,1.30531
649,649,1998,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.55507,38,11322,0.45913,0.68353
650,650,1998,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.44493,31,11322,0.34363,0.55107
651,651,1998,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.42714,49,11322,0.34482,0.51221
652,652,1998,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.57286,60,11322,0.4686,0.66716
653,653,1998,Bavaria,Lower Secondary Level,At least once per week,0.23885,78,11322,0.21292,0.26907
654,654,1998,Bavaria,Lower Secondary Level,At least once per month,0.17152,73,11322,0.14913,0.19429
655,655,1998,Bavaria,Lower Secondary Level,Seldom,0.29349,117,11322,0.26155,0.32108
656,656,1998,Bavaria,Lower Secondary Level,Never,0.29613,116,11322,0.25865,0.3362
657,657,1998,Bavaria,Upper Secondary Level,At least once per week,0.15304,129,11322,0.13389,0.17214
658,658,1998,Bavaria,Upper Secondary Level,At least once per month,0.11717,121,11322,0.10459,0.13344
659,659,1998,Bavaria,Upper Secondary Level,Seldom,0.36293,328,11322,0.34191,0.3917
660,660,1998,Bavaria,Upper Secondary Level,Never,0.36686,339,11322,0.34162,0.39399
661,661,1998,Bavaria,First Stage of Tertiary Education,Seldom,0.42447,46,11322,0.35349,0.49707
662,662,1998,Bavaria,First Stage of Tertiary Education,Never,0.57553,44,11322,0.47929,0.6889
663,663,1998,Bavaria,Second Stage of Tertiary Education,At least once per month,0.22604,31,11322,0.16883,0.29114
664,664,1998,Bavaria,Second Stage of Tertiary Education,Seldom,0.2754,57,11322,0.23302,0.33284
665,665,1998,Bavaria,Second Stage of Tertiary Education,Never,0.49856,81,11322,0.4316,0.56827
666,666,1998,Berlin,Lower Secondary Level,Never,1.0,43,11322,0.79626,1.2367
667,667,1998,Berlin,Upper Secondary Level,Never,1.0,167,11322,0.92258,1.08036
668,668,1998,Berlin,Second Stage of Tertiary Education,Never,1.0,127,11322,0.88401,1.09364
669,669,1998,Brandenburg,Lower Secondary Level,Never,1.0,43,11322,0.81913,1.20208
670,670,1998,Brandenburg,Upper Secondary Level,Seldom,0.14133,42,11322,0.11347,0.17123
671,671,1998,Brandenburg,Upper Secondary Level,Never,0.85867,263,11322,0.79172,0.92281
672,672,1998,Brandenburg,Second Stage of Tertiary Education,Seldom,0.22657,31,11322,0.18019,0.27028
673,673,1998,Brandenburg,Second Stage of Tertiary Education,Never,0.77343,114,11322,0.69224,0.85113
674,674,1998,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.20937,35,11322,0.16411,0.26279
675,675,1998,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.79063,173,11322,0.7196,0.86288
676,676,1998,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Never,1.0,68,11322,0.8523,1.17197
677,677,1998,Saxony,Lower Secondary Level,Never,1.0,89,11322,0.87042,1.09408
678,678,1998,Saxony,Upper Secondary Level,At least once per month,0.04947,33,11322,0.04172,0.05907
679,679,1998,Saxony,Upper Secondary Level,Seldom,0.17733,102,11322,0.15373,0.20472
680,680,1998,Saxony,Upper Secondary Level,Never,0.7732,496,11322,0.73358,0.8127
681,681,1998,Saxony,First Stage of Tertiary Education,Never,1.0,38,11322,0.81178,1.22097
682,682,1998,Saxony,Second Stage of Tertiary Education,Seldom,0.23941,49,11322,0.19759,0.27782
683,683,1998,Saxony,Second Stage of Tertiary Education,Never,0.76059,164,11322,0.68548,0.84
684,684,1998,Saxony-Anhalt,Lower Secondary Level,Never,1.0,69,11322,0.87015,1.12501
685,685,1998,Saxony-Anhalt,Upper Secondary Level,Seldom,0.16053,63,11322,0.13694,0.18927
686,686,1998,Saxony-Anhalt,Upper Secondary Level,Never,0.83947,274,11322,0.78669,0.89686
687,687,1998,Saxony-Anhalt,First Stage of Tertiary Education,Never,1.0,44,11322,0.81594,1.18059
688,688,1998,Saxony-Anhalt,Second Stage of Tertiary Education,Seldom,0.19506,33,11322,0.16613,0.22282
689,689,1998,Saxony-Anhalt,Second Stage of Tertiary Education,Never,0.80494,106,11322,0.71388,0.91147
690,690,1998,Thuringa,Lower Secondary Level,Never,1.0,45,11322,0.77502,1.25171
691,691,1998,Thuringa,Upper Secondary Level,Seldom,0.23957,105,11322,0.20951,0.2717
692,692,1998,Thuringa,Upper Secondary Level,Never,0.76043,292,11322,0.69336,0.81706
693,693,1998,Thuringa,Second Stage of Tertiary Education,Seldom,0.26695,35,11322,0.21728,0.32425
694,694,1998,Thuringa,Second Stage of Tertiary Education,Never,0.73305,84,11322,0.64607,0.80837
695,695,1999,Schleswig-Holstein,Upper Secondary Level,Seldom,0.42632,73,11069,0.37576,0.48927
696,696,1999,Schleswig-Holstein,Upper Secondary Level,Never,0.57368,101,11069,0.50104,0.63412
697,697,1999,Hamburg,Upper Secondary Level,Never,1.0,50,11069,0.86567,1.12931
698,698,1999,Lower Saxony,Lower Secondary Level,Seldom,0.4048,75,11069,0.33955,0.47995
699,699,1999,Lower Saxony,Lower Secondary Level,Never,0.5952,117,11069,0.52277,0.66639
700,700,1999,Lower Saxony,Upper Secondary Level,At least once per week,0.06267,40,11069,0.04915,0.07357
701,701,1999,Lower Saxony,Upper Secondary Level,At least once per month,0.07151,45,11069,0.06016,0.085
702,702,1999,Lower Saxony,Upper Secondary Level,Seldom,0.35502,195,11069,0.32017,0.38355
703,703,1999,Lower Saxony,Upper Secondary Level,Never,0.5108,300,11069,0.46673,0.54976
704,704,1999,Lower Saxony,Post-secondary Non-tertiary Level,Never,1.0,31,11069,0.7705,1.21482
705,705,1999,Lower Saxony,First Stage of Tertiary Education,Never,1.0,31,11069,0.8125,1.24786
706,706,1999,Lower Saxony,Second Stage of Tertiary Education,Seldom,0.45566,48,11069,0.39944,0.5472
707,707,1999,Lower Saxony,Second Stage of Tertiary Education,Never,0.54434,64,11069,0.46419,0.64102
708,708,1999,Bremen,Upper Secondary Level,Never,1.0,31,11069,0.8268,1.14288
709,709,1999,North Rhine-Westphalia,Pre-primary Level,Never,1.0,36,11069,0.80964,1.2206
710,710,1999,North Rhine-Westphalia,Primary Level,Seldom,0.40477,36,11069,0.32461,0.49359
711,711,1999,North Rhine-Westphalia,Primary Level,Never,0.59523,46,11069,0.50242,0.69305
712,712,1999,North Rhine-Westphalia,Lower Secondary Level,At least once per week,0.15851,75,11069,0.13678,0.1828
713,713,1999,North Rhine-Westphalia,Lower Secondary Level,At least once per month,0.05871,39,11069,0.0447,0.07114
714,714,1999,North Rhine-Westphalia,Lower Secondary Level,Seldom,0.30956,146,11069,0.27099,0.34339
715,715,1999,North Rhine-Westphalia,Lower Secondary Level,Never,0.47321,240,11069,0.43111,0.51716
716,716,1999,North Rhine-Westphalia,Upper Secondary Level,At least once per week,0.10522,135,11069,0.0939,0.116
717,717,1999,North Rhine-Westphalia,Upper Secondary Level,At least once per month,0.09935,135,11069,0.0899,0.11001
718,718,1999,North Rhine-Westphalia,Upper Secondary Level,Seldom,0.35029,468,11069,0.33352,0.3723
719,719,1999,North Rhine-Westphalia,Upper Secondary Level,Never,0.44515,582,11069,0.41873,0.47064
720,720,1999,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Seldom,0.49292,48,11069,0.38467,0.61125
721,721,1999,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Never,0.50708,57,11069,0.43567,0.58802
722,722,1999,North Rhine-Westphalia,First Stage of Tertiary Education,Seldom,0.43841,60,11069,0.36674,0.52255
723,723,1999,North Rhine-Westphalia,First Stage of Tertiary Education,Never,0.56159,65,11069,0.47568,0.66156
724,724,1999,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per week,0.13104,38,11069,0.09714,0.16362
725,725,1999,North Rhine-Westphalia,Second Stage of Tertiary Education,At least once per month,0.11049,38,11069,0.08541,0.14139
726,726,1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Seldom,0.3803,111,11069,0.33154,0.42549
727,727,1999,North Rhine-Westphalia,Second Stage of Tertiary Education,Never,0.37817,121,11069,0.33364,0.43016
728,728,1999,Hesse,Lower Secondary Level,Seldom,0.43275,58,11069,0.35697,0.50896
729,729,1999,Hesse,Lower Secondary Level,Never,0.56725,77,11069,0.48567,0.65963
730,730,1999,Hesse,Upper Secondary Level,Seldom,0.475,172,11069,0.43186,0.51574
731,731,1999,Hesse,Upper Secondary Level,Never,0.525,191,11069,0.47499,0.57736
732,732,1999,Hesse,Second Stage of Tertiary Education,Seldom,0.37971,46,11069,0.31467,0.44286
733,733,1999,Hesse,Second Stage of Tertiary Education,Never,0.62029,62,11069,0.50058,0.72551
734,734,1999,"Rhineland-Palatinate, Saarland",Lower Secondary Level,At least once per week,0.25109,34,11069,0.20844,0.3025
735,735,1999,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Seldom,0.33127,60,11069,0.28636,0.37501
736,736,1999,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Never,0.41764,80,11069,0.36755,0.48323
737,737,1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per week,0.11684,38,11069,0.10164,0.13599
738,738,1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,At least once per month,0.08599,34,11069,0.07277,0.09882
739,739,1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Seldom,0.40082,155,11069,0.36306,0.44127
740,740,1999,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Never,0.39635,154,11069,0.35185,0.43633
741,741,1999,Baden-Wuerttemberg,Primary Level,Seldom,0.50826,40,11069,0.34764,0.69767
742,742,1999,Baden-Wuerttemberg,Primary Level,Never,0.49174,36,11069,0.34868,0.69733
743,743,1999,Baden-Wuerttemberg,Lower Secondary Level,At least once per week,0.1525,60,11069,0.12171,0.18601
744,744,1999,Baden-Wuerttemberg,Lower Secondary Level,At least once per month,0.13165,55,11069,0.1023,0.17094
745,745,1999,Baden-Wuerttemberg,Lower Secondary Level,Seldom,0.36196,163,11069,0.3223,0.40879
746,746,1999,Baden-Wuerttemberg,Lower Secondary Level,Never,0.35389,150,11069,0.31332,0.40823
747,747,1999,Baden-Wuerttemberg,Upper Secondary Level,At least once per week,0.1246,99,11069,0.10503,0.14541
748,748,1999,Baden-Wuerttemberg,Upper Secondary Level,At least once per month,0.14815,100,11069,0.12268,0.17576
749,749,1999,Baden-Wuerttemberg,Upper Secondary Level,Seldom,0.3708,312,11069,0.3383,0.40419
750,750,1999,Baden-Wuerttemberg,Upper Secondary Level,Never,0.35645,263,11069,0.32438,0.38773
751,751,1999,Baden-Wuerttemberg,First Stage of Tertiary Education,Seldom,0.48372,37,11069,0.38501,0.61471
752,752,1999,Baden-Wuerttemberg,First Stage of Tertiary Education,Never,0.51628,35,11069,0.38989,0.66157
753,753,1999,Baden-Wuerttemberg,Second Stage of Tertiary Education,Seldom,0.45371,52,11069,0.37154,0.5541
754,754,1999,Baden-Wuerttemberg,Second Stage of Tertiary Education,Never,0.54629,59,11069,0.44115,0.65673
755,755,1999,Bavaria,Lower Secondary Level,At least once per week,0.25536,78,11069,0.22746,0.28798
756,756,1999,Bavaria,Lower Secondary Level,At least once per month,0.14749,64,11069,0.12453,0.17276
757,757,1999,Bavaria,Lower Secondary Level,Seldom,0.26735,106,11069,0.23766,0.29774
758,758,1999,Bavaria,Lower Secondary Level,Never,0.3298,126,11069,0.28464,0.38124
759,759,1999,Bavaria,Upper Secondary Level,At least once per week,0.15247,128,11069,0.13449,0.17089
760,760,1999,Bavaria,Upper Secondary Level,At least once per month,0.11097,115,11069,0.09929,0.12527
761,761,1999,Bavaria,Upper Secondary Level,Seldom,0.3528,319,11069,0.32352,0.38018
762,762,1999,Bavaria,Upper Secondary Level,Never,0.38377,364,11069,0.35333,0.41274
763,763,1999,Bavaria,First Stage of Tertiary Education,Seldom,0.47463,49,11069,0.38773,0.5912
764,764,1999,Bavaria,First Stage of Tertiary Education,Never,0.52537,45,11069,0.43049,0.63528
765,765,1999,Bavaria,Second Stage of Tertiary Education,Seldom,0.45208,70,11069,0.38061,0.53126
766,766,1999,Bavaria,Second Stage of Tertiary Education,Never,0.54792,87,11069,0.47437,0.62851
767,767,1999,Berlin,Lower Secondary Level,Never,1.0,44,11069,0.84655,1.22413
768,768,1999,Berlin,Upper Secondary Level,Seldom,0.19375,34,11069,0.14665,0.23843
769,769,1999,Berlin,Upper Secondary Level,Never,0.80625,162,11069,0.73957,0.87122
770,770,1999,Berlin,Second Stage of Tertiary Education,Never,1.0,112,11069,0.87334,1.1449
771,771,1999,Brandenburg,Lower Secondary Level,Never,1.0,40,11069,0.7999,1.19941
772,772,1999,Brandenburg,Upper Secondary Level,Seldom,0.17383,46,11069,0.1359,0.21501
773,773,1999,Brandenburg,Upper Secondary Level,Never,0.82617,254,11069,0.7669,0.89441
774,774,1999,Brandenburg,Second Stage of Tertiary Education,Never,1.0,116,11069,0.90336,1.10001
775,775,1999,Mecklenburg-Western Pomerania,Lower Secondary Level,Never,1.0,33,11069,0.82432,1.19624
776,776,1999,Mecklenburg-Western Pomerania,Upper Secondary Level,Seldom,0.18249,31,11069,0.13696,0.23594
777,777,1999,Mecklenburg-Western Pomerania,Upper Secondary Level,Never,0.81751,174,11069,0.74055,0.89669
778,778,1999,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Never,1.0,66,11069,0.86805,1.14337
779,779,1999,Saxony,Lower Secondary Level,Never,1.0,86,11069,0.87014,1.12571
780,780,1999,Saxony,Upper Secondary Level,At least once per month,0.05283,34,11069,0.04337,0.06107
781,781,1999,Saxony,Upper Secondary Level,Seldom,0.19299,110,11069,0.16755,0.22124
782,782,1999,Saxony,Upper Secondary Level,Never,0.75417,471,11069,0.71608,0.79157
783,783,1999,Saxony,First Stage of Tertiary Education,Never,1.0,39,11069,0.84224,1.13665
784,784,1999,Saxony,Second Stage of Tertiary Education,Seldom,0.257,48,11069,0.21159,0.30571
785,785,1999,Saxony,Second Stage of Tertiary Education,Never,0.743,165,11069,0.67533,0.80996
786,786,1999,Saxony-Anhalt,Lower Secondary Level,Never,1.0,66,11069,0.86223,1.12952
787,787,1999,Saxony-Anhalt,Upper Secondary Level,Seldom,0.11405,48,11069,0.08891,0.13726
788,788,1999,Saxony-Anhalt,Upper Secondary Level,Never,0.88595,292,11069,0.82371,0.9493
789,789,1999,Saxony-Anhalt,First Stage of Tertiary Education,Never,1.0,40,11069,0.83063,1.18556
790,790,1999,Saxony-Anhalt,Second Stage of Tertiary Education,Seldom,0.22012,33,11069,0.17731,0.26823
791,791,1999,Saxony-Anhalt,Second Stage of Tertiary Education,Never,0.77988,107,11069,0.68497,0.87426
792,792,1999,Thuringa,Lower Secondary Level,Never,1.0,47,11069,0.82322,1.2471
793,793,1999,Thuringa,Upper Secondary Level,Seldom,0.25096,111,11069,0.22474,0.27881
794,794,1999,Thuringa,Upper Secondary Level,Never,0.74904,290,11069,0.69112,0.80608
795,795,1999,Thuringa,Second Stage of Tertiary Education,Seldom,0.31255,42,11069,0.26133,0.36472
796,796,1999,Thuringa,Second Stage of Tertiary Education,Never,0.68745,78,11069,0.59636,0.77024
797,797,2001,Schleswig-Holstein,Lower Secondary Level,Never,1.0,47,19367,0.866,1.14054
798,798,2001,Schleswig-Holstein,Upper Secondary Level,Seldom,0.47512,152,19367,0.4353,0.51674
799,799,2001,Schleswig-Holstein,Upper Secondary Level,Never,0.52488,180,19367,0.47923,0.57157
800,800,2001,Schleswig-Holstein,Second Stage of Tertiary Education,Seldom,1.0,40,19367,0.87951,1.13803
801,801,2001,Hamburg,Upper Secondary Level,Never,1.0,105,19367,0.9217,1.088
802,802,2001,Hamburg,Second Stage of Tertiary Education,Never,1.0,44,19367,0.82918,1.16622
803,803,2001,Lower Saxony,Lower Secondary Level,At least once per week,0.16756,45,19367,0.13422,0.20232
804,804,2001,Lower Saxony,Lower Secondary Level,Seldom,0.41801,104,19367,0.37269,0.46241
805,805,2001,Lower Saxony,Lower Secondary Level,Never,0.41443,117,19367,0.36531,0.45896
806,806,2001,Lower Saxony,Upper Secondary Level,At least once per week,0.06161,61,19367,0.05325,0.07026
807,807,2001,Lower Saxony,Upper Secondary Level,At least once per month,0.13028,123,19367,0.11949,0.14208
