,Unnamed: 0,year,bula_h,sex,pli0098_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
188,188,1994,"Rhineland-Palatinate, Saarland",female,At least once per week,0.19418,59,12176,0.16599,0.21918
189,189,1994,"Rhineland-Palatinate, Saarland",female,At least once per month,0.08558,37,12176,0.06997,0.10383
190,190,1994,"Rhineland-Palatinate, Saarland",female,Seldom,0.31874,113,12176,0.2839,0.35884
191,191,1994,"Rhineland-Palatinate, Saarland",female,Never,0.40151,124,12176,0.35967,0.45151
192,192,1994,Baden-Wuerttemberg,male,At least once per week,0.12988,121,12176,0.11073,0.14942
193,193,1994,Baden-Wuerttemberg,male,At least once per month,0.128,130,12176,0.11224,0.14458
194,194,1994,Baden-Wuerttemberg,male,Seldom,0.3393,293,12176,0.31377,0.37139
195,195,1994,Baden-Wuerttemberg,male,Never,0.40281,316,12176,0.36527,0.4406
196,196,1994,Baden-Wuerttemberg,female,At least once per week,0.17653,148,12176,0.15351,0.19842
197,197,1994,Baden-Wuerttemberg,female,At least once per month,0.17182,155,12176,0.14919,0.19288
198,198,1994,Baden-Wuerttemberg,female,Seldom,0.33998,306,12176,0.31322,0.37101
199,199,1994,Baden-Wuerttemberg,female,Never,0.31168,256,12176,0.27993,0.34724
200,200,1994,Bavaria,male,At least once per week,0.16709,119,12176,0.15206,0.18297
201,201,1994,Bavaria,male,At least once per month,0.14294,106,12176,0.12548,0.16052
202,202,1994,Bavaria,male,Seldom,0.29755,232,12176,0.27551,0.32557
203,203,1994,Bavaria,male,Never,0.39242,307,12176,0.36298,0.42026
204,204,1994,Bavaria,female,At least once per week,0.21847,156,12176,0.20029,0.23931
205,205,1994,Bavaria,female,At least once per month,0.12066,108,12176,0.10535,0.13286
206,206,1994,Bavaria,female,Seldom,0.31638,264,12176,0.29121,0.34065
207,207,1994,Bavaria,female,Never,0.34448,285,12176,0.31316,0.37449
208,208,1994,Berlin,male,Seldom,0.19449,44,12176,0.1605,0.24066
209,209,1994,Berlin,male,Never,0.80551,195,12176,0.74059,0.87313
210,210,1994,Berlin,female,Seldom,0.18672,47,12176,0.15956,0.2161
211,211,1994,Berlin,female,Never,0.81328,210,12176,0.74291,0.87915
212,212,1994,Brandenburg,male,Seldom,0.13451,34,12176,0.10531,0.16731
213,213,1994,Brandenburg,male,Never,0.86549,249,12176,0.80959,0.92952
214,214,1994,Brandenburg,female,Seldom,0.18968,53,12176,0.16792,0.21617
215,215,1994,Brandenburg,female,Never,0.81032,238,12176,0.74349,0.86125
216,216,1994,Mecklenburg-Western Pomerania,male,Never,1.0,171,12176,0.91349,1.07997
217,217,1994,Mecklenburg-Western Pomerania,female,Never,1.0,162,12176,0.91583,1.08026
218,218,1994,Saxony,male,Seldom,0.17943,84,12176,0.15997,0.20113
219,219,1994,Saxony,male,Never,0.82057,401,12176,0.77698,0.86595
220,220,1994,Saxony,female,Seldom,0.19516,110,12176,0.17811,0.2141
221,221,1994,Saxony,female,Never,0.80484,436,12176,0.76062,0.84668
222,222,1994,Saxony-Anhalt,male,Seldom,0.10873,38,12176,0.09422,0.12873
223,223,1994,Saxony-Anhalt,male,Never,0.89127,267,12176,0.8294,0.96779
224,224,1994,Saxony-Anhalt,female,Seldom,0.12636,57,12176,0.11196,0.14331
225,225,1994,Saxony-Anhalt,female,Never,0.87364,290,12176,0.80919,0.93919
226,226,1994,Thuringa,male,Seldom,0.18462,60,12176,0.16255,0.21682
227,227,1994,Thuringa,male,Never,0.81538,221,12176,0.75336,0.89793
228,228,1994,Thuringa,female,Seldom,0.22036,77,12176,0.19071,0.25039
229,229,1994,Thuringa,female,Never,0.77964,225,12176,0.71494,0.84189
230,230,1995,Schleswig-Holstein,male,Seldom,0.34455,37,12688,0.27695,0.41385
231,231,1995,Schleswig-Holstein,male,Never,0.65545,80,12688,0.57499,0.73087
232,232,1995,Schleswig-Holstein,female,Seldom,0.42005,46,12688,0.35908,0.49817
233,233,1995,Schleswig-Holstein,female,Never,0.57995,83,12688,0.51001,0.66009
234,234,1995,Hamburg,male,Never,1.0,37,12688,0.76444,1.17879
235,235,1995,Hamburg,female,Never,1.0,46,12688,0.83419,1.16791
236,236,1995,Lower Saxony,male,At least once per week,0.07395,52,12688,0.05716,0.09636
237,237,1995,Lower Saxony,male,Seldom,0.3094,140,12688,0.27563,0.34217
238,238,1995,Lower Saxony,male,Never,0.61665,299,12688,0.56671,0.66261
239,239,1995,Lower Saxony,female,At least once per week,0.07424,45,12688,0.05825,0.09141
240,240,1995,Lower Saxony,female,At least once per month,0.10535,48,12688,0.08478,0.12646
241,241,1995,Lower Saxony,female,Seldom,0.36103,194,12688,0.32874,0.39759
242,242,1995,Lower Saxony,female,Never,0.45938,233,12688,0.42461,0.49457
243,243,1995,Bremen,female,Never,1.0,32,12688,0.81795,1.20139
244,244,1995,North Rhine-Westphalia,male,At least once per week,0.12203,175,12688,0.10736,0.13768
245,245,1995,North Rhine-Westphalia,male,At least once per month,0.08932,120,12688,0.07963,0.10116
246,246,1995,North Rhine-Westphalia,male,Seldom,0.28395,338,12688,0.2601,0.3047
247,247,1995,North Rhine-Westphalia,male,Never,0.50469,602,12688,0.47678,0.53329
248,248,1995,North Rhine-Westphalia,female,At least once per week,0.18066,218,12688,0.16323,0.19688
249,249,1995,North Rhine-Westphalia,female,At least once per month,0.11065,149,12688,0.09913,0.12633
250,250,1995,North Rhine-Westphalia,female,Seldom,0.27094,368,12688,0.25004,0.29276
251,251,1995,North Rhine-Westphalia,female,Never,0.43775,594,12688,0.40998,0.4619
252,252,1995,Hesse,male,At least once per week,0.06817,44,12688,0.04837,0.08935
253,253,1995,Hesse,male,At least once per month,0.06837,45,12688,0.04943,0.09015
254,254,1995,Hesse,male,Seldom,0.3657,153,12688,0.32964,0.41124
255,255,1995,Hesse,male,Never,0.49776,210,12688,0.44888,0.5362
256,256,1995,Hesse,female,At least once per week,0.11752,60,12688,0.09058,0.14844
257,257,1995,Hesse,female,At least once per month,0.11771,65,12688,0.09383,0.13812
258,258,1995,Hesse,female,Seldom,0.30342,153,12688,0.27248,0.34236
259,259,1995,Hesse,female,Never,0.46135,206,12688,0.41284,0.50169
260,260,1995,"Rhineland-Palatinate, Saarland",male,At least once per week,0.15034,45,12688,0.132,0.16803
261,261,1995,"Rhineland-Palatinate, Saarland",male,Seldom,0.31488,102,12688,0.28193,0.3485
262,262,1995,"Rhineland-Palatinate, Saarland",male,Never,0.53477,167,12688,0.48419,0.59787
263,263,1995,"Rhineland-Palatinate, Saarland",female,At least once per week,0.22725,78,12688,0.19931,0.25823
264,264,1995,"Rhineland-Palatinate, Saarland",female,At least once per month,0.14697,54,12688,0.12776,0.17081
265,265,1995,"Rhineland-Palatinate, Saarland",female,Seldom,0.28441,116,12688,0.25712,0.31042
266,266,1995,"Rhineland-Palatinate, Saarland",female,Never,0.34137,119,12688,0.29894,0.38443
267,267,1995,Baden-Wuerttemberg,male,At least once per week,0.14125,140,12688,0.12276,0.15807
268,268,1995,Baden-Wuerttemberg,male,At least once per month,0.11766,131,12688,0.10107,0.13289
269,269,1995,Baden-Wuerttemberg,male,Seldom,0.30699,266,12688,0.27826,0.33687
270,270,1995,Baden-Wuerttemberg,male,Never,0.43411,338,12688,0.39527,0.47722
