year,bula_h,hhtyp,petyn,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Hesse,Single-person household,No,0.81847,165,209,0.76608,0.87085
2016,Hesse,Couple without children,Yes,0.30280,90,281,0.24899,0.35662
2016,Hesse,Couple without children,No,0.69720,191,281,0.64338,0.75101
2016,Hesse,Single parent,Yes,0.41857,54,110,0.32595,0.51118
2016,Hesse,Single parent,No,0.58143,56,110,0.48882,0.67405
2016,Hesse,Couple with children,Yes,0.49940,146,344,0.44649,0.55232
2016,Hesse,Couple with children,No,0.50060,198,344,0.44768,0.55351
2016,"Rhineland-Palatinate, Saarland",Single-person household,Yes,0.18822,36,205,0.13458,0.24186
2016,"Rhineland-Palatinate, Saarland",Single-person household,No,0.81178,169,205,0.75814,0.86542
2016,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.32619,80,239,0.26662,0.38575
2016,"Rhineland-Palatinate, Saarland",Couple without children,No,0.67381,159,239,0.61425,0.73338
2016,"Rhineland-Palatinate, Saarland",Single parent,Yes,0.53603,39,81,0.42675,0.64532
2016,"Rhineland-Palatinate, Saarland",Single parent,No,0.46397,42,81,0.35468,0.57325
2016,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.57789,160,296,0.52153,0.63425
2016,"Rhineland-Palatinate, Saarland",Couple with children,No,0.42211,136,296,0.36575,0.47847
2016,Baden-Wuerttemberg,Single-person household,Yes,0.17244,59,348,0.13269,0.21219
2016,Baden-Wuerttemberg,Single-person household,No,0.82756,289,348,0.78781,0.86731
2016,Baden-Wuerttemberg,Couple without children,Yes,0.28490,129,429,0.24214,0.32766
2016,Baden-Wuerttemberg,Couple without children,No,0.71510,300,429,0.67234,0.75786
2016,Baden-Wuerttemberg,Single parent,Yes,0.44505,66,146,0.36416,0.52594
2016,Baden-Wuerttemberg,Single parent,No,0.55495,80,146,0.47406,0.63584
2016,Baden-Wuerttemberg,Couple with children,Yes,0.40564,291,670,0.36843,0.44284
2016,Baden-Wuerttemberg,Couple with children,No,0.59436,379,670,0.55716,0.63157
2016,Bavaria,Single-person household,Yes,0.19879,101,518,0.16439,0.23319
2016,Bavaria,Single-person household,No,0.80121,417,518,0.76681,0.83561
2016,Bavaria,Couple without children,Yes,0.32241,196,638,0.28611,0.35871
2016,Bavaria,Couple without children,No,0.67759,442,638,0.64129,0.71389
2016,Bavaria,Single parent,Yes,0.38904,97,236,0.32670,0.45137
2016,Bavaria,Single parent,No,0.61096,139,236,0.54863,0.67330
2016,Bavaria,Couple with children,Yes,0.44944,426,866,0.41629,0.48259
2016,Bavaria,Couple with children,No,0.55056,440,866,0.51741,0.58371
2016,Berlin,Single-person household,Yes,0.12349,33,227,0.08060,0.16639
2016,Berlin,Single-person household,No,0.87651,194,227,0.83361,0.91940
2016,Berlin,Couple without children,Yes,0.28302,45,167,0.21450,0.35155
2016,Berlin,Couple without children,No,0.71698,122,167,0.64845,0.78550
2016,Berlin,Single parent,No,0.50904,38,38,0.34795,0.67012
2016,Berlin,Couple with children,Yes,0.35686,48,137,0.27635,0.43738
2016,Berlin,Couple with children,No,0.64314,89,137,0.56262,0.72365
2016,Brandenburg,Single-person household,Yes,0.30525,39,134,0.22699,0.38352
2016,Brandenburg,Single-person household,No,0.69475,95,134,0.61648,0.77301
2016,Brandenburg,Couple without children,Yes,0.44204,97,213,0.37518,0.50889
2016,Brandenburg,Couple without children,No,0.55796,116,213,0.49111,0.62482
2016,Brandenburg,Couple with children,Yes,0.62140,97,150,0.54352,0.69929
2016,Brandenburg,Couple with children,No,0.37860,53,150,0.30071,0.45648
2016,Mecklenburg-Western Pomerania,Single-person household,No,0.76706,77,77,0.67203,0.86210
2016,Mecklenburg-Western Pomerania,Couple without children,Yes,0.44243,38,106,0.34743,0.53743
2016,Mecklenburg-Western Pomerania,Couple without children,No,0.55757,68,106,0.46257,0.65257
2016,Mecklenburg-Western Pomerania,Couple with children,Yes,0.59230,50,50,0.45471,0.72990
2016,Saxony,Single-person household,Yes,0.21996,42,227,0.16595,0.27396
2016,Saxony,Single-person household,No,0.78004,185,227,0.72604,0.83405
2016,Saxony,Couple without children,Yes,0.46144,116,286,0.40356,0.51932
2016,Saxony,Couple without children,No,0.53856,170,286,0.48068,0.59644
2016,Saxony,Single parent,Yes,0.63166,63,63,0.51160,0.75173
2016,Saxony,Couple with children,Yes,0.59054,145,247,0.52909,0.65199
2016,Saxony,Couple with children,No,0.40946,102,247,0.34801,0.47091
2016,Saxony-Anhalt,Single-person household,Yes,0.26726,43,148,0.19572,0.33880
2016,Saxony-Anhalt,Single-person household,No,0.73274,105,148,0.66120,0.80428
2016,Saxony-Anhalt,Couple without children,Yes,0.52471,72,155,0.44584,0.60359
2016,Saxony-Anhalt,Couple without children,No,0.47529,83,155,0.39641,0.55416
2016,Saxony-Anhalt,Single parent,Yes,0.58301,34,69,0.46581,0.70020
2016,Saxony-Anhalt,Single parent,No,0.41699,35,69,0.29980,0.53419
2016,Saxony-Anhalt,Couple with children,Yes,0.70913,92,133,0.63166,0.78661
2016,Saxony-Anhalt,Couple with children,No,0.29087,41,133,0.21339,0.36834
2016,Thuringa,Single-person household,Yes,0.29049,41,150,0.21760,0.36339
2016,Thuringa,Single-person household,No,0.70951,109,150,0.63661,0.78240
2016,Thuringa,Couple without children,Yes,0.42712,82,183,0.35525,0.49898
2016,Thuringa,Couple without children,No,0.57288,101,183,0.50102,0.64475
2016,Thuringa,Single parent,Yes,0.63159,31,31,0.45897,0.80420
2016,Thuringa,Couple with children,Yes,0.59278,86,150,0.51389,0.67167
2016,Thuringa,Couple with children,No,0.40722,64,150,0.32833,0.48611
2021,Schleswig-Holstein,Single-person household,No,0.78056,78,78,0.68812,0.87301
2021,Schleswig-Holstein,Couple without children,Yes,0.36844,49,126,0.28387,0.45301
2021,Schleswig-Holstein,Couple without children,No,0.63156,77,126,0.54699,0.71613
2021,Schleswig-Holstein,Couple with children,Yes,0.51911,81,155,0.44019,0.59802
2021,Schleswig-Holstein,Couple with children,No,0.48089,74,155,0.40198,0.55981
2021,Hamburg,Single-person household,No,0.84450,73,73,0.76080,0.92821
2021,Hamburg,Couple without children,No,0.75759,74,74,0.65928,0.85590
2021,Hamburg,Couple with children,No,0.77525,39,39,0.64253,0.90797
2021,Lower Saxony,Single-person household,Yes,0.19331,68,290,0.14779,0.23884
2021,Lower Saxony,Single-person household,No,0.80669,222,290,0.76116,0.85221
2021,Lower Saxony,Couple without children,Yes,0.35352,116,329,0.30178,0.40525
2021,Lower Saxony,Couple without children,No,0.64648,213,329,0.59475,0.69822
2021,Lower Saxony,Single parent,Yes,0.57400,57,94,0.47350,0.67450
2021,Lower Saxony,Single parent,No,0.42600,37,94,0.32550,0.52650
2021,Lower Saxony,Couple with children,Yes,0.52875,183,316,0.47362,0.58387
2021,Lower Saxony,Couple with children,No,0.47125,133,316,0.41613,0.52638
2021,North Rhine-Westphalia,Single-person household,Yes,0.20194,125,631,0.17059,0.23329
2021,North Rhine-Westphalia,Single-person household,No,0.79806,506,631,0.76671,0.82941
2021,North Rhine-Westphalia,Couple without children,Yes,0.30041,212,679,0.26590,0.33492
2021,North Rhine-Westphalia,Couple without children,No,0.69959,467,679,0.66508,0.73410
2021,North Rhine-Westphalia,Single parent,Yes,0.49662,81,165,0.42010,0.57315
2021,North Rhine-Westphalia,Single parent,No,0.50338,84,165,0.42685,0.57990
2021,North Rhine-Westphalia,Couple with children,Yes,0.49022,348,716,0.45357,0.52686
2021,North Rhine-Westphalia,Couple with children,No,0.50978,368,716,0.47314,0.54643
2021,North Rhine-Westphalia,Other Combinations,No,0.68617,45,45,0.54905,0.82329
2021,Hesse,Single-person household,Yes,0.22728,47,211,0.17060,0.28396
2021,Hesse,Single-person household,No,0.77272,164,211,0.71604,0.82940
2021,Hesse,Couple without children,Yes,0.34025,74,214,0.27662,0.40388
2021,Hesse,Couple without children,No,0.65975,140,214,0.59612,0.72338
2021,Hesse,Single parent,No,0.56945,31,31,0.39226,0.74664
2021,Hesse,Couple with children,Yes,0.50591,90,187,0.43406,0.57777
2021,Hesse,Couple with children,No,0.49409,97,187,0.42223,0.56594
2021,"Rhineland-Palatinate, Saarland",Single-person household,No,0.80409,123,123,0.73366,0.87452
2021,"Rhineland-Palatinate, Saarland",Couple without children,Yes,0.34315,59,165,0.27049,0.41582
2021,"Rhineland-Palatinate, Saarland",Couple without children,No,0.65685,106,165,0.58418,0.72951
2021,"Rhineland-Palatinate, Saarland",Couple with children,Yes,0.45223,84,155,0.37362,0.53084
2021,"Rhineland-Palatinate, Saarland",Couple with children,No,0.54777,71,155,0.46916,0.62638
2021,Baden-Wuerttemberg,Single-person household,Yes,0.19392,60,313,0.15005,0.23779
2021,Baden-Wuerttemberg,Single-person household,No,0.80608,253,313,0.76221,0.84995
2021,Baden-Wuerttemberg,Couple without children,Yes,0.27286,92,367,0.22723,0.31850
2021,Baden-Wuerttemberg,Couple without children,No,0.72714,275,367,0.68150,0.77277
2021,Baden-Wuerttemberg,Single parent,Yes,0.70024,53,85,0.60226,0.79822
2021,Baden-Wuerttemberg,Single parent,No,0.29976,32,85,0.20178,0.39774
2021,Baden-Wuerttemberg,Couple with children,Yes,0.39518,187,415,0.34808,0.44227
2021,Baden-Wuerttemberg,Couple with children,No,0.60482,228,415,0.55773,0.65192
2021,Bavaria,Single-person household,Yes,0.22334,108,523,0.18761,0.25907
2021,Bavaria,Single-person household,No,0.77666,415,523,0.74093,0.81239
2021,Bavaria,Couple without children,Yes,0.31248,164,505,0.27201,0.35294
2021,Bavaria,Couple without children,No,0.68752,341,505,0.64706,0.72799
2021,Bavaria,Single parent,Yes,0.44257,73,130,0.35686,0.52829
2021,Bavaria,Single parent,No,0.55743,57,130,0.47171,0.64314
2021,Bavaria,Couple with children,Yes,0.44349,268,533,0.40128,0.48571
2021,Bavaria,Couple with children,No,0.55651,265,533,0.51429,0.59872
2021,Berlin,Single-person household,Yes,0.12418,42,238,0.08219,0.16616
2021,Berlin,Single-person household,No,0.87582,196,238,0.83384,0.91781
2021,Berlin,Couple without children,Yes,0.21873,37,154,0.15323,0.28423
2021,Berlin,Couple without children,No,0.78127,117,154,0.71577,0.84677
2021,Berlin,Couple with children,Yes,0.30688,35,117,0.22295,0.39081
2021,Berlin,Couple with children,No,0.69312,82,117,0.60919,0.77705
2021,Brandenburg,Single-person household,No,0.69985,90,90,0.60463,0.79507
2021,Brandenburg,Couple without children,Yes,0.35713,71,164,0.28357,0.43069
2021,Brandenburg,Couple without children,No,0.64287,93,164,0.56931,0.71643
2021,Brandenburg,Couple with children,Yes,0.42582,71,114,0.33465,0.51699
2021,Brandenburg,Couple with children,No,0.57418,43,114,0.48301,0.66535
2021,Mecklenburg-Western Pomerania,Single-person household,No,0.84600,63,63,0.75615,0.93585
2021,Mecklenburg-Western Pomerania,Couple without children,Yes,0.50962,36,86,0.40335,0.61590
2021,Mecklenburg-Western Pomerania,Couple without children,No,0.49038,50,86,0.38410,0.59665
2021,Mecklenburg-Western Pomerania,Couple with children,Yes,0.65782,35,35,0.49835,0.81730
2021,Saxony,Single-person household,Yes,0.28118,52,198,0.21840,0.34396
2021,Saxony,Single-person household,No,0.71882,146,198,0.65604,0.78160
2021,Saxony,Couple without children,Yes,0.40455,95,267,0.34557,0.46353
2021,Saxony,Couple without children,No,0.59545,172,267,0.53647,0.65443
2021,Saxony,Single parent,Yes,0.66499,41,73,0.55597,0.77402
2021,Saxony,Single parent,No,0.33501,32,73,0.22598,0.44403
2021,Saxony,Couple with children,Yes,0.67426,110,171,0.60381,0.74471
2021,Saxony,Couple with children,No,0.32574,61,171,0.25529,0.39619
2021,Saxony-Anhalt,Single-person household,Yes,0.23538,32,116,0.15784,0.31292
2021,Saxony-Anhalt,Single-person household,No,0.76462,84,116,0.68708,0.84216
2021,Saxony-Anhalt,Couple without children,Yes,0.50983,55,120,0.42001,0.59965
2021,Saxony-Anhalt,Couple without children,No,0.49017,65,120,0.40035,0.57999
2021,Saxony-Anhalt,Couple with children,Yes,0.79360,55,55,0.68566,0.90155
2021,Thuringa,Single-person household,No,0.78875,94,94,0.70579,0.87171
2021,Thuringa,Couple without children,Yes,0.31891,45,127,0.23753,0.40028
2021,Thuringa,Couple without children,No,0.68109,82,127,0.59972,0.76247
2021,Thuringa,Couple with children,Yes,0.52895,55,89,0.42465,0.63324
2021,Thuringa,Couple with children,No,0.47105,34,89,0.36676,0.57535
