year,bula_h,quintil_oecd_hh,pet_fish,proportion,n,N,proportion_lower_confidence,proportion_lower_confidence,proportion_upper_confidence,proportion_upper_confidence
2006,Saxony,3rd Quintile,No,1.00000,193,11510,0,0.90535,0,1.09342
2006,Saxony,4th Quintile,No,1.00000,136,11510,0,0.88436,0,1.13566
2006,Saxony,5th Quintile,No,1.00000,89,11510,0,0.81499,0,1.20576
2006,Saxony-Anhalt,1st Quintile,No,1.00000,100,11510,0,0.87796,0,1.14820
2006,Saxony-Anhalt,2nd Quintile,No,1.00000,107,11510,0,0.89122,0,1.15116
2006,Saxony-Anhalt,3rd Quintile,No,1.00000,112,11510,0,0.87398,0,1.11588
2006,Saxony-Anhalt,4th Quintile,No,1.00000,59,11510,0,0.80276,0,1.20334
2006,Saxony-Anhalt,5th Quintile,No,1.00000,57,11510,0,0.71340,0,1.35314
2006,Thuringa,1st Quintile,No,1.00000,94,11510,0,0.86261,0,1.14441
2006,Thuringa,2nd Quintile,No,1.00000,139,11510,0,0.87883,0,1.11592
2006,Thuringa,3rd Quintile,No,1.00000,98,11510,0,0.85672,0,1.15504
2006,Thuringa,4th Quintile,No,1.00000,89,11510,0,0.79180,0,1.20402
2006,Thuringa,5th Quintile,No,1.00000,48,11510,0,0.74330,0,1.25731
2011,Schleswig-Holstein,1st Quintile,No,1.00000,93,11368,0,0.81801,0,1.22249
2011,Schleswig-Holstein,2nd Quintile,No,1.00000,77,11368,0,0.81914,0,1.14590
2011,Schleswig-Holstein,3rd Quintile,No,1.00000,75,11368,0,0.86227,0,1.17492
2011,Schleswig-Holstein,4th Quintile,No,1.00000,68,11368,0,0.82947,0,1.21919
2011,Schleswig-Holstein,5th Quintile,No,1.00000,78,11368,0,0.76426,0,1.22941
2011,Hamburg,2nd Quintile,No,1.00000,41,11368,0,0.79200,0,1.22653
2011,Hamburg,3rd Quintile,No,1.00000,31,11368,0,0.77093,0,1.23941
2011,Hamburg,4th Quintile,No,1.00000,33,11368,0,0.78921,0,1.20556
2011,Hamburg,5th Quintile,No,1.00000,58,11368,0,0.79000,0,1.20494
2011,Lower Saxony,1st Quintile,No,1.00000,170,11368,0,0.89456,0,1.13621
2011,Lower Saxony,2nd Quintile,No,1.00000,173,11368,0,0.90005,0,1.10612
2011,Lower Saxony,3rd Quintile,No,1.00000,198,11368,0,0.88971,0,1.11897
2011,Lower Saxony,4th Quintile,No,1.00000,218,11368,0,0.89273,0,1.13787
2011,Lower Saxony,5th Quintile,No,1.00000,258,11368,0,0.89394,0,1.10353
2011,North Rhine-Westphalia,1st Quintile,No,1.00000,413,11368,0,0.91949,0,1.07870
2011,North Rhine-Westphalia,2nd Quintile,No,1.00000,367,11368,0,0.93773,0,1.10141
2011,North Rhine-Westphalia,3rd Quintile,No,1.00000,406,11368,0,0.91289,0,1.08697
2011,North Rhine-Westphalia,4th Quintile,Yes,0.08983,44,11368,0,0.06771,0,0.11627
2011,North Rhine-Westphalia,4th Quintile,No,0.91017,442,11368,0,0.83677,0,0.98204
2011,North Rhine-Westphalia,5th Quintile,Yes,0.05006,36,11368,0,0.03269,0,0.07299
2011,North Rhine-Westphalia,5th Quintile,No,0.94994,577,11368,0,0.89263,0,1.01086
2011,Hesse,1st Quintile,No,1.00000,121,11368,0,0.83728,0,1.16056
2011,Hesse,2nd Quintile,No,1.00000,118,11368,0,0.85582,0,1.14965
2011,Hesse,3rd Quintile,No,1.00000,138,11368,0,0.88158,0,1.13052
2011,Hesse,4th Quintile,No,1.00000,159,11368,0,0.86385,0,1.14387
2011,Hesse,5th Quintile,No,1.00000,249,11368,0,0.88818,0,1.10047
2011,"Rhineland-Palatinate, Saarland",1st Quintile,No,1.00000,128,11368,0,0.84616,0,1.17387
2011,"Rhineland-Palatinate, Saarland",2nd Quintile,No,1.00000,131,11368,0,0.84104,0,1.15019
2011,"Rhineland-Palatinate, Saarland",3rd Quintile,No,1.00000,134,11368,0,0.87867,0,1.16573
2011,"Rhineland-Palatinate, Saarland",4th Quintile,No,1.00000,125,11368,0,0.86899,0,1.16214
2011,"Rhineland-Palatinate, Saarland",5th Quintile,No,1.00000,152,11368,0,0.87522,0,1.12841
2011,Baden-Wuerttemberg,1st Quintile,No,1.00000,178,11368,0,0.87502,0,1.13801
2011,Baden-Wuerttemberg,2nd Quintile,No,1.00000,208,11368,0,0.90069,0,1.10086
2011,Baden-Wuerttemberg,3rd Quintile,No,1.00000,244,11368,0,0.92318,0,1.09054
2011,Baden-Wuerttemberg,4th Quintile,No,1.00000,319,11368,0,0.88599,0,1.10631
2011,Baden-Wuerttemberg,5th Quintile,No,1.00000,374,11368,0,0.90859,0,1.09419
2011,Bavaria,1st Quintile,No,1.00000,260,11368,0,0.90082,0,1.11915
2011,Bavaria,2nd Quintile,No,1.00000,275,11368,0,0.88586,0,1.10818
