,Unnamed: 0,year,regtyp,sex,ple0040,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
166,166,2008,Rural regions,female,Yes,0.11378,348,19228,0.10485,0.1245
167,167,2008,Rural regions,female,No,0.88622,3075,19228,0.85777,0.91581
168,168,2009,Urban regions,male,Yes,0.14953,805,17933,0.14109,0.15826
169,169,2009,Urban regions,male,No,0.85047,4702,17933,0.8232,0.87414
170,170,2009,Urban regions,female,Yes,0.13137,709,17933,0.12379,0.13842
171,171,2009,Urban regions,female,No,0.86863,5408,17933,0.84657,0.89023
172,172,2009,Rural regions,male,Yes,0.14882,445,17933,0.13708,0.1634
173,173,2009,Rural regions,male,No,0.85118,2606,17933,0.81766,0.88735
174,174,2009,Rural regions,female,Yes,0.11389,353,17933,0.10307,0.12494
175,175,2009,Rural regions,female,No,0.88611,2905,17933,0.85813,0.9241
176,176,2010,Urban regions,male,Yes,0.14493,841,23901,0.13617,0.1549
177,177,2010,Urban regions,male,No,0.85507,6213,23901,0.82813,0.88044
178,178,2010,Urban regions,female,Yes,0.13234,765,23901,0.12518,0.14037
179,179,2010,Urban regions,female,No,0.86766,7768,23901,0.84228,0.88947
180,180,2010,Rural regions,male,Yes,0.1546,462,23901,0.14243,0.16732
181,181,2010,Rural regions,male,No,0.8454,3358,23901,0.81085,0.88559
182,182,2010,Rural regions,female,Yes,0.11721,373,23901,0.1047,0.13101
183,183,2010,Rural regions,female,No,0.88279,4121,23901,0.8493,0.91882
184,184,2011,Urban regions,male,Yes,0.13955,989,28235,0.13116,0.1471
185,185,2011,Urban regions,male,No,0.86045,7128,28235,0.83809,0.88134
186,186,2011,Urban regions,female,Yes,0.13658,981,28235,0.12948,0.1441
187,187,2011,Urban regions,female,No,0.86342,8970,28235,0.84629,0.88394
188,188,2011,Rural regions,male,Yes,0.14951,604,28235,0.13663,0.16179
189,189,2011,Rural regions,male,No,0.85049,4061,28235,0.81692,0.87903
190,190,2011,Rural regions,female,Yes,0.1177,508,28235,0.10742,0.12788
191,191,2011,Rural regions,female,No,0.8823,4994,28235,0.84936,0.91426
192,192,2012,Urban regions,male,Yes,0.14679,1041,27532,0.13799,0.15499
193,193,2012,Urban regions,male,No,0.85321,6830,27532,0.83665,0.87682
194,194,2012,Urban regions,female,Yes,0.13755,1006,27532,0.12938,0.1448
195,195,2012,Urban regions,female,No,0.86245,8557,27532,0.84469,0.88008
196,196,2012,Rural regions,male,Yes,0.16878,652,27532,0.15659,0.18244
197,197,2012,Rural regions,male,No,0.83122,3987,27532,0.80069,0.85947
198,198,2012,Rural regions,female,Yes,0.12095,552,27532,0.11124,0.13029
199,199,2012,Rural regions,female,No,0.87905,4907,27532,0.85211,0.90778
200,200,2013,Urban regions,male,Yes,0.13843,1067,30523,0.13125,0.14643
201,201,2013,Urban regions,male,No,0.86157,8055,30523,0.84086,0.88416
202,202,2013,Urban regions,female,Yes,0.1402,1047,30523,0.1325,0.1482
203,203,2013,Urban regions,female,No,0.8598,9902,30523,0.83967,0.87951
204,204,2013,Rural regions,male,Yes,0.16386,633,30523,0.15159,0.17504
205,205,2013,Rural regions,male,No,0.83614,4183,30523,0.81337,0.86462
206,206,2013,Rural regions,female,Yes,0.11771,515,30523,0.10607,0.12894
207,207,2013,Rural regions,female,No,0.88229,5121,30523,0.85462,0.91213
208,208,2014,Urban regions,male,Yes,0.14678,1014,27023,0.13732,0.156
209,209,2014,Urban regions,male,No,0.85322,7024,27023,0.82489,0.87718
210,210,2014,Urban regions,female,Yes,0.14292,995,27023,0.13472,0.15261
211,211,2014,Urban regions,female,No,0.85708,8557,27023,0.83832,0.8788
212,212,2014,Rural regions,male,Yes,0.16471,620,27023,0.15234,0.17634
213,213,2014,Rural regions,male,No,0.83529,3750,27023,0.80259,0.87749
214,214,2014,Rural regions,female,Yes,0.1372,550,27023,0.1266,0.14677
215,215,2014,Rural regions,female,No,0.8628,4513,27023,0.83282,0.89351
216,216,2015,Urban regions,male,Yes,0.14886,934,26657,0.13917,0.15804
217,217,2015,Urban regions,male,No,0.85114,7029,26657,0.82518,0.87646
218,218,2015,Urban regions,female,Yes,0.13614,927,26657,0.12859,0.14424
219,219,2015,Urban regions,female,No,0.86386,8503,26657,0.84071,0.88564
220,220,2015,Rural regions,male,Yes,0.1523,540,26657,0.13799,0.16513
221,221,2015,Rural regions,male,No,0.8477,3753,26657,0.81636,0.883
222,222,2015,Rural regions,female,Yes,0.13577,530,26657,0.12657,0.1469
223,223,2015,Rural regions,female,No,0.86423,4441,26657,0.83498,0.89523
224,224,2016,Urban regions,male,Yes,0.1478,883,24204,0.13771,0.15712
225,225,2016,Urban regions,male,No,0.8522,6270,24204,0.83128,0.87855
226,226,2016,Urban regions,female,Yes,0.13152,860,24204,0.12271,0.13987
227,227,2016,Urban regions,female,No,0.86848,7688,24204,0.84485,0.8881
228,228,2016,Rural regions,male,Yes,0.15577,511,24204,0.14083,0.16751
229,229,2016,Rural regions,male,No,0.84423,3427,24204,0.81224,0.88262
230,230,2016,Rural regions,female,Yes,0.132,500,24204,0.1211,0.14471
231,231,2016,Rural regions,female,No,0.868,4065,24204,0.8335,0.89626
232,232,2017,Urban regions,male,Yes,0.14459,957,26487,0.13703,0.15339
233,233,2017,Urban regions,male,No,0.85541,6896,26487,0.83237,0.87847
234,234,2017,Urban regions,female,Yes,0.13127,968,26487,0.12202,0.13919
235,235,2017,Urban regions,female,No,0.86873,8291,26487,0.84649,0.89337
236,236,2017,Rural regions,male,Yes,0.14701,571,26487,0.13331,0.16015
237,237,2017,Rural regions,male,No,0.85299,3813,26487,0.81843,0.88239
238,238,2017,Rural regions,female,Yes,0.13347,549,26487,0.12263,0.14401
239,239,2017,Rural regions,female,No,0.86653,4442,26487,0.83631,0.8944
240,240,2018,Urban regions,male,Yes,0.14846,1002,25584,0.13926,0.15856
241,241,2018,Urban regions,male,No,0.85154,6617,25584,0.82915,0.8781
242,242,2018,Urban regions,female,Yes,0.1246,969,25584,0.11781,0.13206
243,243,2018,Urban regions,female,No,0.8754,8044,25584,0.85559,0.90095
244,244,2018,Rural regions,male,Yes,0.15228,549,25584,0.1401,0.16519
245,245,2018,Rural regions,male,No,0.84772,3609,25584,0.81702,0.88819
246,246,2018,Rural regions,female,Yes,0.13955,584,25584,0.12714,0.15249
247,247,2018,Rural regions,female,No,0.86045,4210,25584,0.83222,0.89451
248,248,2019,Urban regions,male,Yes,0.14086,936,25094,0.13095,0.15091
249,249,2019,Urban regions,male,No,0.85914,6794,25094,0.83214,0.88788
250,250,2019,Urban regions,female,Yes,0.12824,895,25094,0.12074,0.1359
251,251,2019,Urban regions,female,No,0.87176,7686,25094,0.84813,0.8966
252,252,2019,Rural regions,male,Yes,0.15877,541,25094,0.14294,0.17587
253,253,2019,Rural regions,male,No,0.84123,3669,25094,0.80332,0.88567
254,254,2019,Rural regions,female,Yes,0.1399,541,25094,0.12931,0.15249
255,255,2019,Rural regions,female,No,0.8601,4032,25094,0.82963,0.89648
256,256,2020,Urban regions,male,Yes,0.13957,931,28310,0.13042,0.14993
257,257,2020,Urban regions,male,No,0.86043,8412,28310,0.83144,0.88811
258,258,2020,Urban regions,female,Yes,0.12606,904,28310,0.11819,0.13382
259,259,2020,Urban regions,female,No,0.87394,8724,28310,0.8493,0.89687
260,260,2020,Rural regions,male,Yes,0.15706,543,28310,0.14246,0.1735
261,261,2020,Rural regions,male,No,0.84294,4037,28310,0.80646,0.88089
262,262,2020,Rural regions,female,Yes,0.1466,548,28310,0.13438,0.15937
263,263,2020,Rural regions,female,No,0.8534,4211,28310,0.81657,0.89085
264,264,2021,Urban regions,male,Yes,0.14164,704,19256,0.12905,0.15456
265,265,2021,Urban regions,male,No,0.85836,5647,19256,0.82366,0.89355
266,266,2021,Urban regions,female,Yes,0.13552,680,19256,0.12497,0.14706
267,267,2021,Urban regions,female,No,0.86448,6015,19256,0.83845,0.90004
268,268,2021,Rural regions,male,Yes,0.16088,378,19256,0.14191,0.18016
269,269,2021,Rural regions,male,No,0.83912,2611,19256,0.79867,0.88512
270,270,2021,Rural regions,female,Yes,0.14528,401,19256,0.13207,0.16289
271,271,2021,Rural regions,female,No,0.85472,2820,19256,0.81722,0.89655
