year,age_gr,sex,ple0040,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,30-45 y.,male,No,0.93851,4149,4361,0.93138,0.94564
2013,30-45 y.,female,Yes,0.04324,205,5985,0.03809,0.04839
2013,30-45 y.,female,No,0.95676,5780,5985,0.95161,0.96191
2013,46-65 y.,male,Yes,0.19427,830,4796,0.18307,0.20546
2013,46-65 y.,male,No,0.80573,3966,4796,0.79454,0.81693
2013,46-65 y.,female,Yes,0.18188,800,5361,0.17155,0.19221
2013,46-65 y.,female,No,0.81812,4561,5361,0.80779,0.82845
2013,66 and older,male,Yes,0.25767,614,2434,0.24030,0.27505
2013,66 and older,male,No,0.74233,1820,2434,0.72495,0.75970
2013,66 and older,female,Yes,0.21767,517,2569,0.20171,0.23363
2013,66 and older,female,No,0.78233,2052,2569,0.76637,0.79829
2014,17-29 y.,male,Yes,0.03410,51,2045,0.02624,0.04197
2014,17-29 y.,male,No,0.96590,1994,2045,0.95803,0.97376
2014,17-29 y.,female,Yes,0.02497,33,2239,0.01851,0.03144
2014,17-29 y.,female,No,0.97503,2206,2239,0.96856,0.98149
2014,30-45 y.,male,Yes,0.05537,167,3596,0.04789,0.06284
2014,30-45 y.,male,No,0.94463,3429,3596,0.93716,0.95211
2014,30-45 y.,female,Yes,0.04535,187,4912,0.03953,0.05117
2014,30-45 y.,female,No,0.95465,4725,4912,0.94883,0.96047
2014,46-65 y.,male,Yes,0.20175,768,4349,0.18982,0.21368
2014,46-65 y.,male,No,0.79825,3581,4349,0.78632,0.81018
2014,46-65 y.,female,Yes,0.19197,779,4944,0.18099,0.20295
2014,46-65 y.,female,No,0.80803,4165,4944,0.79705,0.81901
2014,66 and older,male,Yes,0.27219,648,2418,0.25444,0.28993
2014,66 and older,male,No,0.72781,1770,2418,0.71007,0.74556
2014,66 and older,female,Yes,0.22591,546,2520,0.20958,0.24224
2014,66 and older,female,No,0.77409,1974,2520,0.75776,0.79042
2015,17-29 y.,male,Yes,0.02636,40,2109,0.01953,0.03320
2015,17-29 y.,male,No,0.97364,2069,2109,0.96680,0.98047
2015,17-29 y.,female,Yes,0.02350,42,2342,0.01736,0.02963
2015,17-29 y.,female,No,0.97650,2300,2342,0.97037,0.98264
2015,30-45 y.,male,Yes,0.04917,120,3510,0.04201,0.05632
2015,30-45 y.,male,No,0.95083,3390,3510,0.94368,0.95799
2015,30-45 y.,female,Yes,0.04276,162,4760,0.03701,0.04850
2015,30-45 y.,female,No,0.95724,4598,4760,0.95150,0.96299
2015,46-65 y.,male,Yes,0.20442,707,4270,0.19232,0.21651
2015,46-65 y.,male,No,0.79558,3563,4270,0.78349,0.80768
2015,46-65 y.,female,Yes,0.17946,725,4827,0.16863,0.19029
2015,46-65 y.,female,No,0.82054,4102,4827,0.80971,0.83137
2015,66 and older,male,Yes,0.26806,607,2368,0.25021,0.28590
2015,66 and older,male,No,0.73194,1761,2368,0.71410,0.74979
2015,66 and older,female,Yes,0.22458,528,2471,0.20812,0.24103
2015,66 and older,female,No,0.77542,1943,2471,0.75897,0.79188
2016,17-29 y.,male,Yes,0.02914,36,1828,0.02143,0.03686
2016,17-29 y.,male,No,0.97086,1792,1828,0.96314,0.97857
2016,17-29 y.,female,Yes,0.02024,36,2020,0.01409,0.02638
2016,17-29 y.,female,No,0.97976,1984,2020,0.97362,0.98591
2016,30-45 y.,male,Yes,0.05499,116,2995,0.04682,0.06315
2016,30-45 y.,male,No,0.94501,2879,2995,0.93685,0.95318
2016,30-45 y.,female,Yes,0.04363,146,4096,0.03737,0.04988
2016,30-45 y.,female,No,0.95637,3950,4096,0.95012,0.96263
2016,46-65 y.,male,Yes,0.19815,649,3971,0.18575,0.21055
2016,46-65 y.,male,No,0.80185,3322,3971,0.78945,0.81425
2016,46-65 y.,female,Yes,0.16438,651,4611,0.15368,0.17508
2016,46-65 y.,female,No,0.83562,3960,4611,0.82492,0.84632
2016,66 and older,male,Yes,0.27409,593,2298,0.25584,0.29233
2016,66 and older,male,No,0.72591,1705,2298,0.70767,0.74416
2016,66 and older,female,Yes,0.22975,527,2385,0.21286,0.24664
2016,66 and older,female,No,0.77025,1858,2385,0.75336,0.78714
2017,17-29 y.,male,Yes,0.03869,53,2129,0.03049,0.04688
2017,17-29 y.,male,No,0.96131,2076,2129,0.95312,0.96951
2017,17-29 y.,female,Yes,0.01947,40,2214,0.01371,0.02522
2017,17-29 y.,female,No,0.98053,2174,2214,0.97478,0.98629
2017,30-45 y.,male,Yes,0.05325,125,3051,0.04528,0.06122
2017,30-45 y.,male,No,0.94675,2926,3051,0.93878,0.95472
2017,30-45 y.,female,Yes,0.05272,164,4201,0.04596,0.05948
2017,30-45 y.,female,No,0.94728,4037,4201,0.94052,0.95404
2017,46-65 y.,male,Yes,0.19080,738,4613,0.17946,0.20214
2017,46-65 y.,male,No,0.80920,3875,4613,0.79786,0.82054
2017,46-65 y.,female,Yes,0.17164,802,5347,0.16153,0.18175
2017,46-65 y.,female,No,0.82836,4545,5347,0.81825,0.83847
2017,66 and older,male,Yes,0.25243,611,2444,0.23520,0.26966
2017,66 and older,male,No,0.74757,1833,2444,0.73034,0.76480
2017,66 and older,female,Yes,0.21227,512,2488,0.19620,0.22834
2017,66 and older,female,No,0.78773,1976,2488,0.77166,0.80380
2018,17-29 y.,male,Yes,0.03645,54,2095,0.02843,0.04448
2018,17-29 y.,male,No,0.96355,2041,2095,0.95552,0.97157
2018,17-29 y.,female,Yes,0.02053,43,2168,0.01456,0.02650
2018,17-29 y.,female,No,0.97947,2125,2168,0.97350,0.98544
2018,30-45 y.,male,Yes,0.05330,136,2802,0.04498,0.06161
2018,30-45 y.,male,No,0.94670,2666,2802,0.93839,0.95502
2018,30-45 y.,female,Yes,0.05026,175,3930,0.04343,0.05709
2018,30-45 y.,female,No,0.94974,3755,3930,0.94291,0.95657
2018,46-65 y.,male,Yes,0.19064,728,4449,0.17910,0.20219
2018,46-65 y.,male,No,0.80936,3721,4449,0.79781,0.82090
2018,46-65 y.,female,Yes,0.15821,761,5169,0.14826,0.16816
2018,46-65 y.,female,No,0.84179,4408,5169,0.83184,0.85174
2018,66 and older,male,Yes,0.27080,632,2431,0.25314,0.28847
2018,66 and older,male,No,0.72920,1799,2431,0.71153,0.74686
2018,66 and older,female,Yes,0.21850,575,2540,0.20243,0.23457
2018,66 and older,female,No,0.78150,1965,2540,0.76543,0.79757
2019,17-29 y.,male,Yes,0.03358,54,1855,0.02538,0.04178
2019,17-29 y.,male,No,0.96642,1801,1855,0.95822,0.97462
2019,17-29 y.,female,Yes,0.02794,45,1968,0.02066,0.03522
2019,17-29 y.,female,No,0.97206,1923,1968,0.96478,0.97934
2019,30-45 y.,male,Yes,0.06693,139,2698,0.05749,0.07636
2019,30-45 y.,male,No,0.93307,2559,2698,0.92364,0.94251
2019,30-45 y.,female,Yes,0.05382,156,3578,0.04642,0.06121
2019,30-45 y.,female,No,0.94618,3422,3578,0.93879,0.95358
2019,46-65 y.,male,Yes,0.17606,697,5073,0.16558,0.18654
2019,46-65 y.,male,No,0.82394,4376,5073,0.81346,0.83442
2019,46-65 y.,female,Yes,0.16170,745,5320,0.15180,0.17159
2019,46-65 y.,female,No,0.83830,4575,5320,0.82841,0.84820
2019,66 and older,male,Yes,0.26592,641,2610,0.24897,0.28288
2019,66 and older,male,No,0.73408,1969,2610,0.71712,0.75103
2019,66 and older,female,Yes,0.21657,527,2540,0.20055,0.23259
2019,66 and older,female,No,0.78343,2013,2540,0.76741,0.79945
2020,17-29 y.,male,Yes,0.02809,60,2550,0.02167,0.03450
2020,17-29 y.,male,No,0.97191,2490,2550,0.96550,0.97833
2020,17-29 y.,female,Yes,0.02573,44,2502,0.01952,0.03193
2020,17-29 y.,female,No,0.97427,2458,2502,0.96807,0.98048
2020,30-45 y.,male,Yes,0.06712,152,3876,0.05924,0.07500
2020,30-45 y.,male,No,0.93288,3724,3876,0.92500,0.94076
2020,30-45 y.,female,Yes,0.05823,162,4144,0.05110,0.06537
2020,30-45 y.,female,No,0.94177,3982,4144,0.93463,0.94890
2020,46-65 y.,male,Yes,0.16576,646,5067,0.15552,0.17600
2020,46-65 y.,male,No,0.83424,4421,5067,0.82400,0.84448
2020,46-65 y.,female,Yes,0.16088,718,5299,0.15098,0.17077
2020,46-65 y.,female,No,0.83912,4581,5299,0.82923,0.84902
2020,66 and older,male,Yes,0.28185,615,2431,0.26396,0.29974
2020,66 and older,male,No,0.71815,1816,2431,0.70026,0.73604
2020,66 and older,female,Yes,0.21937,529,2442,0.20295,0.23578
2020,66 and older,female,No,0.78063,1913,2442,0.76422,0.79705
2021,17-29 y.,male,Yes,0.04314,43,1628,0.03327,0.05301
2021,17-29 y.,male,No,0.95686,1585,1628,0.94699,0.96673
2021,17-29 y.,female,No,0.97687,1534,1534,0.96935,0.98440
2021,30-45 y.,male,Yes,0.07242,111,2462,0.06218,0.08266
2021,30-45 y.,male,No,0.92758,2351,2462,0.91734,0.93782
2021,30-45 y.,female,Yes,0.05998,123,2778,0.05115,0.06881
2021,30-45 y.,female,No,0.94002,2655,2778,0.93119,0.94885
2021,46-65 y.,male,Yes,0.17090,462,3459,0.15836,0.18345
2021,46-65 y.,male,No,0.82910,2997,3459,0.81655,0.84164
2021,46-65 y.,female,Yes,0.17006,553,3797,0.15811,0.18201
2021,46-65 y.,female,No,0.82994,3244,3797,0.81799,0.84189
2021,66 and older,male,Yes,0.27376,465,1789,0.25309,0.29443
2021,66 and older,male,No,0.72624,1324,1789,0.70557,0.74691
2021,66 and older,female,Yes,0.23198,378,1782,0.21238,0.25158
2021,66 and older,female,No,0.76802,1404,1782,0.74842,0.78762
2022,17-29 y.,male,Yes,0.02157,56,2751,0.01614,0.02699
2022,17-29 y.,male,No,0.97843,2695,2751,0.97301,0.98386
2022,17-29 y.,female,Yes,0.02806,47,2870,0.02202,0.03411
2022,17-29 y.,female,No,0.97194,2823,2870,0.96589,0.97798
2022,30-45 y.,male,Yes,0.05279,157,4391,0.04617,0.05940
2022,30-45 y.,male,No,0.94721,4234,4391,0.94060,0.95383
2022,30-45 y.,female,Yes,0.05634,185,4530,0.04962,0.06305
2022,30-45 y.,female,No,0.94366,4345,4530,0.93695,0.95038
2022,46-65 y.,male,Yes,0.16630,610,4381,0.15527,0.17733
2022,46-65 y.,male,No,0.83370,3771,4381,0.82267,0.84473
2022,46-65 y.,female,Yes,0.16801,720,4783,0.15742,0.17861
2022,46-65 y.,female,No,0.83199,4063,4783,0.82139,0.84258
2022,66 and older,male,Yes,0.25770,510,2040,0.23871,0.27668
2022,66 and older,male,No,0.74230,1530,2040,0.72332,0.76129
2022,66 and older,female,Yes,0.22818,451,2085,0.21016,0.24620
2022,66 and older,female,No,0.77182,1634,2085,0.75380,0.78984
