year,quintil_oecd,sampreg,pli0094_h,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2009,4th Quintile,West,At least once per week,0.44519,1294,2955,0.42727,0.46312
2009,4th Quintile,West,At least once per month,0.38053,1154,2955,0.36302,0.39804
2009,4th Quintile,West,Seldom,0.15591,455,2955,0.14282,0.16899
2009,4th Quintile,West,Never,0.01837,52,2955,0.01353,0.02321
2009,4th Quintile,East,At least once per week,0.32249,260,786,0.28979,0.35519
2009,4th Quintile,East,At least once per month,0.44770,355,786,0.41291,0.48249
2009,4th Quintile,East,Seldom,0.21395,171,786,0.18526,0.24264
2009,5th Quintile,West,At least once per week,0.44263,1823,4124,0.42747,0.45779
2009,5th Quintile,West,At least once per month,0.39217,1656,4124,0.37727,0.40708
2009,5th Quintile,West,Seldom,0.15324,602,4124,0.14225,0.16424
2009,5th Quintile,West,Never,0.01195,43,4124,0.00864,0.01527
2009,5th Quintile,East,At least once per week,0.26875,185,660,0.23491,0.30260
2009,5th Quintile,East,At least once per month,0.47279,315,660,0.43467,0.51090
2009,5th Quintile,East,Seldom,0.25361,160,660,0.22040,0.28683
2011,1st Quintile,West,At least once per week,0.41425,1451,3194,0.39716,0.43134
2011,1st Quintile,West,At least once per month,0.26965,914,3194,0.25426,0.28504
2011,1st Quintile,West,Seldom,0.25953,658,3194,0.24432,0.27474
2011,1st Quintile,West,Never,0.05657,171,3194,0.04856,0.06458
2011,1st Quintile,East,At least once per week,0.30138,459,1379,0.27715,0.32561
2011,1st Quintile,East,At least once per month,0.32872,460,1379,0.30392,0.35352
2011,1st Quintile,East,Seldom,0.30575,368,1379,0.28142,0.33008
2011,1st Quintile,East,Never,0.06415,92,1379,0.05122,0.07709
2011,2nd Quintile,West,At least once per week,0.40097,1355,3023,0.38349,0.41844
2011,2nd Quintile,West,At least once per month,0.33730,1041,3023,0.32044,0.35415
2011,2nd Quintile,West,Seldom,0.21737,540,3023,0.20267,0.23208
2011,2nd Quintile,West,Never,0.04437,87,3023,0.03702,0.05171
2011,2nd Quintile,East,At least once per week,0.33283,399,1287,0.30708,0.35859
2011,2nd Quintile,East,At least once per month,0.36198,522,1287,0.33571,0.38824
2011,2nd Quintile,East,Seldom,0.27704,335,1287,0.25258,0.30150
2011,2nd Quintile,East,Never,0.02815,31,1287,0.01911,0.03719
2011,3rd Quintile,West,At least once per week,0.41012,1417,3085,0.39276,0.42748
2011,3rd Quintile,West,At least once per month,0.36930,1119,3085,0.35227,0.38634
2011,3rd Quintile,West,Seldom,0.19440,488,3085,0.18043,0.20837
2011,3rd Quintile,West,Never,0.02618,61,3085,0.02054,0.03181
2011,3rd Quintile,East,At least once per week,0.32145,312,1003,0.29253,0.35037
2011,3rd Quintile,East,At least once per month,0.41274,460,1003,0.38226,0.44323
2011,3rd Quintile,East,Seldom,0.24452,231,1003,0.21791,0.27113
2011,4th Quintile,West,At least once per week,0.43990,1520,3298,0.42296,0.45684
2011,4th Quintile,West,At least once per month,0.38446,1243,3298,0.36786,0.40107
2011,4th Quintile,West,Seldom,0.16048,492,3298,0.14795,0.17301
2011,4th Quintile,West,Never,0.01516,43,3298,0.01099,0.01933
2011,4th Quintile,East,At least once per week,0.30402,254,806,0.27225,0.33580
2011,4th Quintile,East,At least once per month,0.43160,367,806,0.39739,0.46582
2011,4th Quintile,East,Seldom,0.25282,185,806,0.22280,0.28285
2011,5th Quintile,West,At least once per week,0.46366,1970,4136,0.44846,0.47886
2011,5th Quintile,West,At least once per month,0.37237,1582,4136,0.35763,0.38710
2011,5th Quintile,West,Seldom,0.15242,543,4136,0.14147,0.16338
2011,5th Quintile,West,Never,0.01155,41,4136,0.00829,0.01480
2011,5th Quintile,East,At least once per week,0.28974,165,557,0.25203,0.32744
2011,5th Quintile,East,At least once per month,0.46899,258,557,0.42751,0.51048
2011,5th Quintile,East,Seldom,0.23340,134,557,0.19824,0.26856
2015,1st Quintile,West,At least once per week,0.48033,1900,3819,0.46448,0.49618
2015,1st Quintile,West,At least once per month,0.26828,1039,3819,0.25423,0.28234
2015,1st Quintile,West,Seldom,0.19240,674,3819,0.17989,0.20490
2015,1st Quintile,West,Never,0.05899,206,3819,0.05151,0.06646
2015,1st Quintile,East,At least once per week,0.34248,469,1295,0.31662,0.36833
2015,1st Quintile,East,At least once per month,0.29290,405,1295,0.26811,0.31770
2015,1st Quintile,East,Seldom,0.30382,336,1295,0.27876,0.32888
2015,1st Quintile,East,Never,0.06080,85,1295,0.04778,0.07382
2015,2nd Quintile,West,At least once per week,0.41696,1699,3770,0.40122,0.43270
2015,2nd Quintile,West,At least once per month,0.34787,1298,3770,0.33266,0.36308
2015,2nd Quintile,West,Seldom,0.19114,638,3770,0.17859,0.20369
2015,2nd Quintile,West,Never,0.04403,135,3770,0.03748,0.05058
2015,2nd Quintile,East,At least once per week,0.31095,444,1481,0.28737,0.33454
2015,2nd Quintile,East,At least once per month,0.35623,580,1481,0.33183,0.38063
2015,2nd Quintile,East,Seldom,0.27697,379,1481,0.25417,0.29977
2015,2nd Quintile,East,Never,0.05585,78,1481,0.04415,0.06755
2015,3rd Quintile,West,At least once per week,0.44280,1748,3796,0.42700,0.45861
2015,3rd Quintile,West,At least once per month,0.35970,1350,3796,0.34444,0.37497
2015,3rd Quintile,West,Seldom,0.17309,608,3796,0.16105,0.18513
2015,3rd Quintile,West,Never,0.02440,90,3796,0.01949,0.02931
2015,3rd Quintile,East,At least once per week,0.30691,313,1022,0.27862,0.33520
2015,3rd Quintile,East,At least once per month,0.39426,449,1022,0.36429,0.42424
2015,3rd Quintile,East,Seldom,0.27935,260,1022,0.25182,0.30687
2015,4th Quintile,West,At least once per week,0.45017,1808,3939,0.43464,0.46571
2015,4th Quintile,West,At least once per month,0.37822,1493,3939,0.36307,0.39336
2015,4th Quintile,West,Seldom,0.15302,582,3939,0.14178,0.16427
2015,4th Quintile,West,Never,0.01859,56,3939,0.01437,0.02280
2015,4th Quintile,East,At least once per week,0.31367,251,813,0.28175,0.34558
2015,4th Quintile,East,At least once per month,0.46710,373,813,0.43279,0.50142
2015,4th Quintile,East,Seldom,0.21207,189,813,0.18395,0.24018
2015,5th Quintile,West,At least once per week,0.46678,2073,4504,0.45221,0.48136
2015,5th Quintile,West,At least once per month,0.38420,1782,4504,0.36999,0.39841
2015,5th Quintile,West,Seldom,0.13636,597,4504,0.12633,0.14638
2015,5th Quintile,West,Never,0.01266,52,4504,0.00939,0.01592
2015,5th Quintile,East,At least once per week,0.30297,181,599,0.26614,0.33980
2015,5th Quintile,East,At least once per month,0.49642,293,599,0.45634,0.53649
2015,5th Quintile,East,Seldom,0.19342,125,599,0.16176,0.22508
2017,1st Quintile,West,At least once per week,0.49220,1701,3492,0.47561,0.50878
2017,1st Quintile,West,At least once per month,0.26692,976,3492,0.25224,0.28159
2017,1st Quintile,West,Seldom,0.18529,638,3492,0.17240,0.19818
2017,1st Quintile,West,Never,0.05559,177,3492,0.04799,0.06320
2017,1st Quintile,East,At least once per week,0.37286,465,1215,0.34566,0.40006
2017,1st Quintile,East,At least once per month,0.30297,372,1215,0.27712,0.32883
2017,1st Quintile,East,Seldom,0.25697,296,1215,0.23239,0.28155
2017,1st Quintile,East,Never,0.06720,82,1215,0.05311,0.08128
2017,2nd Quintile,West,At least once per week,0.41510,1525,3519,0.39882,0.43138
2017,2nd Quintile,West,At least once per month,0.33053,1193,3519,0.31499,0.34608
2017,2nd Quintile,West,Seldom,0.21389,685,3519,0.20034,0.22744
2017,2nd Quintile,West,Never,0.04048,116,3519,0.03397,0.04699
2017,2nd Quintile,East,At least once per week,0.29164,377,1267,0.26660,0.31667
2017,2nd Quintile,East,At least once per month,0.37444,477,1267,0.34778,0.40110
2017,2nd Quintile,East,Seldom,0.30847,375,1267,0.28303,0.33391
2017,2nd Quintile,East,Never,0.02545,38,1267,0.01678,0.03413
2017,3rd Quintile,West,At least once per week,0.43980,1516,3408,0.42313,0.45647
2017,3rd Quintile,West,At least once per month,0.37155,1292,3408,0.35532,0.38777
2017,3rd Quintile,West,Seldom,0.16311,535,3408,0.15070,0.17551
2017,3rd Quintile,West,Never,0.02554,65,3408,0.02025,0.03084
2017,3rd Quintile,East,At least once per week,0.31290,288,972,0.28373,0.34206
2017,3rd Quintile,East,At least once per month,0.38273,427,972,0.35216,0.41331
2017,3rd Quintile,East,Seldom,0.27708,257,972,0.24893,0.30523
2017,4th Quintile,West,At least once per week,0.46974,1738,3647,0.45354,0.48594
2017,4th Quintile,West,At least once per month,0.37909,1376,3647,0.36335,0.39484
2017,4th Quintile,West,Seldom,0.13864,485,3647,0.12742,0.14986
2017,4th Quintile,West,Never,0.01252,48,3647,0.00891,0.01613
2017,4th Quintile,East,At least once per week,0.34119,215,694,0.30589,0.37649
2017,4th Quintile,East,At least once per month,0.44365,324,694,0.40666,0.48064
2017,4th Quintile,East,Seldom,0.19183,155,694,0.16251,0.22114
2017,5th Quintile,West,At least once per week,0.47161,1840,3975,0.45609,0.48713
2017,5th Quintile,West,At least once per month,0.38284,1574,3975,0.36772,0.39795
2017,5th Quintile,West,Seldom,0.13106,520,3975,0.12057,0.14155
2017,5th Quintile,West,Never,0.01450,41,3975,0.01078,0.01821
2017,5th Quintile,East,At least once per week,0.32637,182,561,0.28754,0.36521
2017,5th Quintile,East,At least once per month,0.44967,247,561,0.40847,0.49087
2017,5th Quintile,East,Seldom,0.19996,132,561,0.16683,0.23309
