year,pgisced97,sampreg,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2001,Lower Secondary Level,West,At least once per month,0.0382144252577697,729,21482,0.0381682198244436,0.038260630691095796
2001,Lower Secondary Level,West,Seldom,0.026162654573801836,465,21482,0.026124184380537558,0.026201124767066115
2001,Lower Secondary Level,West,Never,0.007657247936339129,143,21482,0.007636238835885188,0.00767825703679307
2001,Lower Secondary Level,East,At least once per week,0.006853072301935518,211,21482,0.0068331889472117765,0.00687295565665926
2001,Lower Secondary Level,East,At least once per month,0.004901781964220639,123,21482,0.004884949402293543,0.004918614526147736
2001,Lower Secondary Level,East,Seldom,0.00422102259530102,97,21482,0.00420539721605284,0.0042366479745492
2001,Upper Secondary Level,West,At least once per week,0.19013262844671508,3862,21482,0.19003805362549278,0.19022720326793738
2001,Upper Secondary Level,West,At least once per month,0.14903067908803108,2960,21482,0.14894484989215367,0.1491165082839085
2001,Upper Secondary Level,West,Seldom,0.0780365546236556,1448,21482,0.07797190795553334,0.07810120129177785
2001,Upper Secondary Level,West,Never,0.014651541587873592,255,21482,0.014622583036444413,0.014680500139302772
2001,Upper Secondary Level,East,At least once per week,0.034384468561952757,930,21482,0.0343405524856126,0.03442838463829291
2001,Upper Secondary Level,East,At least once per month,0.04334670756423854,1234,21482,0.04329762857669002,0.043395786551787066
2001,Upper Secondary Level,East,Seldom,0.025803765413152494,720,21482,0.025765552951342658,0.02584197787496233
2001,Upper Secondary Level,East,Never,0.004091593934826939,104,21482,0.004076208980403981,0.0041069788892498975
2001,Post-secondary Non-tertiary Level,West,At least once per week,0.02710902108919479,519,21482,0.027069880328863725,0.027148161849525856
2001,Post-secondary Non-tertiary Level,West,At least once per month,0.014506697801668316,289,21482,0.014477880628756427,0.014535514974580204
2001,Post-secondary Non-tertiary Level,West,Seldom,0.005734812195509761,110,21482,0.0057166130511966924,0.005753011339822829
2001,Post-secondary Non-tertiary Level,East,At least once per week,0.001954638033439059,56,21482,0.0019439929623809723,0.001965283104497146
2001,Post-secondary Non-tertiary Level,East,At least once per month,0.0014222352631485709,45,21482,0.0014131525223866942,0.0014313180039104475
2001,First Stage of Tertiary Education,West,At least once per week,0.025960232538021433,529,21482,0.025921907474334767,0.0259985576017081
2001,First Stage of Tertiary Education,West,At least once per month,0.02155826593038812,470,21482,0.02152326217432577,0.02159326968645047
2001,First Stage of Tertiary Education,West,Seldom,0.011311134737785337,202,21482,0.011285647477080408,0.011336621998490266
2001,First Stage of Tertiary Education,East,At least once per week,0.00440289123091034,112,21482,0.004386934238310125,0.004418848223510555
2001,First Stage of Tertiary Education,East,At least once per month,0.007250671046666352,213,21482,0.007230223125879055,0.00727111896745365
2001,First Stage of Tertiary Education,East,Seldom,0.0042369983920234194,109,21482,0.004221343596683792,0.004252653187363047
2001,Second Stage of Tertiary Education,West,At least once per week,0.05804870334188398,1095,21482,0.05799234596932765,0.05810506071444031
2001,Second Stage of Tertiary Education,West,At least once per month,0.04211433019591242,850,21482,0.042065922764486646,0.04216273762733819
2001,Second Stage of Tertiary Education,West,Seldom,0.01869853662512486,342,21482,0.01866588947436062,0.018731183775889098
2001,Second Stage of Tertiary Education,East,At least once per week,0.011416856752983005,318,21482,0.011391252027244293,0.011442461478721718
2001,Second Stage of Tertiary Education,East,At least once per month,0.018997774505106996,568,21482,0.018964872178246897,0.019030676831967096
2001,Second Stage of Tertiary Education,East,Seldom,0.010958450457069939,318,21482,0.010933359218805592,0.010983541695334286
2005,Pre-primary Level,West,At least once per week,0.01795364956488954,425,20110,0.017921774391827204,0.017985524737951876
2005,Pre-primary Level,West,At least once per month,0.001920697854053659,53,20110,0.001910187381639991,0.0019312083264673271
2005,Pre-primary Level,East,At least once per week,0.003930849903659718,119,20110,0.003915828927334732,0.003945870879984705
2005,Primary Level,West,At least once per week,0.007265952277620879,124,20110,0.007245564357869481,0.007286340197372278
