,Unnamed: 0,year,quintil_oecd,pli0094_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
176,176,2001,5th Quintile,Seldom,0.1656,720,21807,0.15806,0.17316
177,177,2001,5th Quintile,Never,0.01707,78,21807,0.0151,0.01907
178,178,2005,1st Quintile,At least once per week,0.45446,1436,20604,0.43319,0.47324
179,179,2005,1st Quintile,At least once per month,0.27657,885,20604,0.26363,0.28863
180,180,2005,1st Quintile,Seldom,0.21816,674,20604,0.20642,0.22956
181,181,2005,1st Quintile,Never,0.05081,146,20604,0.04598,0.056
182,182,2005,2nd Quintile,At least once per week,0.40559,1496,20604,0.3889,0.4222
183,183,2005,2nd Quintile,At least once per month,0.33523,1243,20604,0.32234,0.34735
184,184,2005,2nd Quintile,Seldom,0.22151,802,20604,0.20827,0.23353
185,185,2005,2nd Quintile,Never,0.03767,127,20604,0.03267,0.04281
186,186,2005,3rd Quintile,At least once per week,0.41996,1566,20604,0.40321,0.43565
187,187,2005,3rd Quintile,At least once per month,0.34507,1317,20604,0.33034,0.35951
188,188,2005,3rd Quintile,Seldom,0.20491,738,20604,0.19401,0.2161
189,189,2005,3rd Quintile,Never,0.03005,102,20604,0.02673,0.03331
190,190,2005,4th Quintile,At least once per week,0.43135,1813,20604,0.41624,0.44738
191,191,2005,4th Quintile,At least once per month,0.3592,1519,20604,0.34402,0.37171
192,192,2005,4th Quintile,Seldom,0.1934,793,20604,0.18189,0.20404
193,193,2005,4th Quintile,Never,0.01605,62,20604,0.01324,0.01937
194,194,2005,5th Quintile,At least once per week,0.45349,2657,20604,0.43874,0.47017
195,195,2005,5th Quintile,At least once per month,0.38298,2289,20604,0.36719,0.39806
196,196,2005,5th Quintile,Seldom,0.15181,883,20604,0.14243,0.16084
197,197,2005,5th Quintile,Never,0.01172,56,20604,0.00949,0.01441
198,198,2007,1st Quintile,At least once per week,0.4423,1390,20404,0.42621,0.46001
199,199,2007,1st Quintile,At least once per month,0.28778,929,20404,0.27346,0.30124
200,200,2007,1st Quintile,Seldom,0.20629,650,20404,0.19517,0.22034
201,201,2007,1st Quintile,Never,0.06363,193,20404,0.05756,0.07007
202,202,2007,2nd Quintile,At least once per week,0.39156,1422,20404,0.37643,0.40515
203,203,2007,2nd Quintile,At least once per month,0.365,1271,20404,0.3497,0.37887
204,204,2007,2nd Quintile,Seldom,0.20717,714,20404,0.19517,0.21885
205,205,2007,2nd Quintile,Never,0.03626,127,20404,0.03281,0.03989
206,206,2007,3rd Quintile,At least once per week,0.42622,1592,20404,0.40899,0.44156
207,207,2007,3rd Quintile,At least once per month,0.35846,1422,20404,0.34481,0.37422
208,208,2007,3rd Quintile,Seldom,0.19203,731,20404,0.18192,0.2004
209,209,2007,3rd Quintile,Never,0.02329,79,20404,0.0201,0.02677
210,210,2007,4th Quintile,At least once per week,0.42847,1858,20404,0.41316,0.44698
211,211,2007,4th Quintile,At least once per month,0.39593,1719,20404,0.37966,0.41076
212,212,2007,4th Quintile,Seldom,0.15911,661,20404,0.15097,0.16815
213,213,2007,4th Quintile,Never,0.0165,67,20404,0.01337,0.01938
214,214,2007,5th Quintile,At least once per week,0.453,2505,20404,0.43526,0.47012
215,215,2007,5th Quintile,At least once per month,0.38001,2164,20404,0.36577,0.39611
216,216,2007,5th Quintile,Seldom,0.15046,825,20404,0.13983,0.16034
217,217,2007,5th Quintile,Never,0.01653,85,20404,0.01368,0.01977
218,218,2009,1st Quintile,At least once per week,0.44349,1190,17918,0.42504,0.46685
219,219,2009,1st Quintile,At least once per month,0.29014,905,17918,0.27599,0.30436
220,220,2009,1st Quintile,Seldom,0.21145,623,17918,0.19972,0.22443
221,221,2009,1st Quintile,Never,0.05493,141,17918,0.04801,0.06129
222,222,2009,2nd Quintile,At least once per week,0.39651,1239,17918,0.37749,0.41735
223,223,2009,2nd Quintile,At least once per month,0.35793,1130,17918,0.34138,0.37739
224,224,2009,2nd Quintile,Seldom,0.21744,690,17918,0.20285,0.23264
225,225,2009,2nd Quintile,Never,0.02812,86,17918,0.02396,0.03234
226,226,2009,3rd Quintile,At least once per week,0.38414,1274,17918,0.3661,0.40378
227,227,2009,3rd Quintile,At least once per month,0.39177,1367,17918,0.37516,0.4113
228,228,2009,3rd Quintile,Seldom,0.20731,720,17918,0.1917,0.22315
229,229,2009,3rd Quintile,Never,0.01678,54,17918,0.01358,0.02088
230,230,2009,4th Quintile,At least once per week,0.43154,1557,17918,0.40889,0.45396
231,231,2009,4th Quintile,At least once per month,0.38812,1487,17918,0.37128,0.4067
232,232,2009,4th Quintile,Seldom,0.1619,609,17918,0.15011,0.17682
233,233,2009,4th Quintile,Never,0.01843,62,17918,0.01495,0.02214
234,234,2009,5th Quintile,At least once per week,0.42534,1999,17918,0.40427,0.44732
235,235,2009,5th Quintile,At least once per month,0.39846,1971,17918,0.38088,0.41603
236,236,2009,5th Quintile,Seldom,0.16498,766,17918,0.15164,0.17803
237,237,2009,5th Quintile,Never,0.01121,48,17918,0.00858,0.01452
238,238,2011,1st Quintile,At least once per week,0.39386,1901,21801,0.37038,0.42123
239,239,2011,1st Quintile,At least once per month,0.28186,1355,21801,0.26431,0.29956
240,240,2011,1st Quintile,Seldom,0.26495,993,21801,0.24275,0.28386
241,241,2011,1st Quintile,Never,0.05933,261,21801,0.05076,0.06681
242,242,2011,2nd Quintile,At least once per week,0.37275,1790,21801,0.3539,0.39756
243,243,2011,2nd Quintile,At least once per month,0.35041,1614,21801,0.33242,0.37355
244,244,2011,2nd Quintile,Seldom,0.2381,900,21801,0.22169,0.25735
