"plh0038","year","bildungsniveau","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Keine Sorgen","2002","(noch) kein Abschluss","128","0.154584578675805","0.130913815940193","0.178255341411418"
"Keine Sorgen","2002","AkademikerIn","525","0.118638359698012","0.109237430403304","0.128039288992719"
"Keine Sorgen","2002","Hauptschule","1061","0.118777891043196","0.112038993872975","0.125516788213418"
"Keine Sorgen","2002","Realschule","682","0.114762700637126","0.106676816133648","0.122848585140604"
"Einige Sorgen","2003","(Fach-)Abitur","780","0.292768175248222","0.274563400874599","0.310972949621845"
"Einige Sorgen","2003","(noch) kein Abschluss","294","0.287158975078052","0.257401289655431","0.316916660500672"
"Einige Sorgen","2003","AkademikerIn","1543","0.326666046548489","0.312708128774681","0.340623964322297"
"Einige Sorgen","2003","Hauptschule","2573","0.295100198708441","0.285353738724372","0.30484665869251"
"Einige Sorgen","2003","Realschule","1845","0.308433727326091","0.296508702343244","0.320358752308939"
"Grosse Sorgen","2003","(Fach-)Abitur","1460","0.645418803881559","0.626279720804118","0.664557886959"
"Grosse Sorgen","2003","(noch) kein Abschluss","511","0.61123210599243","0.579170159630559","0.643294052354302"
"Grosse Sorgen","2003","AkademikerIn","2524","0.615653983387829","0.601176838561271","0.630131128214388"
"Grosse Sorgen","2003","Hauptschule","5337","0.64559357440793","0.635371739739064","0.655815409076795"
"Grosse Sorgen","2003","Realschule","3579","0.631480386894995","0.619024584765131","0.643936189024858"
"Keine Sorgen","2003","(Fach-)Abitur","160","0.0618130208702193","0.0521785658161631","0.0714474759242755"
"Keine Sorgen","2003","(noch) kein Abschluss","83","0.101608918929518","0.0817369802045498","0.121480857654486"
"Keine Sorgen","2003","AkademikerIn","270","0.057679970063682","0.050741477864031","0.064618462263333"
"Keine Sorgen","2003","Hauptschule","502","0.0593062268836292","0.05425876856837","0.0643536851988883"
"Keine Sorgen","2003","Realschule","338","0.0600858857789139","0.0539497948933576","0.0662219766644702"
"Einige Sorgen","2004","(Fach-)Abitur","1123","0.463932801454336","0.443905871944887","0.483959730963786"
"Einige Sorgen","2004","(noch) kein Abschluss","396","0.440458887772119","0.407952944285534","0.472964831258705"
"Einige Sorgen","2004","AkademikerIn","2116","0.486316694789085","0.47134109370937","0.5012922958688"
"Einige Sorgen","2004","Hauptschule","3491","0.429082238690599","0.418233083964202","0.439931393416996"
"Einige Sorgen","2004","Realschule","2691","0.467514358144743","0.454431272545041","0.480597443744445"
"Grosse Sorgen","2004","(Fach-)Abitur","936","0.416111282514109","0.396316670219155","0.435905894809062"
"Grosse Sorgen","2004","(noch) kein Abschluss","331","0.362184793955686","0.330714077716195","0.393655510195177"
"Grosse Sorgen","2004","AkademikerIn","1549","0.367747753238995","0.353300105223854","0.382195401254136"
"Grosse Sorgen","2004","Hauptschule","3459","0.438058298884188","0.427182768550261","0.448933829218116"
"Grosse Sorgen","2004","Realschule","2158","0.40433579320905","0.391467213953485","0.417204372464614"
"Keine Sorgen","2004","(Fach-)Abitur","323","0.119955916031555","0.106908026771783","0.133003805291328"
"Keine Sorgen","2004","(noch) kein Abschluss","169","0.197356318272195","0.17129592296372","0.223416713580669"
"Keine Sorgen","2004","AkademikerIn","614","0.14593555197192","0.135357570005324","0.156513533938516"
"Keine Sorgen","2004","Hauptschule","1045","0.132859462425213","0.125419344021084","0.140299580829341"
"Keine Sorgen","2004","Realschule","738","0.128149848646207","0.119385114898416","0.136914582393999"
"Einige Sorgen","2005","(Fach-)Abitur","1117","0.478064327256039","0.457583068319007","0.498545586193072"
"Einige Sorgen","2005","(noch) kein Abschluss","407","0.462425793564027","0.429852095022941","0.494999492105112"
"Einige Sorgen","2005","AkademikerIn","2066","0.484796787851981","0.46959887349785","0.499994702206112"
"Einige Sorgen","2005","Hauptschule","3365","0.4446707895523","0.433435658092454","0.455905921012145"
"Einige Sorgen","2005","Realschule","2558","0.459472381421856","0.446135866451444","0.472808896392269"
"Grosse Sorgen","2005","(Fach-)Abitur","843","0.386060726112987","0.366099118769251","0.406022333456722"
"Grosse Sorgen","2005","(noch) kein Abschluss","348","0.393035723811885","0.361125899379324","0.424945548244445"
"Grosse Sorgen","2005","AkademikerIn","1468","0.362833842923889","0.348212236508669","0.377455449339109"
"Grosse Sorgen","2005","Hauptschule","3148","0.418396229329539","0.407243245147121","0.429549213511957"
"Grosse Sorgen","2005","Realschule","2072","0.407029895908968","0.393882696204819","0.420177095613117"
"Keine Sorgen","2005","(Fach-)Abitur","325","0.135874946630974","0.121825378314265","0.149924514947683"
"Keine Sorgen","2005","(noch) kein Abschluss","145","0.144538482624089","0.121565424005223","0.167511541242954"
"Keine Sorgen","2005","AkademikerIn","620","0.15236936922413","0.141440707058634","0.163298031389627"
"Keine Sorgen","2005","Hauptschule","1002","0.136932981118161","0.129160496154408","0.144705466081914"
"Keine Sorgen","2005","Realschule","734","0.133497722669175","0.124395960371758","0.142599484966592"
"Einige Sorgen","2006","(Fach-)Abitur","1148","0.47808027929777","0.458272370588428","0.497888188007112"
"Einige Sorgen","2006","(noch) kein Abschluss","280","0.424712587699804","0.386624782010854","0.462800393388753"
"Einige Sorgen","2006","AkademikerIn","2259","0.49729114748677","0.482788617635099","0.511793677338441"
"Einige Sorgen","2006","Hauptschule","3452","0.432713922987206","0.421871275712249","0.443556570262163"
"Einige Sorgen","2006","Realschule","2693","0.468852925068524","0.455928530401122","0.481777319735926"
"Grosse Sorgen","2006","(Fach-)Abitur","1004","0.420957420022579","0.401379764057511","0.440535075987648"
"Grosse Sorgen","2006","(noch) kein Abschluss","260","0.410764401335655","0.372855880537895","0.448672922133415"
"Grosse Sorgen","2006","AkademikerIn","1816","0.389556770092478","0.375412251971222","0.403701288213734"
"Grosse Sorgen","2006","Hauptschule","3674","0.45160999735581","0.440719182603242","0.462500812108377"
"Grosse Sorgen","2006","Realschule","2412","0.421289300513917","0.408501216813425","0.434077384214409"
"Keine Sorgen","2006","(Fach-)Abitur","291","0.100962300679651","0.0890154089331083","0.112909192426193"
"Keine Sorgen","2006","(noch) kein Abschluss","107","0.164523010964541","0.135955229060322","0.193090792868761"
"Keine Sorgen","2006","AkademikerIn","491","0.113152082420752","0.103963765036685","0.12234039980482"
"Keine Sorgen","2006","Hauptschule","895","0.115676079656985","0.108676671811864","0.122675487502105"
"Keine Sorgen","2006","Realschule","622","0.109857774417559","0.10175880797937","0.117956740855748"
"Einige Sorgen","2007","(Fach-)Abitur","1182","0.498066867763448","0.477855833661639","0.518277901865257"
"Einige Sorgen","2007","(noch) kein Abschluss","277","0.491436896185679","0.449618418134132","0.533255374237227"
"Einige Sorgen","2007","AkademikerIn","2281","0.495792011949622","0.480969824157854","0.51061419974139"
"Einige Sorgen","2007","Hauptschule","3458","0.478745692976817","0.467263408911199","0.490227977042435"
"Einige Sorgen","2007","Realschule","2687","0.491210070177103","0.477849020572638","0.504571119781568"
"Grosse Sorgen","2007","(Fach-)Abitur","825","0.365136904820322","0.345674805595003","0.38459900404564"
"Grosse Sorgen","2007","(noch) kein Abschluss","170","0.334080918760858","0.294626242505306","0.37353559501641"
"Grosse Sorgen","2007","AkademikerIn","1503","0.360438935911622","0.346205342842145","0.3746725289811"
"Grosse Sorgen","2007","Hauptschule","2802","0.382347793568241","0.371177815730031","0.39351777140645"
"Grosse Sorgen","2007","Realschule","1920","0.364971645141029","0.352105044734434","0.377838245547624"
"Keine Sorgen","2007","(Fach-)Abitur","344","0.13679622741623","0.12290580344915","0.150686651383311"
"Keine Sorgen","2007","(noch) kein Abschluss","102","0.174482185053463","0.142735331442245","0.206229038664681"
"Keine Sorgen","2007","AkademikerIn","587","0.143769052138756","0.133367794522343","0.154170309755168"
"Keine Sorgen","2007","Hauptschule","1011","0.138906513454942","0.130957056242362","0.146855970667522"
"Keine Sorgen","2007","Realschule","771","0.143818284681868","0.134439906993411","0.153196662370325"
"Einige Sorgen","2008","(Fach-)Abitur","1191","0.5531698523459","0.532247100688684","0.574092604003117"
"Einige Sorgen","2008","(noch) kein Abschluss","266","0.462051348373456","0.420078931237874","0.504023765509037"
"Einige Sorgen","2008","AkademikerIn","2299","0.535624725649686","0.5205092809399","0.550740170359473"
"Einige Sorgen","2008","Hauptschule","3298","0.484681656652245","0.472784823609028","0.496578489695462"
"Einige Sorgen","2008","Realschule","2708","0.516342011790615","0.502625505757664","0.530058517823566"
"Grosse Sorgen","2008","(Fach-)Abitur","608","0.298678489428026","0.279417487802334","0.317939491053717"
"Grosse Sorgen","2008","(noch) kein Abschluss","153","0.325012364161637","0.285580591801113","0.36444413652216"
"Grosse Sorgen","2008","AkademikerIn","1191","0.285610714488304","0.271920483028618","0.299300945947991"
"Grosse Sorgen","2008","Hauptschule","2480","0.366061265679003","0.354593843362843","0.377528687995163"
"Grosse Sorgen","2008","Realschule","1565","0.319020124329982","0.306226848490807","0.331813400169157"
"Keine Sorgen","2008","(Fach-)Abitur","370","0.148151658226074","0.133201261594376","0.163102054857772"
"Keine Sorgen","2008","(noch) kein Abschluss","123","0.212936287464908","0.178471291531916","0.247401283397899"
"Keine Sorgen","2008","AkademikerIn","692","0.178764559862009","0.167151928755111","0.190377190968907"
"Keine Sorgen","2008","Hauptschule","1001","0.149257077668752","0.140774420530567","0.157739734806937"
"Keine Sorgen","2008","Realschule","826","0.164637863879403","0.154458800006103","0.174816927752702"
"Einige Sorgen","2009","(Fach-)Abitur","1109","0.54324845446652","0.52141751850504","0.565079390428"
"Einige Sorgen","2009","(noch) kein Abschluss","234","0.456898152818306","0.412194887957017","0.501601417679595"
"Einige Sorgen","2009","AkademikerIn","2263","0.548114408065449","0.532739412293235","0.563489403837663"
"Einige Sorgen","2009","Hauptschule","3117","0.497757697776493","0.485302996196615","0.510212399356372"
"Einige Sorgen","2009","Realschule","2618","0.537426203856022","0.523310767470034","0.55154164024201"
"Grosse Sorgen","2009","(Fach-)Abitur","545","0.286655034748957","0.266836904407494","0.306473165090419"
"Grosse Sorgen","2009","(noch) kein Abschluss","136","0.302711275951682","0.261481637925773","0.343940913977591"
"Grosse Sorgen","2009","AkademikerIn","1058","0.271865043270088","0.258119947381557","0.28561013915862"
"Grosse Sorgen","2009","Hauptschule","2179","0.354227343908366","0.342313591886962","0.366141095929769"
"Grosse Sorgen","2009","Realschule","1412","0.305065837252669","0.292030778424781","0.318100896080557"
"Keine Sorgen","2009","(Fach-)Abitur","346","0.170096510784523","0.153630265103217","0.18656275646583"
"Keine Sorgen","2009","(noch) kein Abschluss","107","0.240390571230012","0.202042564964919","0.278738577495105"
"Keine Sorgen","2009","AkademikerIn","704","0.180020548664462","0.168151178512677","0.191889918816247"
"Keine Sorgen","2009","Hauptschule","895","0.148014958315141","0.139169171317235","0.156860745313047"
"Keine Sorgen","2009","Realschule","763","0.157507958891309","0.147195112910126","0.167820804872492"
"Einige Sorgen","2010","(Fach-)Abitur","1679","0.563270527232135","0.545668489977139","0.580872564487131"
"Einige Sorgen","2010","(noch) kein Abschluss","382","0.504676065985015","0.469223112323918","0.540129019646112"
"Einige Sorgen","2010","AkademikerIn","2969","0.532528656939642","0.519167740250887","0.545889573628397"
"Einige Sorgen","2010","Hauptschule","3657","0.478531466613049","0.467193496092013","0.489869437134085"
"Einige Sorgen","2010","Realschule","3598","0.525294639850977","0.513406583331484","0.53718269637047"
"Grosse Sorgen","2010","(Fach-)Abitur","866","0.267607249227479","0.251895695792531","0.283318802662427"
"Grosse Sorgen","2010","(noch) kein Abschluss","248","0.33034381020358","0.296992688722217","0.363694931684943"
"Grosse Sorgen","2010","AkademikerIn","1427","0.271816453436231","0.259902783347159","0.283730123525303"
"Grosse Sorgen","2010","Hauptschule","2679","0.37255405494405","0.361580462532491","0.383527647355608"
"Grosse Sorgen","2010","Realschule","2095","0.307627589576117","0.296640571805047","0.318614607347186"
"Keine Sorgen","2010","(Fach-)Abitur","505","0.169122223540386","0.155818687735428","0.182425759345344"
"Keine Sorgen","2010","(noch) kein Abschluss","134","0.164980123811405","0.138661351257058","0.191298896365751"
"Keine Sorgen","2010","AkademikerIn","961","0.195654889624127","0.185031726904668","0.206278052343586"
"Keine Sorgen","2010","Hauptschule","1121","0.148914478442902","0.140834297558205","0.156994659327598"
"Keine Sorgen","2010","Realschule","1085","0.167077770572906","0.158196831901313","0.175958709244499"
"Einige Sorgen","2011","(Fach-)Abitur","1223","0.491923511051967","0.471972138492001","0.511874883611932"
"Einige Sorgen","2011","(noch) kein Abschluss","273","0.503675877949448","0.461621961861385","0.545729794037511"
"Einige Sorgen","2011","AkademikerIn","2431","0.537421896990254","0.522951905720975","0.551891888259534"
"Einige Sorgen","2011","Hauptschule","3430","0.48723791913787","0.47553873361827","0.498937104657469"
"Einige Sorgen","2011","Realschule","2800","0.504612132966215","0.491358800847651","0.517865465084778"
"Grosse Sorgen","2011","(Fach-)Abitur","760","0.337036289994476","0.3181719050434","0.355900674945553"
"Grosse Sorgen","2011","(noch) kein Abschluss","169","0.318268029333104","0.279089194651758","0.35744686401445"
"Grosse Sorgen","2011","AkademikerIn","1359","0.287104730727083","0.27397514281114","0.300234318643027"
"Grosse Sorgen","2011","Hauptschule","2623","0.379664504451663","0.368305495248578","0.391023513654749"
"Grosse Sorgen","2011","Realschule","1810","0.334691421902421","0.322182859301752","0.34719998450309"
"Keine Sorgen","2011","(Fach-)Abitur","429","0.171040198953557","0.156013095678031","0.186067302229083"
"Keine Sorgen","2011","(noch) kein Abschluss","101","0.178056092717448","0.14587893449942","0.210233250935476"
"Keine Sorgen","2011","AkademikerIn","771","0.175473372282662","0.164434466950096","0.186512277615228"
"Keine Sorgen","2011","Hauptschule","959","0.133097576410467","0.125147023729834","0.1410481290911"
"Keine Sorgen","2011","Realschule","857","0.160696445131364","0.150961439207224","0.170431451055504"
"Einige Sorgen","2012","(Fach-)Abitur","1260","0.506586934698832","0.486659460397209","0.526514409000454"
"Einige Sorgen","2012","(noch) kein Abschluss","248","0.474827707046555","0.432670421676591","0.51698499241652"
"Einige Sorgen","2012","AkademikerIn","2441","0.520750103446075","0.506360352019205","0.535139854872946"
"Einige Sorgen","2012","Hauptschule","3293","0.491571482048675","0.479773851628077","0.503369112469273"
"Einige Sorgen","2012","Realschule","2826","0.526092339991723","0.512813930311974","0.539370749671472"
"Grosse Sorgen","2012","(Fach-)Abitur","714","0.304855915714424","0.286507242255934","0.323204589172914"
"Grosse Sorgen","2012","(noch) kein Abschluss","171","0.313543926553811","0.274377921040081","0.352709932067542"
"Grosse Sorgen","2012","AkademikerIn","1331","0.279587373110003","0.266660096834174","0.292514649385832"
"Grosse Sorgen","2012","Hauptschule","2566","0.358125967564103","0.346811625475428","0.369440309652778"
"Grosse Sorgen","2012","Realschule","1692","0.303307425202428","0.29108294722448","0.315531903180376"
"Keine Sorgen","2012","(Fach-)Abitur","444","0.188557149586744","0.172966277302009","0.20414802187148"
"Keine Sorgen","2012","(noch) kein Abschluss","120","0.211628366399633","0.177145278994412","0.246111453804855"
"Keine Sorgen","2012","AkademikerIn","858","0.199662523443922","0.1881480932784","0.211176953609443"
"Keine Sorgen","2012","Hauptschule","1039","0.150302550387222","0.141869167306354","0.15873593346809"
"Keine Sorgen","2012","Realschule","914","0.170600234805849","0.16059701120353","0.180603458408168"
"Einige Sorgen","2013","(Fach-)Abitur","1179","0.533022028379385","0.512193284871741","0.553850771887029"
"Einige Sorgen","2013","(noch) kein Abschluss","235","0.474964848137952","0.430337561962364","0.51959213431354"
"Einige Sorgen","2013","AkademikerIn","2414","0.534186570495939","0.519523806406008","0.548849334585871"
"Einige Sorgen","2013","Hauptschule","3125","0.512944011930821","0.500470167189902","0.52541785667174"
"Einige Sorgen","2013","Realschule","2622","0.516041494604322","0.502224091313799","0.529858897894846"
"Grosse Sorgen","2013","(Fach-)Abitur","601","0.271889885849958","0.253314520944656","0.29046525075526"
"Grosse Sorgen","2013","(noch) kein Abschluss","148","0.283773568029867","0.243484548789706","0.324062587270028"
"Grosse Sorgen","2013","AkademikerIn","1192","0.269576418720253","0.256532991945482","0.282619845495024"
"Grosse Sorgen","2013","Hauptschule","2141","0.33819597146006","0.326389372088475","0.350002570831646"
"Grosse Sorgen","2013","Realschule","1472","0.289491172546605","0.276951607874142","0.302030737219068"
"Keine Sorgen","2013","(Fach-)Abitur","424","0.195088085770657","0.17854441618962","0.211631755351694"
"Keine Sorgen","2013","(noch) kein Abschluss","98","0.241261583832181","0.203026180397402","0.279496987266961"
"Keine Sorgen","2013","AkademikerIn","840","0.196237010783808","0.18456306091675","0.207910960650866"
"Keine Sorgen","2013","Hauptschule","902","0.148860016609118","0.139976898503368","0.157743134714869"
"Keine Sorgen","2013","Realschule","931","0.194467332849073","0.183524117000406","0.20541054869774"
"Einige Sorgen","2014","(Fach-)Abitur","1877","0.484504081592975","0.468873361865245","0.500134801320705"
"Einige Sorgen","2014","(noch) kein Abschluss","438","0.435014221112402","0.404148121787359","0.465880320437444"
"Einige Sorgen","2014","AkademikerIn","3093","0.510752533788371","0.49831364016085","0.523191427415893"
"Einige Sorgen","2014","Hauptschule","3581","0.45347214039357","0.442668644332722","0.464275636454418"
"Einige Sorgen","2014","Realschule","3381","0.499842971245053","0.488008441672965","0.51167750081714"
"Grosse Sorgen","2014","(Fach-)Abitur","1533","0.365212546692597","0.350153251304725","0.380271842080468"
"Grosse Sorgen","2014","(noch) kein Abschluss","364","0.385967207625078","0.355657464876731","0.416276950373425"
"Grosse Sorgen","2014","AkademikerIn","2312","0.343764864557714","0.331946083723605","0.355583645391824"
"Grosse Sorgen","2014","Hauptschule","3533","0.421507739376829","0.410791697230779","0.432223781522879"
"Grosse Sorgen","2014","Realschule","2506","0.34764673051134","0.336374976234189","0.358918484788491"
"Keine Sorgen","2014","(Fach-)Abitur","517","0.150283371714428","0.139106759983385","0.161459983445471"
"Keine Sorgen","2014","(noch) kein Abschluss","189","0.17901857126252","0.155149969763936","0.202887172761104"
"Keine Sorgen","2014","AkademikerIn","799","0.145482601653914","0.136708994578653","0.154256208729175"
"Keine Sorgen","2014","Hauptschule","1043","0.125020120229601","0.117842642572828","0.132197597886374"
"Keine Sorgen","2014","Realschule","970","0.152510298243607","0.144000920240954","0.161019676246261"
"Einige Sorgen","2015","(Fach-)Abitur","1598","0.444108916475213","0.427961016862533","0.460256816087894"
"Einige Sorgen","2015","(noch) kein Abschluss","319","0.360323079430014","0.327199466213404","0.393446692646625"
"Einige Sorgen","2015","AkademikerIn","2709","0.467210381590437","0.454421997744459","0.479998765436416"
"Einige Sorgen","2015","Hauptschule","2943","0.4032356294817","0.391992655729982","0.414478603233418"
"Einige Sorgen","2015","Realschule","2906","0.461080508188602","0.448921923470718","0.473239092906486"
"Grosse Sorgen","2015","(Fach-)Abitur","1728","0.473374294746166","0.457147609843464","0.489600979648869"
"Grosse Sorgen","2015","(noch) kein Abschluss","392","0.498709461922403","0.464212576886798","0.533206346958009"
"Grosse Sorgen","2015","AkademikerIn","2734","0.45456238345232","0.441799440326537","0.467325326578103"
"Grosse Sorgen","2015","Hauptschule","3682","0.516478967268806","0.505025570400587","0.527932364137025"
"Grosse Sorgen","2015","Realschule","2975","0.456604569702256","0.444455002276315","0.468754137128197"
"Keine Sorgen","2015","(Fach-)Abitur","311","0.0825167887786206","0.0735745417550677","0.0914590358021736"
"Keine Sorgen","2015","(noch) kein Abschluss","96","0.140967458647582","0.116958375991548","0.164976541303616"
"Keine Sorgen","2015","AkademikerIn","404","0.078227234957243","0.0713443189460553","0.0851101509684308"
"Keine Sorgen","2015","Hauptschule","688","0.0802854032494937","0.0740574529170696","0.0865133535819177"
"Keine Sorgen","2015","Realschule","576","0.0823149221091424","0.0756111565409202","0.0890186876773646"
"Einige Sorgen","2016","(Fach-)Abitur","1446","0.392811769952945","0.376994087983039","0.408629451922852"
"Einige Sorgen","2016","(noch) kein Abschluss","315","0.406223906976224","0.372339068719788","0.44010874523266"
"Einige Sorgen","2016","AkademikerIn","2348","0.409222269695742","0.396638644605226","0.421805894786257"
"Einige Sorgen","2016","Hauptschule","2423","0.342594825725013","0.331422152410608","0.353767499039419"
"Einige Sorgen","2016","Realschule","2265","0.381853007813885","0.369558740601388","0.394147275026383"
"Grosse Sorgen","2016","(Fach-)Abitur","1991","0.548319648380748","0.532201267101136","0.56443802966036"
"Grosse Sorgen","2016","(noch) kein Abschluss","411","0.4672469635985","0.432824057323733","0.501669869873267"
"Grosse Sorgen","2016","AkademikerIn","3221","0.538521140462135","0.525762882865484","0.551279398058786"
"Grosse Sorgen","2016","Hauptschule","4031","0.592375963619987","0.580807418407069","0.603944508832905"
"Grosse Sorgen","2016","Realschule","3352","0.55064731747397","0.538059828784776","0.563234806163164"
"Keine Sorgen","2016","(Fach-)Abitur","225","0.0588685816663069","0.0512450564138267","0.0664921069187871"
"Keine Sorgen","2016","(noch) kein Abschluss","81","0.126529129425276","0.103592436688901","0.149465822161651"
"Keine Sorgen","2016","AkademikerIn","296","0.0522565898421234","0.046561114157939","0.0579520655263078"
"Keine Sorgen","2016","Hauptschule","477","0.0650292106549996","0.0592241948811707","0.0708342264288284"
"Keine Sorgen","2016","Realschule","382","0.0674996747121446","0.0611509865458187","0.0738483628784705"
"Einige Sorgen","2017","(Fach-)Abitur","1520","0.363174389256728","0.348500293558896","0.377848484954559"
"Einige Sorgen","2017","(noch) kein Abschluss","347","0.3524793349678","0.321725316508842","0.383233353426757"
"Einige Sorgen","2017","AkademikerIn","2545","0.390346153058047","0.37848779337348","0.402204512742614"
"Einige Sorgen","2017","Hauptschule","2468","0.34202770863577","0.33100637737153","0.353049039900011"
"Einige Sorgen","2017","Realschule","2401","0.358464594737392","0.347160992890912","0.369768196583871"
"Grosse Sorgen","2017","(Fach-)Abitur","2336","0.564120258148457","0.54898977940692","0.579250736889994"
"Grosse Sorgen","2017","(noch) kein Abschluss","484","0.516867809843571","0.484699299210923","0.549036320476219"
"Grosse Sorgen","2017","AkademikerIn","3628","0.556160688710874","0.544083355880647","0.5682380215411"
"Grosse Sorgen","2017","Hauptschule","4134","0.596754191364349","0.585357408392681","0.608150974336018"
"Grosse Sorgen","2017","Realschule","4080","0.576820998145271","0.565175287661269","0.588466708629272"
"Keine Sorgen","2017","(Fach-)Abitur","270","0.072705352594815","0.0647826099643332","0.0806280952252968"
"Keine Sorgen","2017","(noch) kein Abschluss","96","0.130652855188629","0.108957623498365","0.152348086878893"
"Keine Sorgen","2017","AkademikerIn","328","0.0534931582310792","0.0480233889674548","0.0589629274947037"
"Keine Sorgen","2017","Hauptschule","515","0.0612180999998803","0.0556485271975289","0.0667876728022316"
"Keine Sorgen","2017","Realschule","433","0.0647144071173379","0.0589153683236332","0.0705134459110426"
"Einige Sorgen","2018","(Fach-)Abitur","1876","0.476725975979486","0.461280682259825","0.492171269699147"
"Einige Sorgen","2018","(noch) kein Abschluss","355","0.356536286696631","0.325050749356668","0.388021824036594"
"Einige Sorgen","2018","AkademikerIn","3030","0.467525500261302","0.455255490585285","0.479795509937318"
"Einige Sorgen","2018","Hauptschule","2824","0.420391653048205","0.408636728315774","0.432146577780636"
"Einige Sorgen","2018","Realschule","2972","0.456026717783015","0.444051469482157","0.468001966083874"
"Grosse Sorgen","2018","(Fach-)Abitur","1776","0.438986455873048","0.423639953573048","0.454332958173047"
"Grosse Sorgen","2018","(noch) kein Abschluss","399","0.473618274454268","0.440796516544547","0.506440032363988"
"Grosse Sorgen","2018","AkademikerIn","2877","0.455527935866652","0.443280697935001","0.467775173798303"
"Grosse Sorgen","2018","Hauptschule","3253","0.489339161967411","0.477435056701513","0.501243267233309"
"Grosse Sorgen","2018","Realschule","3087","0.458570682069799","0.446590190843062","0.470551173296537"
"Keine Sorgen","2018","(Fach-)Abitur","365","0.0842875681474666","0.0756962759070084","0.0928788603879248"
"Keine Sorgen","2018","(noch) kein Abschluss","135","0.169845438849102","0.145162115413379","0.194528762284824"
"Keine Sorgen","2018","AkademikerIn","445","0.0769465638720463","0.070392647683272","0.0835004800608206"
"Keine Sorgen","2018","Hauptschule","697","0.0902691849843839","0.0834449855820629","0.0970933843867048"
"Keine Sorgen","2018","Realschule","586","0.0854026001471853","0.0786828809339453","0.0921223193604253"
"Einige Sorgen","2019","(Fach-)Abitur","1811","0.441700759105392","0.426588607260968","0.456812910949815"
"Einige Sorgen","2019","(noch) kein Abschluss","324","0.387013563762637","0.3525886035807","0.421438523944574"
"Einige Sorgen","2019","AkademikerIn","3109","0.451311941260513","0.439676997700822","0.462946884820204"
"Einige Sorgen","2019","Hauptschule","2457","0.393441695946183","0.381272996710111","0.405610395182255"
"Einige Sorgen","2019","Realschule","2871","0.435869009068948","0.424024644712872","0.447713373425025"
"Grosse Sorgen","2019","(Fach-)Abitur","2053","0.491693713685634","0.47647987575674","0.506907551614528"
"Grosse Sorgen","2019","(noch) kein Abschluss","360","0.513725594678253","0.478399857896985","0.549051331459522"
"Grosse Sorgen","2019","AkademikerIn","3451","0.474968693253798","0.46329285132162","0.486644535185976"
"Grosse Sorgen","2019","Hauptschule","3217","0.530681230855733","0.518249874547744","0.543112587163721"
"Grosse Sorgen","2019","Realschule","3393","0.488566496629919","0.476626609753176","0.500506383506661"
"Keine Sorgen","2019","(Fach-)Abitur","284","0.0666055272089742","0.0590177169091716","0.0741933375087768"
"Keine Sorgen","2019","(noch) kein Abschluss","85","0.0992608415591099","0.0781272446652053","0.120394438453015"
"Keine Sorgen","2019","AkademikerIn","467","0.0737193654856895","0.0676095907158086","0.0798291402555704"
"Keine Sorgen","2019","Hauptschule","517","0.0758770731980843","0.0692809638483918","0.0824731825477769"
"Keine Sorgen","2019","Realschule","469","0.0755644943011331","0.0692514188090678","0.0818775697931984"
"Einige Sorgen","2020","(Fach-)Abitur","2247","0.521703257736459","0.507010034000584","0.536396481472335"
"Einige Sorgen","2020","(noch) kein Abschluss","400","0.451430272456991","0.418791514778372","0.484069030135609"
"Einige Sorgen","2020","AkademikerIn","3740","0.514027887810911","0.502485639894382","0.52557013572744"
"Einige Sorgen","2020","Hauptschule","2743","0.469877199522133","0.45714748783056","0.482606911213706"
"Einige Sorgen","2020","Realschule","3018","0.485379082859446","0.472943634633615","0.497814531085278"
"Grosse Sorgen","2020","(Fach-)Abitur","1583","0.361169986185611","0.347041192340567","0.375298780030655"
"Grosse Sorgen","2020","(noch) kein Abschluss","302","0.354365286912525","0.322993346309471","0.385737227515579"
"Grosse Sorgen","2020","AkademikerIn","2670","0.381438700639468","0.370221225050618","0.392656176228319"
"Grosse Sorgen","2020","Hauptschule","2420","0.427910041419988","0.415290413755157","0.440529669084819"
"Grosse Sorgen","2020","Realschule","2480","0.403523646806399","0.391316664683261","0.415730628929538"
"Keine Sorgen","2020","(Fach-)Abitur","610","0.11712675607793","0.107668004022914","0.126585508132946"
"Keine Sorgen","2020","(noch) kein Abschluss","191","0.194204440630484","0.168258801429401","0.220150079831568"
"Keine Sorgen","2020","AkademikerIn","793","0.104533411549621","0.0974678995415608","0.111598923557681"
"Keine Sorgen","2020","Hauptschule","742","0.102212759057879","0.0944863551037514","0.109939163012007"
"Keine Sorgen","2020","Realschule","707","0.111097270334154","0.103278183930884","0.118916356737425"
