"plh0038","year","bula_h","sampreg","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Grosse Sorgen","1985","Bremen","Westdeutschland","80","0.678004158840512","0.592233849682394","0.76377446799863"
"Grosse Sorgen","1985","Bremen","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Nordrhein-Westfalen","Westdeutschland","1412","0.494857469314602","0.476707502127656","0.513007436501548"
"Grosse Sorgen","1985","Nordrhein-Westfalen","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Hessen","Westdeutschland","590","0.53026131115242","0.501110406828855","0.559412215475984"
"Grosse Sorgen","1985","Hessen","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Rheinland-Pfalz,Saarland","Westdeutschland","365","0.482317517632125","0.44679207094168","0.517842964322569"
"Grosse Sorgen","1985","Rheinland-Pfalz,Saarland","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Baden-Wuerttemberg","Westdeutschland","897","0.450552530367233","0.428881908077276","0.472223152657191"
"Grosse Sorgen","1985","Baden-Wuerttemberg","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Bayern","Westdeutschland","941","0.501121101863911","0.478453146282247","0.523789057445575"
"Grosse Sorgen","1985","Bayern","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Saarland","Westdeutschland","","","",""
"Grosse Sorgen","1985","Saarland","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Berlin","Westdeutschland","189","0.510218536634227","0.458934648116675","0.561502425151779"
"Grosse Sorgen","1985","Berlin","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Brandenburg","Westdeutschland","","","",""
"Grosse Sorgen","1985","Brandenburg","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Mecklenburg-Vorpommern","Westdeutschland","","","",""
"Grosse Sorgen","1985","Mecklenburg-Vorpommern","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Sachsen","Westdeutschland","","","",""
"Grosse Sorgen","1985","Sachsen","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Sachsen-Anhalt","Westdeutschland","","","",""
"Grosse Sorgen","1985","Sachsen-Anhalt","Ostdeutschland","","","",""
"Grosse Sorgen","1985","Thueringen","Westdeutschland","","","",""
"Grosse Sorgen","1985","Thueringen","Ostdeutschland","","","",""
"Einige Sorgen","1985","Schleswig-Holstein","Westdeutschland","150","0.444465201418457","0.392107019477091","0.496823383359824"
"Einige Sorgen","1985","Schleswig-Holstein","Ostdeutschland","","","",""
"Einige Sorgen","1985","Hamburg","Westdeutschland","98","0.378612627300986","0.321389405106952","0.435835849495021"
"Einige Sorgen","1985","Hamburg","Ostdeutschland","","","",""
