year,quintil_oecd,regtyp,pli0079,proportion,n,proportion_lower_confidence,proportion_upper_confidence
1998,5th Quintile,Urban regions,Seldom,0.23826934795856186,18147,0.23207082154922762,0.2444678743678961
1998,5th Quintile,Urban regions,Daily,0.03290676416819013,18147,0.030311208104766073,0.03550232023161418
1998,5th Quintile,Urban regions,Never,0.024984765386959172,18147,0.022713870720105778,0.027255660053812567
1998,5th Quintile,Rural regions,At least once per month,0.3548895899053628,18147,0.34792785780399604,0.36185132200672954
1998,5th Quintile,Rural regions,Seldom,0.3422712933753943,18147,0.335367905296132,0.34917468145465663
1998,5th Quintile,Rural regions,At least once per week,0.2476340694006309,18147,0.2413538703400772,0.2539142684611846
1998,5th Quintile,Rural regions,Never,0.03943217665615142,18147,0.03660050401683342,0.04226384929546941
1998,5th Quintile,Rural regions,Daily,0.015772870662460567,18147,0.013960042294112168,0.017585699030808966
2003,1st Quintile,Urban regions,Seldom,0.3967289719626168,27727,0.3909704924897772,0.4024874514354564
2003,1st Quintile,Urban regions,Never,0.21962616822429906,27727,0.21475315015973231,0.2244991862888658
2003,1st Quintile,Urban regions,At least once per month,0.2,27727,0.19529169464045207,0.20470830535954795
2003,1st Quintile,Urban regions,At least once per week,0.16869158878504673,27727,0.16428368169580868,0.17309949587428478
2003,1st Quintile,Urban regions,Daily,0.014953271028037384,27727,0.013524702266375168,0.0163818397896996
2003,1st Quintile,Rural regions,Seldom,0.4512779552715655,27727,0.44542058209964974,0.45713532844348126
2003,1st Quintile,Rural regions,Never,0.25798722044728434,27727,0.25283719447284103,0.26313724642172764
2003,1st Quintile,Rural regions,At least once per month,0.17971246006389777,27727,0.17519310168004848,0.18423181844774705
2003,1st Quintile,Rural regions,At least once per week,0.09904153354632587,27727,0.09552539731192612,0.10255766978072563
2003,1st Quintile,Rural regions,Daily,0.011980830670926517,27727,0.01070017970732045,0.013261481634532585
2003,2nd Quintile,Urban regions,Seldom,0.4103794156127344,27727,0.4045893466966334,0.4161694845288354
2003,2nd Quintile,Urban regions,At least once per month,0.27344090710859137,27727,0.268194380928008,0.2786874332891747
2003,2nd Quintile,Urban regions,At least once per week,0.16746620148277366,27727,0.16307109752639984,0.1718613054391475
2003,2nd Quintile,Urban regions,Never,0.14129960750109027,27727,0.13719949343941631,0.14539972156276423
2003,2nd Quintile,Urban regions,Daily,0.007413868294810292,27727,0.0064041245651183226,0.008423612024502262
2003,2nd Quintile,Rural regions,Seldom,0.505403687221869,27727,0.4995186492368268,0.5112887252069112
2003,2nd Quintile,Rural regions,At least once per month,0.2161474888747616,27727,0.21130245403486045,0.22099252371466274
2003,2nd Quintile,Rural regions,Never,0.16020343293070566,27727,0.15588598024676714,0.16452088561464417
2003,2nd Quintile,Rural regions,At least once per week,0.11188811188811189,27727,0.10817762890239559,0.11559859487382819
2003,2nd Quintile,Rural regions,Daily,0.006357279084551812,27727,0.005421754086906232,0.007292804082197392
2003,3rd Quintile,Urban regions,Seldom,0.38245347512343336,27727,0.37673304378821965,0.3881739064586471
2003,3rd Quintile,Urban regions,At least once per month,0.32130649449297377,27727,0.3158098046915081,0.32680318429443944
2003,3rd Quintile,Urban regions,At least once per week,0.2001519179642993,27727,0.19544227199237246,0.20486156393622612
2003,3rd Quintile,Urban regions,Never,0.08355488036460311,27727,0.08029768526744273,0.08681207546176349
2003,3rd Quintile,Urban regions,Daily,0.012533232054690467,27727,0.01122375644106971,0.013842707668311225
2003,3rd Quintile,Rural regions,Seldom,0.47580645161290325,27727,0.46992796370581225,0.48168493951999425
2003,3rd Quintile,Rural regions,At least once per month,0.2762096774193548,27727,0.27094671266582365,0.281472642172886
2003,3rd Quintile,Rural regions,At least once per week,0.14650537634408603,27727,0.1423430914177882,0.15066766127038386
2003,3rd Quintile,Rural regions,Never,0.09274193548387097,27727,0.0893275847886035,0.09615628617913843
2003,3rd Quintile,Rural regions,Daily,0.008736559139784945,27727,0.007641167592687778,0.009831950686882113
2003,4th Quintile,Urban regions,At least once per month,0.3459534560611323,27727,0.3403543615994503,0.3515525505228143
2003,4th Quintile,Urban regions,Seldom,0.34109065647794373,27727,0.3355104229443358,0.34667089001155166
2003,4th Quintile,Urban regions,At least once per week,0.24313997915943036,27727,0.23809056957101263,0.2481893887478481
2003,4th Quintile,Urban regions,Never,0.055574852379298365,27727,0.05287818389021126,0.05827152086838547
2003,4th Quintile,Urban regions,Daily,0.014241055922195206,27727,0.012846419223258021,0.01563569262113239
2003,4th Quintile,Rural regions,Seldom,0.41975308641975306,27727,0.41394399784131836,0.42556217499818777
2003,4th Quintile,Rural regions,At least once per month,0.3014944769330734,27727,0.29609279220581936,0.30689616166032746
2003,4th Quintile,Rural regions,At least once per week,0.1968810916179337,27727,0.19220054516383003,0.2015616380720374
2003,4th Quintile,Rural regions,Never,0.06562703053931124,27727,0.06271224812776123,0.06854181295086124
2003,4th Quintile,Rural regions,Daily,0.016244314489928524,27727,0.014756328122819452,0.017732300857037597
2003,5th Quintile,Urban regions,At least once per month,0.3694601974375131,27727,0.36377893681803536,0.3751414580569909
2003,5th Quintile,Urban regions,At least once per week,0.3579080025204789,27727,0.3522652765077483,0.36355072853320947
2003,5th Quintile,Urban regions,Seldom,0.2247427011132115,27727,0.21982943417408254,0.22965596805234048
2003,5th Quintile,Urban regions,Daily,0.026675068262969965,27727,0.024778422068913793,0.028571714457026137
2003,5th Quintile,Urban regions,Never,0.021214030665826507,27727,0.019517896923656984,0.02291016440799603
2003,5th Quintile,Rural regions,At least once per month,0.3567326100829611,27727,0.35109400337484475,0.3623712167910774
2003,5th Quintile,Rural regions,Seldom,0.32737715379706445,27727,0.32185365044796777,0.3329006571461611
2003,5th Quintile,Rural regions,At least once per week,0.2750478621569879,27727,0.2697917643942683,0.2803039599197075
2003,5th Quintile,Rural regions,Daily,0.0204211869814933,27727,0.018756376456855555,0.022085997506131046
2003,5th Quintile,Rural regions,Never,0.0204211869814933,27727,0.018756376456855555,0.022085997506131046
2008,1st Quintile,Urban regions,Seldom,0.41450502911593434,23673,0.40822941965741594,0.42078063857445275
2008,1st Quintile,Urban regions,Never,0.2154579142403388,23673,0.21022047773663044,0.22069535074404717
2008,1st Quintile,Urban regions,At least once per month,0.2027527792482795,23673,0.19763113584425,0.20787442265230902
2008,1st Quintile,Urban regions,At least once per week,0.15457914240338805,23673,0.14997401819720557,0.15918426660957052
2008,1st Quintile,Urban regions,Daily,0.01270513499205929,23673,0.011278402659528222,0.01413186732459036
2008,1st Quintile,Rural regions,Seldom,0.45796064400715564,23673,0.45161378411471376,0.4643075038995975
2008,1st Quintile,Rural regions,Never,0.27906976744186046,23673,0.2733558700571541,0.2847836648265668
2008,1st Quintile,Rural regions,At least once per month,0.1708407871198569,23673,0.16604627777484185,0.17563529646487194
2008,1st Quintile,Rural regions,At least once per week,0.08318425760286226,23673,0.0796662965611106,0.08670221864461392
2008,1st Quintile,Rural regions,Daily,0.008944543828264758,23673,0.0077451619051095485,0.010143925751419968
2008,2nd Quintile,Urban regions,Seldom,0.45928174001011635,23673,0.4529334825769386,0.4656299974432941
2008,2nd Quintile,Urban regions,At least once per month,0.26251896813353565,23673,0.2569138445318198,0.2681240917352515
2008,2nd Quintile,Urban regions,At least once per week,0.15629742033383914,23673,0.15167148011729392,0.16092336055038436
2008,2nd Quintile,Urban regions,Never,0.11633788568538189,23673,0.11225344001627079,0.120422331354493
2008,2nd Quintile,Urban regions,Daily,0.00556398583712696,23673,0.0046164168194357,0.006511554854818221
2008,2nd Quintile,Rural regions,Seldom,0.5069292487235595,23673,0.5005604471563293,0.5132980502907897
2008,2nd Quintile,Rural regions,At least once per month,0.22538293216630198,23673,0.2200602140690324,0.23070565026357157
2008,2nd Quintile,Rural regions,Never,0.1487964989059081,23673,0.14426290642596648,0.15333009138584971
2008,2nd Quintile,Rural regions,At least once per week,0.10430342815463166,23673,0.10040975789782464,0.10819709841143868
2008,2nd Quintile,Rural regions,Daily,0.014587892049598834,23673,0.01306055586860853,0.016115228230589137
2008,3rd Quintile,Urban regions,Seldom,0.4200351493848858,23673,0.4137477206389979,0.4263225781307737
2008,3rd Quintile,Urban regions,At least once per month,0.3132688927943761,23673,0.30736033594426027,0.3191774496444919
2008,3rd Quintile,Urban regions,At least once per week,0.18629173989455183,23673,0.18133198078168697,0.1912514990074167
2008,3rd Quintile,Urban regions,Never,0.06810193321616871,23673,0.06489275860331661,0.07131110782902081
2008,3rd Quintile,Urban regions,Daily,0.012302284710017574,23673,0.010898067363298234,0.013706502056736914
2008,3rd Quintile,Rural regions,Seldom,0.5191661062542031,23673,0.5128013742053891,0.5255308383030172
2008,3rd Quintile,Rural regions,At least once per month,0.26832548755884333,23673,0.2626810672044159,0.27396990791327075
2008,3rd Quintile,Rural regions,At least once per week,0.12642905178211164,23673,0.12219552848585943,0.13066257507836385
2008,3rd Quintile,Rural regions,Never,0.0773369199731002,23673,0.07393405724743436,0.08073978269876604
2008,3rd Quintile,Rural regions,Daily,0.008742434431741762,23673,0.007556559546126111,0.009928309317357413
2008,4th Quintile,Urban regions,Seldom,0.35199386503067487,23673,0.3459099025356498,0.35807782752569994
2008,4th Quintile,Urban regions,At least once per month,0.35161042944785276,23673,0.3455279828186035,0.35769287607710204
2008,4th Quintile,Urban regions,At least once per week,0.23466257668711657,23673,0.22926401815048444,0.2400611352237487
2008,4th Quintile,Urban regions,Never,0.05023006134969325,23673,0.04744765544456936,0.05301246725481715
2008,4th Quintile,Urban regions,Daily,0.011503067484662576,23673,0.01014467922582114,0.012861455743504013
2008,4th Quintile,Rural regions,Seldom,0.4431818181818182,23673,0.4368536633919411,0.44950997297169526
2008,4th Quintile,Rural regions,At least once per month,0.32272727272727275,23673,0.3167716243356121,0.3286829211189334
2008,4th Quintile,Rural regions,At least once per week,0.16666666666666666,23673,0.16191918633592345,0.17141414699740987
2008,4th Quintile,Rural regions,Never,0.058333333333333334,23673,0.055347700362988715,0.06131896630367795
2008,4th Quintile,Rural regions,Daily,0.00909090909090909,23673,0.007881843153491818,0.010299975028326363
2008,5th Quintile,Urban regions,At least once per month,0.37049433573635426,23673,0.36434228328163415,0.3766463881910744
2008,5th Quintile,Urban regions,At least once per week,0.35169927909371784,23673,0.34561648082547786,0.35778207736195783
2008,5th Quintile,Urban regions,Seldom,0.23480947476828012,23673,0.22940974503905184,0.2402092044975084
2008,5th Quintile,Urban regions,Never,0.02239958805355304,23673,0.02051450657688587,0.024284669530220206
2008,5th Quintile,Urban regions,Daily,0.02059732234809475,23673,0.018788002077949225,0.022406642618240272
2008,5th Quintile,Rural regions,At least once per month,0.3549107142857143,23673,0.34881536086635195,0.36100606770507665
2008,5th Quintile,Rural regions,Seldom,0.328125,23673,0.32214373115448897,0.33410626884551103
2008,5th Quintile,Rural regions,At least once per week,0.26339285714285715,23673,0.25778173940090693,0.2690039748848074
2008,5th Quintile,Rural regions,Never,0.028273809523809524,23673,0.026162297589712058,0.03038532145790699
2008,5th Quintile,Rural regions,Daily,0.025297619047619048,23673,0.023297272412798335,0.02729796568243976
2013,1st Quintile,Urban regions,Seldom,0.4063615709185329,44486,0.4017974019757665,0.4109257398612993
2013,1st Quintile,Urban regions,At least once per month,0.2456994482310938,44486,0.24169890750552592,0.24969998895666168
2013,1st Quintile,Urban regions,Never,0.1801363193768257,44486,0.17656510551256224,0.18370753324108915
2013,1st Quintile,Urban regions,At least once per week,0.15417072379097696,44486,0.15081499615313332,0.1575264514288206
2013,1st Quintile,Urban regions,Daily,0.013631937682570594,44486,0.01255437463590446,0.014709500729236729
2013,1st Quintile,Rural regions,Seldom,0.45939334637964774,44486,0.45476231806550876,0.4640243746937867
2013,1st Quintile,Rural regions,Never,0.2363013698630137,44486,0.23235372098071552,0.24024901874531188
2013,1st Quintile,Rural regions,At least once per month,0.20499021526418787,44486,0.20123878225681327,0.20874164827156247
2013,1st Quintile,Rural regions,At least once per week,0.09099804305283757,44486,0.08832538850418671,0.09367069760148843
2013,1st Quintile,Rural regions,Daily,0.008317025440313111,44486,0.007473079096258245,0.009160971784367977
2013,2nd Quintile,Urban regions,Seldom,0.42358078602620086,44486,0.4189889989328299,0.4281725731195718
2013,2nd Quintile,Urban regions,At least once per month,0.3076923076923077,44486,0.303403344781277,0.3119812706033384
2013,2nd Quintile,Urban regions,At least once per week,0.1723211286530064,44486,0.16881163394190418,0.1758306233641086
2013,2nd Quintile,Urban regions,Never,0.08599261001007726,44486,0.08338735756897522,0.08859786245117929
2013,2nd Quintile,Urban regions,Daily,0.010413167618407793,44486,0.009469839508278956,0.01135649572853663
2013,2nd Quintile,Rural regions,Seldom,0.4696132596685083,44486,0.46497547161958047,0.47425104771743615
2013,2nd Quintile,Rural regions,At least once per month,0.287292817679558,44486,0.28308785307268997,0.29149778228642603
2013,2nd Quintile,Rural regions,Never,0.11832412523020258,44486,0.11532264475561957,0.1213256057047856
2013,2nd Quintile,Rural regions,At least once per week,0.11786372007366483,44486,0.11486730269860704,0.12086013744872262
2013,2nd Quintile,Rural regions,Daily,0.006906077348066298,44486,0.0061364946880439145,0.007675660008088682
2013,3rd Quintile,Urban regions,Seldom,0.3589394969408566,44486,0.35448186170680923,0.36339713217490394
2013,3rd Quintile,Urban regions,At least once per month,0.35656016315431677,44486,0.35210908955697773,0.3610112367516558
2013,3rd Quintile,Urban regions,At least once per week,0.21481985044187626,44486,0.21100334177199473,0.2186363591117578
2013,3rd Quintile,Urban regions,Never,0.058803535010197146,44486,0.05661735331503513,0.06098971670535916
