year,quintil_oecd,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2020,1st Quintile,East,1446,5.16681,5.08466,5.24897,4.00000,5.00000,6.00000,1.00000,7,,,
2020,2nd Quintile,West,3479,5.32039,5.27123,5.36956,4.00000,6.00000,6.00000,1.00000,7,,,
2020,2nd Quintile,East,1329,5.33342,5.25673,5.41011,4.00000,6.00000,6.00000,1.00000,7,,,
2020,3rd Quintile,West,3278,5.32611,5.27852,5.37369,5.00000,6.00000,6.00000,3.50000,7,,,
2020,3rd Quintile,East,977,5.42838,5.34401,5.51274,5.00000,6.00000,6.00000,3.50000,7,,,
2020,4th Quintile,West,3676,5.40920,5.36629,5.45210,5.00000,6.00000,6.00000,3.50000,7,,,
2020,4th Quintile,East,832,5.42629,5.33258,5.51999,5.00000,6.00000,7.00000,2.00000,7,,,
2020,5th Quintile,West,5066,5.50544,5.47133,5.53954,5.00000,6.00000,6.00000,3.50000,7,,,
2020,5th Quintile,East,876,5.50297,5.40977,5.59617,5.00000,6.00000,7.00000,2.00000,7,,,
2021,1st Quintile,West,,,,,,,,,,,,
2021,1st Quintile,East,,,,,,,,,,,,
2021,2nd Quintile,West,,,,,,,,,,,,
2021,2nd Quintile,East,,,,,,,,,,,,
2021,3rd Quintile,West,,,,,,,,,,,,
2021,3rd Quintile,East,,,,,,,,,,,,
2021,4th Quintile,West,,,,,,,,,,,,
2021,4th Quintile,East,,,,,,,,,,,,
2021,5th Quintile,West,,,,,,,,,,,,
2021,5th Quintile,East,,,,,,,,,,,,
2022,1st Quintile,West,,,,,,,,,,,,
2022,1st Quintile,East,,,,,,,,,,,,
2022,2nd Quintile,West,,,,,,,,,,,,
2022,2nd Quintile,East,,,,,,,,,,,,
2022,3rd Quintile,West,,,,,,,,,,,,
2022,3rd Quintile,East,,,,,,,,,,,,
2022,4th Quintile,West,,,,,,,,,,,,
2022,4th Quintile,East,,,,,,,,,,,,
2022,5th Quintile,West,,,,,,,,,,,,
2022,5th Quintile,East,,,,,,,,,,,,
