"plh0040","year","sampreg","n","percent","lower_confidence_percent","upper_confidence_percent"
"Einige Sorgen","2017","Westdeutschland","9046","0.421082387775453","0.41437937086857","0.427785404682336"
"Grosse Sorgen","2017","Ostdeutschland","2963","","",""
"Grosse Sorgen","2017","Westdeutschland","8856","0.442384580178175","0.435641694864617","0.449127465491732"
"Keine Sorgen","2017","Ostdeutschland","539","0.100052317414884","0.092171310842727","0.107933323987042"
"Keine Sorgen","2017","Westdeutschland","2940","","",""
"Einige Sorgen","2018","Ostdeutschland","2197","","",""
"Einige Sorgen","2018","Westdeutschland","9287","0.464426526697444","0.457528694143364","0.471324359251524"
"Grosse Sorgen","2018","Ostdeutschland","2530","","",""
"Grosse Sorgen","2018","Westdeutschland","6947","0.357156730461778","0.350529583834077","0.363783877089479"
"Keine Sorgen","2018","Ostdeutschland","745","0.1257568419014","0.116971534160777","0.134542149642022"
"Keine Sorgen","2018","Westdeutschland","3848","0.178416742840778","0.173121471695553","0.183712013986003"
"Einige Sorgen","2019","Ostdeutschland","2495","","",""
"Einige Sorgen","2019","Westdeutschland","9791","0.483227422685549","0.476313719346528","0.490141126024569"
"Grosse Sorgen","2019","Ostdeutschland","2332","","",""
"Grosse Sorgen","2019","Westdeutschland","6297","0.32969433340826","0.32319038015167","0.336198286664849"
"Keine Sorgen","2019","Ostdeutschland","720","0.120558025455459","0.111989212434039","0.129126838476879"
"Keine Sorgen","2019","Westdeutschland","3981","0.187078243906192","0.181682873814783","0.192473613997601"
"Einige Sorgen","2020","Ostdeutschland","2378","","",""
"Einige Sorgen","2020","Westdeutschland","9547","0.473045986783775","0.466175832149782","0.479916141417767"
"Grosse Sorgen","2020","Ostdeutschland","1919","","",""
"Grosse Sorgen","2020","Westdeutschland","5026","0.277543581784501","0.271381891085164","0.283705272483837"
"Keine Sorgen","2020","Ostdeutschland","1017","","",""
"Keine Sorgen","2020","Westdeutschland","5715","0.249410431431725","0.243456730133789","0.255364132729661"
