"year","regtyp","sampreg","mean","median","n","percentile_10","percentile_25","percentile_75","percentile_90","percentile_99","lower_confidence_mean","upper_confidence_mean","minimum","maximum","lower_confidence_median","upper_confidence_median"
"2016","Städtischer Raum","Ostdeutschland","417.85","389.5","857","240","309","495","611","980","404.78","430.92","53","1800","415","436"
"2016","Städtischer Raum","Westdeutschland","550.71","499.5","4519","300","380","650","840","1500","542.28","559.14","6","5148","530","544"
"2017","Ländlicher Raum","Ostdeutschland","367.75","349.5","1062","221","280","430","539","770","358.39","377.11","45","1280","370","390"
"2017","Ländlicher Raum","Westdeutschland","469.89","439.5","1360","267","340","560","700","1105","458.53","481.25","30","2500","467","490"
"2017","Städtischer Raum","Ostdeutschland","429.53","399.5","918","248","320","504","640","1100","416.11","442.95","80","1800","423","449"
"2017","Städtischer Raum","Westdeutschland","559.67","509.5","4772","303","390","665","850","1455","551.66","567.68","10","4950","545","560"
"2018","Ländlicher Raum","Ostdeutschland","382.06","345.5","1114","235","284","449","560","810","372.68","391.44","20","1456","380","400"
"2018","Ländlicher Raum","Westdeutschland","478.75","449","1289","265","350","570","710","1200","467.42","490.08","8","2380","470","500"
"2018","Städtischer Raum","Ostdeutschland","448.79","412.5","950","248","319","531","665","1200","435.17","462.41","20","1740","432","457"
"2018","Städtischer Raum","Westdeutschland","573.38","519.5","4908","310","397","685","890","1500","565.56","581.2","5","3380","550","562"
"2019","Ländlicher Raum","Ostdeutschland","387","349.5","1007","240","289","450","562","920","375.04","398.96","27","2320","384","400"
"2019","Ländlicher Raum","Westdeutschland","487.8","449.5","1203","276","355","590","725","1178","475.6","500","20","2000","480","500"
"2019","Städtischer Raum","Ostdeutschland","472.44","424.5","890","271","339","550","743","1200","452.93","491.95","40","5060","450","480"
"2019","Städtischer Raum","Westdeutschland","586.51","529.5","4465","308","400","700","910","1550","576.61","596.41","30","4600","570","590"
"2020","Ländlicher Raum","Ostdeutschland","398.79","364.5","1174","240","290","461","610","1010","387.68","409.9","40","1700","392","410"
"2020","Ländlicher Raum","Westdeutschland","520.5","478.5","1928","275","380","611","755","1350","509.29","531.71","10","3200","500","530"
"2020","Städtischer Raum","Ostdeutschland","492.83","436.5","1209","275","343","561","800","1280","477.64","508.02","22","4720","454","480"
"2020","Städtischer Raum","Westdeutschland","609.75","549.5","7584","313","412","725","950","1700","602.37","617.13","20","4800","570","585"
