year,quintil_oecd_hh,sampreg,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1993,,East,379,192.07549713489158,188.66120883044235,195.4897854393408,148.0,182.0522182726178,230.0,38.0,353.0,182.0,172.975,189.0
1993,,West,643,317.17030092482656,311.85165930756085,322.4889425420923,224.0,297.0,391.0,16.0,641.5,297.0,288.0,313.125
1993,,East,137,209.65301918488245,202.93054910468726,216.37548926507765,159.46304953577933,197.68993516024042,253.5173621819966,46.0,394.5988311513225,196.0,182.0,216.05
1993,,West,375,356.9166735972844,348.97396554492644,364.85938164964233,245.0,332.0,432.8265485151341,30.0,714.5663712878352,332.0,307.0,347.1
1993,,East,42,199.4946342276313,192.53391783453569,206.45535062072693,162.66074078203667,191.3946494953357,216.17325082159635,100.0,296.44201588093586,194.0,176.0,210.0
1993,,West,114,419.4531839072833,398.36163557352864,440.54473224103793,266.9252307513881,376.48699188708906,511.8774991959309,48.0,879.3059018627451,379.0,324.0,436.0
1993,,East,,,,,,,,,,,,
1994,,West,778,276.8834715177983,271.8672071569474,281.89973587864915,197.15260935558894,255.0,332.0,3.0,534.2710859666166,255.0,245.0,275.0
1994,,East,510,183.47513841149149,180.3371491344757,186.61312768850726,136.0,175.34430373798784,214.0,19.0,331.0,175.0,169.0,181.0
1994,,West,756,314.59938823279913,310.18323046259553,319.0155460030027,230.0,296.0,377.0,49.0,597.5,296.0,286.0,311.0
1994,,East,417,191.8539973725682,188.46984319528423,195.23815154985215,147.0,183.0,231.93678846645727,19.59481730031409,359.3419711661432,183.0,176.0,192.025
1994,,West,636,339.70753155880044,334.05185193753897,345.3632111800619,245.0,313.0,403.0,8.0,640.0,313.0,298.0,325.0
1994,,East,214,209.83902760476514,204.69654479386352,214.98151041566675,163.0,198.49392270223515,243.0,43.0,363.0,199.0,186.95,210.0
1994,,West,412,385.3376088857183,377.2883873080765,393.38683046336007,270.19943417283133,356.6670680235327,461.40576246345233,98.0,748.2152548993838,356.0,331.95,380.0
1994,,East,83,230.4407351602049,217.67506658299033,243.20640373741946,168.82015759881278,219.0,268.0,81.0,416.7697636017808,219.0,199.0,243.075
1994,,West,153,469.7353481542706,450.2438408634135,489.2268554451277,306.0,408.0,576.7233472238865,120.0,982.8083680597164,408.0,331.0,445.325
1994,,East,,,,,,,,,,,,
1995,,West,902,295.2385923962299,290.7864569247949,299.69072786766486,207.50252168174956,270.0,357.0,10.0,581.2462174773757,270.0,259.0,275.0
1995,,East,439,187.31431287179453,183.95032448580682,190.67830125778224,134.0,179.0,228.0,12.0,369.0,179.0,172.0,186.025
1995,,West,834,336.161181017842,331.55233298838647,340.77002904729756,250.0,307.0,396.0907726222424,77.0,615.226931555606,307.0,293.0,312.025
1995,,East,419,222.74001013930442,217.92388400892128,227.55613626968756,163.0,208.0,260.1411214418914,21.0,405.85280360472854,208.0,198.0,219.0
1995,,West,639,342.2900152129666,337.0367795392238,347.54325088670936,249.0,315.5705529683593,415.6944663575462,29.0,665.7361658938655,316.0,295.0,328.0
1995,,East,235,231.82225443908206,224.82194588356364,238.82256299460047,170.0,217.0,260.16478421943776,67.0,395.4119605485944,217.0,209.0,235.0
1995,,West,399,404.2487276061937,396.2632250515296,412.2342301608578,285.7605804963346,383.7995474798363,495.0,51.0,808.859129255498,383.0,362.0,404.1
1995,,East,91,242.50463997675828,233.0080540205211,252.00122593299548,194.0,230.0,269.2865139437479,90.0,382.2162848593697,230.0,219.0,245.0
1995,,West,151,509.5727153561426,487.7281814965575,531.4172492157277,332.0,422.6763375323929,671.2539814273376,117.0,1180.1349535683441,422.0,355.0,461.025
1995,,East,,,,,,,,,,,,
1996,,West,827,307.72796257908345,303.2629321218553,312.19299303631163,213.68407649481497,285.7450154481803,369.0,21.0,601.9738852577775,286.0,277.975,298.0
1996,,East,402,230.55891197706455,225.25842162931073,235.85940232481838,157.0,214.68154442333633,274.0,17.0,449.5,215.0,202.0,226.0
1996,,West,832,345.71527138281937,340.92270731356405,350.5078354520747,255.0,316.29820996871103,419.18250436152306,49.0,665.4562609038077,316.0,300.0,326.0
1996,,East,422,247.44954225441123,242.9396730686225,251.95941144019994,190.65547077258478,237.0,295.0,34.13867693146196,451.5167938411228,237.0,226.0,247.025
1996,,West,641,362.1682181107835,356.6396913628623,367.69674485870473,265.0,342.0,434.0,46.0,687.5,342.0,327.0,358.025
1996,,East,232,274.0677140526218,266.094725159698,282.0407029455456,194.4970870106529,253.0950166752641,319.16280543933044,38.0,506.16138308234673,253.0,245.0,270.0
1996,,West,385,412.60586764250206,404.60814588517184,420.6035893998323,299.70496704901313,388.7219238220499,500.11049571382483,26.0,800.7187887110424,388.0,359.0,407.0
1996,,East,113,288.9906081070896,279.8564190579507,298.1247971562285,225.0,267.0,326.0,102.0,477.5,267.0,246.97500000000002,289.0
1996,,West,158,559.8207284298572,538.3711339158484,581.2703229438661,354.493700841107,508.17290303162457,690.1673370331538,87.0,1193.677791321224,511.0,434.0,560.05
1996,,East,,,,,,,,,,,,
1997,,West,712,326.62919128156716,321.3987201864935,331.8596623766408,229.0,297.0,408.0,51.0,676.5,297.0,280.0,309.05
1997,,East,340,242.36144282696375,237.1204654246003,247.6024202293272,168.0,235.0,298.134138852125,17.0,493.33534713031247,235.0,223.0,253.0
1997,,West,800,357.29053939141147,352.11250191223456,362.4685768705884,265.5034650786338,331.0,419.0,35.25866269658445,649.2448023820493,331.0,315.0,347.0
1997,,East,434,259.05782693871475,254.81075104921572,263.3049028282138,192.0,255.0,308.0,38.0,482.0,255.0,243.97500000000002,270.0
1997,,West,669,383.9560481601092,378.7489622464629,389.16313407375554,282.0,370.3006457454252,451.0,64.0,704.5,368.0,353.0,379.0
1997,,East,253,291.3508281114802,283.51679257679785,299.18486364616257,198.2613451502492,274.36412346476993,347.0,32.0,570.1079822746262,275.0,258.9,292.0
1997,,West,384,433.8196547195325,424.838418995827,442.80089044323796,315.63822734663916,408.28662032832096,511.0,41.0,804.0426589800413,408.0,386.0,438.0
1997,,East,106,323.72168672445656,310.23086192488284,337.2125115240303,242.94155413001587,286.0,341.0,95.85388532503967,488.0876688049762,286.0,270.0,306.0
1997,,West,173,537.6195658327131,517.4400168052584,557.7991148601677,346.01921314852734,491.0,664.0,76.0,1140.971180277209,491.0,430.0,563.0
1997,,East,,,,,,,,,,,,
1998,,West,792,332.8392123311597,328.32557407770116,337.3528505846182,240.0,310.2880181874365,399.71098772627914,61.0,639.2774693156979,310.0,297.0,323.0
1998,,East,358,271.63703326444295,266.5471966482709,276.72686988061497,199.0,261.10243080586656,332.0,61.0,531.5,261.0,246.0,280.0
1998,,West,900,365.92066381755,361.3791288726766,370.46219876242344,273.0,352.0,434.0,31.5,675.5,352.0,340.95,368.1
1998,,East,419,286.8301904976443,281.28388060577345,292.3765003895152,215.0,272.0,338.0,33.0,522.5,272.0,259.0,287.0
1998,,West,720,407.33577133985114,401.4534590241034,413.2180836555989,295.0199478293826,380.1839733922125,485.23380352493876,57.0,770.554587068273,380.0,359.0,393.025
1998,,East,294,326.405552519331,318.7195838227634,334.09152121589864,242.0,306.0,392.6488897904227,17.0,618.6222244760568,306.0,290.0,331.0
1998,,West,473,447.18599059793803,439.387900638152,454.98408055772404,322.291958526161,426.4153645335881,536.0,76.0,856.5620622107585,427.0,413.95,446.0
1998,,East,110,360.00684699320874,345.6781688848207,374.3355251015968,251.0,318.85945230375717,410.46116092235053,112.0,649.6529023058763,319.0,290.95,352.0
1998,,West,203,562.7337762339596,544.6017188019348,580.8658336659844,372.94957594443713,511.0,690.0,93.0,1165.5756360833443,511.0,435.0,563.0
1998,,East,,,,,,,,,,,,
1999,,West,697,341.2370642840984,335.98174901118546,346.4923795570113,241.08506341592178,311.7330931794113,416.0,16.0,678.3724048761173,312.0,292.0,328.0
1999,,East,315,276.7252246326549,270.98601338483047,282.4644358804793,205.49127636018326,265.6657127903262,332.06966182389533,55.0,521.9372400194634,266.0,254.0,282.0
1999,,West,854,372.30068141297687,367.42787078688696,377.1734920390668,281.0,353.7836012852943,436.98869722178574,47.01695416732139,670.9717430544644,353.0,337.975,364.075
1999,,East,443,311.5150362711532,305.9601419454682,317.06993059683816,232.0,295.8553003516639,365.68400059983855,31.473999100242168,566.2100014995964,296.0,282.0,305.025
1999,,West,650,402.13928395094433,396.3524730309249,407.92609487096377,299.0,375.0,485.0,31.0,764.0,375.0,353.975,392.0
1999,,East,276,335.56314419729733,327.5862281241147,343.54006027047996,247.0,306.0,420.8787509501117,102.0,681.6968773752792,306.0,273.0,316.05
1999,,West,498,461.17139809229184,453.4289012500218,468.9138949345619,344.0,434.1198166041078,563.1637527452853,61.0,891.9093818632132,434.0,412.9,455.0
1999,,East,110,367.4236590439642,353.1726307377859,381.67468735014256,260.300982375657,314.39228203553506,444.5381146395357,131.0,720.8938130353538,314.0,280.0,332.0
1999,,West,203,575.3500470023681,557.4260014439225,593.2740925608138,392.65555554714587,537.0,715.9697946655614,100.0,1200.9411533431846,537.0,508.0,603.0
1999,,East,30,423.90456397487554,389.7871662568409,458.02196169291017,275.0339235451794,397.1418754284016,554.3350990438944,141.0,971.0,395.0,258.0,500.0
2000,,West,1166,342.82774776431836,339.0514471821314,346.6040483465053,253.0,324.9113017587439,413.36133931976116,26.0,653.9033482994029,325.0,313.975,334.025
2000,,East,518,277.34280292482015,273.0649663995258,281.6206394501145,216.27621050192812,267.0,330.83208713168784,44.442395557288535,502.6659020763274,267.0,254.0,272.0
2000,,West,1356,378.1015156572915,374.1555109263208,382.04752038826217,285.0,357.0,450.0,41.0,697.5,357.0,350.0,367.0
2000,,East,610,299.05096638196414,294.9730216552042,303.1289111087241,231.0,291.0,359.0,39.0,551.0,291.0,283.0,300.025
2000,,West,1178,401.93006837402646,397.610748325099,406.2493884229539,295.0,380.2169222864414,492.96532974048256,20.0,789.9133243512065,380.0,372.0,391.0
2000,,East,442,345.2210078365021,339.19646739465946,351.24554827834476,258.0,321.0,409.33607746909394,30.995883796359095,636.3401936727348,321.0,301.0,333.05
2000,,West,839,467.05147008920505,460.98745196459066,473.11548821381945,342.0,437.0,562.0,62.0,892.0,437.0,417.95,449.025
2000,,East,191,362.9213598011732,352.2359175152111,373.6068020871353,265.0,322.4738665808593,437.5072307447511,85.0,696.2680768618777,323.0,294.0,341.0
2000,,West,420,585.7988518006044,572.6925537636561,598.9051498375528,376.23311912166986,550.0407084837678,718.0,10.0,1230.6503213174951,549.0,519.975,602.025
2000,,East,49,488.1323877456641,455.44674238472516,520.818033106603,324.1955797692388,444.4751248500486,567.3557787170406,110.0,932.0960771387433,448.0,359.0,518.0
2001,,West,975,349.92031614820826,345.55871633667334,354.2819159597432,255.0,332.0,421.0,14.0,670.0,332.0,317.975,347.0
2001,,East,455,280.4852728629687,275.91634018199886,285.05420554393856,215.14074203918707,269.42563173100825,322.70390869725435,53.79599205208618,484.04865868435525,269.0,260.0,272.0
2001,,West,1163,385.67301942152034,381.2755693425742,390.07046950046646,282.76481741678464,359.0,455.0,46.0,713.352773874823,359.0,350.0,362.0
2001,,East,515,318.1345277524472,313.3235341043046,322.94552140058977,240.0,304.9009458589012,378.2906527078581,32.56402093821285,585.7266317696452,304.0,290.92499999999995,313.0
2001,,West,1094,409.0889954202613,404.57714127644164,413.600849564081,302.0,383.0,485.0,31.0,759.5,383.0,374.0,393.0
2001,,East,414,349.67350891412724,343.0574719470064,356.2895458812481,260.3876278426341,327.0,405.9977470949075,76.0,624.4129259733176,327.0,311.0,348.025
2001,,West,795,463.20174836833934,457.0602833694475,469.34321336723116,341.76016241902,435.0,560.7467436261501,83.0,889.2266154368452,435.0,415.0,447.0
2001,,East,203,397.0387081606216,386.2552176460553,407.82219867518785,285.1063159924969,361.0,457.0244857894704,90.0,714.9017404849308,361.0,339.0,376.0
2001,,West,414,600.3046967801513,587.4648001016253,613.1445934586773,420.0,551.845220905297,698.9775888970547,51.0,1117.4439722426368,552.0,517.0,584.0
2001,,East,56,441.281196912452,409.394030625909,473.168363198995,239.74527998534404,432.0,608.3150298713691,67.0,1149.0,432.0,357.0,560.0
2002,,West,875,363.68559463992176,358.34748266817263,369.0237066116709,261.7276183508458,340.40249734544835,430.0,42.0,682.4085724737313,340.0,329.975,353.025
2002,,East,434,285.97453530421086,281.1576103609013,290.79146024752043,210.0,275.2943487120032,345.0,23.0,547.5,275.0,261.0,283.0
