year,bula_h,rentown,pet_cat,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2016,Bavaria,Owner,No,0.79076,829,1099,0.76670,0.81482
2016,Bavaria,Tenant,Yes,0.14963,200,1200,0.12944,0.16982
2016,Bavaria,Tenant,No,0.85037,1000,1200,0.83018,0.87056
2016,Berlin,Owner,No,0.81539,93,93,0.73611,0.89467
2016,Berlin,Tenant,Yes,0.09855,70,501,0.07242,0.12467
2016,Berlin,Tenant,No,0.90145,431,501,0.87533,0.92758
2016,Brandenburg,Owner,Yes,0.39115,97,254,0.33102,0.45129
2016,Brandenburg,Owner,No,0.60885,157,254,0.54871,0.66898
2016,Brandenburg,Tenant,Yes,0.18800,74,308,0.14430,0.23171
2016,Brandenburg,Tenant,No,0.81200,234,308,0.76829,0.85570
2016,Mecklenburg-Western Pomerania,Owner,No,0.68164,78,78,0.57759,0.78569
2016,Mecklenburg-Western Pomerania,Tenant,Yes,0.12528,36,220,0.08143,0.16912
2016,Mecklenburg-Western Pomerania,Tenant,No,0.87472,184,220,0.83088,0.91857
2016,Saxony,Owner,Yes,0.33507,95,304,0.28193,0.38822
2016,Saxony,Owner,No,0.66493,209,304,0.61178,0.71807
2016,Saxony,Tenant,Yes,0.17837,101,561,0.14666,0.21008
2016,Saxony,Tenant,No,0.82163,460,561,0.78992,0.85334
2016,Saxony-Anhalt,Owner,Yes,0.28330,75,211,0.22236,0.34425
2016,Saxony-Anhalt,Owner,No,0.71670,136,211,0.65575,0.77764
2016,Saxony-Anhalt,Tenant,Yes,0.12919,48,302,0.09129,0.16708
2016,Saxony-Anhalt,Tenant,No,0.87081,254,302,0.83292,0.90871
2016,Thuringa,Owner,Yes,0.27972,74,242,0.22305,0.33639
2016,Thuringa,Owner,No,0.72028,168,242,0.66361,0.77695
2016,Thuringa,Tenant,Yes,0.14604,52,302,0.10614,0.18593
2016,Thuringa,Tenant,No,0.85396,250,302,0.81407,0.89386
2021,Schleswig-Holstein,Owner,Yes,0.15940,44,243,0.11328,0.20552
2021,Schleswig-Holstein,Owner,No,0.84060,199,243,0.79448,0.88672
2021,Schleswig-Holstein,Tenant,Yes,0.14466,41,184,0.09370,0.19563
2021,Schleswig-Holstein,Tenant,No,0.85534,143,184,0.80437,0.90630
2021,Hamburg,Owner,No,0.87077,65,65,0.78859,0.95296
2021,Hamburg,Tenant,No,0.87697,170,170,0.82745,0.92650
2021,Lower Saxony,Owner,Yes,0.16646,112,562,0.13563,0.19728
2021,Lower Saxony,Owner,No,0.83354,450,562,0.80272,0.86437
2021,Lower Saxony,Tenant,Yes,0.17335,102,500,0.14014,0.20657
2021,Lower Saxony,Tenant,No,0.82665,398,500,0.79343,0.85986
2021,Bremen,Tenant,No,0.95585,48,48,0.89712,1.01458
2021,North Rhine-Westphalia,Owner,Yes,0.14000,152,1008,0.11857,0.16143
2021,North Rhine-Westphalia,Owner,No,0.86000,856,1008,0.83857,0.88143
2021,North Rhine-Westphalia,Tenant,Yes,0.15637,197,1273,0.13641,0.17633
2021,North Rhine-Westphalia,Tenant,No,0.84363,1076,1273,0.82367,0.86359
2021,Hesse,Owner,Yes,0.16931,63,325,0.12847,0.21014
2021,Hesse,Owner,No,0.83069,262,325,0.78986,0.87153
2021,Hesse,Tenant,Yes,0.15058,64,368,0.11399,0.18717
2021,Hesse,Tenant,No,0.84942,304,368,0.81283,0.88601
2021,"Rhineland-Palatinate, Saarland",Owner,Yes,0.18735,60,297,0.14290,0.23180
2021,"Rhineland-Palatinate, Saarland",Owner,No,0.81265,237,297,0.76820,0.85710
2021,"Rhineland-Palatinate, Saarland",Tenant,Yes,0.16579,40,238,0.11844,0.21314
2021,"Rhineland-Palatinate, Saarland",Tenant,No,0.83421,198,238,0.78686,0.88156
2021,Baden-Wuerttemberg,Owner,Yes,0.16042,123,653,0.13225,0.18859
2021,Baden-Wuerttemberg,Owner,No,0.83958,530,653,0.81141,0.86775
2021,Baden-Wuerttemberg,Tenant,Yes,0.17466,99,561,0.14321,0.20610
2021,Baden-Wuerttemberg,Tenant,No,0.82534,462,561,0.79390,0.85679
2021,Bavaria,Owner,Yes,0.21111,211,862,0.18385,0.23837
2021,Bavaria,Owner,No,0.78889,651,862,0.76163,0.81615
2021,Bavaria,Tenant,Yes,0.12520,146,885,0.10339,0.14702
2021,Bavaria,Tenant,No,0.87480,739,885,0.85298,0.89661
2021,Berlin,Owner,No,0.90520,90,90,0.84433,0.96606
2021,Berlin,Tenant,Yes,0.08395,54,444,0.05812,0.10977
2021,Berlin,Tenant,No,0.91605,390,444,0.89023,0.94188
2021,Brandenburg,Owner,Yes,0.25972,76,228,0.20268,0.31676
2021,Brandenburg,Owner,No,0.74028,152,228,0.68324,0.79732
2021,Brandenburg,Tenant,Yes,0.23327,52,218,0.17700,0.28954
2021,Brandenburg,Tenant,No,0.76673,166,218,0.71046,0.82300
2021,Mecklenburg-Western Pomerania,Owner,No,0.70335,74,74,0.59857,0.80814
2021,Mecklenburg-Western Pomerania,Tenant,No,0.87469,130,130,0.81755,0.93182
2021,Saxony,Owner,Yes,0.28627,81,266,0.23185,0.34070
2021,Saxony,Owner,No,0.71373,185,266,0.65930,0.76815
2021,Saxony,Tenant,Yes,0.18460,79,466,0.14933,0.21986
2021,Saxony,Tenant,No,0.81540,387,466,0.78014,0.85067
2021,Saxony-Anhalt,Owner,Yes,0.33368,63,154,0.25896,0.40839
2021,Saxony-Anhalt,Owner,No,0.66632,91,154,0.59161,0.74104
2021,Saxony-Anhalt,Tenant,Yes,0.13677,37,215,0.09074,0.18281
2021,Saxony-Anhalt,Tenant,No,0.86323,178,215,0.81719,0.90926
2021,Thuringa,Owner,Yes,0.29204,54,170,0.22348,0.36059
2021,Thuringa,Owner,No,0.70796,116,170,0.63941,0.77652
2021,Thuringa,Tenant,No,0.90816,183,183,0.86620,0.95012
