year,pgisced97,quintil_oecd,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
2005,First Stage of Tertiary Education,4th Quintile,Seldom,0.00587956995384563,101,19622,0.005860970145905638,0.005898169761785622
2005,First Stage of Tertiary Education,4th Quintile,Never,0.006488309060591312,139,19622,0.0064687760837751455,0.006507842037407478
2005,First Stage of Tertiary Education,5th Quintile,At least once per week,0.00893981268685657,210,19622,0.00891691295463302,0.00896271241908012
2005,First Stage of Tertiary Education,5th Quintile,At least once per month,0.002299952542601644,49,19622,0.0022882985265168247,0.002311606558686463
2005,First Stage of Tertiary Education,5th Quintile,Seldom,0.0041126826628573605,103,19622,0.004097112832513606,0.004128252493201115
2005,First Stage of Tertiary Education,5th Quintile,Never,0.006079322535992861,123,19622,0.00606041131216582,0.006098233759819902
2005,Second Stage of Tertiary Education,1st Quintile,At least once per week,0.004707656934117926,74,19622,0.004691003879207151,0.004724309989028702
2005,Second Stage of Tertiary Education,1st Quintile,Seldom,0.002498015122617309,40,19622,0.0024858708755198557,0.002510159369714762
2005,Second Stage of Tertiary Education,1st Quintile,Never,0.005271244218940501,78,19622,0.005253627497608499,0.0052888609402725025
2005,Second Stage of Tertiary Education,2nd Quintile,At least once per week,0.004962520163767638,97,19622,0.0049454244577385,0.004979615869796776
2005,Second Stage of Tertiary Education,2nd Quintile,Seldom,0.0036352970420514058,67,19622,0.003620655214153389,0.0036499388699494225
2005,Second Stage of Tertiary Education,2nd Quintile,Never,0.006450266833741694,116,19622,0.006430790831078871,0.006469742836404517
2005,Second Stage of Tertiary Education,3rd Quintile,At least once per week,0.008528051501998538,170,19622,0.008505680712967664,0.008550422291029413
2005,Second Stage of Tertiary Education,3rd Quintile,At least once per month,0.0022430522091879345,41,19622,0.0022315429266705445,0.0022545614917053244
2005,Second Stage of Tertiary Education,3rd Quintile,Seldom,0.004483262891407826,101,19622,0.004467009740591745,0.004499516042223907
2005,Second Stage of Tertiary Education,3rd Quintile,Never,0.007081344197306531,161,19622,0.0070609441644552875,0.007101744230157775
2005,Second Stage of Tertiary Education,4th Quintile,At least once per week,0.015433274181697479,333,19622,0.015403284780627979,0.015463263582766978
2005,Second Stage of Tertiary Education,4th Quintile,At least once per month,0.0031797737534967896,67,19622,0.0031660768400866247,0.0031934706669069545
2005,Second Stage of Tertiary Education,4th Quintile,Seldom,0.008256856618055081,180,19622,0.008234841391751105,0.008278871844359057
2005,Second Stage of Tertiary Education,4th Quintile,Never,0.008532662685679425,191,19622,0.00851028590147187,0.008555039469886979
2005,Second Stage of Tertiary Education,5th Quintile,At least once per week,0.03759363073635968,1179,19622,0.03754735508300208,0.03763990638971727
2005,Second Stage of Tertiary Education,5th Quintile,At least once per month,0.009185660312100165,244,19622,0.009162450719810372,0.009208869904389958
2005,Second Stage of Tertiary Education,5th Quintile,Seldom,0.01310865814641474,417,19622,0.013080986820618597,0.013136329472210884
2005,Second Stage of Tertiary Education,5th Quintile,Never,0.01874632006426868,541,19622,0.018713323794747373,0.01877931633378999
2007,Pre-primary Level,1st Quintile,At least once per week,0.002063724241970746,32,19541,0.002052645631485132,0.0020748028524563596
2007,Pre-primary Level,2nd Quintile,At least once per week,0.001956138941162573,31,19541,0.0019453523872463116,0.0019669254950788343
2007,Pre-primary Level,3rd Quintile,At least once per week,0.0020490556486851743,50,19541,0.00203801639969979,0.0020600948976705587
2007,Pre-primary Level,4th Quintile,At least once per week,0.0014219879070047482,48,19541,0.0014127887717051179,0.0014311870423043785
2007,Pre-primary Level,5th Quintile,At least once per week,0.0017657593558859305,68,19541,0.0017555101540725352,0.0017760085576993259
2007,Primary Level,1st Quintile,Never,0.005755384495579518,86,19541,0.005736917686870175,0.0057738513042888615
2007,Primary Level,2nd Quintile,Never,0.0028622261161605667,46,19541,0.002849184313941028,0.0028752679183801054
2007,Lower Secondary Level,1st Quintile,At least once per week,0.0052169541198132914,76,19541,0.005199367565744599,0.005234540673881984
2007,Lower Secondary Level,1st Quintile,Seldom,0.006579365090345042,70,19541,0.0065596287494956995,0.006599101431194385
2007,Lower Secondary Level,1st Quintile,Never,0.03158978514366355,482,19541,0.03154708679567709,0.03163248349165001
2007,Lower Secondary Level,2nd Quintile,At least once per week,0.005550488812678028,90,19541,0.005532351829902286,0.00556862579545377
2007,Lower Secondary Level,2nd Quintile,Seldom,0.005132764104460255,79,19541,0.005115319293316243,0.005150208915604268
2007,Lower Secondary Level,2nd Quintile,Never,0.023124605036820473,370,19541,0.02308791359290788,0.023161296480733066
2007,Lower Secondary Level,3rd Quintile,At least once per week,0.00512555197499226,95,19541,0.005108119360961909,0.005142984589022612
2007,Lower Secondary Level,3rd Quintile,Seldom,0.0026122745586643794,52,19541,0.002599813656809901,0.002624735460518858
2007,Lower Secondary Level,3rd Quintile,Never,0.01633661176550984,264,19541,0.016305665210989407,0.016367558320030274
