,Unnamed: 0,year,bula_h,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
338,338,1996,Brandenburg,Seldom,0.22938,141,12727,0.21024,0.25167
339,339,1996,Brandenburg,Never,0.6422,355,12727,0.60843,0.67414
340,340,1996,Mecklenburg-Western Pomerania,At least once per week,0.13249,60,12727,0.11135,0.15317
341,341,1996,Mecklenburg-Western Pomerania,Seldom,0.27062,99,12727,0.23968,0.30228
342,342,1996,Mecklenburg-Western Pomerania,Never,0.59689,208,12727,0.54983,0.64309
343,343,1996,Saxony,At least once per week,0.1607,184,12727,0.14676,0.1746
344,344,1996,Saxony,At least once per month,0.0547,76,12727,0.04838,0.06177
345,345,1996,Saxony,Seldom,0.17736,216,12727,0.16338,0.19147
346,346,1996,Saxony,Never,0.60725,626,12727,0.58043,0.63272
347,347,1996,Saxony-Anhalt,At least once per week,0.13481,102,12727,0.12019,0.14918
348,348,1996,Saxony-Anhalt,Seldom,0.17647,136,12727,0.15979,0.19345
349,349,1996,Saxony-Anhalt,Never,0.68872,399,12727,0.64598,0.73907
350,350,1996,Thuringa,At least once per week,0.1472,105,12727,0.13149,0.16391
351,351,1996,Thuringa,Seldom,0.2026,148,12727,0.17794,0.2226
352,352,1996,Thuringa,Never,0.6502,371,12727,0.61213,0.69554
353,353,1997,Schleswig-Holstein,At least once per week,0.39946,91,12503,0.3509,0.45339
354,354,1997,Schleswig-Holstein,Seldom,0.18521,50,12503,0.15939,0.21152
355,355,1997,Schleswig-Holstein,Never,0.41533,110,12503,0.36659,0.47014
356,356,1997,Hamburg,At least once per week,0.44353,46,12503,0.34896,0.54785
357,357,1997,Hamburg,Never,0.55647,56,12503,0.44939,0.69243
358,358,1997,Lower Saxony,At least once per week,0.28127,289,12503,0.26253,0.30421
359,359,1997,Lower Saxony,At least once per month,0.06938,74,12503,0.05878,0.08072
360,360,1997,Lower Saxony,Seldom,0.17652,191,12503,0.15981,0.19402
361,361,1997,Lower Saxony,Never,0.47283,469,12503,0.44036,0.51192
362,362,1997,Bremen,Never,1.0,52,12503,0.88015,1.14413
363,363,1997,North Rhine-Westphalia,At least once per week,0.25985,632,12503,0.24418,0.27363
364,364,1997,North Rhine-Westphalia,At least once per month,0.07016,156,12503,0.06303,0.07833
365,365,1997,North Rhine-Westphalia,Seldom,0.18957,468,12503,0.17519,0.20264
366,366,1997,North Rhine-Westphalia,Never,0.48042,1226,12503,0.45733,0.50071
367,367,1997,Hesse,At least once per week,0.29087,216,12503,0.26085,0.31829
368,368,1997,Hesse,At least once per month,0.05806,56,12503,0.04897,0.06691
369,369,1997,Hesse,Seldom,0.14533,128,12503,0.13188,0.16373
370,370,1997,Hesse,Never,0.50574,434,12503,0.46821,0.54278
371,371,1997,"Rhineland-Palatinate, Saarland",At least once per week,0.23187,156,12503,0.21268,0.25237
372,372,1997,"Rhineland-Palatinate, Saarland",At least once per month,0.04541,34,12503,0.03786,0.05381
373,373,1997,"Rhineland-Palatinate, Saarland",Seldom,0.16979,122,12503,0.15402,0.1872
374,374,1997,"Rhineland-Palatinate, Saarland",Never,0.55292,393,12503,0.51921,0.59324
375,375,1997,Baden-Wuerttemberg,At least once per week,0.25632,411,12503,0.23724,0.27866
376,376,1997,Baden-Wuerttemberg,At least once per month,0.05455,102,12503,0.04552,0.06339
377,377,1997,Baden-Wuerttemberg,Seldom,0.17665,313,12503,0.16027,0.19605
378,378,1997,Baden-Wuerttemberg,Never,0.51248,869,12503,0.48117,0.54435
379,379,1997,Bavaria,At least once per week,0.27585,424,12503,0.25623,0.29795
380,380,1997,Bavaria,At least once per month,0.07011,141,12503,0.06254,0.07762
381,381,1997,Bavaria,Seldom,0.21644,362,12503,0.19604,0.23861
382,382,1997,Bavaria,Never,0.43761,683,12503,0.4156,0.4703
383,383,1997,Berlin,At least once per week,0.28543,129,12503,0.25438,0.32598
384,384,1997,Berlin,Seldom,0.1984,98,12503,0.17636,0.22907
385,385,1997,Berlin,Never,0.51617,246,12503,0.46376,0.56633
386,386,1997,Brandenburg,At least once per week,0.14399,80,12503,0.12747,0.1637
387,387,1997,Brandenburg,Seldom,0.21733,131,12503,0.19699,0.24482
388,388,1997,Brandenburg,Never,0.63868,359,12503,0.60255,0.68269
389,389,1997,Mecklenburg-Western Pomerania,At least once per week,0.16563,65,12503,0.14173,0.19224
390,390,1997,Mecklenburg-Western Pomerania,Seldom,0.23732,82,12503,0.20162,0.27288
391,391,1997,Mecklenburg-Western Pomerania,Never,0.59705,214,12503,0.54736,0.64539
392,392,1997,Saxony,At least once per week,0.16218,191,12503,0.14717,0.17521
393,393,1997,Saxony,At least once per month,0.04488,57,12503,0.03779,0.05231
394,394,1997,Saxony,Seldom,0.18248,214,12503,0.1688,0.1969
395,395,1997,Saxony,Never,0.61046,608,12503,0.58404,0.63533
396,396,1997,Saxony-Anhalt,At least once per week,0.12591,98,12503,0.11183,0.14378
397,397,1997,Saxony-Anhalt,Seldom,0.18894,135,12503,0.16725,0.21034
398,398,1997,Saxony-Anhalt,Never,0.68515,402,12503,0.63964,0.73386
399,399,1997,Thuringa,At least once per week,0.13844,102,12503,0.12214,0.15504
400,400,1997,Thuringa,Seldom,0.22863,158,12503,0.20683,0.25436
401,401,1997,Thuringa,Never,0.63293,380,12503,0.59257,0.66732
402,402,1998,Schleswig-Holstein,At least once per week,0.40874,123,14006,0.37129,0.44957
403,403,1998,Schleswig-Holstein,At least once per month,0.09264,36,14006,0.07404,0.11196
404,404,1998,Schleswig-Holstein,Seldom,0.19998,72,14006,0.17137,0.22706
405,405,1998,Schleswig-Holstein,Never,0.29864,109,14006,0.26701,0.34121
406,406,1998,Hamburg,At least once per week,0.45497,55,14006,0.39017,0.53238
407,407,1998,Hamburg,Never,0.54503,62,14006,0.46228,0.62505
408,408,1998,Lower Saxony,At least once per week,0.35025,410,14006,0.32858,0.37353
409,409,1998,Lower Saxony,At least once per month,0.07918,97,14006,0.07,0.08877
410,410,1998,Lower Saxony,Seldom,0.19313,232,14006,0.1794,0.21394
411,411,1998,Lower Saxony,Never,0.37744,448,14006,0.35645,0.40613
412,412,1998,Bremen,At least once per week,0.34276,35,14006,0.26822,0.42793
413,413,1998,Bremen,Never,0.65724,44,14006,0.55829,0.74941
414,414,1998,North Rhine-Westphalia,At least once per week,0.31066,825,14006,0.29662,0.32465
415,415,1998,North Rhine-Westphalia,At least once per month,0.08721,238,14006,0.07972,0.09392
416,416,1998,North Rhine-Westphalia,Seldom,0.21466,625,14006,0.20379,0.22557
417,417,1998,North Rhine-Westphalia,Never,0.38748,1129,14006,0.3709,0.40479
418,418,1998,Hesse,At least once per week,0.30108,267,14006,0.28015,0.32247
419,419,1998,Hesse,At least once per month,0.07201,70,14006,0.05996,0.08487
420,420,1998,Hesse,Seldom,0.18082,177,14006,0.16388,0.19757
421,421,1998,Hesse,Never,0.44608,425,14006,0.41651,0.47684
422,422,1998,"Rhineland-Palatinate, Saarland",At least once per week,0.28689,224,14006,0.26596,0.30861
423,423,1998,"Rhineland-Palatinate, Saarland",At least once per month,0.05771,42,14006,0.04725,0.0708
424,424,1998,"Rhineland-Palatinate, Saarland",Seldom,0.17478,152,14006,0.15592,0.19336
425,425,1998,"Rhineland-Palatinate, Saarland",Never,0.48063,381,14006,0.45111,0.5123
426,426,1998,Baden-Wuerttemberg,At least once per week,0.31349,510,14006,0.28923,0.33496
427,427,1998,Baden-Wuerttemberg,At least once per month,0.08693,152,14006,0.07683,0.09874
428,428,1998,Baden-Wuerttemberg,Seldom,0.16801,324,14006,0.15237,0.18666
429,429,1998,Baden-Wuerttemberg,Never,0.43157,808,14006,0.41007,0.4598
430,430,1998,Bavaria,At least once per week,0.30536,539,14006,0.28817,0.32304
431,431,1998,Bavaria,At least once per month,0.0792,168,14006,0.07238,0.08747
432,432,1998,Bavaria,Seldom,0.24144,479,14006,0.22547,0.25863
433,433,1998,Bavaria,Never,0.37401,673,14006,0.35631,0.39677
434,434,1998,Berlin,At least once per week,0.31622,164,14006,0.27961,0.34875
435,435,1998,Berlin,At least once per month,0.08579,49,14006,0.07414,0.09575
436,436,1998,Berlin,Seldom,0.22587,122,14006,0.20469,0.25129
437,437,1998,Berlin,Never,0.37213,190,14006,0.34178,0.40168
438,438,1998,Brandenburg,At least once per week,0.22224,134,14006,0.19273,0.24703
439,439,1998,Brandenburg,Seldom,0.28341,177,14006,0.25773,0.31398
440,440,1998,Brandenburg,Never,0.49435,278,14006,0.46326,0.52539
441,441,1998,Mecklenburg-Western Pomerania,At least once per week,0.23093,102,14006,0.20792,0.25771
442,442,1998,Mecklenburg-Western Pomerania,Seldom,0.28326,104,14006,0.2485,0.32625
443,443,1998,Mecklenburg-Western Pomerania,Never,0.48581,177,14006,0.43893,0.53243
444,444,1998,Saxony,At least once per week,0.20201,257,14006,0.18972,0.21567
445,445,1998,Saxony,At least once per month,0.07284,91,14006,0.06339,0.08233
446,446,1998,Saxony,Seldom,0.24854,307,14006,0.23425,0.26637
447,447,1998,Saxony,Never,0.4766,512,14006,0.45073,0.49687
448,448,1998,Saxony-Anhalt,At least once per week,0.18203,133,14006,0.16036,0.20104
449,449,1998,Saxony-Anhalt,At least once per month,0.04856,37,14006,0.04016,0.05725
450,450,1998,Saxony-Anhalt,Seldom,0.2561,187,14006,0.23529,0.28462
451,451,1998,Saxony-Anhalt,Never,0.5133,328,14006,0.47976,0.5466
452,452,1998,Thuringa,At least once per week,0.19506,156,14006,0.17698,0.21562
453,453,1998,Thuringa,At least once per month,0.06343,54,14006,0.05301,0.07722
454,454,1998,Thuringa,Seldom,0.23579,196,14006,0.213,0.25691
455,455,1998,Thuringa,Never,0.50572,320,14006,0.47373,0.54095
456,456,1999,Schleswig-Holstein,At least once per week,0.36027,102,13365,0.32501,0.39846
457,457,1999,Schleswig-Holstein,Seldom,0.24023,74,13365,0.20781,0.27448
458,458,1999,Schleswig-Holstein,Never,0.3995,117,13365,0.35408,0.44329
459,459,1999,Hamburg,At least once per week,0.39527,42,13365,0.31769,0.46635
460,460,1999,Hamburg,Never,0.60473,62,13365,0.53214,0.69191
461,461,1999,Lower Saxony,At least once per week,0.29457,333,13365,0.275,0.31475
462,462,1999,Lower Saxony,At least once per month,0.08031,101,13365,0.0688,0.09556
463,463,1999,Lower Saxony,Seldom,0.19969,233,13365,0.18054,0.21626
464,464,1999,Lower Saxony,Never,0.42542,488,13365,0.40057,0.44868
465,465,1999,Bremen,Never,1.0,42,13365,0.79913,1.1542
466,466,1999,North Rhine-Westphalia,At least once per week,0.26343,679,13365,0.25058,0.27716
467,467,1999,North Rhine-Westphalia,At least once per month,0.06956,194,13365,0.06262,0.07691
468,468,1999,North Rhine-Westphalia,Seldom,0.19346,556,13365,0.18277,0.20393
469,469,1999,North Rhine-Westphalia,Never,0.47355,1243,13365,0.45328,0.4934
470,470,1999,Hesse,At least once per week,0.29699,250,13365,0.27383,0.32503
471,471,1999,Hesse,At least once per month,0.05508,55,13365,0.04302,0.06717
472,472,1999,Hesse,Seldom,0.14058,136,13365,0.12508,0.15824
473,473,1999,Hesse,Never,0.50735,441,13365,0.46916,0.54042
474,474,1999,"Rhineland-Palatinate, Saarland",At least once per week,0.25917,184,13365,0.23842,0.27987
475,475,1999,"Rhineland-Palatinate, Saarland",At least once per month,0.05428,34,13365,0.04327,0.06738
476,476,1999,"Rhineland-Palatinate, Saarland",Seldom,0.13069,125,13365,0.11927,0.14518
477,477,1999,"Rhineland-Palatinate, Saarland",Never,0.55586,421,13365,0.52472,0.58697
478,478,1999,Baden-Wuerttemberg,At least once per week,0.27842,446,13365,0.25935,0.2969
479,479,1999,Baden-Wuerttemberg,At least once per month,0.05327,108,13365,0.04262,0.06376
480,480,1999,Baden-Wuerttemberg,Seldom,0.16319,307,13365,0.14636,0.18114
481,481,1999,Baden-Wuerttemberg,Never,0.50512,853,13365,0.47673,0.52963
482,482,1999,Bavaria,At least once per week,0.27935,487,13365,0.26156,0.29675
483,483,1999,Bavaria,At least once per month,0.07808,157,13365,0.0712,0.08863
484,484,1999,Bavaria,Seldom,0.21942,407,13365,0.20483,0.23699
485,485,1999,Bavaria,Never,0.42315,727,13365,0.40039,0.44681
486,486,1999,Berlin,At least once per week,0.22637,122,13365,0.19913,0.25328
487,487,1999,Berlin,At least once per month,0.06345,31,13365,0.05436,0.07336
488,488,1999,Berlin,Seldom,0.27377,145,13365,0.24759,0.30463
489,489,1999,Berlin,Never,0.43641,210,13365,0.40608,0.47226
490,490,1999,Brandenburg,At least once per week,0.14091,77,13365,0.12113,0.16753
491,491,1999,Brandenburg,Seldom,0.24353,149,13365,0.22118,0.26819
492,492,1999,Brandenburg,Never,0.61556,335,13365,0.57069,0.64834
493,493,1999,Mecklenburg-Western Pomerania,At least once per week,0.19721,86,13365,0.17472,0.23075
494,494,1999,Mecklenburg-Western Pomerania,Seldom,0.25095,82,13365,0.20886,0.2908
495,495,1999,Mecklenburg-Western Pomerania,Never,0.55184,211,13365,0.51301,0.60054
496,496,1999,Saxony,At least once per week,0.17049,211,13365,0.15867,0.18229
497,497,1999,Saxony,At least once per month,0.06634,77,13365,0.05741,0.07809
498,498,1999,Saxony,Seldom,0.19068,229,13365,0.1774,0.20901
499,499,1999,Saxony,Never,0.57249,622,13365,0.54679,0.59619
500,500,1999,Saxony-Anhalt,At least once per week,0.1676,121,13365,0.14837,0.18771
501,501,1999,Saxony-Anhalt,Seldom,0.19821,142,13365,0.177,0.21981
502,502,1999,Saxony-Anhalt,Never,0.63419,401,13365,0.59599,0.67695
503,503,1999,Thuringa,At least once per week,0.12859,100,13365,0.11205,0.1457
504,504,1999,Thuringa,At least once per month,0.07011,56,13365,0.05789,0.08485
505,505,1999,Thuringa,Seldom,0.17978,155,13365,0.16311,0.20242
506,506,1999,Thuringa,Never,0.62151,399,13365,0.58085,0.6613
507,507,2001,Schleswig-Holstein,At least once per week,0.24122,152,21673,0.21729,0.26202
508,508,2001,Schleswig-Holstein,At least once per month,0.08815,61,21673,0.07918,0.09697
509,509,2001,Schleswig-Holstein,Seldom,0.20764,137,21673,0.18693,0.23
510,510,2001,Schleswig-Holstein,Never,0.46299,287,21673,0.43177,0.49343
511,511,2001,Hamburg,At least once per week,0.35381,93,21673,0.31811,0.39258
512,512,2001,Hamburg,Seldom,0.13298,36,21673,0.11395,0.15386
513,513,2001,Hamburg,Never,0.51321,130,21673,0.47457,0.5537
514,514,2001,Lower Saxony,At least once per week,0.29829,542,21673,0.28374,0.31303
515,515,2001,Lower Saxony,At least once per month,0.06837,126,21673,0.06157,0.07548
516,516,2001,Lower Saxony,Seldom,0.16142,313,21673,0.15099,0.17135
517,517,2001,Lower Saxony,Never,0.47192,853,21673,0.45315,0.48748
518,518,2001,Bremen,At least once per week,0.38746,49,21673,0.31476,0.4692
519,519,2001,Bremen,Never,0.61254,67,21673,0.547,0.676
520,520,2001,North Rhine-Westphalia,At least once per week,0.29469,1368,21673,0.28496,0.30484
521,521,2001,North Rhine-Westphalia,At least once per month,0.06155,294,21673,0.05697,0.06583
522,522,2001,North Rhine-Westphalia,Seldom,0.15395,734,21673,0.14643,0.16279
523,523,2001,North Rhine-Westphalia,Never,0.48981,2199,21673,0.47891,0.4994
524,524,2001,Hesse,At least once per week,0.29717,444,21673,0.28056,0.31191
525,525,2001,Hesse,At least once per month,0.05164,75,21673,0.04462,0.05961
526,526,2001,Hesse,Seldom,0.12398,197,21673,0.11383,0.13473
527,527,2001,Hesse,Never,0.52722,757,21673,0.50159,0.54744
528,528,2001,"Rhineland-Palatinate, Saarland",At least once per week,0.259,362,21673,0.24437,0.27481
529,529,2001,"Rhineland-Palatinate, Saarland",At least once per month,0.03517,50,21673,0.03007,0.04209
530,530,2001,"Rhineland-Palatinate, Saarland",Seldom,0.15329,202,21673,0.14037,0.16554
531,531,2001,"Rhineland-Palatinate, Saarland",Never,0.55254,732,21673,0.53325,0.57621
532,532,2001,Baden-Wuerttemberg,At least once per week,0.30069,755,21673,0.28722,0.31722
533,533,2001,Baden-Wuerttemberg,At least once per month,0.07394,184,21673,0.06645,0.08125
534,534,2001,Baden-Wuerttemberg,Seldom,0.14842,389,21673,0.13766,0.15913
535,535,2001,Baden-Wuerttemberg,Never,0.47694,1253,21673,0.45792,0.49764
536,536,2001,Bavaria,At least once per week,0.27425,842,21673,0.26074,0.28602
537,537,2001,Bavaria,At least once per month,0.07346,233,21673,0.06644,0.08077
538,538,2001,Bavaria,Seldom,0.16694,529,21673,0.15677,0.17729
539,539,2001,Bavaria,Never,0.48535,1403,21673,0.47044,0.50152
540,540,2001,Berlin,At least once per week,0.29594,242,21673,0.2732,0.31622
541,541,2001,Berlin,At least once per month,0.06792,57,21673,0.05701,0.08338
542,542,2001,Berlin,Seldom,0.22559,182,21673,0.2092,0.24458
543,543,2001,Berlin,Never,0.41055,305,21673,0.38397,0.43439
544,544,2001,Brandenburg,At least once per week,0.19312,189,21673,0.17768,0.20642
545,545,2001,Brandenburg,At least once per month,0.06036,56,21673,0.05164,0.07117
546,546,2001,Brandenburg,Seldom,0.19228,194,21673,0.1739,0.20938
547,547,2001,Brandenburg,Never,0.55423,507,21673,0.52933,0.57789
548,548,2001,Mecklenburg-Western Pomerania,At least once per week,0.20429,113,21673,0.18322,0.22371
549,549,2001,Mecklenburg-Western Pomerania,At least once per month,0.06139,31,21673,0.04777,0.07484
550,550,2001,Mecklenburg-Western Pomerania,Seldom,0.1609,92,21673,0.13521,0.18652
551,551,2001,Mecklenburg-Western Pomerania,Never,0.57341,273,21673,0.53532,0.61014
552,552,2001,Saxony,At least once per week,0.21416,344,21673,0.20154,0.22457
553,553,2001,Saxony,At least once per month,0.04906,88,21673,0.04314,0.05486
554,554,2001,Saxony,Seldom,0.16719,300,21673,0.15622,0.17797
555,555,2001,Saxony,Never,0.56959,901,21673,0.55075,0.59108
556,556,2001,Saxony-Anhalt,At least once per week,0.16802,191,21673,0.15485,0.18187
557,557,2001,Saxony-Anhalt,At least once per month,0.03928,42,21673,0.03179,0.04682
558,558,2001,Saxony-Anhalt,Seldom,0.13972,157,21673,0.12764,0.15403
559,559,2001,Saxony-Anhalt,Never,0.65299,602,21673,0.62789,0.68321
560,560,2001,Thuringa,At least once per week,0.15703,167,21673,0.14219,0.17498
561,561,2001,Thuringa,At least once per month,0.04457,45,21673,0.03383,0.0552
562,562,2001,Thuringa,Seldom,0.16633,184,21673,0.1554,0.18187
563,563,2001,Thuringa,Never,0.63208,563,21673,0.60055,0.66575
564,564,2003,Schleswig-Holstein,At least once per week,0.31589,220,21969,0.28179,0.35194
565,565,2003,Schleswig-Holstein,At least once per month,0.12465,96,21969,0.10974,0.14292
566,566,2003,Schleswig-Holstein,Seldom,0.21936,131,21969,0.19717,0.24631
567,567,2003,Schleswig-Holstein,Never,0.3401,217,21969,0.30797,0.36692
568,568,2003,Hamburg,At least once per week,0.37639,121,21969,0.31067,0.43929
569,569,2003,Hamburg,Seldom,0.16486,40,21969,0.12982,0.20201
570,570,2003,Hamburg,Never,0.45875,113,21969,0.40378,0.51212
571,571,2003,Lower Saxony,At least once per week,0.37487,780,21969,0.35804,0.39744
572,572,2003,Lower Saxony,At least once per month,0.06704,127,21969,0.05919,0.0767
573,573,2003,Lower Saxony,Seldom,0.17866,329,21969,0.16332,0.19155
574,574,2003,Lower Saxony,Never,0.37943,665,21969,0.36244,0.39852
575,575,2003,Bremen,At least once per week,0.4842,77,21969,0.39723,0.58392
576,576,2003,Bremen,Never,0.5158,55,21969,0.43317,0.5974
577,577,2003,North Rhine-Westphalia,At least once per week,0.34298,1683,21969,0.32807,0.35744
578,578,2003,North Rhine-Westphalia,At least once per month,0.06967,346,21969,0.06449,0.0755
579,579,2003,North Rhine-Westphalia,Seldom,0.17324,817,21969,0.16465,0.18386
580,580,2003,North Rhine-Westphalia,Never,0.41411,1766,21969,0.39887,0.42958
581,581,2003,Hesse,At least once per week,0.32901,580,21969,0.31075,0.35154
582,582,2003,Hesse,At least once per month,0.07946,115,21969,0.06803,0.09126
583,583,2003,Hesse,Seldom,0.16192,240,21969,0.14695,0.17813
584,584,2003,Hesse,Never,0.42961,556,21969,0.40797,0.45533
585,585,2003,"Rhineland-Palatinate, Saarland",At least once per week,0.28223,418,21969,0.25835,0.30608
586,586,2003,"Rhineland-Palatinate, Saarland",At least once per month,0.06621,82,21969,0.05617,0.07784
587,587,2003,"Rhineland-Palatinate, Saarland",Seldom,0.19303,247,21969,0.17845,0.20835
588,588,2003,"Rhineland-Palatinate, Saarland",Never,0.45853,592,21969,0.43349,0.47736
589,589,2003,Baden-Wuerttemberg,At least once per week,0.36537,1018,21969,0.34762,0.38712
590,590,2003,Baden-Wuerttemberg,At least once per month,0.07314,198,21969,0.06579,0.08066
591,591,2003,Baden-Wuerttemberg,Seldom,0.17987,469,21969,0.16859,0.19617
592,592,2003,Baden-Wuerttemberg,Never,0.38162,992,21969,0.36395,0.4021
593,593,2003,Bavaria,At least once per week,0.33693,1188,21969,0.32079,0.3568
594,594,2003,Bavaria,At least once per month,0.08461,276,21969,0.07679,0.09293
595,595,2003,Bavaria,Seldom,0.20784,673,21969,0.19183,0.21982
596,596,2003,Bavaria,Never,0.37061,974,21969,0.35716,0.38731
597,597,2003,Berlin,At least once per week,0.38676,326,21969,0.35152,0.41772
598,598,2003,Berlin,At least once per month,0.08954,79,21969,0.07334,0.1016
599,599,2003,Berlin,Seldom,0.20629,178,21969,0.18351,0.23143
600,600,2003,Berlin,Never,0.31741,236,21969,0.29086,0.342
601,601,2003,Brandenburg,At least once per week,0.26954,267,21969,0.2478,0.29803
602,602,2003,Brandenburg,At least once per month,0.08795,82,21969,0.07595,0.10293
603,603,2003,Brandenburg,Seldom,0.22324,229,21969,0.20349,0.24364
604,604,2003,Brandenburg,Never,0.41927,360,21969,0.39417,0.4475
605,605,2003,Mecklenburg-Western Pomerania,At least once per week,0.31253,177,21969,0.27599,0.35606
606,606,2003,Mecklenburg-Western Pomerania,At least once per month,0.05216,34,21969,0.03793,0.068
607,607,2003,Mecklenburg-Western Pomerania,Seldom,0.19006,105,21969,0.1665,0.2149
608,608,2003,Mecklenburg-Western Pomerania,Never,0.44525,208,21969,0.40974,0.48202
609,609,2003,Saxony,At least once per week,0.29946,489,21969,0.28047,0.31988
610,610,2003,Saxony,At least once per month,0.08399,139,21969,0.0721,0.09513
611,611,2003,Saxony,Seldom,0.19955,336,21969,0.18471,0.21766
612,612,2003,Saxony,Never,0.417,643,21969,0.39888,0.43421
613,613,2003,Saxony-Anhalt,At least once per week,0.22819,231,21969,0.20667,0.25407
614,614,2003,Saxony-Anhalt,At least once per month,0.05274,57,21969,0.04307,0.06529
615,615,2003,Saxony-Anhalt,Seldom,0.21045,222,21969,0.18907,0.23204
616,616,2003,Saxony-Anhalt,Never,0.50861,418,21969,0.48246,0.5332
617,617,2003,Thuringa,At least once per week,0.24108,253,21969,0.21589,0.26511
618,618,2003,Thuringa,At least once per month,0.05803,63,21969,0.04774,0.06799
619,619,2003,Thuringa,Seldom,0.22227,222,21969,0.19704,0.25251
620,620,2003,Thuringa,Never,0.47862,414,21969,0.44942,0.50466
621,621,2005,Schleswig-Holstein,At least once per week,0.30382,207,20498,0.27122,0.33569
622,622,2005,Schleswig-Holstein,At least once per month,0.11257,76,20498,0.09075,0.13463
623,623,2005,Schleswig-Holstein,Seldom,0.25948,150,20498,0.23247,0.28716
624,624,2005,Schleswig-Holstein,Never,0.32413,208,20498,0.29366,0.35633
625,625,2005,Hamburg,At least once per week,0.46629,126,20498,0.40089,0.53825
626,626,2005,Hamburg,Seldom,0.1048,36,20498,0.07849,0.13259
627,627,2005,Hamburg,Never,0.42892,103,20498,0.37049,0.47998
628,628,2005,Lower Saxony,At least once per week,0.33502,654,20498,0.30994,0.35602
629,629,2005,Lower Saxony,At least once per month,0.07224,126,20498,0.06422,0.08295
630,630,2005,Lower Saxony,Seldom,0.16853,293,20498,0.15324,0.1895
631,631,2005,Lower Saxony,Never,0.42422,696,20498,0.39722,0.44648
632,632,2005,Bremen,At least once per week,0.38933,53,20498,0.30212,0.49507
633,633,2005,Bremen,Never,0.61067,52,20498,0.52412,0.70591
634,634,2005,North Rhine-Westphalia,At least once per week,0.32042,1493,20498,0.30655,0.33597
635,635,2005,North Rhine-Westphalia,At least once per month,0.07355,326,20498,0.06774,0.08123
636,636,2005,North Rhine-Westphalia,Seldom,0.16318,746,20498,0.15409,0.17428
637,637,2005,North Rhine-Westphalia,Never,0.44285,1762,20498,0.42978,0.45549
638,638,2005,Hesse,At least once per week,0.35285,531,20498,0.32996,0.37692
639,639,2005,Hesse,At least once per month,0.07747,98,20498,0.06633,0.08967
640,640,2005,Hesse,Seldom,0.1719,228,20498,0.15546,0.192
641,641,2005,Hesse,Never,0.39778,507,20498,0.37274,0.42211
642,642,2005,"Rhineland-Palatinate, Saarland",At least once per week,0.27331,374,20498,0.24961,0.29944
643,643,2005,"Rhineland-Palatinate, Saarland",At least once per month,0.05422,66,20498,0.04564,0.06417
644,644,2005,"Rhineland-Palatinate, Saarland",Seldom,0.18018,202,20498,0.15649,0.20227
645,645,2005,"Rhineland-Palatinate, Saarland",Never,0.4923,592,20498,0.46407,0.51757
646,646,2005,Baden-Wuerttemberg,At least once per week,0.33722,916,20498,0.32033,0.35609
647,647,2005,Baden-Wuerttemberg,At least once per month,0.08856,202,20498,0.07817,0.10073
648,648,2005,Baden-Wuerttemberg,Seldom,0.16141,380,20498,0.14641,0.1749
649,649,2005,Baden-Wuerttemberg,Never,0.41281,1000,20498,0.39457,0.43517
650,650,2005,Bavaria,At least once per week,0.31103,1004,20498,0.29592,0.3279
651,651,2005,Bavaria,At least once per month,0.09762,285,20498,0.08872,0.10927
652,652,2005,Bavaria,Seldom,0.20097,628,20498,0.18621,0.21686
653,653,2005,Bavaria,Never,0.39039,960,20498,0.37484,0.40899
654,654,2005,Berlin,At least once per week,0.31138,261,20498,0.28135,0.34803
655,655,2005,Berlin,At least once per month,0.09002,60,20498,0.07265,0.10934
656,656,2005,Berlin,Seldom,0.19091,151,20498,0.1657,0.21708
657,657,2005,Berlin,Never,0.40769,279,20498,0.37409,0.44054
658,658,2005,Brandenburg,At least once per week,0.21139,221,20498,0.18712,0.24063
659,659,2005,Brandenburg,At least once per month,0.06825,63,20498,0.05501,0.08386
660,660,2005,Brandenburg,Seldom,0.25858,208,20498,0.23289,0.2885
661,661,2005,Brandenburg,Never,0.46177,386,20498,0.42816,0.49364
662,662,2005,Mecklenburg-Western Pomerania,At least once per week,0.20587,118,20498,0.17926,0.23501
663,663,2005,Mecklenburg-Western Pomerania,At least once per month,0.05296,41,20498,0.04254,0.06364
664,664,2005,Mecklenburg-Western Pomerania,Seldom,0.24024,120,20498,0.19731,0.2854
665,665,2005,Mecklenburg-Western Pomerania,Never,0.50094,222,20498,0.46068,0.5434
666,666,2005,Saxony,At least once per week,0.23887,384,20498,0.21958,0.2596
667,667,2005,Saxony,At least once per month,0.0842,128,20498,0.07303,0.09947
668,668,2005,Saxony,Seldom,0.20537,331,20498,0.18734,0.22758
669,669,2005,Saxony,Never,0.47156,671,20498,0.44772,0.49865
670,670,2005,Saxony-Anhalt,At least once per week,0.20202,211,20498,0.1757,0.23063
671,671,2005,Saxony-Anhalt,At least once per month,0.07021,59,20498,0.05202,0.09769
672,672,2005,Saxony-Anhalt,Seldom,0.17364,172,20498,0.15653,0.1931
673,673,2005,Saxony-Anhalt,Never,0.55413,446,20498,0.52021,0.58751
674,674,2005,Thuringa,At least once per week,0.21754,198,20498,0.19133,0.24758
675,675,2005,Thuringa,At least once per month,0.05021,55,20498,0.0424,0.06059
676,676,2005,Thuringa,Seldom,0.21031,193,20498,0.17992,0.24009
