,Unnamed: 0,year,sampreg,pli0092_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
118,118,2009,West,Seldom,0.1765,2310,17919,0.16972,0.18407
119,119,2009,West,Never,0.37137,4850,17919,0.36303,0.37891
120,120,2009,East,At least once per week,0.27244,1257,17919,0.25614,0.28981
121,121,2009,East,At least once per month,0.07439,341,17919,0.06621,0.08269
122,122,2009,East,Seldom,0.1872,899,17919,0.17472,0.20191
123,123,2009,East,Never,0.46597,2015,17919,0.44714,0.48339
124,124,2011,West,At least once per week,0.38148,8557,28258,0.37134,0.39067
125,125,2011,West,At least once per month,0.06488,1402,28258,0.0611,0.06904
126,126,2011,West,Seldom,0.15931,3497,28258,0.1529,0.16514
127,127,2011,West,Never,0.39433,8514,28258,0.38553,0.40235
128,128,2011,East,At least once per week,0.2965,1790,28258,0.28115,0.31136
129,129,2011,East,At least once per month,0.06425,404,28258,0.05821,0.07015
130,130,2011,East,Seldom,0.17338,1086,28258,0.16,0.18701
131,131,2011,East,Never,0.46587,3008,28258,0.45098,0.48185
132,132,2013,West,At least once per week,0.50032,9818,25384,0.48948,0.51002
133,133,2013,West,At least once per month,0.05217,968,25384,0.04854,0.0563
134,134,2013,West,Seldom,0.1358,2720,25384,0.13054,0.1409
135,135,2013,West,Never,0.31171,6193,25384,0.30417,0.31985
136,136,2013,East,At least once per week,0.39995,2236,25384,0.3805,0.41719
137,137,2013,East,At least once per month,0.05034,280,25384,0.04338,0.05716
138,138,2013,East,Seldom,0.17509,934,25384,0.15984,0.18982
139,139,2013,East,Never,0.37462,2235,25384,0.36229,0.39023
140,140,2015,West,At least once per week,0.44998,9396,26690,0.4393,0.45991
141,141,2015,West,At least once per month,0.056,1126,26690,0.05236,0.06022
142,142,2015,West,Seldom,0.13423,2934,26690,0.12844,0.14019
143,143,2015,West,Never,0.3598,7852,26690,0.35035,0.36907
144,144,2015,East,At least once per week,0.34608,1836,26690,0.3283,0.36389
145,145,2015,East,At least once per month,0.0571,313,26690,0.05058,0.06534
146,146,2015,East,Seldom,0.14047,739,26690,0.1287,0.15514
147,147,2015,East,Never,0.45635,2494,26690,0.43622,0.47642
148,148,2017,West,At least once per week,0.47121,10844,30424,0.46068,0.48169
149,149,2017,West,At least once per month,0.0512,1250,30424,0.04776,0.05533
150,150,2017,West,Seldom,0.12868,3215,30424,0.12191,0.13405
151,151,2017,West,Never,0.34892,8959,30424,0.34085,0.35802
152,152,2017,East,At least once per week,0.37982,2257,30424,0.35897,0.39769
153,153,2017,East,At least once per month,0.05472,313,30424,0.04622,0.06366
