,Unnamed: 0,year,bula_h,pgisced97,ple0005,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
264,264,2004,Saxony,Second Stage of Tertiary Education,A Little,0.3772,131,19580,0.33417,0.4303
265,265,2004,Saxony,Second Stage of Tertiary Education,Not at all,0.4593,199,19580,0.40348,0.53291
266,266,2004,Saxony-Anhalt,Pre-primary Level,Not at all,1.0,32,19580,0.69974,1.30395
267,267,2004,Saxony-Anhalt,Lower Secondary Level,Not at all,1.0,33,19580,0.68454,1.39547
268,268,2004,Saxony-Anhalt,Upper Secondary Level,Strong,0.14538,60,19580,0.12738,0.16414
269,269,2004,Saxony-Anhalt,Upper Secondary Level,A Little,0.44993,199,19580,0.40931,0.49464
270,270,2004,Saxony-Anhalt,Upper Secondary Level,Not at all,0.40469,193,19580,0.36584,0.4461
271,271,2004,Saxony-Anhalt,First Stage of Tertiary Education,A Little,1.0,39,19580,0.82476,1.19336
272,272,2004,Saxony-Anhalt,Second Stage of Tertiary Education,Strong,0.21208,32,19580,0.18214,0.25182
273,273,2004,Saxony-Anhalt,Second Stage of Tertiary Education,A Little,0.39632,88,19580,0.34093,0.45337
274,274,2004,Saxony-Anhalt,Second Stage of Tertiary Education,Not at all,0.3916,102,19580,0.33037,0.46639
275,275,2004,Thuringa,Upper Secondary Level,Strong,0.17173,85,19580,0.14622,0.19613
276,276,2004,Thuringa,Upper Secondary Level,A Little,0.42807,243,19580,0.3981,0.46471
277,277,2004,Thuringa,Upper Secondary Level,Not at all,0.4002,240,19580,0.35545,0.4434
278,278,2004,Thuringa,First Stage of Tertiary Education,A Little,1.0,35,19580,0.7612,1.24654
279,279,2004,Thuringa,Second Stage of Tertiary Education,A Little,0.51653,68,19580,0.42661,0.61582
280,280,2004,Thuringa,Second Stage of Tertiary Education,Not at all,0.48347,87,19580,0.37075,0.62122
281,281,2006,Schleswig-Holstein,Upper Secondary Level,Strong,0.12227,47,19767,0.10177,0.14656
282,282,2006,Schleswig-Holstein,Upper Secondary Level,A Little,0.42022,133,19767,0.3842,0.46658
283,283,2006,Schleswig-Holstein,Upper Secondary Level,Not at all,0.45752,171,19767,0.41043,0.50539
284,284,2006,Schleswig-Holstein,First Stage of Tertiary Education,Not at all,1.0,31,19767,0.73639,1.27355
285,285,2006,Schleswig-Holstein,Second Stage of Tertiary Education,A Little,0.34677,41,19767,0.26128,0.45733
286,286,2006,Schleswig-Holstein,Second Stage of Tertiary Education,Not at all,0.65323,67,19767,0.52985,0.80749
287,287,2006,Hamburg,Upper Secondary Level,A Little,0.37267,38,19767,0.27828,0.44016
288,288,2006,Hamburg,Upper Secondary Level,Not at all,0.62733,75,19767,0.5328,0.72987
289,289,2006,Hamburg,Second Stage of Tertiary Education,Not at all,1.0,60,19767,0.76144,1.26936
290,290,2006,Lower Saxony,Pre-primary Level,Not at all,1.0,35,19767,0.71843,1.41412
291,291,2006,Lower Saxony,Lower Secondary Level,Strong,0.23995,57,19767,0.20152,0.27825
292,292,2006,Lower Saxony,Lower Secondary Level,A Little,0.35866,95,19767,0.30778,0.4131
293,293,2006,Lower Saxony,Lower Secondary Level,Not at all,0.40139,102,19767,0.34012,0.46614
294,294,2006,Lower Saxony,Upper Secondary Level,Strong,0.13984,144,19767,0.12452,0.15498
295,295,2006,Lower Saxony,Upper Secondary Level,A Little,0.38003,381,19767,0.3569,0.40453
296,296,2006,Lower Saxony,Upper Secondary Level,Not at all,0.48013,499,19767,0.44921,0.50619
297,297,2006,Lower Saxony,Post-secondary Non-tertiary Level,A Little,0.3601,40,19767,0.27021,0.46006
298,298,2006,Lower Saxony,Post-secondary Non-tertiary Level,Not at all,0.6399,71,19767,0.54182,0.7462
299,299,2006,Lower Saxony,First Stage of Tertiary Education,A Little,0.43458,46,19767,0.33936,0.53947
300,300,2006,Lower Saxony,First Stage of Tertiary Education,Not at all,0.56542,68,19767,0.48771,0.67252
301,301,2006,Lower Saxony,Second Stage of Tertiary Education,A Little,0.35527,95,19767,0.30288,0.41263
302,302,2006,Lower Saxony,Second Stage of Tertiary Education,Not at all,0.64473,204,19767,0.56665,0.72134
303,303,2006,Bremen,Upper Secondary Level,Not at all,1.0,34,19767,0.71397,1.32069
304,304,2006,North Rhine-Westphalia,Pre-primary Level,Not at all,1.0,81,19767,0.79025,1.21882
305,305,2006,North Rhine-Westphalia,Primary Level,A Little,1.0,33,19767,0.75891,1.2873
306,306,2006,North Rhine-Westphalia,Lower Secondary Level,Strong,0.24385,128,19767,0.21967,0.26873
307,307,2006,North Rhine-Westphalia,Lower Secondary Level,A Little,0.27942,172,19767,0.25591,0.30472
308,308,2006,North Rhine-Westphalia,Lower Secondary Level,Not at all,0.47673,261,19767,0.43785,0.53017
309,309,2006,North Rhine-Westphalia,Upper Secondary Level,Strong,0.18485,365,19767,0.17477,0.19702
310,310,2006,North Rhine-Westphalia,Upper Secondary Level,A Little,0.34049,746,19767,0.32166,0.35826
311,311,2006,North Rhine-Westphalia,Upper Secondary Level,Not at all,0.47467,1092,19767,0.45274,0.495
312,312,2006,North Rhine-Westphalia,Post-secondary Non-tertiary Level,A Little,0.344,99,19767,0.29884,0.40293
313,313,2006,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not at all,0.656,220,19767,0.59302,0.71564
314,314,2006,North Rhine-Westphalia,First Stage of Tertiary Education,Strong,0.17149,46,19767,0.1268,0.21047
315,315,2006,North Rhine-Westphalia,First Stage of Tertiary Education,A Little,0.37547,111,19767,0.32223,0.43504
316,316,2006,North Rhine-Westphalia,First Stage of Tertiary Education,Not at all,0.45304,161,19767,0.39314,0.51022
317,317,2006,North Rhine-Westphalia,Second Stage of Tertiary Education,Strong,0.09373,71,19767,0.07763,0.11323
318,318,2006,North Rhine-Westphalia,Second Stage of Tertiary Education,A Little,0.30069,250,19767,0.26707,0.33791
319,319,2006,North Rhine-Westphalia,Second Stage of Tertiary Education,Not at all,0.60558,544,19767,0.56904,0.6504
320,320,2006,Hesse,Lower Secondary Level,Strong,0.34754,48,19767,0.30046,0.40999
321,321,2006,Hesse,Lower Secondary Level,A Little,0.34916,62,19767,0.2905,0.41972
322,322,2006,Hesse,Lower Secondary Level,Not at all,0.30331,52,19767,0.23331,0.36055
323,323,2006,Hesse,Upper Secondary Level,Strong,0.18334,126,19767,0.16504,0.20309
324,324,2006,Hesse,Upper Secondary Level,A Little,0.35992,259,19767,0.32656,0.38964
325,325,2006,Hesse,Upper Secondary Level,Not at all,0.45674,316,19767,0.42061,0.49525
326,326,2006,Hesse,Post-secondary Non-tertiary Level,A Little,0.43961,39,19767,0.3379,0.55739
327,327,2006,Hesse,Post-secondary Non-tertiary Level,Not at all,0.56039,56,19767,0.45344,0.66855
328,328,2006,Hesse,First Stage of Tertiary Education,A Little,0.55875,45,19767,0.43698,0.69791
329,329,2006,Hesse,First Stage of Tertiary Education,Not at all,0.44125,36,19767,0.34418,0.57077
330,330,2006,Hesse,Second Stage of Tertiary Education,A Little,0.34584,109,19767,0.28218,0.42078
331,331,2006,Hesse,Second Stage of Tertiary Education,Not at all,0.65416,225,19767,0.57628,0.73537
332,332,2006,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Strong,0.27356,56,19767,0.23503,0.32068
333,333,2006,"Rhineland-Palatinate, Saarland",Lower Secondary Level,A Little,0.29708,64,19767,0.2551,0.34581
334,334,2006,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not at all,0.42936,96,19767,0.35936,0.50355
335,335,2006,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Strong,0.15586,96,19767,0.13812,0.17276
336,336,2006,"Rhineland-Palatinate, Saarland",Upper Secondary Level,A Little,0.33699,207,19767,0.30858,0.36625
337,337,2006,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not at all,0.50714,356,19767,0.47335,0.54614
338,338,2006,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Not at all,1.0,40,19767,0.76672,1.30752
339,339,2006,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Not at all,1.0,67,19767,0.82309,1.16594
340,340,2006,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,A Little,0.26182,53,19767,0.20177,0.32243
341,341,2006,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Not at all,0.73818,124,19767,0.6178,0.86732
342,342,2006,Baden-Wuerttemberg,Pre-primary Level,Not at all,1.0,65,19767,0.82961,1.22406
343,343,2006,Baden-Wuerttemberg,Lower Secondary Level,Strong,0.25527,84,19767,0.22213,0.28659
344,344,2006,Baden-Wuerttemberg,Lower Secondary Level,A Little,0.36612,139,19767,0.32789,0.41374
345,345,2006,Baden-Wuerttemberg,Lower Secondary Level,Not at all,0.37861,171,19767,0.32359,0.44181
346,346,2006,Baden-Wuerttemberg,Upper Secondary Level,Strong,0.13976,175,19767,0.12248,0.15155
347,347,2006,Baden-Wuerttemberg,Upper Secondary Level,A Little,0.34549,400,19767,0.31629,0.37317
348,348,2006,Baden-Wuerttemberg,Upper Secondary Level,Not at all,0.51475,702,19767,0.48149,0.54765
349,349,2006,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,A Little,0.34981,45,19767,0.26503,0.44198
350,350,2006,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Not at all,0.65019,91,19767,0.53454,0.77966
351,351,2006,Baden-Wuerttemberg,First Stage of Tertiary Education,A Little,0.38568,75,19767,0.31592,0.45838
352,352,2006,Baden-Wuerttemberg,First Stage of Tertiary Education,Not at all,0.61432,114,19767,0.5106,0.71564
353,353,2006,Baden-Wuerttemberg,Second Stage of Tertiary Education,Strong,0.09955,39,19767,0.07394,0.12629
354,354,2006,Baden-Wuerttemberg,Second Stage of Tertiary Education,A Little,0.29608,150,19767,0.25311,0.3408
355,355,2006,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not at all,0.60437,333,19767,0.54779,0.65579
356,356,2006,Bavaria,Pre-primary Level,Not at all,1.0,42,19767,0.74734,1.29045
357,357,2006,Bavaria,Lower Secondary Level,Strong,0.22332,77,19767,0.19315,0.25643
358,358,2006,Bavaria,Lower Secondary Level,A Little,0.38179,137,19767,0.34252,0.41546
359,359,2006,Bavaria,Lower Secondary Level,Not at all,0.39489,145,19767,0.35751,0.44343
360,360,2006,Bavaria,Upper Secondary Level,Strong,0.16651,241,19767,0.15154,0.18179
361,361,2006,Bavaria,Upper Secondary Level,A Little,0.36614,592,19767,0.34334,0.39063
362,362,2006,Bavaria,Upper Secondary Level,Not at all,0.46735,821,19767,0.44137,0.49161
363,363,2006,Bavaria,Post-secondary Non-tertiary Level,A Little,0.27782,45,19767,0.1954,0.37103
364,364,2006,Bavaria,Post-secondary Non-tertiary Level,Not at all,0.72218,96,19767,0.62513,0.86297
365,365,2006,Bavaria,First Stage of Tertiary Education,A Little,0.46707,97,19767,0.39786,0.54258
366,366,2006,Bavaria,First Stage of Tertiary Education,Not at all,0.53293,114,19767,0.45205,0.60967
367,367,2006,Bavaria,Second Stage of Tertiary Education,Strong,0.10174,56,19767,0.08211,0.12464
368,368,2006,Bavaria,Second Stage of Tertiary Education,A Little,0.33673,198,19767,0.30035,0.3815
369,369,2006,Bavaria,Second Stage of Tertiary Education,Not at all,0.56152,356,19767,0.50132,0.61968
370,370,2006,Berlin,Upper Secondary Level,Strong,0.18508,57,19767,0.16011,0.212
371,371,2006,Berlin,Upper Secondary Level,A Little,0.41234,134,19767,0.35978,0.45739
372,372,2006,Berlin,Upper Secondary Level,Not at all,0.40258,135,19767,0.35189,0.44739
373,373,2006,Berlin,Second Stage of Tertiary Education,A Little,0.47352,116,19767,0.41325,0.56159
374,374,2006,Berlin,Second Stage of Tertiary Education,Not at all,0.52648,119,19767,0.4475,0.61567
375,375,2006,Brandenburg,Lower Secondary Level,Not at all,1.0,37,19767,0.77882,1.23214
376,376,2006,Brandenburg,Upper Secondary Level,Strong,0.17742,80,19767,0.15769,0.20273
377,377,2006,Brandenburg,Upper Secondary Level,A Little,0.42156,198,19767,0.37219,0.47631
378,378,2006,Brandenburg,Upper Secondary Level,Not at all,0.40102,178,19767,0.35954,0.44493
379,379,2006,Brandenburg,First Stage of Tertiary Education,A Little,1.0,35,19767,0.75433,1.27811
380,380,2006,Brandenburg,Second Stage of Tertiary Education,Strong,0.17424,40,19767,0.13831,0.21611
381,381,2006,Brandenburg,Second Stage of Tertiary Education,A Little,0.52609,131,19767,0.44865,0.60002
382,382,2006,Brandenburg,Second Stage of Tertiary Education,Not at all,0.29967,95,19767,0.25489,0.34169
383,383,2006,Mecklenburg-Western Pomerania,Upper Secondary Level,Strong,0.15383,36,19767,0.12678,0.18485
384,384,2006,Mecklenburg-Western Pomerania,Upper Secondary Level,A Little,0.43748,126,19767,0.38103,0.48937
385,385,2006,Mecklenburg-Western Pomerania,Upper Secondary Level,Not at all,0.40869,123,19767,0.3635,0.45274
386,386,2006,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,A Little,0.56686,67,19767,0.46504,0.69439
387,387,2006,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Not at all,0.43314,64,19767,0.37242,0.51932
388,388,2006,Saxony,Lower Secondary Level,Not at all,1.0,50,19767,0.78421,1.22925
389,389,2006,Saxony,Upper Secondary Level,Strong,0.17276,139,19767,0.15095,0.19415
390,390,2006,Saxony,Upper Secondary Level,A Little,0.41813,354,19767,0.38749,0.45627
391,391,2006,Saxony,Upper Secondary Level,Not at all,0.4091,366,19767,0.3825,0.44048
392,392,2006,Saxony,First Stage of Tertiary Education,A Little,0.56079,65,19767,0.48539,0.64258
393,393,2006,Saxony,First Stage of Tertiary Education,Not at all,0.43921,50,19767,0.32893,0.56275
394,394,2006,Saxony,Second Stage of Tertiary Education,Strong,0.15247,44,19767,0.12734,0.18222
395,395,2006,Saxony,Second Stage of Tertiary Education,A Little,0.43677,170,19767,0.38941,0.48091
396,396,2006,Saxony,Second Stage of Tertiary Education,Not at all,0.41076,171,19767,0.3522,0.47429
397,397,2006,Saxony-Anhalt,Upper Secondary Level,Strong,0.17853,72,19767,0.1475,0.21058
398,398,2006,Saxony-Anhalt,Upper Secondary Level,A Little,0.34911,187,19767,0.31603,0.38511
399,399,2006,Saxony-Anhalt,Upper Secondary Level,Not at all,0.47237,210,19767,0.42682,0.52015
400,400,2006,Saxony-Anhalt,First Stage of Tertiary Education,A Little,0.52123,34,19767,0.38785,0.70444
401,401,2006,Saxony-Anhalt,First Stage of Tertiary Education,Not at all,0.47877,32,19767,0.29577,0.72624
402,402,2006,Saxony-Anhalt,Second Stage of Tertiary Education,Strong,0.16204,35,19767,0.12449,0.20191
403,403,2006,Saxony-Anhalt,Second Stage of Tertiary Education,A Little,0.38738,91,19767,0.33422,0.44851
404,404,2006,Saxony-Anhalt,Second Stage of Tertiary Education,Not at all,0.45058,97,19767,0.38446,0.53697
405,405,2006,Thuringa,Upper Secondary Level,Strong,0.17189,87,19767,0.15079,0.19475
406,406,2006,Thuringa,Upper Secondary Level,A Little,0.45164,263,19767,0.41162,0.50019
407,407,2006,Thuringa,Upper Secondary Level,Not at all,0.37647,231,19767,0.33828,0.4162
408,408,2006,Thuringa,First Stage of Tertiary Education,A Little,1.0,37,19767,0.75305,1.25973
409,409,2006,Thuringa,Second Stage of Tertiary Education,A Little,0.53061,79,19767,0.44169,0.6451
410,410,2006,Thuringa,Second Stage of Tertiary Education,Not at all,0.46939,86,19767,0.39052,0.55134
411,411,2008,Schleswig-Holstein,Upper Secondary Level,Strong,0.17177,50,17117,0.14058,0.20709
412,412,2008,Schleswig-Holstein,Upper Secondary Level,A Little,0.36507,103,17117,0.31264,0.41728
413,413,2008,Schleswig-Holstein,Upper Secondary Level,Not at all,0.46316,140,17117,0.40668,0.5319
414,414,2008,Schleswig-Holstein,Second Stage of Tertiary Education,A Little,0.39581,33,17117,0.29644,0.51139
415,415,2008,Schleswig-Holstein,Second Stage of Tertiary Education,Not at all,0.60419,49,17117,0.44219,0.80831
416,416,2008,Hamburg,Upper Secondary Level,A Little,0.43446,34,17117,0.35223,0.53669
417,417,2008,Hamburg,Upper Secondary Level,Not at all,0.56554,59,17117,0.4591,0.67155
418,418,2008,Hamburg,Second Stage of Tertiary Education,Not at all,1.0,55,17117,0.72516,1.31266
419,419,2008,Lower Saxony,Pre-primary Level,Not at all,1.0,37,17117,0.73653,1.34205
420,420,2008,Lower Saxony,Lower Secondary Level,Strong,0.27967,49,17117,0.21942,0.34974
421,421,2008,Lower Saxony,Lower Secondary Level,A Little,0.40151,81,17117,0.34066,0.46998
422,422,2008,Lower Saxony,Lower Secondary Level,Not at all,0.31882,74,17117,0.26964,0.37743
423,423,2008,Lower Saxony,Upper Secondary Level,Strong,0.15694,140,17117,0.13848,0.17375
424,424,2008,Lower Saxony,Upper Secondary Level,A Little,0.38958,349,17117,0.36176,0.41876
425,425,2008,Lower Saxony,Upper Secondary Level,Not at all,0.45348,438,17117,0.41854,0.48567
426,426,2008,Lower Saxony,Post-secondary Non-tertiary Level,Not at all,1.0,71,17117,0.82054,1.17687
427,427,2008,Lower Saxony,First Stage of Tertiary Education,A Little,0.4695,45,17117,0.3741,0.57408
428,428,2008,Lower Saxony,First Stage of Tertiary Education,Not at all,0.5305,57,17117,0.37939,0.69613
429,429,2008,Lower Saxony,Second Stage of Tertiary Education,A Little,0.35292,96,17117,0.29708,0.41544
430,430,2008,Lower Saxony,Second Stage of Tertiary Education,Not at all,0.64708,182,17117,0.55465,0.75594
431,431,2008,Bremen,Upper Secondary Level,Not at all,1.0,35,17117,0.71183,1.4045
432,432,2008,North Rhine-Westphalia,Pre-primary Level,Not at all,1.0,66,17117,0.79488,1.2114
433,433,2008,North Rhine-Westphalia,Lower Secondary Level,Strong,0.23867,111,17117,0.20953,0.26947
434,434,2008,North Rhine-Westphalia,Lower Secondary Level,A Little,0.29132,136,17117,0.25951,0.32392
435,435,2008,North Rhine-Westphalia,Lower Secondary Level,Not at all,0.47001,219,17117,0.42372,0.52285
436,436,2008,North Rhine-Westphalia,Upper Secondary Level,Strong,0.17411,299,17117,0.16169,0.1869
437,437,2008,North Rhine-Westphalia,Upper Secondary Level,A Little,0.34673,637,17117,0.32718,0.36676
438,438,2008,North Rhine-Westphalia,Upper Secondary Level,Not at all,0.47915,961,17117,0.45001,0.50591
439,439,2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,A Little,0.36123,88,17117,0.2966,0.43498
440,440,2008,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Not at all,0.63877,182,17117,0.56088,0.72375
441,441,2008,North Rhine-Westphalia,First Stage of Tertiary Education,Strong,0.12231,33,17117,0.08113,0.16563
442,442,2008,North Rhine-Westphalia,First Stage of Tertiary Education,A Little,0.46853,106,17117,0.38364,0.54726
443,443,2008,North Rhine-Westphalia,First Stage of Tertiary Education,Not at all,0.40917,134,17117,0.34261,0.46494
444,444,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Strong,0.10672,68,17117,0.0826,0.1306
445,445,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,A Little,0.31539,246,17117,0.28257,0.35233
446,446,2008,North Rhine-Westphalia,Second Stage of Tertiary Education,Not at all,0.57789,467,17117,0.51909,0.63447
447,447,2008,Hesse,Lower Secondary Level,Strong,0.3838,49,17117,0.3291,0.44935
448,448,2008,Hesse,Lower Secondary Level,A Little,0.39371,48,17117,0.3313,0.4718
449,449,2008,Hesse,Lower Secondary Level,Not at all,0.22249,37,17117,0.16111,0.2866
450,450,2008,Hesse,Upper Secondary Level,Strong,0.20377,120,17117,0.17978,0.22868
451,451,2008,Hesse,Upper Secondary Level,A Little,0.34718,227,17117,0.31268,0.37834
452,452,2008,Hesse,Upper Secondary Level,Not at all,0.44905,270,17117,0.40917,0.49941
453,453,2008,Hesse,Post-secondary Non-tertiary Level,A Little,0.39014,31,17117,0.26973,0.52731
454,454,2008,Hesse,Post-secondary Non-tertiary Level,Not at all,0.60986,56,17117,0.4636,0.79784
455,455,2008,Hesse,First Stage of Tertiary Education,Not at all,1.0,37,17117,0.72446,1.25613
456,456,2008,Hesse,Second Stage of Tertiary Education,A Little,0.37646,119,17117,0.3056,0.4411
457,457,2008,Hesse,Second Stage of Tertiary Education,Not at all,0.62354,190,17117,0.54361,0.71213
458,458,2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Strong,0.29929,46,17117,0.24753,0.34727
459,459,2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,A Little,0.3097,46,17117,0.26107,0.3684
460,460,2008,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Not at all,0.39101,72,17117,0.31884,0.47349
461,461,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Strong,0.15732,82,17117,0.13522,0.18023
462,462,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,A Little,0.31771,164,17117,0.28531,0.35536
463,463,2008,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Not at all,0.52498,315,17117,0.48028,0.56267
464,464,2008,"Rhineland-Palatinate, Saarland",Post-secondary Non-tertiary Level,Not at all,1.0,36,17117,0.7725,1.24542
465,465,2008,"Rhineland-Palatinate, Saarland",First Stage of Tertiary Education,Not at all,1.0,54,17117,0.80831,1.20229
466,466,2008,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,A Little,0.36081,54,17117,0.26719,0.45914
467,467,2008,"Rhineland-Palatinate, Saarland",Second Stage of Tertiary Education,Not at all,0.63919,111,17117,0.53619,0.74191
468,468,2008,Baden-Wuerttemberg,Pre-primary Level,Not at all,1.0,48,17117,0.69618,1.27379
469,469,2008,Baden-Wuerttemberg,Lower Secondary Level,Strong,0.23371,61,17117,0.18268,0.27291
470,470,2008,Baden-Wuerttemberg,Lower Secondary Level,A Little,0.43831,126,17117,0.37027,0.50092
471,471,2008,Baden-Wuerttemberg,Lower Secondary Level,Not at all,0.32798,117,17117,0.27674,0.38385
472,472,2008,Baden-Wuerttemberg,Upper Secondary Level,Strong,0.12847,150,17117,0.11135,0.14716
473,473,2008,Baden-Wuerttemberg,Upper Secondary Level,A Little,0.36996,383,17117,0.33933,0.40328
474,474,2008,Baden-Wuerttemberg,Upper Secondary Level,Not at all,0.50157,599,17117,0.46715,0.5343
475,475,2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,A Little,0.35715,40,17117,0.27065,0.45777
476,476,2008,Baden-Wuerttemberg,Post-secondary Non-tertiary Level,Not at all,0.64285,85,17117,0.50098,0.80221
477,477,2008,Baden-Wuerttemberg,First Stage of Tertiary Education,A Little,0.41328,62,17117,0.31665,0.50707
478,478,2008,Baden-Wuerttemberg,First Stage of Tertiary Education,Not at all,0.58672,88,17117,0.46232,0.71891
479,479,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Strong,0.09167,31,17117,0.06745,0.1216
480,480,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,A Little,0.3229,152,17117,0.28008,0.38311
481,481,2008,Baden-Wuerttemberg,Second Stage of Tertiary Education,Not at all,0.58542,273,17117,0.51114,0.65246
482,482,2008,Bavaria,Pre-primary Level,Not at all,1.0,35,17117,0.71378,1.46246
483,483,2008,Bavaria,Lower Secondary Level,Strong,0.24578,68,17117,0.2115,0.29738
484,484,2008,Bavaria,Lower Secondary Level,A Little,0.36005,108,17117,0.31173,0.40792
485,485,2008,Bavaria,Lower Secondary Level,Not at all,0.39418,125,17117,0.34492,0.44515
486,486,2008,Bavaria,Upper Secondary Level,Strong,0.173,223,17117,0.15907,0.19226
487,487,2008,Bavaria,Upper Secondary Level,A Little,0.35707,517,17117,0.32931,0.38349
488,488,2008,Bavaria,Upper Secondary Level,Not at all,0.46993,705,17117,0.44151,0.49913
489,489,2008,Bavaria,Post-secondary Non-tertiary Level,A Little,0.37252,48,17117,0.29385,0.45861
490,490,2008,Bavaria,Post-secondary Non-tertiary Level,Not at all,0.62748,79,17117,0.51065,0.75872
491,491,2008,Bavaria,First Stage of Tertiary Education,Strong,0.14063,32,17117,0.09839,0.18165
492,492,2008,Bavaria,First Stage of Tertiary Education,A Little,0.43549,89,17117,0.35626,0.50505
493,493,2008,Bavaria,First Stage of Tertiary Education,Not at all,0.42388,89,17117,0.3496,0.49791
494,494,2008,Bavaria,Second Stage of Tertiary Education,Strong,0.07412,40,17117,0.05447,0.09464
495,495,2008,Bavaria,Second Stage of Tertiary Education,A Little,0.2993,178,17117,0.26304,0.34318
496,496,2008,Bavaria,Second Stage of Tertiary Education,Not at all,0.62658,338,17117,0.57327,0.6926
497,497,2008,Berlin,Upper Secondary Level,Strong,0.17491,46,17117,0.14104,0.2071
498,498,2008,Berlin,Upper Secondary Level,A Little,0.43114,118,17117,0.38166,0.48649
499,499,2008,Berlin,Upper Secondary Level,Not at all,0.39395,121,17117,0.3446,0.45138
500,500,2008,Berlin,Second Stage of Tertiary Education,A Little,0.48303,114,17117,0.4097,0.55741
501,501,2008,Berlin,Second Stage of Tertiary Education,Not at all,0.51697,127,17117,0.44223,0.59431
502,502,2008,Brandenburg,Upper Secondary Level,Strong,0.15125,67,17117,0.12459,0.17911
503,503,2008,Brandenburg,Upper Secondary Level,A Little,0.40049,165,17117,0.34832,0.44921
504,504,2008,Brandenburg,Upper Secondary Level,Not at all,0.44826,171,17117,0.39292,0.51767
505,505,2008,Brandenburg,Second Stage of Tertiary Education,Strong,0.1887,36,17117,0.14203,0.23987
506,506,2008,Brandenburg,Second Stage of Tertiary Education,A Little,0.44872,109,17117,0.38432,0.53481
507,507,2008,Brandenburg,Second Stage of Tertiary Education,Not at all,0.36259,93,17117,0.30917,0.43267
508,508,2008,Mecklenburg-Western Pomerania,Upper Secondary Level,A Little,0.53718,110,17117,0.46172,0.61706
509,509,2008,Mecklenburg-Western Pomerania,Upper Secondary Level,Not at all,0.46282,105,17117,0.3964,0.53142
510,510,2008,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,A Little,0.58034,65,17117,0.46862,0.68604
511,511,2008,Mecklenburg-Western Pomerania,Second Stage of Tertiary Education,Not at all,0.41966,58,17117,0.35384,0.51246
512,512,2008,Saxony,Lower Secondary Level,Not at all,1.0,34,17117,0.67801,1.25667
513,513,2008,Saxony,Upper Secondary Level,Strong,0.15902,117,17117,0.13514,0.18291
514,514,2008,Saxony,Upper Secondary Level,A Little,0.46657,332,17117,0.42245,0.51143
515,515,2008,Saxony,Upper Secondary Level,Not at all,0.37441,323,17117,0.34353,0.41891
516,516,2008,Saxony,Post-secondary Non-tertiary Level,Not at all,1.0,38,17117,0.68513,1.42332
517,517,2008,Saxony,First Stage of Tertiary Education,A Little,0.56865,52,17117,0.4411,0.68788
518,518,2008,Saxony,First Stage of Tertiary Education,Not at all,0.43135,48,17117,0.29827,0.58694
519,519,2008,Saxony,Second Stage of Tertiary Education,Strong,0.14684,48,17117,0.11877,0.17257
520,520,2008,Saxony,Second Stage of Tertiary Education,A Little,0.42954,138,17117,0.3725,0.48792
521,521,2008,Saxony,Second Stage of Tertiary Education,Not at all,0.42362,173,17117,0.35399,0.49395
522,522,2008,Saxony-Anhalt,Upper Secondary Level,Strong,0.14722,50,17117,0.11894,0.18744
523,523,2008,Saxony-Anhalt,Upper Secondary Level,A Little,0.41333,172,17117,0.36796,0.45751
524,524,2008,Saxony-Anhalt,Upper Secondary Level,Not at all,0.43945,198,17117,0.38628,0.50192
525,525,2008,Saxony-Anhalt,Second Stage of Tertiary Education,Strong,0.1501,31,17117,0.10963,0.20303
526,526,2008,Saxony-Anhalt,Second Stage of Tertiary Education,A Little,0.37162,80,17117,0.30567,0.43053
527,527,2008,Saxony-Anhalt,Second Stage of Tertiary Education,Not at all,0.47828,90,17117,0.39729,0.57929
528,528,2008,Thuringa,Lower Secondary Level,Not at all,1.0,31,17117,0.77985,1.291
