year,bula_h,pgisced97,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
1989,Hesse,middle vocational,,,,,,,,,,,,
1989,Hesse,vocational + Abi,,,,,,,,,,,,
1989,Hesse,higher vocational,,,,,,,,,,,,
1989,Hesse,higher education,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",in school,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",inadequately,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",general elementary,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",middle vocational,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",vocational + Abi,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",higher vocational,,,,,,,,,,,,
1989,"Rhineland-Palatinate, Saarland",higher education,,,,,,,,,,,,
1989,Baden-Wuerttemberg,in school,,,,,,,,,,,,
1989,Baden-Wuerttemberg,inadequately,,,,,,,,,,,,
1989,Baden-Wuerttemberg,general elementary,,,,,,,,,,,,
1989,Baden-Wuerttemberg,middle vocational,,,,,,,,,,,,
1989,Baden-Wuerttemberg,vocational + Abi,,,,,,,,,,,,
1989,Baden-Wuerttemberg,higher vocational,,,,,,,,,,,,
1989,Baden-Wuerttemberg,higher education,,,,,,,,,,,,
1989,Bavaria,in school,,,,,,,,,,,,
1989,Bavaria,inadequately,,,,,,,,,,,,
1989,Bavaria,general elementary,,,,,,,,,,,,
1989,Bavaria,middle vocational,,,,,,,,,,,,
1989,Bavaria,vocational + Abi,,,,,,,,,,,,
1989,Bavaria,higher vocational,,,,,,,,,,,,
1989,Bavaria,higher education,,,,,,,,,,,,
1989,Berlin,in school,,,,,,,,,,,,
1989,Berlin,inadequately,,,,,,,,,,,,
1989,Berlin,general elementary,,,,,,,,,,,,
1989,Berlin,middle vocational,,,,,,,,,,,,
1989,Berlin,vocational + Abi,,,,,,,,,,,,
1989,Berlin,higher vocational,,,,,,,,,,,,
1989,Berlin,higher education,,,,,,,,,,,,
1990,Schleswig-Holstein,in school,,,,,,,,,,,,
1990,Schleswig-Holstein,inadequately,,,,,,,,,,,,
1990,Schleswig-Holstein,general elementary,,,,,,,,,,,,
1990,Schleswig-Holstein,middle vocational,,,,,,,,,,,,
1990,Schleswig-Holstein,vocational + Abi,,,,,,,,,,,,
1990,Schleswig-Holstein,higher vocational,,,,,,,,,,,,
1990,Schleswig-Holstein,higher education,,,,,,,,,,,,
1990,Hamburg,in school,,,,,,,,,,,,
1990,Hamburg,inadequately,,,,,,,,,,,,
1990,Hamburg,general elementary,,,,,,,,,,,,
1990,Hamburg,middle vocational,,,,,,,,,,,,
1990,Hamburg,vocational + Abi,,,,,,,,,,,,
1990,Hamburg,higher vocational,,,,,,,,,,,,
1990,Hamburg,higher education,,,,,,,,,,,,
1990,Lower Saxony,in school,,,,,,,,,,,,
1990,Lower Saxony,inadequately,,,,,,,,,,,,
1990,Lower Saxony,general elementary,,,,,,,,,,,,
1990,Lower Saxony,middle vocational,,,,,,,,,,,,
1990,Lower Saxony,vocational + Abi,,,,,,,,,,,,
1990,Lower Saxony,higher vocational,,,,,,,,,,,,
1990,Lower Saxony,higher education,,,,,,,,,,,,
1990,Bremen,inadequately,,,,,,,,,,,,
1990,Bremen,general elementary,,,,,,,,,,,,
1990,Bremen,middle vocational,,,,,,,,,,,,
1990,Bremen,vocational + Abi,,,,,,,,,,,,
1990,Bremen,higher vocational,,,,,,,,,,,,
1990,Bremen,higher education,,,,,,,,,,,,
1990,North Rhine-Westphalia,in school,,,,,,,,,,,,
1990,North Rhine-Westphalia,inadequately,,,,,,,,,,,,
1990,North Rhine-Westphalia,general elementary,,,,,,,,,,,,
1990,North Rhine-Westphalia,middle vocational,,,,,,,,,,,,
1990,North Rhine-Westphalia,vocational + Abi,,,,,,,,,,,,
1990,North Rhine-Westphalia,higher vocational,,,,,,,,,,,,
1990,North Rhine-Westphalia,higher education,,,,,,,,,,,,
1990,Hesse,in school,,,,,,,,,,,,
1990,Hesse,inadequately,,,,,,,,,,,,
1990,Hesse,general elementary,,,,,,,,,,,,
1990,Hesse,middle vocational,,,,,,,,,,,,
1990,Hesse,vocational + Abi,,,,,,,,,,,,
1990,Hesse,higher vocational,,,,,,,,,,,,
1990,Hesse,higher education,,,,,,,,,,,,
1990,"Rhineland-Palatinate, Saarland",in school,,,,,,,,,,,,
1990,"Rhineland-Palatinate, Saarland",inadequately,,,,,,,,,,,,
1990,"Rhineland-Palatinate, Saarland",general elementary,,,,,,,,,,,,
1990,"Rhineland-Palatinate, Saarland",middle vocational,,,,,,,,,,,,
1990,"Rhineland-Palatinate, Saarland",vocational + Abi,,,,,,,,,,,,
1990,"Rhineland-Palatinate, Saarland",higher vocational,,,,,,,,,,,,
1990,"Rhineland-Palatinate, Saarland",higher education,,,,,,,,,,,,
1990,Baden-Wuerttemberg,in school,,,,,,,,,,,,
