"m11124","year","bildungsniveau","regtyp","n","percent","lowerconfidence_percent","upperconfidence_percent"
"Beeinträchtigt","1997","Realschule","Staedtischer Raum","111","0.0914980815253868","0.0778765301007948","0.105119632949979"
"Beeinträchtigt","1997","Realschule","Laendlicher Raum","52","0.0480381992376382","0.0366011706899524","0.059475227785324"
"Beeinträchtigt","1997","(Fach-)Abitur","Staedtischer Raum","36","0.0458155210573532","0.0312263008859011","0.0604047412288053"
"Beeinträchtigt","1997","(Fach-)Abitur","Laendlicher Raum","13","","",""
"Beeinträchtigt","1997","AkademikerIn","Staedtischer Raum","67","0.0759382261041805","0.0602768481219077","0.0915996040864534"
"Beeinträchtigt","1997","AkademikerIn","Laendlicher Raum","42","0.0742419747370866","0.0542863730381697","0.0941975764360036"
"Nicht beeinträchtigt","1998","(noch) kein Abschluss","Staedtischer Raum","564","0.902466657834086","0.879207166204506","0.925726149463666"
"Nicht beeinträchtigt","1998","(noch) kein Abschluss","Laendlicher Raum","187","0.89744427023747","0.855187217338148","0.939701323136791"
"Nicht beeinträchtigt","1998","Hauptschule","Staedtischer Raum","3461","0.81543822911311","0.80354029299909","0.82733616522713"
"Nicht beeinträchtigt","1998","Hauptschule","Laendlicher Raum","1798","0.835624729120742","0.819712789711461","0.851536668530022"
"Nicht beeinträchtigt","1998","Realschule","Staedtischer Raum","1798","0.914061167529449","0.901518031166759","0.92660430389214"
"Nicht beeinträchtigt","1998","Realschule","Laendlicher Raum","1411","0.955611150008723","0.945086217837013","0.966136082180433"
"Nicht beeinträchtigt","1998","(Fach-)Abitur","Staedtischer Raum","851","0.948082986339757","0.933548000883618","0.962617971795895"
"Nicht beeinträchtigt","1998","(Fach-)Abitur","Laendlicher Raum","235","0.89192684706202","0.853440949833632","0.930412744290407"
"Nicht beeinträchtigt","1998","AkademikerIn","Staedtischer Raum","1155","0.917115524705918","0.901751257200158","0.932479792211678"
"Nicht beeinträchtigt","1998","AkademikerIn","Laendlicher Raum","677","0.928478976451699","0.909721172801719","0.947236780101679"
"Beeinträchtigt","1998","(noch) kein Abschluss","Staedtischer Raum","61","0.0975333421659139","0.0742738505363336","0.120792833795494"
"Beeinträchtigt","1998","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Beeinträchtigt","1998","Hauptschule","Staedtischer Raum","623","0.18456177088689","0.17266383477287","0.19645970700091"
"Beeinträchtigt","1998","Hauptschule","Laendlicher Raum","286","0.164375270879258","0.148463331469978","0.180287210288539"
"Beeinträchtigt","1998","Realschule","Staedtischer Raum","120","0.0859388324705506","0.0733956961078599","0.0984819688332414"
"Beeinträchtigt","1998","Realschule","Laendlicher Raum","60","0.044388849991277","0.0338639178195667","0.0549137821629872"
"Beeinträchtigt","1998","(Fach-)Abitur","Staedtischer Raum","44","0.0519170136602434","0.0373820282041047","0.0664519991163821"
"Beeinträchtigt","1998","(Fach-)Abitur","Laendlicher Raum","15","","",""
"Beeinträchtigt","1998","AkademikerIn","Staedtischer Raum","82","0.0828844752940817","0.0675202077883217","0.0982487427998417"
"Beeinträchtigt","1998","AkademikerIn","Laendlicher Raum","48","0.0715210235483008","0.0527632198983209","0.0902788271982807"
"Nicht beeinträchtigt","1999","(noch) kein Abschluss","Staedtischer Raum","543","0.899599444127805","0.875710940347141","0.92348794790847"
"Nicht beeinträchtigt","1999","(noch) kein Abschluss","Laendlicher Raum","171","0.879171421279135","0.831819891781628","0.926522950776642"
"Nicht beeinträchtigt","1999","Hauptschule","Staedtischer Raum","3341","0.809995088259235","0.797774870448326","0.822215306070145"
"Nicht beeinträchtigt","1999","Hauptschule","Laendlicher Raum","1762","0.829807660748679","0.813547750780876","0.846067570716482"
"Nicht beeinträchtigt","1999","Realschule","Staedtischer Raum","1767","0.906590651604643","0.893491905807204","0.919689397402082"
"Nicht beeinträchtigt","1999","Realschule","Laendlicher Raum","1415","0.948814203516309","0.937594295133547","0.960034111899072"
"Nicht beeinträchtigt","1999","(Fach-)Abitur","Staedtischer Raum","831","0.945388256695277","0.930315624868329","0.960460888522226"
"Nicht beeinträchtigt","1999","(Fach-)Abitur","Laendlicher Raum","249","0.917663238733776","0.884251430956467","0.951075046511084"
"Nicht beeinträchtigt","1999","AkademikerIn","Staedtischer Raum","1162","0.921438842647549","0.906469614949667","0.936408070345432"
"Nicht beeinträchtigt","1999","AkademikerIn","Laendlicher Raum","664","0.923774395419743","0.904323998458229","0.943224792381257"
"Beeinträchtigt","1999","(noch) kein Abschluss","Staedtischer Raum","65","0.100400555872195","0.0765120520915303","0.124289059652859"
"Beeinträchtigt","1999","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Beeinträchtigt","1999","Hauptschule","Staedtischer Raum","618","0.190004911740765","0.177784693929855","0.202225129551674"
"Beeinträchtigt","1999","Hauptschule","Laendlicher Raum","290","0.170192339251321","0.153932429283518","0.186452249219124"
"Beeinträchtigt","1999","Realschule","Staedtischer Raum","129","0.0934093483953569","0.0803106025979181","0.106508094192796"
"Beeinträchtigt","1999","Realschule","Laendlicher Raum","67","0.0511857964836907","0.0399658881009279","0.0624057048664534"
"Beeinträchtigt","1999","(Fach-)Abitur","Staedtischer Raum","42","0.0546117433047225","0.0395391114777737","0.0696843751316712"
"Beeinträchtigt","1999","(Fach-)Abitur","Laendlicher Raum","11","","",""
"Beeinträchtigt","1999","AkademikerIn","Staedtischer Raum","79","0.0785611573524507","0.0635919296545683","0.093530385050333"
"Beeinträchtigt","1999","AkademikerIn","Laendlicher Raum","51","0.076225604580257","0.0567752076187429","0.0956760015417711"
"Nicht beeinträchtigt","2000","(noch) kein Abschluss","Staedtischer Raum","614","0.921283212873624","0.900784736315611","0.941781689431637"
"Nicht beeinträchtigt","2000","(noch) kein Abschluss","Laendlicher Raum","238","0.922196619581435","0.889190168795256","0.955203070367615"
"Nicht beeinträchtigt","2000","Hauptschule","Staedtischer Raum","5822","0.828737598061327","0.819859961764615","0.837615234358039"
"Nicht beeinträchtigt","2000","Hauptschule","Laendlicher Raum","3199","0.845571466879564","0.833963918409785","0.857179015349342"
"Nicht beeinträchtigt","2000","Realschule","Staedtischer Raum","3384","0.916604986852151","0.907599753374232","0.925610220330069"
"Nicht beeinträchtigt","2000","Realschule","Laendlicher Raum","2540","0.951341411794253","0.943169748553392","0.959513075035114"
"Nicht beeinträchtigt","2000","(Fach-)Abitur","Staedtischer Raum","1703","0.939272017383398","0.928220370737642","0.950323664029153"
"Nicht beeinträchtigt","2000","(Fach-)Abitur","Laendlicher Raum","530","0.936286640242183","0.915930042624169","0.956643237860197"
"Nicht beeinträchtigt","2000","AkademikerIn","Staedtischer Raum","2434","0.926413689837513","0.916391132007269","0.936436247667757"
"Nicht beeinträchtigt","2000","AkademikerIn","Laendlicher Raum","1123","0.920316218521343","0.905051512446649","0.935580924596037"
"Beeinträchtigt","2000","(noch) kein Abschluss","Staedtischer Raum","49","0.0787167871263759","0.0582183105683628","0.0992152636843891"
"Beeinträchtigt","2000","(noch) kein Abschluss","Laendlicher Raum","15","","",""
"Beeinträchtigt","2000","Hauptschule","Staedtischer Raum","1096","0.171262401938673","0.162384765641961","0.180140038235385"
"Beeinträchtigt","2000","Hauptschule","Laendlicher Raum","524","0.154428533120437","0.142820984650658","0.166036081590215"
"Beeinträchtigt","2000","Realschule","Staedtischer Raum","237","0.0833950131478495","0.0743897796699308","0.0924002466257682"
"Beeinträchtigt","2000","Realschule","Laendlicher Raum","123","0.0486585882057467","0.0404869249648858","0.0568302514466075"
"Beeinträchtigt","2000","(Fach-)Abitur","Staedtischer Raum","91","0.0607279826166022","0.0496763359708466","0.0717796292623579"
"Beeinträchtigt","2000","(Fach-)Abitur","Laendlicher Raum","23","","",""
"Beeinträchtigt","2000","AkademikerIn","Staedtischer Raum","173","0.0735863101624874","0.0635637523322434","0.0836088679927314"
"Beeinträchtigt","2000","AkademikerIn","Laendlicher Raum","86","0.0796837814786567","0.0644190754039628","0.0949484875533506"
"Nicht beeinträchtigt","2001","(noch) kein Abschluss","Staedtischer Raum","570","0.930173432599764","0.909965597093756","0.950381268105771"
"Nicht beeinträchtigt","2001","(noch) kein Abschluss","Laendlicher Raum","250","0.940607710632695","0.911822626089877","0.969392795175514"
"Nicht beeinträchtigt","2001","Hauptschule","Staedtischer Raum","5106","0.827428413001369","0.817925416733043","0.836931409269694"
"Nicht beeinträchtigt","2001","Hauptschule","Laendlicher Raum","2857","0.856854419740787","0.844879935858856","0.868828903622718"
"Nicht beeinträchtigt","2001","Realschule","Staedtischer Raum","3124","0.91294795187816","0.903415799891768","0.922480103864552"
"Nicht beeinträchtigt","2001","Realschule","Laendlicher Raum","2287","0.949450317991357","0.940692897652923","0.958207738329792"
"Nicht beeinträchtigt","2001","(Fach-)Abitur","Staedtischer Raum","1594","0.92543069440657","0.912928473554308","0.937932915258832"
"Nicht beeinträchtigt","2001","(Fach-)Abitur","Laendlicher Raum","501","0.946099072475238","0.926708275599888","0.965489869350588"
"Nicht beeinträchtigt","2001","AkademikerIn","Staedtischer Raum","2253","0.922184138066023","0.911524423326342","0.932843852805704"
"Nicht beeinträchtigt","2001","AkademikerIn","Laendlicher Raum","1031","0.911776311717003","0.895158654158768","0.928393969275239"
"Beeinträchtigt","2001","(noch) kein Abschluss","Staedtischer Raum","41","0.0698265674002363","0.0496187318942291","0.0900344029062436"
"Beeinträchtigt","2001","(noch) kein Abschluss","Laendlicher Raum","9","","",""
"Beeinträchtigt","2001","Hauptschule","Staedtischer Raum","968","0.172571586998631","0.163068590730306","0.182074583266957"
"Beeinträchtigt","2001","Hauptschule","Laendlicher Raum","429","0.143145580259213","0.131171096377282","0.155120064141144"
"Beeinträchtigt","2001","Realschule","Staedtischer Raum","236","0.0870520481218399","0.0775198961354478","0.0965842001082321"
"Beeinträchtigt","2001","Realschule","Laendlicher Raum","117","0.0505496820086429","0.0417922616702082","0.0593071023470775"
"Beeinträchtigt","2001","(Fach-)Abitur","Staedtischer Raum","102","0.07456930559343","0.0620670847411674","0.0870715264456925"
"Beeinträchtigt","2001","(Fach-)Abitur","Laendlicher Raum","20","","",""
"Beeinträchtigt","2001","AkademikerIn","Staedtischer Raum","173","0.077815861933977","0.0671561471942964","0.0884755766736576"
"Beeinträchtigt","2001","AkademikerIn","Laendlicher Raum","88","0.0882236882829967","0.0716060307247614","0.104841345841232"
"Nicht beeinträchtigt","2002","(noch) kein Abschluss","Staedtischer Raum","622","0.931883204557838","0.912618016504263","0.951148392611413"
"Nicht beeinträchtigt","2002","(noch) kein Abschluss","Laendlicher Raum","242","0.916304324375616","0.882112742142178","0.950495906609054"
"Nicht beeinträchtigt","2002","Hauptschule","Staedtischer Raum","4751","0.807957162360192","0.797801342974113","0.818112981746271"
"Nicht beeinträchtigt","2002","Hauptschule","Laendlicher Raum","2659","0.844612677138879","0.831880446809669","0.857344907468089"
"Nicht beeinträchtigt","2002","Realschule","Staedtischer Raum","3307","0.909029193947955","0.899594783771783","0.918463604124127"
"Nicht beeinträchtigt","2002","Realschule","Laendlicher Raum","2278","0.936661239902925","0.926932739460763","0.946389740345088"
"Nicht beeinträchtigt","2002","(Fach-)Abitur","Staedtischer Raum","1767","0.938635405805757","0.927743194141633","0.949527617469882"
"Nicht beeinträchtigt","2002","(Fach-)Abitur","Laendlicher Raum","564","0.943503794270759","0.92484253725454","0.962165051286978"
"Nicht beeinträchtigt","2002","AkademikerIn","Staedtischer Raum","3021","0.922458937654104","0.913225629433212","0.931692245874996"
"Nicht beeinträchtigt","2002","AkademikerIn","Laendlicher Raum","1226","0.902687748721176","0.886777185617455","0.918598311824897"
"Beeinträchtigt","2002","(noch) kein Abschluss","Staedtischer Raum","35","0.0681167954421619","0.0488516073885869","0.0873819834957368"
"Beeinträchtigt","2002","(noch) kein Abschluss","Laendlicher Raum","10","","",""
"Beeinträchtigt","2002","Hauptschule","Staedtischer Raum","1028","0.192042837639808","0.181887018253729","0.202198657025887"
"Beeinträchtigt","2002","Hauptschule","Laendlicher Raum","451","0.155387322861121","0.142655092531911","0.168119553190331"
"Beeinträchtigt","2002","Realschule","Staedtischer Raum","262","0.0909708060520446","0.0815363958758726","0.100405216228217"
"Beeinträchtigt","2002","Realschule","Laendlicher Raum","130","0.0633387600970745","0.0536102596549124","0.0730672605392366"
"Beeinträchtigt","2002","(Fach-)Abitur","Staedtischer Raum","98","0.0613645941942429","0.0504723825301183","0.0722568058583674"
"Beeinträchtigt","2002","(Fach-)Abitur","Laendlicher Raum","24","","",""
"Beeinträchtigt","2002","AkademikerIn","Staedtischer Raum","202","0.0775410623458964","0.0683077541250045","0.0867743705667884"
"Beeinträchtigt","2002","AkademikerIn","Laendlicher Raum","107","0.0973122512788237","0.0814016881751025","0.113222814382545"
"Nicht beeinträchtigt","2003","(noch) kein Abschluss","Staedtischer Raum","604","0.938777240797843","0.920130670886926","0.957423810708761"
"Nicht beeinträchtigt","2003","(noch) kein Abschluss","Laendlicher Raum","251","0.930385354898953","0.89956914774633","0.961201562051576"
"Nicht beeinträchtigt","2003","Hauptschule","Staedtischer Raum","4537","0.812265930241629","0.801948560349341","0.822583300133916"
"Nicht beeinträchtigt","2003","Hauptschule","Laendlicher Raum","2478","0.837236491351639","0.823874576368729","0.850598406334548"
"Nicht beeinträchtigt","2003","Realschule","Staedtischer Raum","3177","0.906970997726507","0.897267047963395","0.916674947489619"
"Nicht beeinträchtigt","2003","Realschule","Laendlicher Raum","2205","0.941954461061108","0.932466124106244","0.951442798015971"
"Nicht beeinträchtigt","2003","(Fach-)Abitur","Staedtischer Raum","1742","0.941794128684331","0.931093270386073","0.952494986982588"
"Nicht beeinträchtigt","2003","(Fach-)Abitur","Laendlicher Raum","546","0.942274845462975","0.923094992472934","0.961454698453016"
"Nicht beeinträchtigt","2003","AkademikerIn","Staedtischer Raum","2857","0.913142104561568","0.903189683061838","0.923094526061298"
"Nicht beeinträchtigt","2003","AkademikerIn","Laendlicher Raum","1171","0.905284029603906","0.889211026275202","0.92135703293261"
"Beeinträchtigt","2003","(noch) kein Abschluss","Staedtischer Raum","31","0.0612227592021568","0.0425761892912393","0.0798693291130744"
"Beeinträchtigt","2003","(noch) kein Abschluss","Laendlicher Raum","11","","",""
"Beeinträchtigt","2003","Hauptschule","Staedtischer Raum","966","0.187734069758371","0.177416699866084","0.198051439650659"
"Beeinträchtigt","2003","Hauptschule","Laendlicher Raum","454","0.162763508648361","0.149401593665452","0.176125423631271"
"Beeinträchtigt","2003","Realschule","Staedtischer Raum","265","0.093029002273493","0.0833250525103811","0.102732952036605"
"Beeinträchtigt","2003","Realschule","Laendlicher Raum","128","0.0580455389388924","0.0485572019840287","0.0675338758937562"
"Beeinträchtigt","2003","(Fach-)Abitur","Staedtischer Raum","97","0.0582058713156691","0.0475050130174116","0.0689067296139266"
"Beeinträchtigt","2003","(Fach-)Abitur","Laendlicher Raum","22","","",""
"Beeinträchtigt","2003","AkademikerIn","Staedtischer Raum","219","0.0868578954384322","0.0769054739387019","0.0968103169381624"
"Beeinträchtigt","2003","AkademikerIn","Laendlicher Raum","104","0.094715970396094","0.0786429670673895","0.110788973724798"
"Nicht beeinträchtigt","2004","(noch) kein Abschluss","Staedtischer Raum","618","0.92528565426437","0.905072628665879","0.945498679862861"
"Nicht beeinträchtigt","2004","(noch) kein Abschluss","Laendlicher Raum","251","0.943419591326464","0.915282208833339","0.971556973819589"
"Nicht beeinträchtigt","2004","Hauptschule","Staedtischer Raum","4292","0.809898809396711","0.799284878934189","0.820512739859234"
"Nicht beeinträchtigt","2004","Hauptschule","Laendlicher Raum","2358","0.831685874662416","0.817835022712501","0.845536726612331"
"Nicht beeinträchtigt","2004","Realschule","Staedtischer Raum","3049","0.901427664737103","0.891295663593387","0.911559665880818"
"Nicht beeinträchtigt","2004","Realschule","Laendlicher Raum","2149","0.931229141859899","0.920862079864302","0.941596203855497"
"Nicht beeinträchtigt","2004","(Fach-)Abitur","Staedtischer Raum","1731","0.94071750060883","0.929882984462729","0.951552016754932"
"Nicht beeinträchtigt","2004","(Fach-)Abitur","Laendlicher Raum","538","0.917732780363797","0.89515592296002","0.940309637767574"
"Nicht beeinträchtigt","2004","AkademikerIn","Staedtischer Raum","2801","0.902146130300896","0.891565150092372","0.912727110509419"
"Nicht beeinträchtigt","2004","AkademikerIn","Laendlicher Raum","1160","0.911201391233131","0.895507570716945","0.926895211749317"
"Beeinträchtigt","2004","(noch) kein Abschluss","Staedtischer Raum","32","0.0747143457356303","0.0545013201371392","0.0949273713341215"
"Beeinträchtigt","2004","(noch) kein Abschluss","Laendlicher Raum","8","","",""
"Beeinträchtigt","2004","Hauptschule","Staedtischer Raum","958","0.190101190603289","0.179487260140766","0.200715121065811"
"Beeinträchtigt","2004","Hauptschule","Laendlicher Raum","445","0.168314125337584","0.154463273387669","0.182164977287499"
"Beeinträchtigt","2004","Realschule","Staedtischer Raum","276","0.0985723352628971","0.0884403341191815","0.108704336406613"
"Beeinträchtigt","2004","Realschule","Laendlicher Raum","140","0.0687708581401005","0.0584037961445029","0.0791379201356981"
"Beeinträchtigt","2004","(Fach-)Abitur","Staedtischer Raum","94","0.0592824993911695","0.0484479832450677","0.0701170155372712"
"Beeinträchtigt","2004","(Fach-)Abitur","Laendlicher Raum","31","0.082267219636203","0.0596903622324257","0.10484407703998"
"Beeinträchtigt","2004","AkademikerIn","Staedtischer Raum","228","0.0978538696991043","0.087272889490581","0.108434849907628"
"Beeinträchtigt","2004","AkademikerIn","Laendlicher Raum","102","0.0887986087668687","0.0731047882506829","0.104492429283055"
"Nicht beeinträchtigt","2005","(noch) kein Abschluss","Staedtischer Raum","610","0.922723488675278","0.902067779095862","0.943379198254694"
"Nicht beeinträchtigt","2005","(noch) kein Abschluss","Laendlicher Raum","252","0.94268610187762","0.914486604787572","0.970885598967668"
"Nicht beeinträchtigt","2005","Hauptschule","Staedtischer Raum","4014","0.812041933945368","0.801139781622502","0.822944086268234"
"Nicht beeinträchtigt","2005","Hauptschule","Laendlicher Raum","2172","0.824420698754957","0.809841276212886","0.839000121297029"
"Nicht beeinträchtigt","2005","Realschule","Staedtischer Raum","2918","0.902055443955096","0.891743906666147","0.912366981244045"
"Nicht beeinträchtigt","2005","Realschule","Laendlicher Raum","2037","0.924263916834988","0.913180475420099","0.935347358249876"
"Nicht beeinträchtigt","2005","(Fach-)Abitur","Staedtischer Raum","1646","0.941389245253734","0.930355524748347","0.952422965759121"
"Nicht beeinträchtigt","2005","(Fach-)Abitur","Laendlicher Raum","524","0.923412886283049","0.901228144966111","0.945597627599986"
"Nicht beeinträchtigt","2005","AkademikerIn","Staedtischer Raum","2709","0.904332506118471","0.893700365904381","0.914964646332562"
"Nicht beeinträchtigt","2005","AkademikerIn","Laendlicher Raum","1128","0.921657950643697","0.906585890792658","0.936730010494737"
"Beeinträchtigt","2005","(noch) kein Abschluss","Staedtischer Raum","32","0.077276511324722","0.0566208017453063","0.0979322209041377"
"Beeinträchtigt","2005","(noch) kein Abschluss","Laendlicher Raum","9","","",""
"Beeinträchtigt","2005","Hauptschule","Staedtischer Raum","919","0.187958066054632","0.177055913731766","0.198860218377498"
"Beeinträchtigt","2005","Hauptschule","Laendlicher Raum","444","0.175579301245042","0.160999878702971","0.190158723787114"
"Beeinträchtigt","2005","Realschule","Staedtischer Raum","274","0.0979445560449043","0.0876330187559553","0.108256093333853"
"Beeinträchtigt","2005","Realschule","Laendlicher Raum","152","0.0757360831650123","0.0646526417501234","0.0868195245799013"
"Beeinträchtigt","2005","(Fach-)Abitur","Staedtischer Raum","95","0.058610754746266","0.0475770342408791","0.069644475251653"
"Beeinträchtigt","2005","(Fach-)Abitur","Laendlicher Raum","28","","",""
"Beeinträchtigt","2005","AkademikerIn","Staedtischer Raum","231","0.0956674938815287","0.0850353536674381","0.106299634095619"
"Beeinträchtigt","2005","AkademikerIn","Laendlicher Raum","93","0.0783420493563029","0.0632699895052634","0.0934141092073425"
"Nicht beeinträchtigt","2006","(noch) kein Abschluss","Staedtischer Raum","427","0.882609355228677","0.853352838237924","0.91186587221943"
"Nicht beeinträchtigt","2006","(noch) kein Abschluss","Laendlicher Raum","178","0.944869252568373","0.91198067994401","0.977757825192735"
"Nicht beeinträchtigt","2006","Hauptschule","Staedtischer Raum","4203","0.804586320276953","0.793805903874367","0.815366736679539"
"Nicht beeinträchtigt","2006","Hauptschule","Laendlicher Raum","2401","0.829464096415009","0.81573767991824","0.843190512911778"
"Nicht beeinträchtigt","2006","Realschule","Staedtischer Raum","3046","0.895596668281396","0.885237291036582","0.90595604552621"
"Nicht beeinträchtigt","2006","Realschule","Laendlicher Raum","2224","0.920751763728268","0.909937918327108","0.931565609129429"
"Nicht beeinträchtigt","2006","(Fach-)Abitur","Staedtischer Raum","1744","0.936605559106705","0.925498896251284","0.947712221962125"
"Nicht beeinträchtigt","2006","(Fach-)Abitur","Laendlicher Raum","571","0.935933683824288","0.916323932108564","0.955543435540013"
"Nicht beeinträchtigt","2006","AkademikerIn","Staedtischer Raum","2966","0.903827009464177","0.893662612142712","0.913991406785642"
"Nicht beeinträchtigt","2006","AkademikerIn","Laendlicher Raum","1228","0.911491136782801","0.896294711485318","0.926687562080285"
"Beeinträchtigt","2006","(noch) kein Abschluss","Staedtischer Raum","38","0.117390644771323","0.0881341277805703","0.146647161762076"
"Beeinträchtigt","2006","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Beeinträchtigt","2006","Hauptschule","Staedtischer Raum","994","0.195413679723047","0.184633263320461","0.206194096125633"
"Beeinträchtigt","2006","Hauptschule","Laendlicher Raum","483","0.170535903584991","0.156809487088222","0.18426232008176"
"Beeinträchtigt","2006","Realschule","Staedtischer Raum","301","0.104403331718604","0.09404395447379","0.114762708963418"
"Beeinträchtigt","2006","Realschule","Laendlicher Raum","173","0.0792482362717317","0.0684343908705714","0.090062081672892"
"Beeinträchtigt","2006","(Fach-)Abitur","Staedtischer Raum","105","0.0633944408932954","0.0522877780378748","0.0745011037487159"
"Beeinträchtigt","2006","(Fach-)Abitur","Laendlicher Raum","28","","",""
"Beeinträchtigt","2006","AkademikerIn","Staedtischer Raum","266","0.0961729905358232","0.0860085932143581","0.106337387857288"
"Beeinträchtigt","2006","AkademikerIn","Laendlicher Raum","114","0.0885088632171987","0.0733124379197153","0.103705288514682"
"Nicht beeinträchtigt","2007","(noch) kein Abschluss","Staedtischer Raum","354","0.877526809468027","0.844864768353968","0.910188850582087"
"Nicht beeinträchtigt","2007","(noch) kein Abschluss","Laendlicher Raum","162","0.954163439814344","0.922633573170409","0.985693306458278"
"Nicht beeinträchtigt","2007","Hauptschule","Staedtischer Raum","3773","0.803105757346823","0.791703271227652","0.814508243465994"
"Nicht beeinträchtigt","2007","Hauptschule","Laendlicher Raum","2214","0.834128581650315","0.819963816044353","0.848293347256278"
"Nicht beeinträchtigt","2007","Realschule","Staedtischer Raum","2864","0.89845159451077","0.887901759764618","0.909001429256922"
"Nicht beeinträchtigt","2007","Realschule","Laendlicher Raum","2066","0.915058220416522","0.903530814243374","0.926585626589669"
"Nicht beeinträchtigt","2007","(Fach-)Abitur","Staedtischer Raum","1651","0.931809658532956","0.920066457536682","0.94355285952923"
"Nicht beeinträchtigt","2007","(Fach-)Abitur","Laendlicher Raum","555","0.922296381792646","0.900621578918941","0.94397118466635"
"Nicht beeinträchtigt","2007","AkademikerIn","Staedtischer Raum","2827","0.898844285330377","0.888224519744158","0.909464050916597"
"Nicht beeinträchtigt","2007","AkademikerIn","Laendlicher Raum","1172","0.908258975468784","0.892494598858906","0.924023352078662"
"Beeinträchtigt","2007","(noch) kein Abschluss","Staedtischer Raum","33","0.122473190531973","0.0898111494179128","0.155135231646032"
"Beeinträchtigt","2007","(noch) kein Abschluss","Laendlicher Raum","7","","",""
"Beeinträchtigt","2007","Hauptschule","Staedtischer Raum","899","0.196894242653177","0.185491756534006","0.208296728772348"
"Beeinträchtigt","2007","Hauptschule","Laendlicher Raum","435","0.165871418349685","0.151706652743722","0.180036183955647"
"Beeinträchtigt","2007","Realschule","Staedtischer Raum","285","0.10154840548923","0.0909985707430775","0.112098240235382"
"Beeinträchtigt","2007","Realschule","Laendlicher Raum","181","0.0849417795834784","0.0734143734103311","0.0964691857566256"
"Beeinträchtigt","2007","(Fach-)Abitur","Staedtischer Raum","119","0.0681903414670437","0.0564471404707697","0.0799335424633177"
"Beeinträchtigt","2007","(Fach-)Abitur","Laendlicher Raum","31","0.0777036182073542","0.0560288153336496","0.0993784210810588"
"Beeinträchtigt","2007","AkademikerIn","Staedtischer Raum","270","0.101155714669623","0.0905359490834034","0.111775480255842"
"Beeinträchtigt","2007","AkademikerIn","Laendlicher Raum","116","0.0917410245312155","0.0759766479213376","0.107505401141093"
"Nicht beeinträchtigt","2008","(noch) kein Abschluss","Staedtischer Raum","352","0.896785995377297","0.866196661779298","0.927375328975296"
"Nicht beeinträchtigt","2008","(noch) kein Abschluss","Laendlicher Raum","158","0.932998044341321","0.894963505644666","0.971032583037976"
"Nicht beeinträchtigt","2008","Hauptschule","Staedtischer Raum","3490","0.80418338845241","0.792363688352459","0.816003088552361"
"Nicht beeinträchtigt","2008","Hauptschule","Laendlicher Raum","2055","0.836534789385599","0.821924899025004","0.851144679746195"
"Nicht beeinträchtigt","2008","Realschule","Staedtischer Raum","2717","0.901854142064606","0.891186659678317","0.912521624450895"
"Nicht beeinträchtigt","2008","Realschule","Laendlicher Raum","1942","0.909928561039208","0.897736354472059","0.922120767606357"
"Nicht beeinträchtigt","2008","(Fach-)Abitur","Staedtischer Raum","1527","0.929685849610165","0.917281400236271","0.942090298984059"
"Nicht beeinträchtigt","2008","(Fach-)Abitur","Laendlicher Raum","508","0.920476646591891","0.897636050262794","0.943317242920988"
"Nicht beeinträchtigt","2008","AkademikerIn","Staedtischer Raum","2714","0.906156736069651","0.895662139904278","0.916651332235024"
"Nicht beeinträchtigt","2008","AkademikerIn","Laendlicher Raum","1109","0.90238551554003","0.88575864281239","0.91901238826767"
"Beeinträchtigt","2008","(noch) kein Abschluss","Staedtischer Raum","28","","",""
"Beeinträchtigt","2008","(noch) kein Abschluss","Laendlicher Raum","8","","",""
"Beeinträchtigt","2008","Hauptschule","Staedtischer Raum","840","0.19581661154759","0.183996911447639","0.207636311647541"
"Beeinträchtigt","2008","Hauptschule","Laendlicher Raum","406","0.163465210614401","0.148855320253805","0.178075100974996"
"Beeinträchtigt","2008","Realschule","Staedtischer Raum","271","0.0981458579353937","0.0874783755491047","0.108813340321683"
"Beeinträchtigt","2008","Realschule","Laendlicher Raum","176","0.0900714389607922","0.0778792323936429","0.102263645527942"
"Beeinträchtigt","2008","(Fach-)Abitur","Staedtischer Raum","105","0.070314150389835","0.0579097010159409","0.0827185997637292"
"Beeinträchtigt","2008","(Fach-)Abitur","Laendlicher Raum","31","0.079523353408109","0.0566827570790118","0.102363949737206"
"Beeinträchtigt","2008","AkademikerIn","Staedtischer Raum","252","0.0938432639303493","0.0833486677649764","0.104337860095722"
"Beeinträchtigt","2008","AkademikerIn","Laendlicher Raum","115","0.0976144844599699","0.0809876117323298","0.11424135718761"
"Nicht beeinträchtigt","2009","(noch) kein Abschluss","Staedtischer Raum","323","0.901772375356703","0.870412427912814","0.933132322800591"
"Nicht beeinträchtigt","2009","(noch) kein Abschluss","Laendlicher Raum","130","0.918811625297922","0.873242707763384","0.964380542832461"
"Nicht beeinträchtigt","2009","Hauptschule","Staedtischer Raum","3147","0.803630394852273","0.79118992979297","0.816070859911576"
"Nicht beeinträchtigt","2009","Hauptschule","Laendlicher Raum","1893","0.837578946776136","0.822419376234615","0.852738517317657"
"Nicht beeinträchtigt","2009","Realschule","Staedtischer Raum","2506","0.898255654421301","0.887001662494239","0.909509646348363"
