"m11124","year","bildungsniveau","n","percent","lower_confidence_percent","upper_confidence_percent"
"Beeinträchtigt","2015","(noch) kein Abschluss","69","0.116867263839818","0.0965766877654556","0.13715783991418"
"Beeinträchtigt","2015","Hauptschule","1248","","",""
"Beeinträchtigt","2015","Realschule","689","0.123003480128071","0.115054342442516","0.130952617813626"
"Beeinträchtigt","2015","(Fach-)Abitur","206","","",""
"Beeinträchtigt","2015","AkademikerIn","466","0.0889007960345713","0.0819358256889605","0.095865766380182"
"Nicht beeinträchtigt","2016","(noch) kein Abschluss","768","0.895506703037204","0.874658243416523","0.916355162657884"
"Nicht beeinträchtigt","2016","Hauptschule","5824","0.796841328507958","0.787396280772766","0.80628637624315"
"Nicht beeinträchtigt","2016","Realschule","5381","0.879042764401947","0.870805732016168","0.887279796787725"
"Nicht beeinträchtigt","2016","(Fach-)Abitur","3486","0.92335517007884","0.9147821912663","0.931928148891381"
"Nicht beeinträchtigt","2016","AkademikerIn","5436","0.910015597236468","0.902713175179345","0.917318019293591"
"Beeinträchtigt","2016","(noch) kein Abschluss","59","0.104493296962796","0.0836448373421157","0.125341756583477"
"Beeinträchtigt","2016","Hauptschule","1147","","",""
"Beeinträchtigt","2016","Realschule","639","0.120957235598053","0.112720203212275","0.129194267983832"
"Beeinträchtigt","2016","(Fach-)Abitur","213","","",""
"Beeinträchtigt","2016","AkademikerIn","463","0.089984402763532","0.082681980706409","0.0972868248206551"
"Nicht beeinträchtigt","2017","(noch) kein Abschluss","857","0.884694800797221","0.864200719632276","0.905188881962166"
"Nicht beeinträchtigt","2017","Hauptschule","5921","0.801217327889432","0.791963713387659","0.810470942391205"
"Nicht beeinträchtigt","2017","Realschule","6174","0.875450316980101","0.867667459741288","0.883233174218914"
"Nicht beeinträchtigt","2017","(Fach-)Abitur","3886","0.920989862438345","0.912777754340347","0.929201970536342"
"Nicht beeinträchtigt","2017","AkademikerIn","6034","0.918297461090043","0.91164370211852","0.924951220061567"
"Beeinträchtigt","2017","(noch) kein Abschluss","76","0.115305199202779","0.0948111180378336","0.135799280367724"
"Beeinträchtigt","2017","Hauptschule","1224","","",""
"Beeinträchtigt","2017","Realschule","741","0.124549683019899","0.116766825781086","0.132332540258712"
"Beeinträchtigt","2017","(Fach-)Abitur","259","","",""
"Beeinträchtigt","2017","AkademikerIn","476","0.0817025389099569","0.0750487799384335","0.0883562978814803"
"Nicht beeinträchtigt","2018","(noch) kein Abschluss","813","0.881358242165926","0.860173089653743","0.90254339467811"
"Nicht beeinträchtigt","2018","Hauptschule","5538","0.797395652429888","0.78783317378346","0.806958131076316"
"Nicht beeinträchtigt","2018","Realschule","5897","0.878667770286169","0.870818384233505","0.886517156338833"
"Nicht beeinträchtigt","2018","(Fach-)Abitur","3755","0.91530160308541","0.906702028194493","0.923901177976327"
"Nicht beeinträchtigt","2018","AkademikerIn","5850","0.913596445619881","0.906682216925037","0.920510674314725"
"Beeinträchtigt","2018","(noch) kein Abschluss","82","0.118641757834074","0.0974566053218903","0.139826910346257"
"Beeinträchtigt","2018","Hauptschule","1249","","",""
"Beeinträchtigt","2018","Realschule","750","0.121332229713831","0.113482843661167","0.129181615766495"
"Beeinträchtigt","2018","(Fach-)Abitur","272","","",""
"Beeinträchtigt","2018","AkademikerIn","493","0.086403554380119","0.0794893256852749","0.0933177830749631"
"Nicht beeinträchtigt","2019","(noch) kein Abschluss","704","0.879056326802924","0.856115072470009","0.901997581135839"
"Nicht beeinträchtigt","2019","Hauptschule","5085","0.801825829813569","0.791902650979539","0.811749008647599"
"Nicht beeinträchtigt","2019","Realschule","5960","0.87127170412259","0.863277641760478","0.879265766484703"
"Nicht beeinträchtigt","2019","(Fach-)Abitur","3876","0.916154477253099","0.90773126152941","0.924577692976787"
"Nicht beeinträchtigt","2019","AkademikerIn","6517","0.919413371158503","0.913054507542958","0.925772234774047"
"Beeinträchtigt","2019","(noch) kein Abschluss","72","0.120943673197076","0.098002418864161","0.143884927529991"
"Beeinträchtigt","2019","Hauptschule","1114","","",""
"Beeinträchtigt","2019","Realschule","782","0.12872829587741","0.120734233515297","0.136722358239522"
"Beeinträchtigt","2019","(Fach-)Abitur","283","","",""
"Beeinträchtigt","2019","AkademikerIn","522","0.0805866288414974","0.0742277652259529","0.0869454924570418"
"Nicht beeinträchtigt","2020","(noch) kein Abschluss","1818","","",""
"Nicht beeinträchtigt","2020","Hauptschule","5498","0.801549634774514","0.79187985782116","0.811219411727868"
"Nicht beeinträchtigt","2020","Realschule","5489","0.868572781173862","0.860179646730713","0.876965915617011"
"Nicht beeinträchtigt","2020","(Fach-)Abitur","4631","0.914395714526931","0.906573218355549","0.922218210698313"
"Nicht beeinträchtigt","2020","AkademikerIn","7152","0.915951954479877","0.909750621129626","0.922153287830129"
"Beeinträchtigt","2020","(noch) kein Abschluss","89","0.133216560797182","0.117965250548856","0.148467871045509"
"Beeinträchtigt","2020","Hauptschule","1037","","",""
"Beeinträchtigt","2020","Realschule","736","0.131427218826138","0.123034084382989","0.139820353269287"
"Beeinträchtigt","2020","(Fach-)Abitur","283","","",""
"Beeinträchtigt","2020","AkademikerIn","538","0.0840480455201227","0.0778467121698714","0.0902493788703739"
