"m11124","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Beeinträchtigt","1997","Hauptschule","weiblich","368","0.154316415440245","0.141247063536081","0.16738576734441"
"Beeinträchtigt","1997","Realschule","maennlich","85","0.0922082229318246","0.0768260988251324","0.107590347038517"
"Beeinträchtigt","1997","Realschule","weiblich","78","0.0633555895669747","0.0517927169678885","0.074918462166061"
"Beeinträchtigt","1997","(Fach-)Abitur","maennlich","27","","",""
"Beeinträchtigt","1997","(Fach-)Abitur","weiblich","22","","",""
"Beeinträchtigt","1997","AkademikerIn","maennlich","60","0.0739026622550216","0.0573966260252852","0.0904086984847579"
"Beeinträchtigt","1997","AkademikerIn","weiblich","49","0.0776666788670453","0.0590852012338721","0.0962481565002185"
"Nicht beeinträchtigt","1998","(noch) kein Abschluss","maennlich","331","0.880347625038618","0.84723278450217","0.913462465575066"
"Nicht beeinträchtigt","1998","(noch) kein Abschluss","weiblich","420","0.918673649814486","0.893530688013436","0.943816611615536"
"Nicht beeinträchtigt","1998","Hauptschule","maennlich","2512","0.797656174810761","0.783299230403491","0.812013119218031"
"Nicht beeinträchtigt","1998","Hauptschule","weiblich","2747","0.843305157081634","0.830630848418481","0.855979465744786"
"Nicht beeinträchtigt","1998","Realschule","maennlich","1429","0.923343966426114","0.909960545573345","0.936727387278882"
"Nicht beeinträchtigt","1998","Realschule","weiblich","1780","0.934318370908425","0.923093519533146","0.945543222283705"
"Nicht beeinträchtigt","1998","(Fach-)Abitur","maennlich","529","0.935565995338296","0.915230776345095","0.955901214331498"
"Nicht beeinträchtigt","1998","(Fach-)Abitur","weiblich","557","0.93926299306081","0.919908114222836","0.958617871898783"
"Nicht beeinträchtigt","1998","AkademikerIn","maennlich","1001","0.917566840460875","0.90114166310892","0.93399201781283"
"Nicht beeinträchtigt","1998","AkademikerIn","weiblich","831","0.924977325359509","0.907621779774696","0.942332870944322"
"Beeinträchtigt","1998","(noch) kein Abschluss","maennlich","38","0.119652374961382","0.0865375344249335","0.15276721549783"
"Beeinträchtigt","1998","(noch) kein Abschluss","weiblich","34","0.0813263501855142","0.0561833883844642","0.106469311986564"
"Beeinträchtigt","1998","Hauptschule","maennlich","496","0.202343825189239","0.18798688078197","0.216700769596509"
"Beeinträchtigt","1998","Hauptschule","weiblich","413","0.156694842918366","0.144020534255214","0.169369151581519"
"Beeinträchtigt","1998","Realschule","maennlich","89","0.0766560335738864","0.0632726127211179","0.090039454426655"
"Beeinträchtigt","1998","Realschule","weiblich","91","0.0656816290915746","0.0544567777162954","0.0769064804668538"
"Beeinträchtigt","1998","(Fach-)Abitur","maennlich","31","0.0644340046617036","0.0440987856685019","0.0847692236549054"
"Beeinträchtigt","1998","(Fach-)Abitur","weiblich","28","","",""
"Beeinträchtigt","1998","AkademikerIn","maennlich","76","0.0824331595391253","0.0660079821871704","0.0988583368910803"
"Beeinträchtigt","1998","AkademikerIn","weiblich","54","0.0750226746404906","0.0576671290556777","0.0923782202253036"
"Nicht beeinträchtigt","1999","(noch) kein Abschluss","maennlich","318","0.873766774558312","0.839364181323705","0.90816936779292"
"Nicht beeinträchtigt","1999","(noch) kein Abschluss","weiblich","396","0.913610509790198","0.887118359102537","0.940102660477858"
"Nicht beeinträchtigt","1999","Hauptschule","maennlich","2461","0.794358006364924","0.779778126153897","0.808937886575951"
"Nicht beeinträchtigt","1999","Hauptschule","weiblich","2642","0.836110547495885","0.822992605513961","0.849228489477809"
"Nicht beeinträchtigt","1999","Realschule","maennlich","1413","0.921723842668261","0.908144343265133","0.93530334207139"
"Nicht beeinträchtigt","1999","Realschule","weiblich","1769","0.923129644729412","0.911072117592715","0.935187171866109"
"Nicht beeinträchtigt","1999","(Fach-)Abitur","maennlich","508","0.933625374906495","0.912590287685679","0.954660462127311"
"Nicht beeinträchtigt","1999","(Fach-)Abitur","weiblich","572","0.94648103123522","0.928396825725913","0.964565236744527"
"Nicht beeinträchtigt","1999","AkademikerIn","maennlich","1003","0.921376533343184","0.905294660525146","0.937458406161223"
"Nicht beeinträchtigt","1999","AkademikerIn","weiblich","823","0.923199624597386","0.905606773132609","0.940792476062162"
"Beeinträchtigt","1999","(noch) kein Abschluss","maennlich","40","0.126233225441688","0.0918306322070803","0.160635818676295"
"Beeinträchtigt","1999","(noch) kein Abschluss","weiblich","36","0.0863894902098025","0.059897339522142","0.112881640897463"
"Beeinträchtigt","1999","Hauptschule","maennlich","491","0.205641993635076","0.191062113424049","0.220221873846103"
"Beeinträchtigt","1999","Hauptschule","weiblich","417","0.163889452504115","0.150771510522191","0.177007394486039"
"Beeinträchtigt","1999","Realschule","maennlich","90","0.0782761573317385","0.06469665792861","0.091855656734867"
"Beeinträchtigt","1999","Realschule","weiblich","106","0.0768703552705881","0.0648128281338909","0.0889278824072853"
"Beeinträchtigt","1999","(Fach-)Abitur","maennlich","30","0.0663746250935051","0.0453395378726887","0.0874097123143214"
"Beeinträchtigt","1999","(Fach-)Abitur","weiblich","23","","",""
"Beeinträchtigt","1999","AkademikerIn","maennlich","73","0.0786234666568155","0.0625415938387771","0.0947053394748539"
"Beeinträchtigt","1999","AkademikerIn","weiblich","57","0.0768003754026143","0.0592075239378376","0.0943932268673909"
"Nicht beeinträchtigt","2000","(noch) kein Abschluss","maennlich","386","0.911096474475695","0.883845454984403","0.938347493966987"
"Nicht beeinträchtigt","2000","(noch) kein Abschluss","weiblich","466","0.931138558667346","0.908876511088206","0.953400606246486"
"Nicht beeinträchtigt","2000","Hauptschule","maennlich","4230","0.808593027966421","0.79782755087494","0.819358505057901"
"Nicht beeinträchtigt","2000","Hauptschule","weiblich","4791","0.857456167363308","0.848225925831437","0.866686408895179"
"Nicht beeinträchtigt","2000","Realschule","maennlich","2543","0.925791805453325","0.915927060817274","0.935656550089376"
"Nicht beeinträchtigt","2000","Realschule","weiblich","3381","0.932879304989712","0.924673270882695","0.94108533909673"
"Nicht beeinträchtigt","2000","(Fach-)Abitur","maennlich","1049","0.92472376190509","0.909230585778482","0.940216938031697"
"Nicht beeinträchtigt","2000","(Fach-)Abitur","weiblich","1184","0.952185889739038","0.940276062471371","0.964095717006705"
"Nicht beeinträchtigt","2000","AkademikerIn","maennlich","1998","0.920104373835449","0.908667645112735","0.931541102558163"
"Nicht beeinträchtigt","2000","AkademikerIn","weiblich","1559","0.931227566094721","0.919042666754169","0.943412465435273"
"Beeinträchtigt","2000","(noch) kein Abschluss","maennlich","33","0.088903525524305","0.0616525060330132","0.116154545015597"
"Beeinträchtigt","2000","(noch) kein Abschluss","weiblich","31","0.0688614413326543","0.0465993937535144","0.0911234889117943"
"Beeinträchtigt","2000","Hauptschule","maennlich","900","0.191406972033579","0.180641494942099","0.20217244912506"
"Beeinträchtigt","2000","Hauptschule","weiblich","720","0.142543832636692","0.133313591104821","0.151774074168563"
"Beeinträchtigt","2000","Realschule","maennlich","169","0.0742081945466748","0.0643434499106236","0.0840729391827261"
"Beeinträchtigt","2000","Realschule","weiblich","191","0.0671206950102877","0.0589146609032705","0.0753267291173049"
"Beeinträchtigt","2000","(Fach-)Abitur","maennlich","65","0.0752762380949102","0.0597830619683026","0.0907694142215177"
"Beeinträchtigt","2000","(Fach-)Abitur","weiblich","49","0.0478141102609623","0.0359042829932953","0.0597239375286293"
"Beeinträchtigt","2000","AkademikerIn","maennlich","161","0.0798956261645507","0.068458897441837","0.0913323548872645"
"Beeinträchtigt","2000","AkademikerIn","weiblich","98","0.0687724339052794","0.0565875345647273","0.0809573332458316"
"Nicht beeinträchtigt","2001","(noch) kein Abschluss","maennlich","375","0.918648774195504","0.891991593917811","0.945305954473198"
"Nicht beeinträchtigt","2001","(noch) kein Abschluss","weiblich","445","0.947862610435026","0.927678831990583","0.968046388879469"
"Nicht beeinträchtigt","2001","Hauptschule","maennlich","3763","0.814263061015095","0.802938262116194","0.825587859913997"
"Nicht beeinträchtigt","2001","Hauptschule","weiblich","4200","0.858245572454872","0.848408890546363","0.86808225436338"
"Nicht beeinträchtigt","2001","Realschule","maennlich","2333","0.924327421694299","0.913943623088191","0.934711220300406"
"Nicht beeinträchtigt","2001","Realschule","weiblich","3078","0.928275273938666","0.91943401146371","0.937116536413622"
"Nicht beeinträchtigt","2001","(Fach-)Abitur","maennlich","967","0.918796213430511","0.902155357717339","0.935437069143683"
"Nicht beeinträchtigt","2001","(Fach-)Abitur","weiblich","1128","0.9399347940235","0.926389148657754","0.953480439389246"
"Nicht beeinträchtigt","2001","AkademikerIn","maennlich","1831","0.913774133801764","0.901441388402263","0.926106879201265"
"Nicht beeinträchtigt","2001","AkademikerIn","weiblich","1453","0.927066288235253","0.914142124635179","0.939990451835327"
"Beeinträchtigt","2001","(noch) kein Abschluss","maennlich","29","","",""
"Beeinträchtigt","2001","(noch) kein Abschluss","weiblich","21","","",""
"Beeinträchtigt","2001","Hauptschule","maennlich","767","0.185736938984905","0.174412140086003","0.197061737883806"
"Beeinträchtigt","2001","Hauptschule","weiblich","630","0.141754427545128","0.13191774563662","0.151591109453637"
"Beeinträchtigt","2001","Realschule","maennlich","159","0.0756725783057013","0.0652887796995937","0.086056376911809"
"Beeinträchtigt","2001","Realschule","weiblich","194","0.0717247260613337","0.0628834635863778","0.0805659885362897"
"Beeinträchtigt","2001","(Fach-)Abitur","maennlich","68","0.081203786569489","0.0645629308563175","0.0978446422826606"
"Beeinträchtigt","2001","(Fach-)Abitur","weiblich","54","0.0600652059765001","0.0465195606107544","0.0736108513422458"
"Beeinträchtigt","2001","AkademikerIn","maennlich","159","0.0862258661982361","0.073893120798735","0.0985586115977371"
"Beeinträchtigt","2001","AkademikerIn","weiblich","102","0.0729337117647467","0.0600095481646727","0.0858578753648208"
"Nicht beeinträchtigt","2002","(noch) kein Abschluss","maennlich","398","0.903266711996392","0.875196915169599","0.931336508823186"
"Nicht beeinträchtigt","2002","(noch) kein Abschluss","weiblich","466","0.952089085940513","0.933041912023601","0.971136259857424"
"Nicht beeinträchtigt","2002","Hauptschule","maennlich","3471","0.794390049337037","0.782283665499256","0.806496433174818"
"Nicht beeinträchtigt","2002","Hauptschule","weiblich","3939","0.843864386443938","0.833383954738108","0.854344818149768"
"Nicht beeinträchtigt","2002","Realschule","maennlich","2378","0.9179306078842","0.907287997267937","0.928573218500462"
"Nicht beeinträchtigt","2002","Realschule","weiblich","3207","0.920478109413384","0.911413310613089","0.929542908213678"
"Nicht beeinträchtigt","2002","(Fach-)Abitur","maennlich","1077","0.931745279324121","0.917119130556949","0.946371428091293"
"Nicht beeinträchtigt","2002","(Fach-)Abitur","weiblich","1254","0.946954312679404","0.934822203811467","0.95908642154734"
"Nicht beeinträchtigt","2002","AkademikerIn","maennlich","2409","0.915465054133492","0.904774088346624","0.926156019920359"
"Nicht beeinträchtigt","2002","AkademikerIn","weiblich","1838","0.919388505289938","0.907320854561961","0.931456156017915"
"Beeinträchtigt","2002","(noch) kein Abschluss","maennlich","28","","",""
"Beeinträchtigt","2002","(noch) kein Abschluss","weiblich","17","","",""
"Beeinträchtigt","2002","Hauptschule","maennlich","810","0.205609950662963","0.193503566825182","0.217716334500744"
"Beeinträchtigt","2002","Hauptschule","weiblich","669","0.156135613556062","0.145655181850232","0.166616045261892"
"Beeinträchtigt","2002","Realschule","maennlich","177","0.0820693921158002","0.0714267814995376","0.0927120027320628"
"Beeinträchtigt","2002","Realschule","weiblich","215","0.0795218905866164","0.0704570917863217","0.0885866893869111"
"Beeinträchtigt","2002","(Fach-)Abitur","maennlich","65","0.0682547206758789","0.0536285719087065","0.0828808694430513"
"Beeinträchtigt","2002","(Fach-)Abitur","weiblich","57","0.0530456873205963","0.0409135784526596","0.0651777961885329"
"Beeinträchtigt","2002","AkademikerIn","maennlich","192","0.0845349458665081","0.0738439800796405","0.0952259116533757"
"Beeinträchtigt","2002","AkademikerIn","weiblich","117","0.0806114947100623","0.0685438439820852","0.0926791454380394"
"Nicht beeinträchtigt","2003","(noch) kein Abschluss","maennlich","399","0.927828531431366","0.903139247256987","0.952517815605746"
"Nicht beeinträchtigt","2003","(noch) kein Abschluss","weiblich","456","0.945334692208501","0.924891440162635","0.965777944254368"
"Nicht beeinträchtigt","2003","Hauptschule","maennlich","3287","0.795870888026305","0.783492483577276","0.808249292475334"
"Nicht beeinträchtigt","2003","Hauptschule","weiblich","3728","0.843188549960206","0.832397679078918","0.853979420841495"
"Nicht beeinträchtigt","2003","Realschule","maennlich","2298","0.920347444569933","0.909674122367436","0.931020766772429"
"Nicht beeinträchtigt","2003","Realschule","weiblich","3084","0.919815795667034","0.910554139632408","0.92907745170166"
"Nicht beeinträchtigt","2003","(Fach-)Abitur","maennlich","1044","0.931378468223132","0.916479238085435","0.946277698360828"
"Nicht beeinträchtigt","2003","(Fach-)Abitur","weiblich","1244","0.95150302463324","0.939830310327659","0.963175738938821"
"Nicht beeinträchtigt","2003","AkademikerIn","maennlich","2254","0.902786754729429","0.891072873322931","0.914500636135926"
"Nicht beeinträchtigt","2003","AkademikerIn","weiblich","1774","0.922136829631097","0.910069203990838","0.934204455271355"
"Beeinträchtigt","2003","(noch) kein Abschluss","maennlich","23","","",""
"Beeinträchtigt","2003","(noch) kein Abschluss","weiblich","19","","",""
"Beeinträchtigt","2003","Hauptschule","maennlich","786","0.204129111973695","0.191750707524666","0.216507516422724"
"Beeinträchtigt","2003","Hauptschule","weiblich","634","0.156811450039794","0.146020579158505","0.167602320921082"
"Beeinträchtigt","2003","Realschule","maennlich","174","0.0796525554300672","0.0689792332275707","0.0903258776325638"
"Beeinträchtigt","2003","Realschule","weiblich","219","0.0801842043329658","0.0709225482983403","0.0894458603675914"
"Beeinträchtigt","2003","(Fach-)Abitur","maennlich","62","0.0686215317768685","0.053722301639172","0.083520761914565"
"Beeinträchtigt","2003","(Fach-)Abitur","weiblich","57","0.0484969753667602","0.0368242610611789","0.0601696896723415"
"Beeinträchtigt","2003","AkademikerIn","maennlich","203","0.0972132452705714","0.0854993638640735","0.108927126677069"
"Beeinträchtigt","2003","AkademikerIn","weiblich","120","0.0778631703689035","0.0657955447286447","0.0899307960091622"
"Nicht beeinträchtigt","2004","(noch) kein Abschluss","maennlich","403","0.929146378906708","0.904695132518914","0.953597625294502"
"Nicht beeinträchtigt","2004","(noch) kein Abschluss","weiblich","466","0.930803550713868","0.908240341155907","0.95336676027183"
"Nicht beeinträchtigt","2004","Hauptschule","maennlich","3125","0.796275723364056","0.783610708340302","0.80894073838781"
"Nicht beeinträchtigt","2004","Hauptschule","weiblich","3525","0.836189462963685","0.824953572460618","0.847425353466752"
"Nicht beeinträchtigt","2004","Realschule","maennlich","2202","0.911223398161887","0.899815841887423","0.922630954436351"
"Nicht beeinträchtigt","2004","Realschule","weiblich","2996","0.913951527697847","0.904274342038065","0.923628713357629"
"Nicht beeinträchtigt","2004","(Fach-)Abitur","maennlich","1022","0.925018676128286","0.909362520792052","0.940674831464521"
"Nicht beeinträchtigt","2004","(Fach-)Abitur","weiblich","1247","0.945878391352573","0.933612099389825","0.958144683315322"
"Nicht beeinträchtigt","2004","AkademikerIn","maennlich","2213","0.898549411500458","0.88651020417572","0.910588618825195"
"Nicht beeinträchtigt","2004","AkademikerIn","weiblich","1748","0.912782538319272","0.900011305027299","0.925553771611245"
"Beeinträchtigt","2004","(noch) kein Abschluss","maennlich","20","","",""
"Beeinträchtigt","2004","(noch) kein Abschluss","weiblich","20","","",""
"Beeinträchtigt","2004","Hauptschule","maennlich","760","0.203724276635944","0.19105926161219","0.216389291659698"
"Beeinträchtigt","2004","Hauptschule","weiblich","643","0.163810537036315","0.152574646533248","0.175046427539382"
"Beeinträchtigt","2004","Realschule","maennlich","186","0.0887766018381129","0.0773690455636487","0.100184158112577"
"Beeinträchtigt","2004","Realschule","weiblich","230","0.0860484723021526","0.0763712866423706","0.0957256579619347"
"Beeinträchtigt","2004","(Fach-)Abitur","maennlich","65","0.0749813238717135","0.0593251685354788","0.0906374792079482"
"Beeinträchtigt","2004","(Fach-)Abitur","weiblich","60","0.0541216086474266","0.0418553166846784","0.0663879006101749"
"Beeinträchtigt","2004","AkademikerIn","maennlich","203","0.101450588499542","0.0894113811748049","0.11348979582428"
"Beeinträchtigt","2004","AkademikerIn","weiblich","127","0.0872174616807281","0.0744462283887555","0.0999886949727007"
"Nicht beeinträchtigt","2005","(noch) kein Abschluss","maennlich","394","0.908839088452679","0.881245525683948","0.936432651221411"
"Nicht beeinträchtigt","2005","(noch) kein Abschluss","weiblich","468","0.946429839389677","0.926390522723334","0.966469156056019"
"Nicht beeinträchtigt","2005","Hauptschule","maennlich","2895","0.790676393231005","0.77748555754798","0.80386722891403"
"Nicht beeinträchtigt","2005","Hauptschule","weiblich","3291","0.839580482059256","0.828055131858039","0.851105832260474"
"Nicht beeinträchtigt","2005","Realschule","maennlich","2091","0.904664084123191","0.892633211169542","0.91669495707684"
"Nicht beeinträchtigt","2005","Realschule","weiblich","2864","0.915322448571801","0.905509499364779","0.925135397778822"
"Nicht beeinträchtigt","2005","(Fach-)Abitur","maennlich","961","0.925924420102404","0.909891543225785","0.941957296979024"
"Nicht beeinträchtigt","2005","(Fach-)Abitur","weiblich","1209","0.947799672501698","0.935556799196026","0.960042545807371"
"Nicht beeinträchtigt","2005","AkademikerIn","maennlich","2121","0.910082794158371","0.898404632590222","0.921760955726519"
"Nicht beeinträchtigt","2005","AkademikerIn","weiblich","1716","0.90748504716902","0.89430294085704","0.920667153481001"
"Beeinträchtigt","2005","(noch) kein Abschluss","maennlich","24","","",""
"Beeinträchtigt","2005","(noch) kein Abschluss","weiblich","17","","",""
"Beeinträchtigt","2005","Hauptschule","maennlich","759","0.209323606768995","0.19613277108597","0.22251444245202"
"Beeinträchtigt","2005","Hauptschule","weiblich","604","0.160419517940744","0.148894167739526","0.171944868141961"
"Beeinträchtigt","2005","Realschule","maennlich","198","0.0953359158768089","0.08330504292316","0.107366788830458"
"Beeinträchtigt","2005","Realschule","weiblich","228","0.0846775514281995","0.0748646022211783","0.0944905006352207"
"Beeinträchtigt","2005","(Fach-)Abitur","maennlich","64","0.0740755798975955","0.0580427030209757","0.0901084567742153"
"Beeinträchtigt","2005","(Fach-)Abitur","weiblich","59","0.0522003274983016","0.0399574541926294","0.0644432008039738"
"Beeinträchtigt","2005","AkademikerIn","maennlich","184","0.0899172058416293","0.0782390442734808","0.101595367409778"
"Beeinträchtigt","2005","AkademikerIn","weiblich","140","0.0925149528309797","0.0793328465189992","0.10569705914296"
"Nicht beeinträchtigt","2006","(noch) kein Abschluss","maennlich","283","0.878382778159023","0.841762062846976","0.915003493471069"
"Nicht beeinträchtigt","2006","(noch) kein Abschluss","weiblich","322","0.918381908486719","0.889450222196546","0.947313594776891"
"Nicht beeinträchtigt","2006","Hauptschule","maennlich","3092","0.792025227867566","0.779292435665181","0.804758020069952"
"Nicht beeinträchtigt","2006","Hauptschule","weiblich","3512","0.832391723578187","0.82106575167441","0.843717695481963"
"Nicht beeinträchtigt","2006","Realschule","maennlich","2190","0.898390542683725","0.886335490859495","0.910445594507954"
"Nicht beeinträchtigt","2006","Realschule","weiblich","3080","0.911115064225972","0.901450963011513","0.92077916544043"
"Nicht beeinträchtigt","2006","(Fach-)Abitur","maennlich","995","0.928094674479329","0.912550521285996","0.943638827672662"
"Nicht beeinträchtigt","2006","(Fach-)Abitur","weiblich","1320","0.943650117791924","0.931514500671213","0.955785734912636"
"Nicht beeinträchtigt","2006","AkademikerIn","maennlich","2328","0.904996495744645","0.893613503644323","0.916379487844967"
"Nicht beeinträchtigt","2006","AkademikerIn","weiblich","1866","0.906948052447158","0.894295168720075","0.919600936174242"
"Beeinträchtigt","2006","(noch) kein Abschluss","maennlich","23","","",""
"Beeinträchtigt","2006","(noch) kein Abschluss","weiblich","22","","",""
"Beeinträchtigt","2006","Hauptschule","maennlich","811","0.207974772132434","0.195241979930048","0.220707564334819"
"Beeinträchtigt","2006","Hauptschule","weiblich","666","0.167608276421813","0.156282304518037","0.17893424832559"
"Beeinträchtigt","2006","Realschule","maennlich","223","0.101609457316275","0.0895544054920456","0.113664509140505"
"Beeinträchtigt","2006","Realschule","weiblich","251","0.0888849357740282","0.0792208345595696","0.0985490369884867"
"Beeinträchtigt","2006","(Fach-)Abitur","maennlich","66","0.0719053255206711","0.0563611723273379","0.0874494787140043"
"Beeinträchtigt","2006","(Fach-)Abitur","weiblich","67","0.0563498822080759","0.0442142650873644","0.0684854993287874"
"Beeinträchtigt","2006","AkademikerIn","maennlich","221","0.0950035042553551","0.0836205121550327","0.106386496355677"
"Beeinträchtigt","2006","AkademikerIn","weiblich","159","0.0930519475528416","0.0803990638257582","0.105704831279925"
"Nicht beeinträchtigt","2007","(noch) kein Abschluss","maennlich","229","0.891167451686554","0.852171088530998","0.93016381484211"
"Nicht beeinträchtigt","2007","(noch) kein Abschluss","weiblich","287","0.907401982208012","0.875186205731368","0.939617758684656"
"Nicht beeinträchtigt","2007","Hauptschule","maennlich","2817","0.791158403972736","0.777792734657369","0.804524073288103"
"Nicht beeinträchtigt","2007","Hauptschule","weiblich","3170","0.834825639296521","0.822968993374744","0.846682285218298"
"Nicht beeinträchtigt","2007","Realschule","maennlich","2062","0.897816152333339","0.88535883989584","0.910273464770837"
"Nicht beeinträchtigt","2007","Realschule","weiblich","2868","0.9106790796253","0.900679485910868","0.920678673339732"
"Nicht beeinträchtigt","2007","(Fach-)Abitur","maennlich","974","0.924192214010739","0.908159287224204","0.940225140797273"
"Nicht beeinträchtigt","2007","(Fach-)Abitur","weiblich","1232","0.934400884870164","0.920988874552234","0.947812895188093"
"Nicht beeinträchtigt","2007","AkademikerIn","maennlich","2185","0.89778655978751","0.885684742310805","0.909888377264215"
"Nicht beeinträchtigt","2007","AkademikerIn","weiblich","1814","0.905816909941785","0.892945040476153","0.918688779407417"
"Beeinträchtigt","2007","(noch) kein Abschluss","maennlich","16","","",""
"Beeinträchtigt","2007","(noch) kein Abschluss","weiblich","24","","",""
"Beeinträchtigt","2007","Hauptschule","maennlich","736","0.208841596027264","0.195475926711897","0.222207265342631"
"Beeinträchtigt","2007","Hauptschule","weiblich","598","0.165174360703479","0.153317714781702","0.177031006625256"
"Beeinträchtigt","2007","Realschule","maennlich","209","0.102183847666661","0.0897265352291625","0.11464116010416"
"Beeinträchtigt","2007","Realschule","weiblich","257","0.0893209203746997","0.0793213266602676","0.0993205140891318"
"Beeinträchtigt","2007","(Fach-)Abitur","maennlich","73","0.0758077859892612","0.0597748592027265","0.0918407127757958"
"Beeinträchtigt","2007","(Fach-)Abitur","weiblich","77","0.0655991151298363","0.0521871048119067","0.0790111254477658"
"Beeinträchtigt","2007","AkademikerIn","maennlich","222","0.10221344021249","0.0901116227357853","0.114315257689195"
"Beeinträchtigt","2007","AkademikerIn","weiblich","164","0.094183090058215","0.0813112205925831","0.107054959523847"
"Nicht beeinträchtigt","2008","(noch) kein Abschluss","maennlich","234","0.882053994100964","0.84223071428224","0.921877273919688"
"Nicht beeinträchtigt","2008","(noch) kein Abschluss","weiblich","276","0.93063554020109","0.901593123864602","0.959677956537577"
"Nicht beeinträchtigt","2008","Hauptschule","maennlich","2603","0.80024482859931","0.786568387370952","0.813921269827668"
"Nicht beeinträchtigt","2008","Hauptschule","weiblich","2942","0.828902699052778","0.81644058691431","0.841364811191247"
"Nicht beeinträchtigt","2008","Realschule","maennlich","1947","0.897798267122831","0.885017972019377","0.910578562226284"
"Nicht beeinträchtigt","2008","Realschule","weiblich","2712","0.910684802030935","0.900389689963893","0.920979914097977"
"Nicht beeinträchtigt","2008","(Fach-)Abitur","maennlich","896","0.914220155394974","0.89656069003161","0.931879620758338"
"Nicht beeinträchtigt","2008","(Fach-)Abitur","weiblich","1139","0.939716036215269","0.926277443659888","0.95315462877065"
"Nicht beeinträchtigt","2008","AkademikerIn","maennlich","2082","0.901362729717018","0.889153005145773","0.913572454288264"
"Nicht beeinträchtigt","2008","AkademikerIn","weiblich","1741","0.910090373289015","0.897224745992627","0.922956000585403"
"Beeinträchtigt","2008","(noch) kein Abschluss","maennlich","18","","",""
"Beeinträchtigt","2008","(noch) kein Abschluss","weiblich","18","","",""
"Beeinträchtigt","2008","Hauptschule","maennlich","680","0.19975517140069","0.186078730172332","0.213431612629048"
"Beeinträchtigt","2008","Hauptschule","weiblich","566","0.171097300947222","0.158635188808753","0.18355941308569"
"Beeinträchtigt","2008","Realschule","maennlich","211","0.102201732877169","0.0894214377737156","0.114982027980623"
"Beeinträchtigt","2008","Realschule","weiblich","236","0.0893151979690648","0.0790200859020226","0.099610310036107"
"Beeinträchtigt","2008","(Fach-)Abitur","maennlich","70","0.0857798446050261","0.0681203792416621","0.10343930996839"
"Beeinträchtigt","2008","(Fach-)Abitur","weiblich","66","0.0602839637847305","0.0468453712293495","0.0737225563401115"
"Beeinträchtigt","2008","AkademikerIn","maennlich","209","0.0986372702829815","0.086427545711736","0.110846994854227"
"Beeinträchtigt","2008","AkademikerIn","weiblich","158","0.0899096267109851","0.0770439994145974","0.102775254007373"
"Nicht beeinträchtigt","2009","(noch) kein Abschluss","maennlich","229","0.888924210289556","0.849657672569304","0.928190748009808"
"Nicht beeinträchtigt","2009","(noch) kein Abschluss","weiblich","224","0.924715818977242","0.891194922779264","0.958236715175219"
"Nicht beeinträchtigt","2009","Hauptschule","maennlich","2364","0.80447176629056","0.790260674704626","0.818682857876493"
"Nicht beeinträchtigt","2009","Hauptschule","weiblich","2676","0.825183619044644","0.812022060114568","0.838345177974721"
"Nicht beeinträchtigt","2009","Realschule","maennlich","1817","0.896075159513271","0.882770712241341","0.909379606785201"
"Nicht beeinträchtigt","2009","Realschule","weiblich","2544","0.907193931713526","0.896421397996758","0.917966465430293"
"Nicht beeinträchtigt","2009","(Fach-)Abitur","maennlich","816","0.914223191462701","0.895773567686631","0.932672815238772"
"Nicht beeinträchtigt","2009","(Fach-)Abitur","weiblich","1047","0.926202276839491","0.910842853436058","0.941561700242924"
"Nicht beeinträchtigt","2009","AkademikerIn","maennlich","1975","0.898853935363095","0.886208294865489","0.911499575860702"
"Nicht beeinträchtigt","2009","AkademikerIn","weiblich","1701","0.919438816883107","0.907020171067864","0.931857462698351"
"Beeinträchtigt","2009","(noch) kein Abschluss","maennlich","17","","",""
"Beeinträchtigt","2009","(noch) kein Abschluss","weiblich","14","","",""
"Beeinträchtigt","2009","Hauptschule","maennlich","628","0.195528233709441","0.181317142123507","0.209739325295374"
"Beeinträchtigt","2009","Hauptschule","weiblich","523","0.174816380955356","0.16165482202528","0.187977939885432"
"Beeinträchtigt","2009","Realschule","maennlich","204","0.103924840486729","0.0906203932147994","0.117229287758659"
"Beeinträchtigt","2009","Realschule","weiblich","243","0.0928060682864743","0.0820335345697067","0.103578602003242"
"Beeinträchtigt","2009","(Fach-)Abitur","maennlich","69","0.0857768085372987","0.067327184761228","0.104226432313369"
"Beeinträchtigt","2009","(Fach-)Abitur","weiblich","66","0.0737977231605094","0.0584382997570764","0.0891571465639424"
"Beeinträchtigt","2009","AkademikerIn","maennlich","209","0.101146064636905","0.0885004241392981","0.113791705134511"
"Beeinträchtigt","2009","AkademikerIn","weiblich","144","0.0805611831168927","0.068142537301649","0.0929798289321364"
"Nicht beeinträchtigt","2010","(noch) kein Abschluss","maennlich","357","0.918963597611036","0.891306823651846","0.946620371570226"
"Nicht beeinträchtigt","2010","(noch) kein Abschluss","weiblich","376","0.926236341489935","0.900588916053401","0.951883766926469"
"Nicht beeinträchtigt","2010","Hauptschule","maennlich","3000","0.800875056104635","0.787859009436854","0.813891102772415"
"Nicht beeinträchtigt","2010","Hauptschule","weiblich","3341","0.829392251496875","0.817510045181076","0.841274457812674"
"Nicht beeinträchtigt","2010","Realschule","maennlich","2402","0.892688836267352","0.880884640743023","0.90449303179168"
