year,bula_h,sampreg,ple0098_v5,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2013,Hesse,West,Yes,0.15735,318,1052,0.13534,0.17937
2013,Hesse,West,No,0.41161,734,1052,0.38185,0.44136
2013,"Rhineland-Palatinate, Saarland",West,Yes,0.13044,207,911,0.10856,0.15233
2013,"Rhineland-Palatinate, Saarland",West,No,0.46379,704,911,0.43139,0.49619
2013,Baden-Wuerttemberg,West,Yes,0.16322,520,1769,0.14600,0.18045
2013,Baden-Wuerttemberg,West,No,0.40857,1249,1769,0.38566,0.43149
2013,Bavaria,West,Yes,0.17468,733,2432,0.15959,0.18977
2013,Bavaria,West,No,0.41991,1699,2432,0.40029,0.43953
2013,Berlin,West,Yes,0.14499,93,358,0.10847,0.18152
2013,Berlin,West,No,0.44718,265,358,0.39561,0.49876
2013,Berlin,East,Yes,0.18876,73,287,0.14341,0.23411
2013,Berlin,East,No,0.51988,214,287,0.46198,0.57778
2013,Brandenburg,East,Yes,0.11047,126,722,0.08759,0.13336
2013,Brandenburg,East,No,0.59028,596,722,0.55438,0.62618
2013,Mecklenburg-Western Pomerania,East,Yes,0.10303,61,415,0.07375,0.13231
2013,Mecklenburg-Western Pomerania,East,No,0.64207,354,415,0.59589,0.68825
2013,Saxony,East,Yes,0.11858,229,1235,0.10054,0.13662
2013,Saxony,East,No,0.62323,1006,1235,0.59620,0.65027
2013,Saxony-Anhalt,East,Yes,0.09519,106,709,0.07357,0.11680
2013,Saxony-Anhalt,East,No,0.64575,603,709,0.61052,0.68098
2013,Thuringa,East,Yes,0.10420,108,744,0.08223,0.12617
2013,Thuringa,East,No,0.62498,636,744,0.59016,0.65979
2014,Schleswig-Holstein,West,Yes,0.19342,187,824,0.16644,0.22041
2014,Schleswig-Holstein,West,No,0.55091,637,824,0.51692,0.58489
2014,Hamburg,West,Yes,0.18342,79,374,0.14414,0.22270
2014,Hamburg,West,No,0.52259,295,374,0.47190,0.57328
2014,Lower Saxony,West,Yes,0.19403,532,2287,0.17782,0.21024
2014,Lower Saxony,West,No,0.54081,1755,2287,0.52038,0.56123
2014,Bremen,West,Yes,0.12968,35,198,0.08277,0.17660
2014,Bremen,West,No,0.68042,163,198,0.61530,0.74553
2014,North Rhine-Westphalia,West,Yes,0.15967,1038,4878,0.14939,0.16996
2014,North Rhine-Westphalia,West,No,0.55713,3840,4878,0.54319,0.57107
2014,Hesse,West,Yes,0.15700,398,1597,0.13915,0.17485
2014,Hesse,West,No,0.54256,1199,1597,0.51812,0.56700
2014,"Rhineland-Palatinate, Saarland",West,Yes,0.16517,306,1377,0.14555,0.18479
2014,"Rhineland-Palatinate, Saarland",West,No,0.56088,1071,1377,0.53466,0.58711
2014,Baden-Wuerttemberg,West,Yes,0.20824,775,2775,0.19313,0.22335
2014,Baden-Wuerttemberg,West,No,0.51808,2000,2775,0.49949,0.53668
2014,Bavaria,West,Yes,0.21046,1059,3762,0.19743,0.22349
2014,Bavaria,West,No,0.50331,2703,3762,0.48733,0.51929
2014,Berlin,West,Yes,0.16143,106,474,0.12827,0.19458
2014,Berlin,West,No,0.55888,368,474,0.51414,0.60363
2014,Berlin,East,Yes,0.19462,87,377,0.15460,0.23463
2014,Berlin,East,No,0.60495,290,377,0.55554,0.65436
2014,Brandenburg,East,Yes,0.13442,170,953,0.11275,0.15608
2014,Brandenburg,East,No,0.65878,783,953,0.62866,0.68890
2014,Mecklenburg-Western Pomerania,East,Yes,0.12080,81,514,0.09259,0.14900
2014,Mecklenburg-Western Pomerania,East,No,0.68526,433,514,0.64507,0.72545
2014,Saxony,East,Yes,0.14814,271,1497,0.13014,0.16614
2014,Saxony,East,No,0.66123,1226,1497,0.63725,0.68521
2014,Saxony-Anhalt,East,Yes,0.11884,126,903,0.09772,0.13996
2014,Saxony-Anhalt,East,No,0.70123,777,903,0.67136,0.73110
2014,Thuringa,East,Yes,0.09915,116,925,0.07988,0.11842
2014,Thuringa,East,No,0.68652,809,925,0.65661,0.71644
2016,Schleswig-Holstein,West,Yes,0.17554,153,729,0.14791,0.20318
2016,Schleswig-Holstein,West,No,0.55481,576,729,0.51871,0.59091
2016,Hamburg,West,Yes,0.14725,66,357,0.11044,0.18406
2016,Hamburg,West,No,0.52715,291,357,0.47528,0.57901
2016,Lower Saxony,West,Yes,0.20066,447,2077,0.18343,0.21789
2016,Lower Saxony,West,No,0.53264,1630,2077,0.51118,0.55411
2016,Bremen,West,No,0.68441,141,141,0.60742,0.76139
2016,North Rhine-Westphalia,West,Yes,0.14273,850,4365,0.13235,0.15311
2016,North Rhine-Westphalia,West,No,0.57078,3515,4365,0.55610,0.58547
2016,Hesse,West,Yes,0.13039,292,1351,0.11243,0.14835
2016,Hesse,West,No,0.56203,1059,1351,0.53557,0.58850
2016,"Rhineland-Palatinate, Saarland",West,Yes,0.13146,236,1285,0.11298,0.14995
2016,"Rhineland-Palatinate, Saarland",West,No,0.58278,1049,1285,0.55581,0.60975
2016,Baden-Wuerttemberg,West,Yes,0.18123,623,2443,0.16595,0.19650
2016,Baden-Wuerttemberg,West,No,0.53375,1820,2443,0.51397,0.55354
2016,Bavaria,West,Yes,0.20052,875,3345,0.18694,0.21409
2016,Bavaria,West,No,0.51964,2470,3345,0.50270,0.53657
2016,Berlin,West,Yes,0.16906,91,437,0.13388,0.20424
2016,Berlin,West,No,0.57840,346,437,0.53204,0.62475
2016,Berlin,East,Yes,0.13786,64,358,0.10210,0.17363
2016,Berlin,East,No,0.65352,294,358,0.60416,0.70288
2016,Brandenburg,East,Yes,0.09415,121,866,0.07469,0.11362
2016,Brandenburg,East,No,0.67786,745,866,0.64672,0.70900
2016,Mecklenburg-Western Pomerania,East,Yes,0.09613,60,473,0.06954,0.12273
2016,Mecklenburg-Western Pomerania,East,No,0.67524,413,473,0.63299,0.71749
2016,Saxony,East,Yes,0.13173,238,1345,0.11365,0.14981
2016,Saxony,East,No,0.67153,1107,1345,0.64642,0.69664
2016,Saxony-Anhalt,East,Yes,0.08937,88,776,0.06929,0.10946
2016,Saxony-Anhalt,East,No,0.70425,688,776,0.67212,0.73638
2016,Thuringa,East,Yes,0.08991,118,833,0.07047,0.10935
2016,Thuringa,East,No,0.68449,715,833,0.65291,0.71607
2018,Schleswig-Holstein,West,Yes,0.15668,161,817,0.13174,0.18162
2018,Schleswig-Holstein,West,No,0.55915,656,817,0.52509,0.59322
2018,Hamburg,West,Yes,0.12127,69,415,0.08982,0.15272
2018,Hamburg,West,No,0.55765,346,415,0.50981,0.60550
2018,Lower Saxony,West,Yes,0.18941,484,2203,0.17304,0.20578
2018,Lower Saxony,West,No,0.53698,1719,2203,0.51615,0.55780
2018,Bremen,West,No,0.61199,176,176,0.53979,0.68419
2018,North Rhine-Westphalia,West,Yes,0.14871,927,4693,0.13853,0.15889
2018,North Rhine-Westphalia,West,No,0.58008,3766,4693,0.56596,0.59420
2018,Hesse,West,Yes,0.13893,324,1446,0.12110,0.15677
2018,Hesse,West,No,0.57940,1122,1446,0.55394,0.60485
2018,"Rhineland-Palatinate, Saarland",West,Yes,0.13341,227,1284,0.11481,0.15202
2018,"Rhineland-Palatinate, Saarland",West,No,0.56920,1057,1284,0.54210,0.59630
2018,Baden-Wuerttemberg,West,Yes,0.20192,623,2369,0.18575,0.21809
2018,Baden-Wuerttemberg,West,No,0.50869,1746,2369,0.48855,0.52882
2018,Bavaria,West,Yes,0.20694,960,3449,0.19341,0.22046
2018,Bavaria,West,No,0.52172,2489,3449,0.50505,0.53839
2018,Berlin,West,Yes,0.14416,109,513,0.11373,0.17458
2018,Berlin,West,No,0.60471,404,513,0.56236,0.64706
2018,Berlin,East,Yes,0.16773,76,357,0.12892,0.20654
2018,Berlin,East,No,0.61758,281,357,0.56710,0.66807
2018,Brandenburg,East,Yes,0.13817,177,950,0.11621,0.16013
2018,Brandenburg,East,No,0.60900,773,950,0.57795,0.64005
2018,Mecklenburg-Western Pomerania,East,Yes,0.09855,76,550,0.07361,0.12348
2018,Mecklenburg-Western Pomerania,East,No,0.67700,474,550,0.63788,0.71612
2018,Saxony,East,Yes,0.14492,288,1521,0.12722,0.16262
2018,Saxony,East,No,0.65336,1233,1521,0.62944,0.67729
2018,Saxony-Anhalt,East,Yes,0.10553,121,859,0.08497,0.12609
2018,Saxony-Anhalt,East,No,0.68835,738,859,0.65736,0.71935
2018,Thuringa,East,Yes,0.11608,136,868,0.09475,0.13740
2018,Thuringa,East,No,0.64922,732,868,0.61746,0.68099
2020,Schleswig-Holstein,West,Yes,0.16350,183,766,0.13729,0.18971
2020,Schleswig-Holstein,West,No,0.51128,583,766,0.47586,0.54671
2020,Hamburg,West,Yes,0.15255,98,437,0.11880,0.18630
2020,Hamburg,West,No,0.51994,339,437,0.47304,0.56683
2020,Lower Saxony,West,Yes,0.17354,462,2110,0.15738,0.18971
2020,Lower Saxony,West,No,0.54614,1648,2110,0.52489,0.56739
2020,Bremen,West,No,0.58586,159,159,0.50905,0.66267
2020,North Rhine-Westphalia,West,Yes,0.15736,1008,4663,0.14691,0.16782
2020,North Rhine-Westphalia,West,No,0.57020,3655,4663,0.55599,0.58442
2020,Hesse,West,Yes,0.13154,321,1449,0.11413,0.14895
2020,Hesse,West,No,0.57520,1128,1449,0.54974,0.60066
2020,"Rhineland-Palatinate, Saarland",West,Yes,0.14279,212,1169,0.12273,0.16286
2020,"Rhineland-Palatinate, Saarland",West,No,0.56650,957,1169,0.53808,0.59492
2020,Baden-Wuerttemberg,West,Yes,0.19389,612,2356,0.17792,0.20986
2020,Baden-Wuerttemberg,West,No,0.50117,1744,2356,0.48097,0.52136
2020,Bavaria,West,Yes,0.19638,918,3427,0.18307,0.20968
2020,Bavaria,West,No,0.51163,2509,3427,0.49489,0.52837
2020,Berlin,West,Yes,0.16530,119,637,0.13643,0.19417
2020,Berlin,West,No,0.56779,518,637,0.52929,0.60629
2020,Berlin,East,Yes,0.16247,86,383,0.12548,0.19946
2020,Berlin,East,No,0.60621,297,383,0.55721,0.65521
2020,Brandenburg,East,Yes,0.14284,168,951,0.12059,0.16510
2020,Brandenburg,East,No,0.61232,783,951,0.58134,0.64330
2020,Mecklenburg-Western Pomerania,East,Yes,0.11655,74,454,0.08700,0.14610
2020,Mecklenburg-Western Pomerania,East,No,0.66279,380,454,0.61926,0.70633
2020,Saxony,East,Yes,0.16829,304,1405,0.14872,0.18786
2020,Saxony,East,No,0.64015,1101,1405,0.61504,0.66525
2020,Saxony-Anhalt,East,Yes,0.12123,111,795,0.09853,0.14394
2020,Saxony-Anhalt,East,No,0.65631,684,795,0.62328,0.68935
2020,Thuringa,East,Yes,0.11199,135,810,0.09026,0.13372
2020,Thuringa,East,No,0.66318,675,810,0.63061,0.69575
2022,Schleswig-Holstein,West,Yes,0.17610,197,806,0.14979,0.20242
2022,Schleswig-Holstein,West,No,0.52421,609,806,0.48971,0.55871
2022,Hamburg,West,Yes,0.19825,127,498,0.16320,0.23330
2022,Hamburg,West,No,0.52794,371,498,0.48405,0.57183
2022,Lower Saxony,West,Yes,0.16965,442,1861,0.15260,0.18671
2022,Lower Saxony,West,No,0.49862,1419,1861,0.47590,0.52135
2022,Bremen,West,Yes,0.16869,39,162,0.11084,0.22653
2022,Bremen,West,No,0.53050,123,162,0.45341,0.60759
2022,North Rhine-Westphalia,West,Yes,0.18438,1172,4585,0.17315,0.19561
2022,North Rhine-Westphalia,West,No,0.50647,3413,4585,0.49200,0.52094
2022,Hesse,West,Yes,0.19417,363,1400,0.17344,0.21490
2022,Hesse,West,No,0.52217,1037,1400,0.49600,0.54835
2022,"Rhineland-Palatinate, Saarland",West,Yes,0.19753,292,1034,0.17325,0.22181
2022,"Rhineland-Palatinate, Saarland",West,No,0.49254,742,1034,0.46205,0.52303
2022,Baden-Wuerttemberg,West,Yes,0.20255,724,2647,0.18724,0.21787
2022,Baden-Wuerttemberg,West,No,0.47568,1923,2647,0.45665,0.49470
2022,Bavaria,West,Yes,0.20977,1063,3638,0.19654,0.22300
2022,Bavaria,West,No,0.48340,2575,3638,0.46716,0.49964
2022,Berlin,West,Yes,0.13452,138,720,0.10958,0.15946
2022,Berlin,West,No,0.58413,582,720,0.54810,0.62015
2022,Berlin,East,Yes,0.15186,94,568,0.12232,0.18140
2022,Berlin,East,No,0.58840,474,568,0.54790,0.62891
2022,Brandenburg,East,Yes,0.17081,202,859,0.14563,0.19600
2022,Brandenburg,East,No,0.54156,657,859,0.50822,0.57490
2022,Mecklenburg-Western Pomerania,East,Yes,0.12864,86,497,0.09918,0.15811
2022,Mecklenburg-Western Pomerania,East,No,0.61715,411,497,0.57437,0.65993
2022,Saxony,East,Yes,0.14740,330,1560,0.12981,0.16500
2022,Saxony,East,No,0.62797,1230,1560,0.60398,0.65196
2022,Saxony-Anhalt,East,Yes,0.11613,117,820,0.09419,0.13807
2022,Saxony-Anhalt,East,No,0.67505,703,820,0.64297,0.70712
2022,Thuringa,East,Yes,0.11580,116,735,0.09265,0.13894
2022,Thuringa,East,No,0.62635,619,735,0.59135,0.66135
