"ple0098_v5","year","bildungsniveau","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"Nein","2017","(Fach-)Abitur","weiblich","","","",""
"Nein","2017","AkademikerIn","maennlich","","","",""
"Nein","2017","AkademikerIn","weiblich","","","",""
"Ja","2018","(noch) kein Abschluss","maennlich","19","","",""
"Ja","2018","(noch) kein Abschluss","weiblich","31","0.0932460834813673","0.0668170284989015","0.119675138463833"
"Ja","2018","Hauptschule","maennlich","453","0.153753198172423","0.141204310580105","0.166302085764741"
"Ja","2018","Hauptschule","weiblich","486","0.164411513248521","0.151803653002395","0.177019373494647"
"Ja","2018","Realschule","maennlich","543","0.228889570100234","0.212046532004038","0.24573260819643"
"Ja","2018","Realschule","weiblich","1001","","",""
"Ja","2018","(Fach-)Abitur","maennlich","285","","",""
"Ja","2018","(Fach-)Abitur","weiblich","526","0.252518727687809","0.234145819414897","0.270891635960722"
"Ja","2018","AkademikerIn","maennlich","618","0.311199961397491","0.291729128518568","0.330670794276414"
"Ja","2018","AkademikerIn","weiblich","726","0.291390047313766","0.273308163527359","0.309471931100173"
"Nein","2018","(noch) kein Abschluss","maennlich","339","0.932506055450206","0.906518536847476","0.958493574052936"
"Nein","2018","(noch) kein Abschluss","weiblich","434","0.906753916518633","0.880324861536167","0.933182971501099"
"Nein","2018","Hauptschule","maennlich","2721","","",""
"Nein","2018","Hauptschule","weiblich","2834","","",""
"Nein","2018","Realschule","maennlich","1847","","",""
"Nein","2018","Realschule","weiblich","2736","","",""
"Nein","2018","(Fach-)Abitur","maennlich","1180","","",""
"Nein","2018","(Fach-)Abitur","weiblich","1622","","",""
"Nein","2018","AkademikerIn","maennlich","1554","","",""
"Nein","2018","AkademikerIn","weiblich","1700","","",""
"Ja","2019","(noch) kein Abschluss","maennlich","","","",""
"Ja","2019","(noch) kein Abschluss","weiblich","","","",""
"Ja","2019","Hauptschule","maennlich","","","",""
"Ja","2019","Hauptschule","weiblich","","","",""
"Ja","2019","Realschule","maennlich","","","",""
"Ja","2019","Realschule","weiblich","","","",""
"Ja","2019","(Fach-)Abitur","maennlich","","","",""
"Ja","2019","(Fach-)Abitur","weiblich","","","",""
"Ja","2019","AkademikerIn","maennlich","","","",""
"Ja","2019","AkademikerIn","weiblich","","","",""
"Nein","2019","(noch) kein Abschluss","maennlich","","","",""
"Nein","2019","(noch) kein Abschluss","weiblich","","","",""
"Nein","2019","Hauptschule","maennlich","","","",""
"Nein","2019","Hauptschule","weiblich","","","",""
"Nein","2019","Realschule","maennlich","","","",""
"Nein","2019","Realschule","weiblich","","","",""
"Nein","2019","(Fach-)Abitur","maennlich","","","",""
"Nein","2019","(Fach-)Abitur","weiblich","","","",""
"Nein","2019","AkademikerIn","maennlich","","","",""
"Nein","2019","AkademikerIn","weiblich","","","",""
"Ja","2020","(noch) kein Abschluss","maennlich","24","","",""
"Ja","2020","(noch) kein Abschluss","weiblich","24","","",""
"Ja","2020","Hauptschule","maennlich","410","0.155225587664546","0.141846143352503","0.16860503197659"
"Ja","2020","Hauptschule","weiblich","441","0.17401054969338","0.159978079575088","0.188043019811671"
"Ja","2020","Realschule","maennlich","520","0.226701152551372","0.209177310879326","0.244224994223418"
"Ja","2020","Realschule","weiblich","949","0.278388370041514","0.26332278717485","0.293453952908177"
"Ja","2020","(Fach-)Abitur","maennlich","318","0.217761557822521","0.197847200114891","0.23767591553015"
"Ja","2020","(Fach-)Abitur","weiblich","562","0.24648149935089","0.228834345585363","0.264128653116416"
"Ja","2020","AkademikerIn","maennlich","714","0.311528881218634","0.293411173415781","0.329646589021487"
"Ja","2020","AkademikerIn","weiblich","799","0.30894716564264","0.29139125394984","0.326503077335441"
"Nein","2020","(noch) kein Abschluss","maennlich","385","0.898116070519162","0.868800016445771","0.927432124592554"
"Nein","2020","(noch) kein Abschluss","weiblich","392","0.937542884444807","0.91428940433744","0.960796364552173"
"Nein","2020","Hauptschule","maennlich","2404","","",""
"Nein","2020","Hauptschule","weiblich","2363","","",""
"Nein","2020","Realschule","maennlich","1673","","",""
"Nein","2020","Realschule","weiblich","2451","","",""
"Nein","2020","(Fach-)Abitur","maennlich","1332","","",""
"Nein","2020","(Fach-)Abitur","weiblich","1729","","",""
"Nein","2020","AkademikerIn","maennlich","1796","","",""
"Nein","2020","AkademikerIn","weiblich","1862","","",""
