year,bula_h,pgisced97,plb0037_h,proportion,n,N,proportion_lower_confidence,proportion_upper_confidence
1988,North Rhine-Westphalia,Post-secondary Non-tertiary Level,Permanent job,1.0,37,4585,1.0,1.0
1988,North Rhine-Westphalia,First Stage of Tertiary Education,Permanent job,1.0,80,4585,1.0,1.0
1988,North Rhine-Westphalia,Second Stage of Tertiary Education,Permanent job,1.0,131,4585,1.0,1.0
1988,Hesse,Primary Level,Permanent job,1.0,34,4585,1.0,1.0
1988,Hesse,Lower Secondary Level,Permanent job,1.0,106,4585,1.0,1.0
1988,Hesse,Upper Secondary Level,Permanent job,1.0,236,4585,1.0,1.0
1988,Hesse,Second Stage of Tertiary Education,Permanent job,1.0,49,4585,1.0,1.0
1988,"Rhineland-Palatinate, Saarland",Lower Secondary Level,Permanent job,1.0,60,4585,1.0,1.0
1988,"Rhineland-Palatinate, Saarland",Upper Secondary Level,Permanent job,1.0,178,4585,1.0,1.0
1988,Baden-Wuerttemberg,Primary Level,Permanent job,1.0,94,4585,1.0,1.0
1988,Baden-Wuerttemberg,Lower Secondary Level,Permanent job,0.798958713107446,255,4585,0.7981683009113433,0.7997491253035488
1988,Baden-Wuerttemberg,Lower Secondary Level,Temporary job,0.20104128689255393,57,4585,0.20025087469645114,0.20183169908865672
1988,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,482,4585,1.0,1.0
1988,Baden-Wuerttemberg,First Stage of Tertiary Education,Permanent job,1.0,57,4585,1.0,1.0
1988,Baden-Wuerttemberg,Second Stage of Tertiary Education,Permanent job,1.0,63,4585,1.0,1.0
1988,Bavaria,Primary Level,Permanent job,1.0,35,4585,1.0,1.0
1988,Bavaria,Lower Secondary Level,Permanent job,0.763921339795968,167,4585,0.763032332292438,0.7648103472994979
1988,Bavaria,Lower Secondary Level,Temporary job,0.236078660204032,49,4585,0.23518965270050204,0.23696766770756197
1988,Bavaria,Upper Secondary Level,Permanent job,0.9323112943253813,449,4585,0.9320099005520764,0.9326126880986861
1988,Bavaria,Upper Secondary Level,Temporary job,0.06768870567461874,38,4585,0.06738731190131395,0.06799009944792353
1988,Bavaria,First Stage of Tertiary Education,Permanent job,1.0,48,4585,1.0,1.0
1988,Bavaria,Second Stage of Tertiary Education,Permanent job,1.0,68,4585,1.0,1.0
1988,Berlin,Lower Secondary Level,Permanent job,1.0,32,4585,1.0,1.0
1988,Berlin,Upper Secondary Level,Permanent job,1.0,88,4585,1.0,1.0
1989,Lower Saxony,Upper Secondary Level,Permanent job,1.0,36,297,1.0,1.0
1989,North Rhine-Westphalia,Upper Secondary Level,Permanent job,0.7146733270089045,66,297,0.7134445560571708,0.7159020979606382
1989,North Rhine-Westphalia,Upper Secondary Level,Temporary job,0.2853266729910955,31,297,0.2840979020393618,0.28655544394282917
1989,Baden-Wuerttemberg,Lower Secondary Level,Permanent job,1.0,36,297,1.0,1.0
1989,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,57,297,1.0,1.0
1989,Bavaria,Upper Secondary Level,Permanent job,1.0,71,297,1.0,1.0
1990,Lower Saxony,Upper Secondary Level,Permanent job,1.0,36,3293,1.0,1.0
1990,North Rhine-Westphalia,Lower Secondary Level,Temporary job,1.0,31,3293,1.0,1.0
1990,North Rhine-Westphalia,Upper Secondary Level,Permanent job,1.0,88,3293,1.0,1.0
1990,Hesse,Upper Secondary Level,Permanent job,1.0,37,3293,1.0,1.0
1990,Baden-Wuerttemberg,Lower Secondary Level,Permanent job,1.0,48,3293,1.0,1.0
1990,Baden-Wuerttemberg,Upper Secondary Level,Permanent job,1.0,80,3293,1.0,1.0
1990,Bavaria,Upper Secondary Level,Permanent job,1.0,87,3293,1.0,1.0
1990,Berlin,Upper Secondary Level,Permanent job,1.0,104,3293,1.0,1.0
