year,regtyp,sex,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2017,Urban regions,male,5406,40.58069,40.27538,40.88600,39.00000,40.00000,45.00000,30.00000,54.00000,40.0,40.00000,41.00000
2017,Urban regions,female,5547,31.75276,31.40174,32.10379,21.00000,35.00000,40.00000,0.6,68.50000,35.0,35.00000,37.00000
2017,Rural regions,male,2946,41.45483,41.04213,41.86754,39.00000,41.00000,45.00000,30.00000,54.00000,41.0,40.00000,42.00000
2017,Rural regions,female,2988,32.00674,31.55489,32.45858,23.00000,35.00000,40.00000,1.0,65.50000,35.0,35.00000,36.00000
2018,Urban regions,male,5471,40.14309,39.83569,40.45049,39.00000,40.00000,45.00000,30.00000,54.00000,40.0,40.00000,41.00000
2018,Urban regions,female,5409,32.09518,31.74820,32.44216,22.00000,36.00000,40.50000,0.4,68.25000,36.0,35.00000,37.50000
2018,Rural regions,male,2865,41.23438,40.82214,41.64661,40.00000,41.00000,45.00000,32.50000,52.50000,41.0,40.00000,41.02500
2018,Rural regions,female,2856,31.61756,31.16539,32.06974,22.00000,35.00000,40.00000,1.0,67.00000,35.0,34.00000,35.00000
2019,Urban regions,male,5837,40.59558,40.30772,40.88344,39.00000,40.00000,45.00000,30.00000,54.00000,40.0,40.00000,41.00000
2019,Urban regions,female,5343,32.28928,31.94784,32.63071,23.00000,36.00000,41.00000,1.0,68.00000,36.0,35.00000,37.50000
2019,Rural regions,male,3013,41.34731,40.94400,41.75061,39.58306,41.00000,45.00000,31.45764,53.12542,41.0,40.00000,41.50000
2019,Rural regions,female,2794,32.46571,31.99744,32.93398,23.00000,35.00000,40.00000,1.0,65.50000,35.0,35.00000,36.02500
2020,Urban regions,male,6179,40.04014,39.77007,40.31021,38.50000,40.00000,45.00000,28.75000,54.75000,40.0,40.00000,40.00000
2020,Urban regions,female,5496,32.14257,31.81439,32.47075,23.50000,36.00000,40.00000,1.0,64.75000,36.0,35.00000,37.00000
2020,Rural regions,male,2954,40.26392,39.86406,40.66379,39.00000,40.00000,45.00000,30.00000,54.00000,40.0,40.00000,40.50000
2020,Rural regions,female,2726,32.55258,32.10737,32.99779,25.00000,35.00000,40.00000,2.50000,62.50000,35.0,35.00000,36.00000
2021,Urban regions,male,4109,39.62646,39.24478,40.00815,38.00000,40.00000,45.00000,27.50000,55.50000,40.0,40.00000,41.00000
2021,Urban regions,female,3776,32.13165,31.70058,32.56272,22.00000,36.88529,41.00000,0.0,69.50000,36.5,35.00000,38.00000
2021,Rural regions,male,1889,40.39971,39.89092,40.90849,39.00000,40.00000,45.00000,30.00000,54.00000,40.0,40.00000,41.00000
2021,Rural regions,female,1840,32.27565,31.68783,32.86347,24.00000,35.00000,40.00000,0.00000,64.00000,35.0,32.00000,35.02500
