year,quintil_oecd_hh,regtyp,n,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence
2006,1st Quintile,Rural regions,762,2.50235,2.40852,2.59618,2.00000,2.00000,3.00000,1.00000,4.50000,2.00000,2.00000,2.00000
2006,2nd Quintile,Urban regions,1325,3.05064,2.97362,3.12766,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,3.00000,3.00000
2006,2nd Quintile,Rural regions,886,2.84292,2.75417,2.93168,2.00000,2.00000,4.00000,1.00000,7.00000,2.00000,2.00000,3.00000
2006,3rd Quintile,Urban regions,1491,3.25601,3.18231,3.32970,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,3.00000,3.00000
2006,3rd Quintile,Rural regions,888,3.31233,3.21789,3.40678,2.00000,3.00000,4.00000,1.00000,7.00000,3.00000,3.00000,3.00000
2006,4th Quintile,Urban regions,1681,3.78955,3.71909,3.86000,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,4.00000,4.00000
2006,4th Quintile,Rural regions,804,3.63396,3.52933,3.73859,2.00000,4.00000,5.00000,1.00000,7.00000,4.00000,3.00000,4.00000
2006,5th Quintile,Urban regions,2316,4.49180,4.42924,4.55436,3.00000,5.00000,6.00000,1.00000,7.00000,5.00000,4.00000,5.00000
2006,5th Quintile,Rural regions,741,4.10863,3.99702,4.22023,3.00000,4.00000,5.00000,1.00000,7.00000,4.00000,4.00000,4.00000
2007,1st Quintile,Urban regions,,,,,,,,,,,,
2007,1st Quintile,Rural regions,,,,,,,,,,,,
2007,2nd Quintile,Urban regions,,,,,,,,,,,,
2007,2nd Quintile,Rural regions,,,,,,,,,,,,
2007,3rd Quintile,Urban regions,,,,,,,,,,,,
2007,3rd Quintile,Rural regions,,,,,,,,,,,,
2007,4th Quintile,Urban regions,,,,,,,,,,,,
2007,4th Quintile,Rural regions,,,,,,,,,,,,
2007,5th Quintile,Urban regions,,,,,,,,,,,,
2007,5th Quintile,Rural regions,,,,,,,,,,,,
2008,1st Quintile,Urban regions,,,,,,,,,,,,
2008,1st Quintile,Rural regions,,,,,,,,,,,,
2008,2nd Quintile,Urban regions,,,,,,,,,,,,
2008,2nd Quintile,Rural regions,,,,,,,,,,,,
2008,3rd Quintile,Urban regions,,,,,,,,,,,,
2008,3rd Quintile,Rural regions,,,,,,,,,,,,
