year,hhtyp,hgeqpgar,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
2021,Single-person household,No,0.53457,1824,3091,0.51698,0.55215
2021,Couple without children,Yes,0.70295,2131,3174,0.68705,0.71885
2021,Couple without children,No,0.29705,1043,3174,0.28115,0.31295
2021,Single parent,Yes,0.55336,462,926,0.52132,0.58539
2021,Single parent,No,0.44664,464,926,0.41461,0.47868
2021,Couple with children,Yes,0.76170,2348,3573,0.74773,0.77567
2021,Couple with children,No,0.23830,1225,3573,0.22433,0.25227
2021,Multi-generational household,Yes,0.52743,47,82,0.41870,0.63615
2021,Multi-generational household,No,0.47257,35,82,0.36385,0.58130
2021,Other Combinations,Yes,0.62354,152,297,0.56835,0.67874
2021,Other Combinations,No,0.37646,145,297,0.32126,0.43165
2022,No answer / don't know,Yes,0.54714,260,456,0.50140,0.59288
2022,No answer / don't know,No,0.45286,196,456,0.40712,0.49860
2022,Single-person household,Yes,0.48776,2336,5752,0.47485,0.50068
2022,Single-person household,No,0.51224,3416,5752,0.49932,0.52515
2022,Couple without children,Yes,0.70358,3683,5763,0.69179,0.71537
2022,Couple without children,No,0.29642,2080,5763,0.28463,0.30821
2022,Single parent,Yes,0.56345,628,1209,0.53548,0.59141
2022,Single parent,No,0.43655,581,1209,0.40859,0.46452
2022,Couple with children,Yes,0.76315,4016,5616,0.75203,0.77427
2022,Couple with children,No,0.23685,1600,5616,0.22573,0.24797
2022,Multi-generational household,Yes,0.84940,70,70,0.76500,0.93379
2022,Other Combinations,Yes,0.61773,718,1166,0.58983,0.64563
2022,Other Combinations,No,0.38227,448,1166,0.35437,0.41017
