"ple0055","year","age_gr","regtyp","n","percent","lower_confidence_percent","upper_confidence_percent"
"40","1993","30-45","Städtischer Raum","","","",""
"40","1993","30-45","Ländlicher Raum","","","",""
"40","1993","46-65","Städtischer Raum","","","",""
"40","1993","46-65","Ländlicher Raum","","","",""
"40","1993","66","Städtischer Raum","","","",""
"40","1993","66","Ländlicher Raum","","","",""
"42","1993","17-29","Städtischer Raum","","","",""
"42","1993","17-29","Ländlicher Raum","","","",""
"42","1993","30-45","Städtischer Raum","","","",""
"42","1993","30-45","Ländlicher Raum","","","",""
"42","1993","46-65","Städtischer Raum","","","",""
"42","1993","46-65","Ländlicher Raum","","","",""
"42","1993","66","Städtischer Raum","","","",""
"42","1993","66","Ländlicher Raum","","","",""
"45","1993","17-29","Städtischer Raum","","","",""
"45","1993","17-29","Ländlicher Raum","","","",""
"45","1993","30-45","Städtischer Raum","","","",""
"45","1993","30-45","Ländlicher Raum","","","",""
"45","1993","46-65","Städtischer Raum","","","",""
"45","1993","46-65","Ländlicher Raum","","","",""
"45","1993","66","Städtischer Raum","","","",""
"45","1993","66","Ländlicher Raum","","","",""
"48","1993","17-29","Städtischer Raum","","","",""
"48","1993","17-29","Ländlicher Raum","","","",""
"48","1993","30-45","Städtischer Raum","","","",""
"48","1993","30-45","Ländlicher Raum","","","",""
"48","1993","46-65","Städtischer Raum","","","",""
"48","1993","46-65","Ländlicher Raum","","","",""
"48","1993","66","Städtischer Raum","","","",""
"48","1993","66","Ländlicher Raum","","","",""
"50","1993","17-29","Städtischer Raum","","","",""
"50","1993","17-29","Ländlicher Raum","","","",""
"50","1993","30-45","Städtischer Raum","","","",""
"50","1993","30-45","Ländlicher Raum","","","",""
"50","1993","46-65","Städtischer Raum","","","",""
"50","1993","46-65","Ländlicher Raum","","","",""
"50","1993","66","Städtischer Raum","","","",""
"50","1993","66","Ländlicher Raum","","","",""
"51","1993","17-29","Städtischer Raum","","","",""
"51","1993","17-29","Ländlicher Raum","","","",""
"51","1993","30-45","Städtischer Raum","","","",""
"51","1993","30-45","Ländlicher Raum","","","",""
"51","1993","46-65","Städtischer Raum","","","",""
"51","1993","46-65","Ländlicher Raum","","","",""
"51","1993","66","Städtischer Raum","","","",""
"51","1993","66","Ländlicher Raum","","","",""
"64","1993","17-29","Städtischer Raum","","","",""
"64","1993","17-29","Ländlicher Raum","","","",""
"64","1993","30-45","Städtischer Raum","","","",""
"64","1993","30-45","Ländlicher Raum","","","",""
"64","1993","46-65","Städtischer Raum","","","",""
"64","1993","46-65","Ländlicher Raum","","","",""
"64","1993","66","Städtischer Raum","","","",""
"64","1993","66","Ländlicher Raum","","","",""
"65","1993","17-29","Städtischer Raum","","","",""
"65","1993","17-29","Ländlicher Raum","","","",""
"65","1993","30-45","Städtischer Raum","","","",""
"65","1993","30-45","Ländlicher Raum","","","",""
"65","1993","46-65","Städtischer Raum","","","",""
"65","1993","46-65","Ländlicher Raum","","","",""
"65","1993","66","Städtischer Raum","","","",""
"65","1993","66","Ländlicher Raum","","","",""
"90","1993","17-29","Städtischer Raum","","","",""
"90","1993","17-29","Ländlicher Raum","","","",""
"90","1993","30-45","Städtischer Raum","","","",""
"90","1993","30-45","Ländlicher Raum","","","",""
"90","1993","46-65","Städtischer Raum","","","",""
"90","1993","46-65","Ländlicher Raum","","","",""
"90","1993","66","Städtischer Raum","","","",""
"90","1993","66","Ländlicher Raum","","","",""
"98","1993","17-29","Städtischer Raum","","","",""
"98","1993","17-29","Ländlicher Raum","","","",""
"98","1993","30-45","Städtischer Raum","","","",""
"98","1993","30-45","Ländlicher Raum","","","",""
"98","1993","46-65","Städtischer Raum","","","",""
"98","1993","46-65","Ländlicher Raum","","","",""
"98","1993","66","Städtischer Raum","","","",""
"98","1993","66","Ländlicher Raum","","","",""
"100","1993","17-29","Städtischer Raum","","","",""
"100","1993","17-29","Ländlicher Raum","","","",""
"100","1993","30-45","Städtischer Raum","","","",""
"100","1993","30-45","Ländlicher Raum","","","",""
"100","1993","46-65","Städtischer Raum","","","",""
"100","1993","46-65","Ländlicher Raum","","","",""
"100","1993","66","Städtischer Raum","","","",""
"100","1993","66","Ländlicher Raum","","","",""
"0","1994","17-29","Städtischer Raum","","","",""
"0","1994","17-29","Ländlicher Raum","","","",""
"0","1994","30-45","Städtischer Raum","","","",""
"0","1994","30-45","Ländlicher Raum","","","",""
"0","1994","46-65","Städtischer Raum","","","",""
"0","1994","46-65","Ländlicher Raum","","","",""
"0","1994","66","Städtischer Raum","","","",""
"0","1994","66","Ländlicher Raum","","","",""
"1","1994","17-29","Städtischer Raum","187","0.907815307107519","0.868595712053703","0.947034902161335"
"1","1994","17-29","Ländlicher Raum","91","0.747939467577514","0.668582544421943","0.827296390733084"
"1","1994","30-45","Städtischer Raum","211","0.801912154201145","0.752897770618755","0.850926537783534"
"1","1994","30-45","Ländlicher Raum","97","0.811919183376599","0.743138592776436","0.880699773976762"
"1","1994","46-65","Städtischer Raum","225","0.785421161401033","0.737335696460453","0.833506626341614"
"1","1994","46-65","Ländlicher Raum","99","0.790721122452521","0.718239188160316","0.863203056744727"
"1","1994","66","Städtischer Raum","","","",""
"1","1994","66","Ländlicher Raum","","","",""
"2","1994","17-29","Städtischer Raum","15","","",""
"2","1994","17-29","Ländlicher Raum","17","","",""
"2","1994","30-45","Städtischer Raum","30","0.141417435852105","0.0985651745674068","0.184269697136804"
"2","1994","30-45","Ländlicher Raum","16","","",""
"2","1994","46-65","Städtischer Raum","38","0.15734607387417","0.114695816620162","0.199996331128179"
"2","1994","46-65","Ländlicher Raum","19","","",""
"2","1994","66","Städtischer Raum","","","",""
"2","1994","66","Ländlicher Raum","","","",""
"3","1994","17-29","Städtischer Raum","4","","",""
"3","1994","17-29","Ländlicher Raum","3","","",""
"3","1994","30-45","Städtischer Raum","9","","",""
"3","1994","30-45","Ländlicher Raum","3","","",""
"3","1994","46-65","Städtischer Raum","8","","",""
"3","1994","46-65","Ländlicher Raum","1","","",""
"3","1994","66","Städtischer Raum","","","",""
"3","1994","66","Ländlicher Raum","","","",""
"4","1994","17-29","Städtischer Raum","","","",""
"4","1994","17-29","Ländlicher Raum","","","",""
"4","1994","30-45","Städtischer Raum","","","",""
"4","1994","30-45","Ländlicher Raum","2","","",""
"4","1994","46-65","Städtischer Raum","6","","",""
"4","1994","46-65","Ländlicher Raum","","","",""
"4","1994","66","Städtischer Raum","","","",""
"4","1994","66","Ländlicher Raum","","","",""
"5","1994","17-29","Städtischer Raum","1","","",""
"5","1994","17-29","Ländlicher Raum","2","","",""
"5","1994","30-45","Städtischer Raum","1","","",""
"5","1994","30-45","Ländlicher Raum","2","","",""
"5","1994","46-65","Städtischer Raum","","","",""
"5","1994","46-65","Ländlicher Raum","","","",""
"5","1994","66","Städtischer Raum","","","",""
"5","1994","66","Ländlicher Raum","","","",""
"6","1994","17-29","Städtischer Raum","1","","",""
"6","1994","17-29","Ländlicher Raum","1","","",""
"6","1994","30-45","Städtischer Raum","1","","",""
"6","1994","30-45","Ländlicher Raum","3","","",""
"6","1994","46-65","Städtischer Raum","","","",""
"6","1994","46-65","Ländlicher Raum","","","",""
"6","1994","66","Städtischer Raum","","","",""
"6","1994","66","Ländlicher Raum","","","",""
"7","1994","17-29","Städtischer Raum","","","",""
"7","1994","17-29","Ländlicher Raum","1","","",""
"7","1994","30-45","Städtischer Raum","","","",""
"7","1994","30-45","Ländlicher Raum","","","",""
"7","1994","46-65","Städtischer Raum","1","","",""
"7","1994","46-65","Ländlicher Raum","","","",""
"7","1994","66","Städtischer Raum","","","",""
"7","1994","66","Ländlicher Raum","","","",""
"8","1994","17-29","Städtischer Raum","1","","",""
"8","1994","17-29","Ländlicher Raum","","","",""
"8","1994","30-45","Städtischer Raum","","","",""
"8","1994","30-45","Ländlicher Raum","","","",""
"8","1994","46-65","Städtischer Raum","","","",""
"8","1994","46-65","Ländlicher Raum","","","",""
"8","1994","66","Städtischer Raum","","","",""
"8","1994","66","Ländlicher Raum","","","",""
"9","1994","17-29","Städtischer Raum","","","",""
"9","1994","17-29","Ländlicher Raum","","","",""
"9","1994","30-45","Städtischer Raum","","","",""
"9","1994","30-45","Ländlicher Raum","","","",""
"9","1994","46-65","Städtischer Raum","","","",""
"9","1994","46-65","Ländlicher Raum","","","",""
"9","1994","66","Städtischer Raum","","","",""
"9","1994","66","Ländlicher Raum","","","",""
"10","1994","17-29","Städtischer Raum","","","",""
"10","1994","17-29","Ländlicher Raum","","","",""
"10","1994","30-45","Städtischer Raum","","","",""
"10","1994","30-45","Ländlicher Raum","","","",""
"10","1994","46-65","Städtischer Raum","","","",""
"10","1994","46-65","Ländlicher Raum","","","",""
"10","1994","66","Städtischer Raum","","","",""
"10","1994","66","Ländlicher Raum","","","",""
"11","1994","17-29","Städtischer Raum","","","",""
"11","1994","17-29","Ländlicher Raum","","","",""
"11","1994","30-45","Städtischer Raum","","","",""
"11","1994","30-45","Ländlicher Raum","","","",""
"11","1994","46-65","Städtischer Raum","","","",""
"11","1994","46-65","Ländlicher Raum","","","",""
"11","1994","66","Städtischer Raum","","","",""
"11","1994","66","Ländlicher Raum","","","",""
"12","1994","17-29","Städtischer Raum","","","",""
"12","1994","17-29","Ländlicher Raum","","","",""
"12","1994","30-45","Städtischer Raum","1","","",""
"12","1994","30-45","Ländlicher Raum","","","",""
"12","1994","46-65","Städtischer Raum","","","",""
"12","1994","46-65","Ländlicher Raum","","","",""
"12","1994","66","Städtischer Raum","","","",""
"12","1994","66","Ländlicher Raum","","","",""
"13","1994","17-29","Städtischer Raum","","","",""
"13","1994","17-29","Ländlicher Raum","","","",""
"13","1994","30-45","Städtischer Raum","","","",""
"13","1994","30-45","Ländlicher Raum","","","",""
"13","1994","46-65","Städtischer Raum","","","",""
"13","1994","46-65","Ländlicher Raum","1","","",""
"13","1994","66","Städtischer Raum","","","",""
"13","1994","66","Ländlicher Raum","","","",""
"14","1994","17-29","Städtischer Raum","","","",""
"14","1994","17-29","Ländlicher Raum","","","",""
"14","1994","30-45","Städtischer Raum","1","","",""
"14","1994","30-45","Ländlicher Raum","","","",""
"14","1994","46-65","Städtischer Raum","","","",""
"14","1994","46-65","Ländlicher Raum","","","",""
"14","1994","66","Städtischer Raum","","","",""
"14","1994","66","Ländlicher Raum","","","",""
"15","1994","17-29","Städtischer Raum","","","",""
"15","1994","17-29","Ländlicher Raum","","","",""
"15","1994","30-45","Städtischer Raum","","","",""
"15","1994","30-45","Ländlicher Raum","","","",""
"15","1994","46-65","Städtischer Raum","","","",""
"15","1994","46-65","Ländlicher Raum","","","",""
"15","1994","66","Städtischer Raum","","","",""
"15","1994","66","Ländlicher Raum","","","",""
"16","1994","17-29","Städtischer Raum","","","",""
"16","1994","17-29","Ländlicher Raum","","","",""
"16","1994","30-45","Städtischer Raum","","","",""
"16","1994","30-45","Ländlicher Raum","","","",""
"16","1994","46-65","Städtischer Raum","","","",""
"16","1994","46-65","Ländlicher Raum","1","","",""
"16","1994","66","Städtischer Raum","","","",""
"16","1994","66","Ländlicher Raum","","","",""
"17","1994","17-29","Städtischer Raum","","","",""
"17","1994","17-29","Ländlicher Raum","","","",""
"17","1994","30-45","Städtischer Raum","","","",""
"17","1994","30-45","Ländlicher Raum","","","",""
"17","1994","46-65","Städtischer Raum","","","",""
"17","1994","46-65","Ländlicher Raum","","","",""
"17","1994","66","Städtischer Raum","","","",""
"17","1994","66","Ländlicher Raum","","","",""
"18","1994","17-29","Städtischer Raum","","","",""
"18","1994","17-29","Ländlicher Raum","","","",""
"18","1994","30-45","Städtischer Raum","","","",""
"18","1994","30-45","Ländlicher Raum","","","",""
"18","1994","46-65","Städtischer Raum","","","",""
"18","1994","46-65","Ländlicher Raum","","","",""
"18","1994","66","Städtischer Raum","","","",""
"18","1994","66","Ländlicher Raum","","","",""
"19","1994","17-29","Städtischer Raum","","","",""
"19","1994","17-29","Ländlicher Raum","","","",""
"19","1994","30-45","Städtischer Raum","","","",""
"19","1994","30-45","Ländlicher Raum","","","",""
"19","1994","46-65","Städtischer Raum","","","",""
"19","1994","46-65","Ländlicher Raum","","","",""
"19","1994","66","Städtischer Raum","","","",""
"19","1994","66","Ländlicher Raum","","","",""
"20","1994","17-29","Städtischer Raum","","","",""
"20","1994","17-29","Ländlicher Raum","","","",""
"20","1994","30-45","Städtischer Raum","","","",""
"20","1994","30-45","Ländlicher Raum","","","",""
"20","1994","46-65","Städtischer Raum","","","",""
"20","1994","46-65","Ländlicher Raum","","","",""
"20","1994","66","Städtischer Raum","","","",""
"20","1994","66","Ländlicher Raum","","","",""
"21","1994","17-29","Städtischer Raum","","","",""
"21","1994","17-29","Ländlicher Raum","","","",""
"21","1994","30-45","Städtischer Raum","","","",""
"21","1994","30-45","Ländlicher Raum","1","","",""
"21","1994","46-65","Städtischer Raum","1","","",""
"21","1994","46-65","Ländlicher Raum","","","",""
"21","1994","66","Städtischer Raum","","","",""
"21","1994","66","Ländlicher Raum","","","",""
"22","1994","17-29","Städtischer Raum","","","",""
"22","1994","17-29","Ländlicher Raum","","","",""
"22","1994","30-45","Städtischer Raum","","","",""
"22","1994","30-45","Ländlicher Raum","","","",""
"22","1994","46-65","Städtischer Raum","","","",""
"22","1994","46-65","Ländlicher Raum","","","",""
"22","1994","66","Städtischer Raum","","","",""
"22","1994","66","Ländlicher Raum","","","",""
"23","1994","17-29","Städtischer Raum","","","",""
"23","1994","17-29","Ländlicher Raum","","","",""
"23","1994","30-45","Städtischer Raum","","","",""
"23","1994","30-45","Ländlicher Raum","","","",""
"23","1994","46-65","Städtischer Raum","","","",""
"23","1994","46-65","Ländlicher Raum","","","",""
"23","1994","66","Städtischer Raum","","","",""
"23","1994","66","Ländlicher Raum","","","",""
"24","1994","17-29","Städtischer Raum","","","",""
"24","1994","17-29","Ländlicher Raum","","","",""
"24","1994","30-45","Städtischer Raum","","","",""
"24","1994","30-45","Ländlicher Raum","","","",""
"24","1994","46-65","Städtischer Raum","","","",""
"24","1994","46-65","Ländlicher Raum","","","",""
"24","1994","66","Städtischer Raum","","","",""
"24","1994","66","Ländlicher Raum","","","",""
"25","1994","17-29","Städtischer Raum","","","",""
"25","1994","17-29","Ländlicher Raum","","","",""
"25","1994","30-45","Städtischer Raum","","","",""
"25","1994","30-45","Ländlicher Raum","","","",""
"25","1994","46-65","Städtischer Raum","","","",""
"25","1994","46-65","Ländlicher Raum","","","",""
"25","1994","66","Städtischer Raum","","","",""
"25","1994","66","Ländlicher Raum","","","",""
"26","1994","17-29","Städtischer Raum","","","",""
"26","1994","17-29","Ländlicher Raum","","","",""
"26","1994","30-45","Städtischer Raum","","","",""
"26","1994","30-45","Ländlicher Raum","","","",""
"26","1994","46-65","Städtischer Raum","","","",""
"26","1994","46-65","Ländlicher Raum","","","",""
"26","1994","66","Städtischer Raum","","","",""
"26","1994","66","Ländlicher Raum","","","",""
"27","1994","17-29","Städtischer Raum","","","",""
"27","1994","17-29","Ländlicher Raum","","","",""
"27","1994","30-45","Städtischer Raum","","","",""
"27","1994","30-45","Ländlicher Raum","","","",""
"27","1994","46-65","Städtischer Raum","","","",""
"27","1994","46-65","Ländlicher Raum","","","",""
"27","1994","66","Städtischer Raum","","","",""
"27","1994","66","Ländlicher Raum","","","",""
"28","1994","17-29","Städtischer Raum","","","",""
"28","1994","17-29","Ländlicher Raum","","","",""
"28","1994","30-45","Städtischer Raum","","","",""
"28","1994","30-45","Ländlicher Raum","","","",""
"28","1994","46-65","Städtischer Raum","","","",""
"28","1994","46-65","Ländlicher Raum","","","",""
"28","1994","66","Städtischer Raum","","","",""
"28","1994","66","Ländlicher Raum","","","",""
"30","1994","17-29","Städtischer Raum","","","",""
"30","1994","17-29","Ländlicher Raum","","","",""
"30","1994","30-45","Städtischer Raum","","","",""
"30","1994","30-45","Ländlicher Raum","","","",""
"30","1994","46-65","Städtischer Raum","","","",""
"30","1994","46-65","Ländlicher Raum","","","",""
"30","1994","66","Städtischer Raum","","","",""
"30","1994","66","Ländlicher Raum","","","",""
"31","1994","17-29","Städtischer Raum","","","",""
"31","1994","17-29","Ländlicher Raum","","","",""
"31","1994","30-45","Städtischer Raum","","","",""
"31","1994","30-45","Ländlicher Raum","","","",""
"31","1994","46-65","Städtischer Raum","","","",""
"31","1994","46-65","Ländlicher Raum","","","",""
"31","1994","66","Städtischer Raum","","","",""
"31","1994","66","Ländlicher Raum","","","",""
"32","1994","17-29","Städtischer Raum","","","",""
"32","1994","17-29","Ländlicher Raum","","","",""
"32","1994","30-45","Städtischer Raum","","","",""
"32","1994","30-45","Ländlicher Raum","","","",""
"32","1994","46-65","Städtischer Raum","","","",""
"32","1994","46-65","Ländlicher Raum","","","",""
"32","1994","66","Städtischer Raum","","","",""
"32","1994","66","Ländlicher Raum","","","",""
"35","1994","17-29","Städtischer Raum","","","",""
"35","1994","17-29","Ländlicher Raum","","","",""
"35","1994","30-45","Städtischer Raum","","","",""
"35","1994","30-45","Ländlicher Raum","","","",""
"35","1994","46-65","Städtischer Raum","","","",""
"35","1994","46-65","Ländlicher Raum","","","",""
"35","1994","66","Städtischer Raum","","","",""
"35","1994","66","Ländlicher Raum","","","",""
"36","1994","17-29","Städtischer Raum","","","",""
"36","1994","17-29","Ländlicher Raum","","","",""
"36","1994","30-45","Städtischer Raum","","","",""
"36","1994","30-45","Ländlicher Raum","","","",""
"36","1994","46-65","Städtischer Raum","","","",""
"36","1994","46-65","Ländlicher Raum","","","",""
"36","1994","66","Städtischer Raum","","","",""
"36","1994","66","Ländlicher Raum","","","",""
"40","1994","17-29","Städtischer Raum","","","",""
"40","1994","17-29","Ländlicher Raum","","","",""
"40","1994","30-45","Städtischer Raum","","","",""
"40","1994","30-45","Ländlicher Raum","","","",""
"40","1994","46-65","Städtischer Raum","","","",""
"40","1994","46-65","Ländlicher Raum","","","",""
"40","1994","66","Städtischer Raum","","","",""
"40","1994","66","Ländlicher Raum","","","",""
"42","1994","17-29","Städtischer Raum","","","",""
"42","1994","17-29","Ländlicher Raum","","","",""
"42","1994","30-45","Städtischer Raum","","","",""
"42","1994","30-45","Ländlicher Raum","","","",""
"42","1994","46-65","Städtischer Raum","","","",""
"42","1994","46-65","Ländlicher Raum","","","",""
"42","1994","66","Städtischer Raum","","","",""
"42","1994","66","Ländlicher Raum","","","",""
"45","1994","17-29","Städtischer Raum","","","",""
"45","1994","17-29","Ländlicher Raum","","","",""
"45","1994","30-45","Städtischer Raum","","","",""
"45","1994","30-45","Ländlicher Raum","","","",""
"45","1994","46-65","Städtischer Raum","","","",""
"45","1994","46-65","Ländlicher Raum","","","",""
"45","1994","66","Städtischer Raum","","","",""
"45","1994","66","Ländlicher Raum","","","",""
"48","1994","17-29","Städtischer Raum","","","",""
"48","1994","17-29","Ländlicher Raum","","","",""
"48","1994","30-45","Städtischer Raum","","","",""
"48","1994","30-45","Ländlicher Raum","","","",""
"48","1994","46-65","Städtischer Raum","","","",""
"48","1994","46-65","Ländlicher Raum","","","",""
"48","1994","66","Städtischer Raum","","","",""
"48","1994","66","Ländlicher Raum","","","",""
"50","1994","17-29","Städtischer Raum","","","",""
"50","1994","17-29","Ländlicher Raum","","","",""
"50","1994","30-45","Städtischer Raum","","","",""
"50","1994","30-45","Ländlicher Raum","","","",""
"50","1994","46-65","Städtischer Raum","1","","",""
"50","1994","46-65","Ländlicher Raum","","","",""
"50","1994","66","Städtischer Raum","","","",""
"50","1994","66","Ländlicher Raum","","","",""
"51","1994","17-29","Städtischer Raum","","","",""
"51","1994","17-29","Ländlicher Raum","","","",""
"51","1994","30-45","Städtischer Raum","","","",""
"51","1994","30-45","Ländlicher Raum","","","",""
"51","1994","46-65","Städtischer Raum","","","",""
"51","1994","46-65","Ländlicher Raum","","","",""
"51","1994","66","Städtischer Raum","","","",""
"51","1994","66","Ländlicher Raum","","","",""
"64","1994","17-29","Städtischer Raum","","","",""
"64","1994","17-29","Ländlicher Raum","","","",""
"64","1994","30-45","Städtischer Raum","","","",""
"64","1994","30-45","Ländlicher Raum","","","",""
"64","1994","46-65","Städtischer Raum","","","",""
"64","1994","46-65","Ländlicher Raum","","","",""
"64","1994","66","Städtischer Raum","","","",""
"64","1994","66","Ländlicher Raum","","","",""
"65","1994","17-29","Städtischer Raum","","","",""
"65","1994","17-29","Ländlicher Raum","","","",""
"65","1994","30-45","Städtischer Raum","","","",""
"65","1994","30-45","Ländlicher Raum","","","",""
"65","1994","46-65","Städtischer Raum","","","",""
"65","1994","46-65","Ländlicher Raum","","","",""
"65","1994","66","Städtischer Raum","","","",""
"65","1994","66","Ländlicher Raum","","","",""
"90","1994","17-29","Städtischer Raum","","","",""
"90","1994","17-29","Ländlicher Raum","","","",""
"90","1994","30-45","Städtischer Raum","","","",""
"90","1994","30-45","Ländlicher Raum","","","",""
"90","1994","46-65","Städtischer Raum","","","",""
"90","1994","46-65","Ländlicher Raum","","","",""
"90","1994","66","Städtischer Raum","","","",""
"90","1994","66","Ländlicher Raum","","","",""
"98","1994","17-29","Städtischer Raum","","","",""
"98","1994","17-29","Ländlicher Raum","","","",""
"98","1994","30-45","Städtischer Raum","","","",""
"98","1994","30-45","Ländlicher Raum","","","",""
"98","1994","46-65","Städtischer Raum","","","",""
"98","1994","46-65","Ländlicher Raum","","","",""
"98","1994","66","Städtischer Raum","","","",""
"98","1994","66","Ländlicher Raum","","","",""
"100","1994","17-29","Städtischer Raum","","","",""
"100","1994","17-29","Ländlicher Raum","","","",""
"100","1994","30-45","Städtischer Raum","","","",""
"100","1994","30-45","Ländlicher Raum","","","",""
"100","1994","46-65","Städtischer Raum","","","",""
"100","1994","46-65","Ländlicher Raum","","","",""
"100","1994","66","Städtischer Raum","","","",""
"100","1994","66","Ländlicher Raum","","","",""
"0","1995","17-29","Städtischer Raum","","","",""
"0","1995","17-29","Ländlicher Raum","1","","",""
"0","1995","30-45","Städtischer Raum","","","",""
"0","1995","30-45","Ländlicher Raum","2","","",""
"0","1995","46-65","Städtischer Raum","","","",""
"0","1995","46-65","Ländlicher Raum","2","","",""
"0","1995","66","Städtischer Raum","","","",""
"0","1995","66","Ländlicher Raum","","","",""
"1","1995","17-29","Städtischer Raum","186","0.888003405873266","0.846140481043641","0.92986633070289"
"1","1995","17-29","Ländlicher Raum","100","0.809143403052314","0.740526809278529","0.8777599968261"
"1","1995","30-45","Städtischer Raum","204","0.779020948064201","0.728096289969038","0.829945606159364"
"1","1995","30-45","Ländlicher Raum","132","0.811840961165412","0.752024021530445","0.87165790080038"
"1","1995","46-65","Städtischer Raum","217","0.797048776077714","0.750106750706021","0.843990801449407"
"1","1995","46-65","Ländlicher Raum","107","0.675274670312867","0.60033689871394","0.750212441911794"
"1","1995","66","Städtischer Raum","","","",""
"1","1995","66","Ländlicher Raum","","","",""
"2","1995","17-29","Städtischer Raum","22","","",""
"2","1995","17-29","Ländlicher Raum","12","","",""
"2","1995","30-45","Städtischer Raum","32","0.125898337279636","0.0851819748767045","0.166614699682568"
"2","1995","30-45","Ländlicher Raum","19","","",""
"2","1995","46-65","Städtischer Raum","48","0.15814300772208","0.115556924765464","0.200729090678697"
"2","1995","46-65","Ländlicher Raum","25","","",""
"2","1995","66","Städtischer Raum","","","",""
"2","1995","66","Ländlicher Raum","","","",""
"3","1995","17-29","Städtischer Raum","3","","",""
"3","1995","17-29","Ländlicher Raum","4","","",""
"3","1995","30-45","Städtischer Raum","10","","",""
"3","1995","30-45","Ländlicher Raum","6","","",""
"3","1995","46-65","Städtischer Raum","3","","",""
"3","1995","46-65","Ländlicher Raum","8","","",""
"3","1995","66","Städtischer Raum","","","",""
"3","1995","66","Ländlicher Raum","","","",""
"4","1995","17-29","Städtischer Raum","2","","",""
"4","1995","17-29","Ländlicher Raum","2","","",""
"4","1995","30-45","Städtischer Raum","4","","",""
"4","1995","30-45","Ländlicher Raum","","","",""
"4","1995","46-65","Städtischer Raum","7","","",""
"4","1995","46-65","Ländlicher Raum","5","","",""
"4","1995","66","Städtischer Raum","","","",""
"4","1995","66","Ländlicher Raum","","","",""
"5","1995","17-29","Städtischer Raum","2","","",""
"5","1995","17-29","Ländlicher Raum","4","","",""
"5","1995","30-45","Städtischer Raum","2","","",""
"5","1995","30-45","Ländlicher Raum","2","","",""
"5","1995","46-65","Städtischer Raum","1","","",""
"5","1995","46-65","Ländlicher Raum","","","",""
"5","1995","66","Städtischer Raum","","","",""
"5","1995","66","Ländlicher Raum","","","",""
"6","1995","17-29","Städtischer Raum","","","",""
"6","1995","17-29","Ländlicher Raum","2","","",""
"6","1995","30-45","Städtischer Raum","","","",""
"6","1995","30-45","Ländlicher Raum","1","","",""
"6","1995","46-65","Städtischer Raum","1","","",""
"6","1995","46-65","Ländlicher Raum","1","","",""
"6","1995","66","Städtischer Raum","","","",""
"6","1995","66","Ländlicher Raum","","","",""
"7","1995","17-29","Städtischer Raum","","","",""
"7","1995","17-29","Ländlicher Raum","","","",""
"7","1995","30-45","Städtischer Raum","1","","",""
"7","1995","30-45","Ländlicher Raum","","","",""
"7","1995","46-65","Städtischer Raum","","","",""
"7","1995","46-65","Ländlicher Raum","","","",""
"7","1995","66","Städtischer Raum","","","",""
"7","1995","66","Ländlicher Raum","","","",""
"8","1995","17-29","Städtischer Raum","1","","",""
"8","1995","17-29","Ländlicher Raum","","","",""
"8","1995","30-45","Städtischer Raum","1","","",""
"8","1995","30-45","Ländlicher Raum","","","",""
"8","1995","46-65","Städtischer Raum","1","","",""
"8","1995","46-65","Ländlicher Raum","","","",""
"8","1995","66","Städtischer Raum","","","",""
"8","1995","66","Ländlicher Raum","","","",""
"9","1995","17-29","Städtischer Raum","1","","",""
"9","1995","17-29","Ländlicher Raum","","","",""
"9","1995","30-45","Städtischer Raum","","","",""
"9","1995","30-45","Ländlicher Raum","","","",""
"9","1995","46-65","Städtischer Raum","","","",""
"9","1995","46-65","Ländlicher Raum","","","",""
"9","1995","66","Städtischer Raum","","","",""
"9","1995","66","Ländlicher Raum","","","",""
"10","1995","17-29","Städtischer Raum","","","",""
"10","1995","17-29","Ländlicher Raum","","","",""
"10","1995","30-45","Städtischer Raum","","","",""
"10","1995","30-45","Ländlicher Raum","","","",""
"10","1995","46-65","Städtischer Raum","","","",""
"10","1995","46-65","Ländlicher Raum","1","","",""
"10","1995","66","Städtischer Raum","","","",""
"10","1995","66","Ländlicher Raum","","","",""
"11","1995","17-29","Städtischer Raum","","","",""
"11","1995","17-29","Ländlicher Raum","1","","",""
"11","1995","30-45","Städtischer Raum","","","",""
"11","1995","30-45","Ländlicher Raum","2","","",""
"11","1995","46-65","Städtischer Raum","1","","",""
"11","1995","46-65","Ländlicher Raum","","","",""
"11","1995","66","Städtischer Raum","","","",""
"11","1995","66","Ländlicher Raum","","","",""
"12","1995","17-29","Städtischer Raum","1","","",""
"12","1995","17-29","Ländlicher Raum","","","",""
"12","1995","30-45","Städtischer Raum","","","",""
"12","1995","30-45","Ländlicher Raum","","","",""
"12","1995","46-65","Städtischer Raum","1","","",""
"12","1995","46-65","Ländlicher Raum","","","",""
"12","1995","66","Städtischer Raum","","","",""
"12","1995","66","Ländlicher Raum","","","",""
"13","1995","17-29","Städtischer Raum","","","",""
"13","1995","17-29","Ländlicher Raum","","","",""
"13","1995","30-45","Städtischer Raum","","","",""
"13","1995","30-45","Ländlicher Raum","","","",""
"13","1995","46-65","Städtischer Raum","","","",""
"13","1995","46-65","Ländlicher Raum","","","",""
"13","1995","66","Städtischer Raum","","","",""
"13","1995","66","Ländlicher Raum","","","",""
"14","1995","17-29","Städtischer Raum","","","",""
"14","1995","17-29","Ländlicher Raum","","","",""
"14","1995","30-45","Städtischer Raum","1","","",""
"14","1995","30-45","Ländlicher Raum","","","",""
"14","1995","46-65","Städtischer Raum","","","",""
