"ple0055","year","quintil_oecd","sex","n","percent","lower_confidence_percent","upper_confidence_percent"
"1","1996","5 Einkommensstärkstes Quintil","männlich","41","0.865959397611318","0.768557792830139","0.963361002392498"
"1","1996","5 Einkommensstärkstes Quintil","weiblich","41","0.935828389605601","0.865768614467783","1.00588816474342"
"2","1996","1 Einkommensschwächstes Quintil","männlich","27","","",""
"2","1996","1 Einkommensschwächstes Quintil","weiblich","53","0.180343947022402","0.141430556942436","0.219257337102367"
"2","1996","2","männlich","23","","",""
"2","1996","2","weiblich","34","0.152795353914354","0.109229454531324","0.196361253297383"
"2","1996","3","männlich","12","","",""
"2","1996","3","weiblich","17","","",""
"2","1996","4","männlich","13","","",""
"2","1996","4","weiblich","12","","",""
"2","1996","5 Einkommensstärkstes Quintil","männlich","4","","",""
"2","1996","5 Einkommensstärkstes Quintil","weiblich","4","","",""
"3","1996","1 Einkommensschwächstes Quintil","männlich","10","","",""
"3","1996","1 Einkommensschwächstes Quintil","weiblich","13","","",""
"3","1996","2","männlich","5","","",""
"3","1996","2","weiblich","8","","",""
"3","1996","3","männlich","4","","",""
"3","1996","3","weiblich","3","","",""
"3","1996","4","männlich","4","","",""
"3","1996","4","weiblich","5","","",""
"3","1996","5 Einkommensstärkstes Quintil","männlich","2","","",""
"3","1996","5 Einkommensstärkstes Quintil","weiblich","1","","",""
"4","1996","1 Einkommensschwächstes Quintil","männlich","1","","",""
"4","1996","1 Einkommensschwächstes Quintil","weiblich","2","","",""
"4","1996","2","männlich","2","","",""
"4","1996","2","weiblich","3","","",""
"4","1996","3","männlich","1","","",""
"4","1996","3","weiblich","1","","",""
"4","1996","4","männlich","1","","",""
"4","1996","4","weiblich","","","",""
"4","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"4","1996","5 Einkommensstärkstes Quintil","weiblich","1","","",""
"5","1996","1 Einkommensschwächstes Quintil","männlich","4","","",""
"5","1996","1 Einkommensschwächstes Quintil","weiblich","4","","",""
"5","1996","2","männlich","1","","",""
"5","1996","2","weiblich","1","","",""
"5","1996","3","männlich","1","","",""
"5","1996","3","weiblich","","","",""
"5","1996","4","männlich","1","","",""
"5","1996","4","weiblich","","","",""
"5","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"5","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"6","1996","1 Einkommensschwächstes Quintil","männlich","2","","",""
"6","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"6","1996","2","männlich","","","",""
"6","1996","2","weiblich","1","","",""
"6","1996","3","männlich","","","",""
"6","1996","3","weiblich","1","","",""
"6","1996","4","männlich","","","",""
"6","1996","4","weiblich","","","",""
"6","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"6","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"7","1996","1 Einkommensschwächstes Quintil","männlich","1","","",""
"7","1996","1 Einkommensschwächstes Quintil","weiblich","3","","",""
"7","1996","2","männlich","1","","",""
"7","1996","2","weiblich","1","","",""
"7","1996","3","männlich","2","","",""
"7","1996","3","weiblich","1","","",""
"7","1996","4","männlich","","","",""
"7","1996","4","weiblich","","","",""
"7","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"7","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"8","1996","1 Einkommensschwächstes Quintil","männlich","","","",""
"8","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"8","1996","2","männlich","","","",""
"8","1996","2","weiblich","","","",""
"8","1996","3","männlich","","","",""
"8","1996","3","weiblich","","","",""
"8","1996","4","männlich","","","",""
"8","1996","4","weiblich","","","",""
"8","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"8","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"9","1996","1 Einkommensschwächstes Quintil","männlich","1","","",""
"9","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"9","1996","2","männlich","","","",""
"9","1996","2","weiblich","","","",""
"9","1996","3","männlich","","","",""
"9","1996","3","weiblich","","","",""
"9","1996","4","männlich","1","","",""
"9","1996","4","weiblich","","","",""
"9","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"9","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"10","1996","1 Einkommensschwächstes Quintil","männlich","","","",""
"10","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"10","1996","2","männlich","1","","",""
"10","1996","2","weiblich","1","","",""
"10","1996","3","männlich","","","",""
"10","1996","3","weiblich","1","","",""
"10","1996","4","männlich","","","",""
"10","1996","4","weiblich","","","",""
"10","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"10","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"11","1996","1 Einkommensschwächstes Quintil","männlich","","","",""
"11","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"11","1996","2","männlich","","","",""
"11","1996","2","weiblich","","","",""
"11","1996","3","männlich","","","",""
"11","1996","3","weiblich","","","",""
"11","1996","4","männlich","","","",""
"11","1996","4","weiblich","","","",""
"11","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"11","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"12","1996","1 Einkommensschwächstes Quintil","männlich","","","",""
"12","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"12","1996","2","männlich","","","",""
"12","1996","2","weiblich","1","","",""
"12","1996","3","männlich","","","",""
"12","1996","3","weiblich","","","",""
"12","1996","4","männlich","","","",""
"12","1996","4","weiblich","","","",""
"12","1996","5 Einkommensstärkstes Quintil","männlich","","","",""
"12","1996","5 Einkommensstärkstes Quintil","weiblich","","","",""
"13","1996","1 Einkommensschwächstes Quintil","männlich","","","",""
"13","1996","1 Einkommensschwächstes Quintil","weiblich","","","",""
"13","1996","2","männlich","","","",""
"13","1996","2","weiblich","","","",""
