year,age_gr,pgcasmin,proportion,n,group_size,proportion_lower_confidence,proportion_upper_confidence
1994,46-65 y.,(1b) General Elementary School,0.19649,770,3823,0.18390,0.20909
1994,46-65 y.,(1c) Basic Vocational Qualification,0.45741,1670,3823,0.44162,0.47321
1994,46-65 y.,(2) Intermediate General/Vocational Qualification,0.14476,470,3823,0.13360,0.15591
1994,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.01876,70,3823,0.01445,0.02306
1994,46-65 y.,(3a) Lower Tertiary Education,0.06291,282,3823,0.05521,0.07061
1994,46-65 y.,(3b) Higher Tertiary Education,0.07416,265,3823,0.06585,0.08247
1994,66 and older,(1a) Inadequately completed,0.00879,31,1476,0.00402,0.01355
1994,66 and older,(1b) General Elementary School,0.30209,442,1476,0.27865,0.32552
1994,66 and older,(1c) Basic Vocational Qualification,0.42117,650,1476,0.39598,0.44637
1994,66 and older,(2) Intermediate General/Vocational Qualification,0.15667,187,1476,0.13812,0.17522
1994,66 and older,(2c_voc) Vocational Maturity Certificate,0.02529,36,1476,0.01728,0.03331
1994,66 and older,(3a) Lower Tertiary Education,0.04214,81,1476,0.03189,0.05239
1994,66 and older,(3b) Higher Tertiary Education,0.03414,49,1476,0.02487,0.04341
1995,17-29 y.,(0) No qualification (yet),0.08321,264,3138,0.07354,0.09287
1995,17-29 y.,(1a) Inadequately completed,0.02187,102,3138,0.01675,0.02699
1995,17-29 y.,(1b) General Elementary School,0.10966,429,3138,0.09872,0.12059
1995,17-29 y.,(1c) Basic Vocational Qualification,0.15848,527,3138,0.14570,0.17126
1995,17-29 y.,(2) Intermediate General/Vocational Qualification,0.31996,1109,3138,0.30364,0.33628
1995,17-29 y.,(2c_gen) General Maturity Certificate,0.11388,336,3138,0.10277,0.12500
1995,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.07693,199,3138,0.06760,0.08626
1995,17-29 y.,(3a) Lower Tertiary Education,0.03185,97,3138,0.02571,0.03800
1995,17-29 y.,(3b) Higher Tertiary Education,0.02997,75,3138,0.02401,0.03594
1995,30-45 y.,(1a) Inadequately completed,0.02224,174,4368,0.01787,0.02662
1995,30-45 y.,(1b) General Elementary School,0.07589,414,4368,0.06804,0.08375
1995,30-45 y.,(1c) Basic Vocational Qualification,0.30850,1229,4368,0.29480,0.32220
1995,30-45 y.,(2) Intermediate General/Vocational Qualification,0.28647,1336,4368,0.27306,0.29988
1995,30-45 y.,(2c_gen) General Maturity Certificate,0.02081,93,4368,0.01658,0.02504
1995,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.07356,275,4368,0.06582,0.08130
1995,30-45 y.,(3a) Lower Tertiary Education,0.07531,384,4368,0.06749,0.08314
1995,30-45 y.,(3b) Higher Tertiary Education,0.12152,463,4368,0.11183,0.13121
1995,46-65 y.,(1a) Inadequately completed,0.02806,303,3887,0.02287,0.03325
1995,46-65 y.,(1b) General Elementary School,0.18451,752,3887,0.17231,0.19671
1995,46-65 y.,(1c) Basic Vocational Qualification,0.46199,1682,3887,0.44631,0.47766
1995,46-65 y.,(2) Intermediate General/Vocational Qualification,0.14128,480,3887,0.13033,0.15223
1995,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02215,88,3887,0.01753,0.02678
1995,46-65 y.,(3a) Lower Tertiary Education,0.06637,294,3887,0.05854,0.07419
1995,46-65 y.,(3b) Higher Tertiary Education,0.07895,288,3887,0.07047,0.08743
1995,66 and older,(1a) Inadequately completed,0.00734,37,1505,0.00303,0.01165
1995,66 and older,(1b) General Elementary School,0.30001,446,1505,0.27685,0.32317
1995,66 and older,(1c) Basic Vocational Qualification,0.41630,646,1505,0.39139,0.44122
1995,66 and older,(2) Intermediate General/Vocational Qualification,0.15583,191,1505,0.13750,0.17416
1995,66 and older,(2c_voc) Vocational Maturity Certificate,0.02339,33,1505,0.01575,0.03103
1995,66 and older,(3a) Lower Tertiary Education,0.04610,89,1505,0.03550,0.05670
1995,66 and older,(3b) Higher Tertiary Education,0.04190,63,1505,0.03177,0.05202
1996,17-29 y.,(0) No qualification (yet),0.09853,287,2945,0.08777,0.10930
1996,17-29 y.,(1a) Inadequately completed,0.01792,77,2945,0.01313,0.02271
1996,17-29 y.,(1b) General Elementary School,0.10536,400,2945,0.09427,0.11645
1996,17-29 y.,(1c) Basic Vocational Qualification,0.16206,495,2945,0.14875,0.17537
1996,17-29 y.,(2) Intermediate General/Vocational Qualification,0.31388,1034,2945,0.29712,0.33064
1996,17-29 y.,(2c_gen) General Maturity Certificate,0.10591,303,2945,0.09479,0.11703
1996,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.08104,192,2945,0.07119,0.09090
1996,17-29 y.,(3a) Lower Tertiary Education,0.02877,85,2945,0.02273,0.03480
1996,17-29 y.,(3b) Higher Tertiary Education,0.02727,72,2945,0.02139,0.03315
1996,30-45 y.,(1a) Inadequately completed,0.02264,157,4358,0.01822,0.02706
1996,30-45 y.,(1b) General Elementary School,0.06990,383,4358,0.06233,0.07748
1996,30-45 y.,(1c) Basic Vocational Qualification,0.30308,1207,4358,0.28944,0.31673
1996,30-45 y.,(2) Intermediate General/Vocational Qualification,0.29137,1379,4358,0.27788,0.30486
1996,30-45 y.,(2c_gen) General Maturity Certificate,0.02185,95,4358,0.01751,0.02619
1996,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.07950,287,4358,0.07147,0.08753
1996,30-45 y.,(3a) Lower Tertiary Education,0.07820,397,4358,0.07023,0.08617
1996,30-45 y.,(3b) Higher Tertiary Education,0.11690,453,4358,0.10736,0.12644
1996,46-65 y.,(1a) Inadequately completed,0.02752,274,3829,0.02234,0.03270
1996,46-65 y.,(1b) General Elementary School,0.17677,726,3829,0.16468,0.18885
1996,46-65 y.,(1c) Basic Vocational Qualification,0.45153,1629,3829,0.43576,0.46729
1996,46-65 y.,(2) Intermediate General/Vocational Qualification,0.15580,518,3829,0.14431,0.16729
1996,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02332,82,3829,0.01854,0.02810
1996,46-65 y.,(3a) Lower Tertiary Education,0.06742,301,3829,0.05948,0.07537
1996,46-65 y.,(3b) Higher Tertiary Education,0.08161,299,3829,0.07294,0.09029
1996,66 and older,(1a) Inadequately completed,0.01103,46,1529,0.00579,0.01626
1996,66 and older,(1b) General Elementary School,0.29071,432,1529,0.26794,0.31348
1996,66 and older,(1c) Basic Vocational Qualification,0.42458,674,1529,0.39980,0.44937
1996,66 and older,(2) Intermediate General/Vocational Qualification,0.14828,185,1529,0.13046,0.16610
1996,66 and older,(2c_voc) Vocational Maturity Certificate,0.02381,35,1529,0.01616,0.03145
1996,66 and older,(3a) Lower Tertiary Education,0.04740,90,1529,0.03675,0.05806
1996,66 and older,(3b) Higher Tertiary Education,0.04368,67,1529,0.03343,0.05392
1997,17-29 y.,(0) No qualification (yet),0.10190,312,2806,0.09071,0.11310
1997,17-29 y.,(1a) Inadequately completed,0.01550,65,2806,0.01093,0.02007
1997,17-29 y.,(1b) General Elementary School,0.11134,386,2806,0.09970,0.12298
1997,17-29 y.,(1c) Basic Vocational Qualification,0.14488,448,2806,0.13186,0.15791
1997,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30635,970,2806,0.28929,0.32341
1997,17-29 y.,(2c_gen) General Maturity Certificate,0.11121,295,2806,0.09958,0.12285
1997,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.08282,183,2806,0.07262,0.09302
1997,17-29 y.,(3a) Lower Tertiary Education,0.02801,77,2806,0.02191,0.03412
1997,17-29 y.,(3b) Higher Tertiary Education,0.02810,70,2806,0.02198,0.03422
1997,30-45 y.,(1a) Inadequately completed,0.02098,141,4279,0.01668,0.02527
1997,30-45 y.,(1b) General Elementary School,0.06975,381,4279,0.06212,0.07739
1997,30-45 y.,(1c) Basic Vocational Qualification,0.29048,1150,4279,0.27688,0.30409
1997,30-45 y.,(2) Intermediate General/Vocational Qualification,0.30382,1384,4279,0.29003,0.31760
1997,30-45 y.,(2c_gen) General Maturity Certificate,0.02301,101,4279,0.01852,0.02750
1997,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.08209,287,4279,0.07387,0.09032
1997,30-45 y.,(3a) Lower Tertiary Education,0.08065,389,4279,0.07249,0.08881
1997,30-45 y.,(3b) Higher Tertiary Education,0.11311,446,4279,0.10362,0.12260
1997,46-65 y.,(1a) Inadequately completed,0.02988,265,3790,0.02446,0.03530
1997,46-65 y.,(1b) General Elementary School,0.16680,678,3790,0.15493,0.17867
1997,46-65 y.,(1c) Basic Vocational Qualification,0.45660,1596,3790,0.44074,0.47246
1997,46-65 y.,(2) Intermediate General/Vocational Qualification,0.15663,547,3790,0.14506,0.16821
1997,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02378,84,3790,0.01893,0.02863
1997,46-65 y.,(3a) Lower Tertiary Education,0.06976,313,3790,0.06165,0.07788
1997,46-65 y.,(3b) Higher Tertiary Education,0.08126,307,3790,0.07256,0.08996
1997,66 and older,(1a) Inadequately completed,0.01299,49,1561,0.00737,0.01860
1997,66 and older,(1b) General Elementary School,0.29414,435,1561,0.27153,0.31675
1997,66 and older,(1c) Basic Vocational Qualification,0.42785,698,1561,0.40330,0.45240
1997,66 and older,(2) Intermediate General/Vocational Qualification,0.13888,179,1561,0.12172,0.15605
1997,66 and older,(2c_voc) Vocational Maturity Certificate,0.02240,35,1561,0.01505,0.02974
1997,66 and older,(3a) Lower Tertiary Education,0.04850,94,1561,0.03784,0.05916
1997,66 and older,(3b) Higher Tertiary Education,0.04426,71,1561,0.03405,0.05447
1998,17-29 y.,(0) No qualification (yet),0.10286,328,2903,0.09181,0.11391
1998,17-29 y.,(1a) Inadequately completed,0.01496,59,2903,0.01054,0.01937
1998,17-29 y.,(1b) General Elementary School,0.10985,388,2903,0.09847,0.12122
1998,17-29 y.,(1c) Basic Vocational Qualification,0.13574,440,2903,0.12328,0.14821
1998,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30772,1012,2903,0.29092,0.32451
1998,17-29 y.,(2c_gen) General Maturity Certificate,0.12276,333,2903,0.11082,0.13470
1998,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.07274,191,2903,0.06329,0.08219
1998,17-29 y.,(3a) Lower Tertiary Education,0.02729,83,2903,0.02136,0.03322
1998,17-29 y.,(3b) Higher Tertiary Education,0.02130,69,2903,0.01605,0.02656
1998,30-45 y.,(1a) Inadequately completed,0.01950,128,4644,0.01552,0.02348
1998,30-45 y.,(1b) General Elementary School,0.07273,411,4644,0.06526,0.08020
1998,30-45 y.,(1c) Basic Vocational Qualification,0.25812,1191,4644,0.24553,0.27071
1998,30-45 y.,(2) Intermediate General/Vocational Qualification,0.30669,1544,4644,0.29342,0.31995
1998,30-45 y.,(2c_gen) General Maturity Certificate,0.02228,107,4644,0.01804,0.02653
1998,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.08399,334,4644,0.07601,0.09197
1998,30-45 y.,(3a) Lower Tertiary Education,0.08397,433,4644,0.07600,0.09195
1998,30-45 y.,(3b) Higher Tertiary Education,0.11019,496,4644,0.10118,0.11920
1998,46-65 y.,(1a) Inadequately completed,0.03132,254,4185,0.02604,0.03660
1998,46-65 y.,(1b) General Elementary School,0.15349,723,4185,0.14257,0.16441
1998,46-65 y.,(1c) Basic Vocational Qualification,0.42864,1768,4185,0.41365,0.44364
1998,46-65 y.,(2) Intermediate General/Vocational Qualification,0.15197,633,4185,0.14109,0.16285
1998,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02557,103,4185,0.02079,0.03035
1998,46-65 y.,(3a) Lower Tertiary Education,0.06996,345,4185,0.06223,0.07769
1998,46-65 y.,(3b) Higher Tertiary Education,0.08450,359,4185,0.07607,0.09293
1998,66 and older,(1a) Inadequately completed,0.01429,53,1756,0.00874,0.01984
1998,66 and older,(1b) General Elementary School,0.29183,513,1756,0.27056,0.31310
1998,66 and older,(1c) Basic Vocational Qualification,0.40283,762,1756,0.37988,0.42577
1998,66 and older,(2) Intermediate General/Vocational Qualification,0.13098,206,1756,0.11520,0.14677
1998,66 and older,(2c_voc) Vocational Maturity Certificate,0.02280,38,1756,0.01582,0.02979
1998,66 and older,(3a) Lower Tertiary Education,0.04570,102,1756,0.03593,0.05547
1998,66 and older,(3b) Higher Tertiary Education,0.04492,82,1756,0.03523,0.05461
1999,17-29 y.,(0) No qualification (yet),0.10627,313,2766,0.09478,0.11776
1999,17-29 y.,(1a) Inadequately completed,0.01702,53,2766,0.01220,0.02184
1999,17-29 y.,(1b) General Elementary School,0.10656,361,2766,0.09506,0.11806
1999,17-29 y.,(1c) Basic Vocational Qualification,0.14966,423,2766,0.13636,0.16296
1999,17-29 y.,(2) Intermediate General/Vocational Qualification,0.32133,970,2766,0.30392,0.33874
1999,17-29 y.,(2c_gen) General Maturity Certificate,0.12434,328,2766,0.11204,0.13664
1999,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.06698,178,2766,0.05767,0.07630
1999,17-29 y.,(3a) Lower Tertiary Education,0.01905,67,2766,0.01395,0.02414
1999,17-29 y.,(3b) Higher Tertiary Education,0.02573,73,2766,0.01982,0.03163
1999,30-45 y.,(1a) Inadequately completed,0.01960,123,4599,0.01559,0.02360
1999,30-45 y.,(1b) General Elementary School,0.06739,384,4599,0.06014,0.07463
1999,30-45 y.,(1c) Basic Vocational Qualification,0.26285,1165,4599,0.25013,0.27557
1999,30-45 y.,(2) Intermediate General/Vocational Qualification,0.31421,1565,4599,0.30079,0.32762
1999,30-45 y.,(2c_gen) General Maturity Certificate,0.02465,104,4599,0.02017,0.02913
1999,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.09152,351,4599,0.08318,0.09985
1999,30-45 y.,(3a) Lower Tertiary Education,0.08375,423,4599,0.07574,0.09176
1999,30-45 y.,(3b) Higher Tertiary Education,0.11167,484,4599,0.10257,0.12077
1999,46-65 y.,(1a) Inadequately completed,0.03134,236,4112,0.02601,0.03666
1999,46-65 y.,(1b) General Elementary School,0.15236,678,4112,0.14138,0.16335
1999,46-65 y.,(1c) Basic Vocational Qualification,0.44705,1735,4112,0.43185,0.46225
1999,46-65 y.,(2) Intermediate General/Vocational Qualification,0.16416,653,4112,0.15284,0.17549
1999,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.02516,94,4112,0.02037,0.02995
1999,46-65 y.,(3a) Lower Tertiary Education,0.07293,352,4112,0.06499,0.08088
1999,46-65 y.,(3b) Higher Tertiary Education,0.08760,364,4112,0.07896,0.09624
1999,66 and older,(1a) Inadequately completed,0.01936,63,1773,0.01294,0.02577
1999,66 and older,(1b) General Elementary School,0.29768,517,1773,0.27639,0.31897
1999,66 and older,(1c) Basic Vocational Qualification,0.41521,762,1773,0.39227,0.43815
1999,66 and older,(2) Intermediate General/Vocational Qualification,0.12666,193,1773,0.11118,0.14215
1999,66 and older,(2c_voc) Vocational Maturity Certificate,0.02782,42,1773,0.02016,0.03548
1999,66 and older,(3a) Lower Tertiary Education,0.05163,107,1773,0.04132,0.06193
1999,66 and older,(3b) Higher Tertiary Education,0.04830,89,1773,0.03832,0.05828
2000,17-29 y.,(0) No qualification (yet),0.09756,485,4570,0.08896,0.10617
2000,17-29 y.,(1a) Inadequately completed,0.01134,46,4570,0.00827,0.01441
2000,17-29 y.,(1b) General Elementary School,0.11210,535,4570,0.10296,0.12125
2000,17-29 y.,(1c) Basic Vocational Qualification,0.14259,620,4570,0.13246,0.15273
2000,17-29 y.,(2) Intermediate General/Vocational Qualification,0.34257,1625,4570,0.32881,0.35633
2000,17-29 y.,(2c_gen) General Maturity Certificate,0.13124,612,4570,0.12145,0.14103
2000,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.09781,384,4570,0.08919,0.10642
2000,17-29 y.,(3a) Lower Tertiary Education,0.02532,113,4570,0.02077,0.02988
2000,17-29 y.,(3b) Higher Tertiary Education,0.03622,150,4570,0.03080,0.04164
2000,30-45 y.,(1a) Inadequately completed,0.01320,107,8150,0.01073,0.01568
2000,30-45 y.,(1b) General Elementary School,0.05996,519,8150,0.05480,0.06511
2000,30-45 y.,(1c) Basic Vocational Qualification,0.26685,2133,8150,0.25725,0.27645
2000,30-45 y.,(2) Intermediate General/Vocational Qualification,0.33306,2854,8150,0.32282,0.34329
2000,30-45 y.,(2c_gen) General Maturity Certificate,0.01708,128,8150,0.01427,0.01990
2000,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.09821,729,8150,0.09175,0.10467
2000,30-45 y.,(3a) Lower Tertiary Education,0.08727,732,8150,0.08114,0.09340
2000,30-45 y.,(3b) Higher Tertiary Education,0.12254,948,8150,0.11542,0.12966
2000,46-65 y.,(1a) Inadequately completed,0.02153,194,7743,0.01830,0.02477
2000,46-65 y.,(1b) General Elementary School,0.11439,940,7743,0.10730,0.12148
2000,46-65 y.,(1c) Basic Vocational Qualification,0.44985,3395,7743,0.43876,0.46093
2000,46-65 y.,(2) Intermediate General/Vocational Qualification,0.18276,1412,7743,0.17415,0.19137
2000,46-65 y.,(2c_gen) General Maturity Certificate,0.00645,44,7743,0.00467,0.00823
2000,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.04156,301,7743,0.03711,0.04600
2000,46-65 y.,(3a) Lower Tertiary Education,0.07780,647,7743,0.07183,0.08377
2000,46-65 y.,(3b) Higher Tertiary Education,0.10267,810,7743,0.09591,0.10944
2000,66 and older,(1a) Inadequately completed,0.01894,76,3566,0.01447,0.02342
2000,66 and older,(1b) General Elementary School,0.24628,872,3566,0.23213,0.26042
2000,66 and older,(1c) Basic Vocational Qualification,0.44948,1662,3566,0.43315,0.46581
2000,66 and older,(2) Intermediate General/Vocational Qualification,0.12529,402,3566,0.11442,0.13616
2000,66 and older,(2c_voc) Vocational Maturity Certificate,0.04075,138,3566,0.03426,0.04724
2000,66 and older,(3a) Lower Tertiary Education,0.05392,207,3566,0.04650,0.06133
2000,66 and older,(3b) Higher Tertiary Education,0.05676,209,3566,0.04917,0.06436
2001,17-29 y.,(0) No qualification (yet),0.11662,539,4010,0.10669,0.12656
2001,17-29 y.,(1a) Inadequately completed,0.01093,37,4010,0.00771,0.01414
2001,17-29 y.,(1b) General Elementary School,0.11323,471,4010,0.10342,0.12304
2001,17-29 y.,(1c) Basic Vocational Qualification,0.13041,482,4010,0.11998,0.14083
2001,17-29 y.,(2) Intermediate General/Vocational Qualification,0.31856,1358,4010,0.30414,0.33298
2001,17-29 y.,(2c_gen) General Maturity Certificate,0.14302,593,4010,0.13218,0.15385
2001,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.08302,304,4010,0.07448,0.09156
2001,17-29 y.,(3a) Lower Tertiary Education,0.02768,106,4010,0.02261,0.03276
2001,17-29 y.,(3b) Higher Tertiary Education,0.03668,120,4010,0.03086,0.04250
2001,30-45 y.,(1a) Inadequately completed,0.01053,77,7306,0.00819,0.01287
2001,30-45 y.,(1b) General Elementary School,0.05584,447,7306,0.05057,0.06110
2001,30-45 y.,(1c) Basic Vocational Qualification,0.25436,1821,7306,0.24437,0.26434
2001,30-45 y.,(2) Intermediate General/Vocational Qualification,0.34202,2648,7306,0.33114,0.35290
2001,30-45 y.,(2c_gen) General Maturity Certificate,0.01581,112,7306,0.01295,0.01867
2001,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.10711,704,7306,0.10002,0.11420
2001,30-45 y.,(3a) Lower Tertiary Education,0.08583,643,7306,0.07940,0.09225
2001,30-45 y.,(3b) Higher Tertiary Education,0.12519,854,7306,0.11760,0.13278
2001,46-65 y.,(1a) Inadequately completed,0.01581,142,7084,0.01291,0.01872
2001,46-65 y.,(1b) General Elementary School,0.10808,781,7084,0.10085,0.11531
2001,46-65 y.,(1c) Basic Vocational Qualification,0.44313,3037,7084,0.43156,0.45470
2001,46-65 y.,(2) Intermediate General/Vocational Qualification,0.19108,1368,7084,0.18193,0.20024
2001,46-65 y.,(2c_gen) General Maturity Certificate,0.00776,46,7084,0.00571,0.00980
2001,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.04519,305,7084,0.04036,0.05003
2001,46-65 y.,(3a) Lower Tertiary Education,0.08175,631,7084,0.07537,0.08813
2001,46-65 y.,(3b) Higher Tertiary Education,0.10562,774,7084,0.09846,0.11278
2001,66 and older,(1a) Inadequately completed,0.01746,66,3371,0.01304,0.02188
2001,66 and older,(1b) General Elementary School,0.23412,770,3371,0.21982,0.24842
2001,66 and older,(1c) Basic Vocational Qualification,0.44977,1579,3371,0.43297,0.46656
2001,66 and older,(2) Intermediate General/Vocational Qualification,0.12775,395,3371,0.11648,0.13903
2001,66 and older,(2c_voc) Vocational Maturity Certificate,0.04426,139,3371,0.03732,0.05120
2001,66 and older,(3a) Lower Tertiary Education,0.05718,213,3371,0.04934,0.06502
2001,66 and older,(3b) Higher Tertiary Education,0.06012,209,3371,0.05210,0.06815
2002,17-29 y.,(0) No qualification (yet),0.12457,612,3952,0.11428,0.13487
2002,17-29 y.,(1b) General Elementary School,0.11400,405,3952,0.10409,0.12390
2002,17-29 y.,(1c) Basic Vocational Qualification,0.12198,432,3952,0.11177,0.13218
2002,17-29 y.,(2) Intermediate General/Vocational Qualification,0.31043,1296,3952,0.29600,0.32486
2002,17-29 y.,(2c_gen) General Maturity Certificate,0.14734,671,3952,0.13629,0.15839
2002,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.07769,310,3952,0.06934,0.08604
2002,17-29 y.,(3a) Lower Tertiary Education,0.02699,103,3952,0.02194,0.03204
2002,17-29 y.,(3b) Higher Tertiary Education,0.02733,123,3952,0.02224,0.03241
2002,30-45 y.,(1a) Inadequately completed,0.01287,78,7415,0.01030,0.01543
2002,30-45 y.,(1b) General Elementary School,0.05600,406,7415,0.05076,0.06123
2002,30-45 y.,(1c) Basic Vocational Qualification,0.25226,1656,7415,0.24238,0.26215
2002,30-45 y.,(2) Intermediate General/Vocational Qualification,0.34928,2644,7415,0.33843,0.36013
2002,30-45 y.,(2c_gen) General Maturity Certificate,0.01666,124,7415,0.01375,0.01957
2002,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.11217,768,7415,0.10499,0.11936
2002,30-45 y.,(3a) Lower Tertiary Education,0.08173,688,7415,0.07549,0.08797
2002,30-45 y.,(3b) Higher Tertiary Education,0.11569,1051,7415,0.10841,0.12297
2002,46-65 y.,(1a) Inadequately completed,0.01503,119,7843,0.01234,0.01772
2002,46-65 y.,(1b) General Elementary School,0.10574,714,7843,0.09893,0.11255
2002,46-65 y.,(1c) Basic Vocational Qualification,0.43698,2912,7843,0.42600,0.44796
2002,46-65 y.,(2) Intermediate General/Vocational Qualification,0.19932,1616,7843,0.19048,0.20816
2002,46-65 y.,(2c_gen) General Maturity Certificate,0.00717,60,7843,0.00530,0.00903
2002,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.04726,371,7843,0.04257,0.05196
2002,46-65 y.,(3a) Lower Tertiary Education,0.07897,769,7843,0.07300,0.08494
2002,46-65 y.,(3b) Higher Tertiary Education,0.10787,1282,7843,0.10100,0.11474
2002,66 and older,(1a) Inadequately completed,0.01786,68,3565,0.01351,0.02221
2002,66 and older,(1b) General Elementary School,0.22913,753,3565,0.21533,0.24293
2002,66 and older,(1c) Basic Vocational Qualification,0.45671,1639,3565,0.44036,0.47307
2002,66 and older,(2) Intermediate General/Vocational Qualification,0.13176,427,3565,0.12066,0.14287
2002,66 and older,(2c_voc) Vocational Maturity Certificate,0.03853,135,3565,0.03221,0.04485
2002,66 and older,(3a) Lower Tertiary Education,0.05827,240,3565,0.05058,0.06596
2002,66 and older,(3b) Higher Tertiary Education,0.05983,303,3565,0.05204,0.06761
2003,17-29 y.,(0) No qualification (yet),0.12255,617,3757,0.11207,0.13304
2003,17-29 y.,(1b) General Elementary School,0.11194,376,3757,0.10185,0.12202
2003,17-29 y.,(1c) Basic Vocational Qualification,0.11254,388,3757,0.10243,0.12264
2003,17-29 y.,(2) Intermediate General/Vocational Qualification,0.30554,1205,3757,0.29081,0.32028
2003,17-29 y.,(2c_gen) General Maturity Certificate,0.14589,658,3757,0.13460,0.15718
2003,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.07776,310,3757,0.06919,0.08632
2003,17-29 y.,(3a) Lower Tertiary Education,0.02797,96,3757,0.02270,0.03325
2003,17-29 y.,(3b) Higher Tertiary Education,0.02748,107,3757,0.02225,0.03271
2003,30-45 y.,(1a) Inadequately completed,0.01271,73,6907,0.01007,0.01536
2003,30-45 y.,(1b) General Elementary School,0.05442,375,6907,0.04907,0.05977
2003,30-45 y.,(1c) Basic Vocational Qualification,0.24464,1528,6907,0.23450,0.25478
2003,30-45 y.,(2) Intermediate General/Vocational Qualification,0.34969,2499,6907,0.33844,0.36094
2003,30-45 y.,(2c_gen) General Maturity Certificate,0.01507,112,6907,0.01220,0.01794
2003,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.11726,742,6907,0.10967,0.12485
2003,30-45 y.,(3a) Lower Tertiary Education,0.08352,638,6907,0.07699,0.09004
2003,30-45 y.,(3b) Higher Tertiary Education,0.11823,940,6907,0.11061,0.12584
2003,46-65 y.,(1a) Inadequately completed,0.01630,113,7557,0.01344,0.01915
2003,46-65 y.,(1b) General Elementary School,0.10201,646,7557,0.09518,0.10883
2003,46-65 y.,(1c) Basic Vocational Qualification,0.42094,2715,7557,0.40981,0.43207
2003,46-65 y.,(2) Intermediate General/Vocational Qualification,0.21130,1652,7557,0.20209,0.22050
2003,46-65 y.,(2c_gen) General Maturity Certificate,0.00768,58,7557,0.00571,0.00965
2003,46-65 y.,(2c_voc) Vocational Maturity Certificate,0.04839,373,7557,0.04355,0.05322
2003,46-65 y.,(3a) Lower Tertiary Education,0.07821,737,7557,0.07215,0.08426
2003,46-65 y.,(3b) Higher Tertiary Education,0.11258,1263,7557,0.10545,0.11971
2003,66 and older,(1a) Inadequately completed,0.01857,65,3628,0.01417,0.02296
2003,66 and older,(1b) General Elementary School,0.22457,751,3628,0.21099,0.23815
2003,66 and older,(1c) Basic Vocational Qualification,0.45763,1677,3628,0.44141,0.47384
2003,66 and older,(2) Intermediate General/Vocational Qualification,0.12579,422,3628,0.11500,0.13658
2003,66 and older,(2c_voc) Vocational Maturity Certificate,0.04177,140,3628,0.03526,0.04828
2003,66 and older,(3a) Lower Tertiary Education,0.06045,252,3628,0.05269,0.06820
2003,66 and older,(3b) Higher Tertiary Education,0.06419,321,3628,0.05621,0.07217
2004,17-29 y.,(0) No qualification (yet),0.13273,641,3659,0.12174,0.14373
2004,17-29 y.,(1b) General Elementary School,0.11715,351,3659,0.10673,0.12757
2004,17-29 y.,(1c) Basic Vocational Qualification,0.10683,366,3659,0.09682,0.11684
2004,17-29 y.,(2) Intermediate General/Vocational Qualification,0.29633,1150,3659,0.28153,0.31113
2004,17-29 y.,(2c_gen) General Maturity Certificate,0.13618,643,3659,0.12507,0.14730
2004,17-29 y.,(2c_voc) Vocational Maturity Certificate,0.07480,310,3659,0.06627,0.08332
2004,17-29 y.,(3a) Lower Tertiary Education,0.02073,87,3659,0.01611,0.02535
2004,17-29 y.,(3b) Higher Tertiary Education,0.02741,111,3659,0.02212,0.03270
2004,30-45 y.,(1a) Inadequately completed,0.01501,72,6502,0.01206,0.01797
2004,30-45 y.,(1b) General Elementary School,0.05544,354,6502,0.04988,0.06101
2004,30-45 y.,(1c) Basic Vocational Qualification,0.24159,1415,6502,0.23119,0.25200
2004,30-45 y.,(2) Intermediate General/Vocational Qualification,0.34483,2346,6502,0.33328,0.35639
2004,30-45 y.,(2c_gen) General Maturity Certificate,0.01763,116,6502,0.01443,0.02083
2004,30-45 y.,(2c_voc) Vocational Maturity Certificate,0.11987,717,6502,0.11197,0.12777
2004,30-45 y.,(3a) Lower Tertiary Education,0.08406,597,6502,0.07731,0.09080
