syear,quintil_oecd,mean,mean_lower_confidence,mean_upper_confidence,lower_quartile,boxplot_median,upper_quartile,lower_whisker,upper_whisker,median,median_lower_confidence,median_upper_confidence,n
2014,4. Quintil,7.186366929949758,7.167983959629752,7.204749900269763,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,7715.0
2014,5. Quintil,7.5162749427635145,7.501052416329947,7.531497469197082,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,8821.0
2015,2. Quintil,6.538474011396906,6.506316725947973,6.57063129684584,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,3879.0
2015,3. Quintil,7.022718319433638,7.0003620131072815,7.0450746257599945,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,5981.0
2015,4. Quintil,7.280207097538379,7.261421107617915,7.298993087458843,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,7630.0
2015,5. Quintil,7.6436103219413996,7.628699400731915,7.658521243150884,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,9238.0
2016,2. Quintil,6.513063858727905,6.487002559259731,6.539125158196078,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5816.0
2016,3. Quintil,6.95719381717095,6.932723340534946,6.981664293806953,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5250.0
2016,4. Quintil,7.310077506291185,7.291049643646871,7.329105368935498,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,6932.0
2016,5. Quintil,7.609925835052997,7.594835264419123,7.625016405686871,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,9119.0
2017,2. Quintil,6.559918127579549,6.534195331878212,6.585640923280886,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,6435.0
2017,3. Quintil,6.943811957992935,6.919443656956664,6.9681802590292055,6.0,7.0,8.0,3.0,10.0,7.0,7.0,7.0,5414.0
2017,4. Quintil,7.2702267701581835,7.252386504935743,7.288067035380624,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,7650.0
2017,5. Quintil,7.582254758400389,7.568840108354214,7.595669408446565,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,10969.0
2018,2. Quintil,6.582302161571991,6.554966206045476,6.6096381170985055,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,5491.0
2018,3. Quintil,7.062065033973687,7.037231484831782,7.086898583115591,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,5009.0
2018,4. Quintil,7.309736683534319,7.291204442694942,7.328268924373696,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,7473.0
2018,5. Quintil,7.6364370849425365,7.622975433175828,7.649898736709245,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,11192.0
2019,1. Quintil,,,,,,,,,,,,
2019,2. Quintil,6.691722862794392,6.660985970748349,6.722459754840434,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,4470.0
2019,3. Quintil,7.104497950460724,7.078228810180203,7.130767090741244,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4562.0
2019,4. Quintil,7.3744084575257265,7.355091917102211,7.393724997949242,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,6782.0
2019,5. Quintil,7.703547382064236,7.691120885200551,7.715973878927921,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,13190.0
2020,2. Quintil,6.938387573600807,6.90862843255001,6.9681467146516045,5.0,7.0,8.0,0.5,10.0,7.0,6.0,7.0,4087.0
2020,3. Quintil,7.0296648020600925,7.003246633827062,7.056082970293123,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,4946.0
2020,4. Quintil,7.4165705384154395,7.397060810612927,7.436080266217952,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,6842.0
2020,5. Quintil,7.671768786576042,7.659838939194197,7.683698633957887,7.0,8.0,9.0,4.0,10.0,8.0,8.0,8.0,13470.0
2021,2. Quintil,6.728610230856496,6.68671006128704,6.770510400425953,5.0,7.0,8.0,0.5,10.0,7.0,7.0,7.0,2336.0
2021,3. Quintil,7.13848353657139,7.104940449155143,7.1720266239876365,6.0,7.0,8.0,3.0,10.0,7.0,6.0,7.0,2885.0
2021,4. Quintil,7.267081372201001,7.241114895915699,7.293047848486303,6.0,8.0,8.0,3.0,10.0,8.0,8.0,9.0,4154.0
2021,5. Quintil,7.6001389897821285,7.5854861296319385,7.614791849932319,7.0,8.0,8.0,5.5,9.5,8.0,8.0,8.0,10116.0
